MtR,TimeElapsed,AttNC,MpbtA,TimestepsSoFar,Tbt,MpbtN,optimgain,Tmc,surrgain,Tmt,EpisodesSoFar,meankl,Ptt,TtR,entloss,AttC,entropy
-30.00842324741552,7151.92883014679,0.7906976744186046,34.41800585019447,169958,323107.72093023255,65.58199414980554,0.004228951,25.11627906976744,0.004228951,78.88372093023256,3063,0.0027044022,76.82730560490668,-155.2325581395349,0.0,2.2093023255813953,0.36882025
-31.004098255754492,7273.233601808548,0.7045454545454546,32.255346247656306,179882,324514.9090909091,67.74465375234365,0.0047562593,24.772727272727273,0.0047562593,79.22727272727273,3107,0.0031720966,77.14683287325998,-161.1818181818182,0.0,2.2954545454545454,0.34572512
-30.05958985951383,7389.799746751785,1.0465116279069768,35.587546937289844,189743,322726.6976744186,64.41245306271013,0.0057955575,25.209302325581394,0.0057955575,78.79069767441861,3150,0.0037044322,76.74069127453585,-152.4418604651163,0.0,1.9534883720930232,0.3654875
-31.29498754709657,7506.11671090126,0.8695652173913043,33.500796972295916,199996,322515.47826086957,66.49920302770408,0.004638544,25.26086956521739,0.004638544,78.73913043478261,3196,0.0024479232,76.69305016146065,-157.3695652173913,0.0,2.130434782608696,0.36673245
-30.630395212885354,7625.51132941246,0.782608695652174,34.44112210755328,209894,319488.0,65.55887789244669,0.0047917003,26.0,0.0047917003,78.0,3242,0.0034563038,76.00223518438915,-153.58695652173913,0.0,2.217391304347826,0.3468423
-30.625042760606892,7743.482219457626,0.813953488372093,33.91154317935506,219784,321869.3953488372,66.08845682064494,0.003859562,25.41860465116279,0.003859562,78.5813953488372,3285,0.0026366054,76.54457532931637,-156.06976744186048,0.0,2.186046511627907,0.3448504
-30.807046106893836,7856.302043199539,1.0227272727272727,34.114082456118076,229857,322653.0909090909,65.88591754388193,0.004225169,25.227272727272727,0.004225169,78.77272727272727,3329,0.0028675974,76.72394956665163,-155.9318181818182,0.0,1.9772727272727273,0.3604764
-30.49641842956637,7974.065759897232,0.813953488372093,31.887857299433495,239888,320916.83720930235,68.1121427005665,0.004708117,25.651162790697676,0.004708117,78.34883720930233,3372,0.0029222472,76.32863146810615,-160.25581395348837,0.0,2.186046511627907,0.37789923
-29.78977333454418,8089.9246616363525,0.7906976744186046,34.413961733559546,249943,321297.8604651163,65.58603826644047,0.004272846,25.558139534883722,0.004272846,78.44186046511628,3415,0.0030307632,76.4148920463349,-154.46511627906978,0.0,2.2093023255813953,0.37089068
-30.720984614989163,8208.620613098145,0.8181818181818182,32.06856312433321,259813,321629.0909090909,67.93143687566679,0.0058940686,25.477272727272727,0.0058940686,78.52272727272727,3459,0.0040348084,76.4904242661003,-160.1590909090909,0.0,2.1818181818181817,0.35851073
-31.307430276742256,8324.219362020493,1.1136363636363635,31.723977378632505,269918,321070.54545454547,68.2760226213675,0.004344796,25.613636363636363,0.004344796,78.38636363636364,3503,0.0032230911,76.36461401192058,-160.8409090909091,0.0,1.8863636363636365,0.3702155
-30.42666128076391,8435.412458181381,0.926829268292683,32.38088649261796,279882,323584.0,67.61911350738205,0.0060137757,25.0,0.0060137757,79.0,3544,0.0051441756,76.93522503985464,-160.2439024390244,0.0,2.073170731707317,0.39707273
-31.15844807216385,8558.283722400665,0.5,31.899897397312976,289912,322337.39130434784,68.10010260268702,0.004160654,25.304347826086957,0.004160654,78.69565217391305,3590,0.002864934,76.64921170987252,-161.15217391304347,0.0,2.5,0.3624179
-30.696232318018154,8676.74369263649,0.8636363636363636,33.541184953277096,299943,321815.2727272727,66.45881504672289,0.0048376382,25.431818181818183,0.0048376382,78.56818181818181,3634,0.004121067,76.5339921944138,-156.75,0.0,2.1363636363636362,0.39590833
-31.110450754922603,8798.588846206665,0.6739130434782609,33.510996765854564,309926,322070.26086956525,66.48900323414544,0.0050324006,25.347826086956523,0.0050324006,78.6304347826087,3680,0.0031693452,76.60706369101761,-156.91304347826087,0.0,2.3260869565217392,0.38379
-30.298834415114925,8914.444099664688,0.813953488372093,32.90254397270776,319897,320059.5348837209,67.09745602729222,0.00543683,25.86046511627907,0.00543683,78.13953488372093,3723,0.004149569,76.13337196579913,-157.53488372093022,0.0,2.186046511627907,0.3791
-30.048839238561772,9030.571022987366,0.7906976744186046,35.455981813950956,329786,320345.3023255814,64.54401818604903,0.0050517125,25.790697674418606,0.0050517125,78.20930232558139,3766,0.003486056,76.19945863813524,-151.46511627906978,0.0,2.2093023255813953,0.40243334
-31.070656327761448,9147.916931152344,0.6956521739130435,32.565207028001275,339878,321090.7826086957,67.43479297199872,0.0042777425,25.652173913043477,0.0042777425,78.3913043478261,3812,0.0025946992,76.34051547490145,-158.93478260869566,0.0,2.3043478260869565,0.3745513
-30.66728711269301,9268.391859531403,0.6666666666666666,32.493773008793674,349998,319032.8888888889,67.5062269912063,0.0062398682,26.133333333333333,0.0062398682,77.88888888888889,3857,0.0035021775,75.8856976800261,-157.86666666666667,0.0,2.3333333333333335,0.4114882
-32.30721942609114,9392.103302717209,0.6170212765957447,30.469811945219295,359894,323322.55319148937,69.5301880547807,0.00506917,25.06382978723404,0.00506917,78.93617021276596,3904,0.0032527416,76.87626642743743,-164.93617021276594,0.0,2.382978723404255,0.3864506
