entloss,AttNC,meankl,optimgain,EpisodesSoFar,TimestepsSoFar,AttC,entropy,TimeElapsed,MtR,TtR,Fce,surrgain
0.0,3.3488372093023258,0.008933196,-9.841919e-09,9899,2399895,6.651162790697675,6.925294,23260.68005490303,22.663935681317582,394.8837209302326,0.1654573643410853,-9.841919e-09
0.0,3.707317073170732,0.01017476,3.967285e-09,9940,2409938,6.2926829268292686,6.8276725,23349.79906630516,25.288161937966635,438.780487804878,0.17692115711854792,3.967285e-09
0.0,3.425,0.01017476,3.967285e-09,9980,2419938,6.575,6.8276725,23439.571644067764,23.484257684748805,409.5,0.1638,3.967285e-09
0.0,3.357142857142857,0.01017476,3.967285e-09,10022,2429964,6.642857142857143,6.8276725,23527.07846903801,22.701279466572107,391.9047619047619,0.1609004329004329,3.967285e-09
0.0,2.840909090909091,0.01017476,3.967285e-09,10066,2439781,7.159090909090909,6.8276725,23618.599919319153,21.762025297742802,376.8181818181818,0.17203395541194583,3.967285e-09
0.0,3.4634146341463414,0.010174781,6.561279e-09,10107,2449836,6.536585365853658,6.730125,23708.553844690323,24.61291340525978,430.4878048780488,0.17392461197339246,6.561279e-09
0.0,3.4285714285714284,0.00058567524,6.4086914e-09,10149,2459906,6.571428571428571,6.7545376,23805.98523044586,23.788304876090496,408.57142857142856,0.16677719940877833,6.4086914e-09
0.0,3.119047619047619,0.008933204,8.8500975e-09,10191,2469914,6.880952380952381,6.8520627,23902.722299814224,22.543015074437353,394.5238095238095,0.17349206349206348,8.8500975e-09
0.0,3.1219512195121952,0.008933204,1.2588501e-08,10232,2479969,6.878048780487805,6.949706,23993.87378334999,24.041828588076346,412.9268292682927,0.16793791574279376,1.2588501e-08
0.0,3.45,0.008933204,1.2588501e-08,10272,2489969,6.55,6.949706,24086.715868234634,24.68955033177112,427.0,0.1708,1.2588501e-08
0.0,3.1951219512195124,0.008933204,1.2588501e-08,10313,2499823,6.804878048780488,6.949706,24175.20103096962,23.957719765061768,412.4390243902439,0.16771740958788894,1.2588501e-08
0.0,3.4878048780487805,0.010174781,0.0,10354,2509848,6.512195121951219,6.8520627,24270.89717888832,24.601778318872196,428.2926829268293,0.17307317073170733,0.0
0.0,3.4523809523809526,0.010174781,0.0,10396,2519870,6.5476190476190474,6.8520627,24361.10772371292,22.095644129542194,384.5238095238095,0.1580960520960521,0.0
0.0,3.35,0.008933204,7.629395e-09,10436,2529870,6.65,6.949706,24455.122834444046,23.163151608238188,398.5,0.15940000000000001,7.629395e-09
0.0,3.1627906976744184,0.008933204,8.163452e-09,10479,2539764,6.837209302325581,7.047329,24546.761646986008,23.45319408878927,399.06976744186045,0.16853096420172464,8.163452e-09
0.0,3.111111111111111,0.010174863,7.93457e-09,10524,2549937,6.888888888888889,6.949706,24642.899031162262,22.987981154680288,395.3333333333333,0.1677506122414677,7.93457e-09
0.0,3.926829268292683,0.010174863,7.93457e-09,10565,2559956,6.073170731707317,6.949706,24725.6447327137,25.080803970430452,437.8048780487805,0.17868035943517327,7.93457e-09
0.0,3.45,0.008933102,1.373291e-09,10605,2569956,6.55,7.047329,24816.652055501938,24.774792728451953,424.25,0.1697,1.373291e-09
0.0,2.9047619047619047,0.010174781,1.2512207e-08,10647,2579923,7.095238095238095,6.949706,24904.994240045547,21.531954300412956,377.3809523809524,0.15648613847990683,1.2512207e-08
0.0,3.5853658536585367,0.010174781,1.586914e-08,10688,2589930,6.414634146341464,6.8520627,24999.339743614197,24.207515621734068,418.0487804878049,0.16721951219512196,1.586914e-08
0.0,2.7560975609756095,0.008933204,1.5258789e-10,10729,2599939,7.2439024390243905,6.949706,25091.38754272461,21.821003881228023,385.609756097561,0.15424390243902436,1.5258789e-10
0.0,3.1363636363636362,0.008933204,2.1362305e-09,10773,2609786,6.863636363636363,7.047329,25191.66122841835,21.974258015888722,377.95454545454544,0.16747171605311142,2.1362305e-09
0.0,3.55,0.008933204,2.1362305e-09,10813,2619786,6.45,7.047329,25282.451498031616,24.701683226573657,426.5,0.17059999999999995,2.1362305e-09
0.0,2.9318181818181817,0.010174751,9.155273e-10,10857,2629878,7.068181818181818,6.949706,25383.393796682358,21.64832310353186,376.3636363636364,0.15902846847438878,9.155273e-10
0.0,3.0714285714285716,0.010174863,-4.6539306e-09,10899,2639910,6.928571428571429,6.8520627,25481.1953830719,22.310585394738098,390.0,0.15949022314239705,-4.6539306e-09
0.0,2.2325581395348837,0.008933196,1.19018555e-08,10942,2649754,7.767441860465116,6.949706,25578.89979839325,20.93160617475558,360.69767441860466,0.1496977449620241,1.19018555e-08
0.0,3.2325581395348837,0.010174863,7.6293943e-10,10985,2659889,6.767441860465116,6.8520627,25675.381653547287,22.999433477127813,397.90697674418607,0.16388260701539023,7.6293943e-10
0.0,3.4878048780487805,0.008933196,-3.0517577e-09,11026,2669900,6.512195121951219,6.949706,25770.47324872017,24.735434242074973,429.2682926829268,0.1738270509977827,-3.0517577e-09
0.0,3.2,0.008933196,-3.0517577e-09,11071,2679792,6.8,6.949706,25858.01687169075,22.12625102800632,384.6666666666667,0.16360111842388267,-3.0517577e-09
0.0,3.341463414634146,0.008933204,-1.5258789e-09,11112,2689819,6.658536585365853,7.047329,25952.41797876358,23.292519504634615,407.5609756097561,0.1662475158084914,-1.5258789e-09
0.0,3.3636363636363638,0.010174863,1.03759765e-08,11156,2699911,6.636363636363637,6.949706,26044.065454006195,22.961550883202833,400.45454545454544,0.16411384662435965,1.03759765e-08
0.0,3.4,0.008933204,-2.4414062e-09,11196,2709911,6.6,7.047329,26132.04950070381,25.462038232388426,439.5,0.1758,-2.4414062e-09
0.0,3.761904761904762,0.008933204,1.373291e-09,11238,2719880,6.238095238095238,7.1448827,26220.92560696602,23.904157904231674,407.14285714285717,0.16508692365835223,1.373291e-09
0.0,3.5238095238095237,0.008933204,1.373291e-09,11280,2729914,6.476190476190476,7.1448827,26312.376184940338,22.76316432631533,393.8095238095238,0.1601737677527152,1.373291e-09
0.0,2.9069767441860463,0.008933204,1.373291e-09,11323,2739967,7.093023255813954,7.1448827,26396.56142950058,22.499945017880922,388.3720930232558,0.1620848153214774,1.373291e-09
0.0,3.55,0.008933204,1.373291e-09,11363,2749804,6.45,7.1448827,26490.924198150635,25.281489317077554,436.25,0.1769356321839081,1.373291e-09
0.0,3.268292682926829,0.008933204,1.373291e-09,11404,2759813,6.7317073170731705,7.1448827,26573.945764780045,22.569515360202534,391.9512195121951,0.15678048780487805,1.373291e-09
0.0,3.707317073170732,0.0023052692,-7.6293943e-10,11445,2769834,6.2926829268292686,7.193703,26666.43866586685,24.164503409605214,420.4878048780488,0.16925900116144021,-7.6293943e-10
0.0,2.9285714285714284,0.0023052692,-7.6293943e-10,11487,2779960,7.071428571428571,7.193703,26752.706523180008,23.759630837686235,410.7142857142857,0.16945996860282575,-7.6293943e-10
0.0,3.1463414634146343,0.008933204,3.1280518e-09,11528,2789754,6.853658536585366,7.291329,26848.112981557846,22.75058020380111,394.390243902439,0.1577560975609756,3.1280518e-09
0.0,3.2142857142857144,0.008933204,3.1280518e-09,11570,2799934,6.785714285714286,7.291329,26934.218143939972,24.16520160254819,414.76190476190476,0.1702266734566853,3.1280518e-09
0.0,3.341463414634146,0.008933204,3.1280518e-09,11611,2809754,6.658536585365853,7.291329,27022.393696546555,24.42954373949651,427.0731707317073,0.17579248805103695,3.1280518e-09
0.0,3.9047619047619047,0.008933204,5.79834e-09,11653,2819832,6.095238095238095,7.3888125,27105.868868350983,26.515029492897742,457.6190476190476,0.1879664972708451,5.79834e-09
0.0,3.0,0.010174781,-1.5258789e-09,11696,2829812,7.0,7.291329,27193.521687984467,21.47056323610011,372.09302325581393,0.1589124831284863,-1.5258789e-09
0.0,3.525,0.010174781,-1.5258789e-09,11736,2839812,6.475,7.291329,27274.87130689621,24.515546581479335,425.0,0.17,-1.5258789e-09
0.0,3.119047619047619,0.010174781,-1.5258789e-09,11778,2849852,6.880952380952381,7.291329,27353.940212488174,22.972651761206304,394.76190476190476,0.1636825396825397,-1.5258789e-09
0.0,3.022727272727273,0.0024602725,1.0070801e-08,11822,2859970,6.9772727272727275,7.2425075,27438.000240564346,22.619757609914455,389.3181818181818,0.166572192513369,1.0070801e-08
0.0,3.1219512195121952,0.008933204,-3.6621093e-09,11863,2869990,6.878048780487805,7.3400154,27519.732963323593,23.53367255536674,407.8048780487805,0.1661031772473704,-3.6621093e-09
0.0,3.1219512195121952,0.008933204,-3.6621093e-09,11904,2879820,6.878048780487805,7.3400154,27596.239783763885,23.288056747677373,401.9512195121951,0.1631757402302237,-3.6621093e-09
0.0,2.6744186046511627,0.008933204,-3.6621093e-09,11947,2889888,7.325581395348837,7.3400154,27682.80381155014,21.63094886854714,374.4186046511628,0.15741068439151998,-3.6621093e-09
0.0,3.2857142857142856,0.01017476,9.155273e-10,11989,2899912,6.714285714285714,7.2425075,27773.938463687897,22.892809548468488,397.6190476190476,0.1628531468531469,9.155273e-10
0.0,3.731707317073171,0.01017476,9.155273e-10,12030,2909979,6.2682926829268295,7.2425075,27860.146879911423,23.807072539614094,414.8780487804878,0.1680829996359665,9.155273e-10
0.0,3.25,0.01017476,9.155273e-10,12070,2919979,6.75,7.2425075,27942.032505512238,23.710451522957033,409.75,0.1639,9.155273e-10
0.0,3.292682926829268,0.01017476,9.155273e-10,12111,2929793,6.7073170731707314,7.2425075,28026.5822865963,22.56534690530899,392.1951219512195,0.1613615282950859,9.155273e-10
0.0,3.4047619047619047,0.008933204,-3.6621093e-09,12153,2939843,6.595238095238095,7.3400154,28108.217187166214,24.157979843008178,420.7142857142857,0.17254015169286102,-3.6621093e-09
0.0,3.658536585365854,0.008933204,3.0517577e-10,12194,2949860,6.341463414634147,7.437631,28190.734558820724,25.017270160021216,431.219512195122,0.17516212338593973,3.0517577e-10
0.0,3.15,0.008933204,2.746582e-09,12234,2959860,6.85,7.5351906,28266.176319360733,24.05165205326197,420.75,0.16829999999999998,2.746582e-09
0.0,3.925,0.008933204,2.746582e-09,12274,2969860,6.075,7.5351906,28341.751150369644,26.794994689395217,461.75,0.1847,2.746582e-09
0.0,3.425,0.008933204,2.746582e-09,12314,2979860,6.575,7.5351906,28415.528522491455,24.911079960173772,431.5,0.17260000000000003,2.746582e-09
0.0,3.268292682926829,0.008933204,2.746582e-09,12355,2989885,6.7317073170731705,7.5351906,28484.954576015472,23.662948820133764,410.9756097560976,0.1679024390243902,2.746582e-09
0.0,3.2857142857142856,0.008933196,-5.79834e-09,12397,2999969,6.714285714285714,7.632813,28560.463945150375,23.939014912517973,417.85714285714283,0.1730106748352362,-5.79834e-09
0.0,3.6097560975609757,0.008933196,-5.79834e-09,12438,3009789,6.390243902439025,7.632813,28632.490167856216,24.99241250642319,433.1707317073171,0.17749986156208306,-5.79834e-09
0.0,3.0232558139534884,0.008933196,-5.79834e-09,12481,3019854,6.976744186046512,7.632813,28706.12687778473,22.80260159824338,391.86046511627904,0.16563390587380794,-5.79834e-09
0.0,3.707317073170732,0.008933416,-1.6784668e-09,12522,3029895,6.2926829268292686,7.7304587,28785.63930130005,25.45151872642069,436.0975609756098,0.17642831647828672,-1.6784668e-09
0.0,3.7,0.008933416,-1.6784668e-09,12562,3039895,6.3,7.7304587,28858.413148880005,25.165298989688303,437.75,0.1751,-1.6784668e-09
0.0,2.977777777777778,0.008933416,-1.6784668e-09,12607,3049976,7.022222222222222,7.7304587,28935.566108703613,21.379677731864014,374.6666666666667,0.15874907223222084,-1.6784668e-09
0.0,3.35,0.008933416,-1.6784668e-09,12647,3059976,6.65,7.7304587,29008.931806087494,24.118385629070552,419.0,0.1676,-1.6784668e-09
0.0,2.7674418604651163,0.008933416,-1.6784668e-09,12690,3069848,7.232558139534884,7.7304587,29086.599130630493,20.87104833744107,362.7906976744186,0.15327358060912877,-1.6784668e-09
0.0,2.8181818181818183,0.008933416,-1.6784668e-09,12734,3079998,7.181818181818182,7.7304587,29161.201399326324,21.74207737144331,373.1818181818182,0.15457501693875925,-1.6784668e-09
0.0,3.073170731707317,0.008933416,-1.6784668e-09,12775,3089774,6.926829268292683,7.7304587,29233.749007940292,21.833259585906806,380.2439024390244,0.1532836970474968,-1.6784668e-09
0.0,3.488372093023256,0.008933416,-1.6784668e-09,12818,3099829,6.511627906976744,7.7304587,29304.52238702774,23.19073449362393,405.8139534883721,0.18051704313638214,-1.6784668e-09
0.0,3.1136363636363638,0.008933416,-1.6784668e-09,12862,3109860,6.886363636363637,7.7304587,29375.481954097748,22.110196402226933,384.3181818181818,0.1685078255078255,-1.6784668e-09
0.0,3.738095238095238,0.008933416,-1.6784668e-09,12904,3119934,6.261904761904762,7.7304587,29445.497723817825,24.15434014832703,418.8095238095238,0.16986496090973707,-1.6784668e-09
0.0,3.1219512195121952,0.008933416,-1.6784668e-09,12945,3129967,6.878048780487805,7.7304587,29517.316032886505,23.250807644147315,404.6341463414634,0.164419807834442,-1.6784668e-09
0.0,3.4146341463414633,0.008933416,-1.6784668e-09,12986,3139972,6.585365853658536,7.7304587,29588.144708633423,25.280404028415433,430.7317073170732,0.17707317073170736,-1.6784668e-09
0.0,3.475,0.008933416,-1.6784668e-09,13026,3149972,6.525,7.7304587,29662.618449687958,24.089265587007528,416.5,0.16660000000000003,-1.6784668e-09
0.0,3.675,0.008933416,-1.6784668e-09,13066,3159753,6.325,7.7304587,29734.976933002472,24.55589177211173,419.5,0.1706258064516129,-1.6784668e-09
0.0,3.744186046511628,0.008933416,-1.6784668e-09,13109,3169850,6.255813953488372,7.7304587,29809.186566114426,23.808651438774675,410.2325581395349,0.1700062891964397,-1.6784668e-09
0.0,3.375,0.008933416,-1.6784668e-09,13149,3179850,6.625,7.7304587,29883.37714767456,23.82674011725775,405.75,0.16230000000000003,-1.6784668e-09
0.0,2.9047619047619047,0.008933416,-1.6784668e-09,13191,3189910,7.095238095238095,7.7304587,29955.32120203972,21.867753042192653,385.95238095238096,0.1557938111271445,-1.6784668e-09
0.0,3.4651162790697674,0.008933416,-1.6784668e-09,13234,3199931,6.534883720930233,7.7304587,30027.173771381378,23.296499056503045,402.09302325581393,0.17098708010335917,-1.6784668e-09
0.0,3.2195121951219514,0.008933416,-1.6784668e-09,13275,3209753,6.780487804878049,7.7304587,30100.088030338287,22.34587746755672,384.8780487804878,0.16066700778895898,-1.6784668e-09
0.0,3.046511627906977,0.008933416,-1.6784668e-09,13318,3219782,6.953488372093023,7.7304587,30171.353352546692,22.595148975108877,390.0,0.15849095607235145,-1.6784668e-09
0.0,3.4761904761904763,0.010174744,1.2512207e-08,13360,3229816,6.523809523809524,7.632814,30248.5573990345,23.868373358663796,417.3809523809524,0.17613927291346645,1.2512207e-08
0.0,2.926829268292683,0.008933204,5.41687e-09,13401,3239837,7.073170731707317,7.7304587,30319.860257864,21.69851806577359,380.4878048780488,0.15645063879210222,5.41687e-09
0.0,3.525,0.008933204,-7.247925e-09,13441,3249837,6.475,7.8280845,30394.270489931107,24.27064622843035,421.75,0.16870000000000002,-7.247925e-09
0.0,3.3488372093023258,0.008933204,-7.247925e-09,13484,3259880,6.651162790697675,7.8280845,30464.41369485855,23.5848517202539,405.1162790697674,0.16453746770025837,-7.247925e-09
0.0,3.125,0.008933204,-7.247925e-09,13524,3269880,6.875,7.8280845,30535.21731519699,22.710454988224846,397.75,0.15909999999999996,-7.247925e-09
0.0,3.1627906976744184,0.008933204,-7.247925e-09,13567,3279979,6.837209302325581,7.8280845,30607.49326133728,22.76972745276,396.9767441860465,0.16949658656893646,-7.247925e-09
0.0,2.8372093023255816,0.008933204,-7.247925e-09,13610,3289783,7.162790697674419,7.8280845,30679.134834051132,22.364541142283397,384.4186046511628,0.16500116667962977,-7.247925e-09
0.0,3.380952380952381,0.008933204,-7.247925e-09,13652,3299849,6.619047619047619,7.8280845,30751.52451443672,23.12126256337483,406.1904761904762,0.16494269572235676,-7.247925e-09
0.0,3.4146341463414633,0.008933204,-7.247925e-09,13693,3309892,6.585365853658536,7.8280845,30825.648067474365,23.63584679994412,410.2439024390244,0.16691548496880318,-7.247925e-09
0.0,3.357142857142857,0.008933204,-7.247925e-09,13735,3319902,6.642857142857143,7.8280845,30896.67044854164,24.19077226988588,425.23809523809524,0.17476190476190478,-7.247925e-09
