meankl,AttC,Ptt,MpbtA,MtR,surrgain,entloss,EpisodesSoFar,Tmt,TtR,Tmc,optimgain,AttNC,MpbtN,TimeElapsed,entropy,TimestepsSoFar,Tbt
0.0031291547,1.7619047619047619,77.30994543203785,32.70758305685849,-31.359881600333292,0.0043993397,0.0,3178,79.38095238095238,-160.35714285714286,24.595238095238095,0.0043993397,1.2380952380952381,67.2924169431415,7370.800289392471,0.36531198,179860,325144.38095238095
0.0021789551,1.8333333333333333,76.78062214004191,30.533626306236194,-31.210565777984883,0.0041502463,0.0,3220,78.83333333333333,-164.5,25.166666666666668,0.0041502463,1.1666666666666667,69.4663736937638,7486.855170726776,0.3539517,189891,322901.3333333333
0.0037225406,1.4878048780487805,77.68341757786007,33.141235110469076,-31.31534179117747,0.0057088714,0.0,3261,79.78048780487805,-160.17073170731706,24.195121951219512,0.0057088714,1.5121951219512195,66.85876488953093,7599.476052761078,0.36876655,199811,326780.8780487805
0.002660339,1.5853658536585367,76.5261616269623,32.32105732934238,-30.9810123348772,0.0042848224,0.0,3302,78.5609756097561,-159.73170731707316,25.4390243902439,0.0042848224,1.4146341463414633,67.6789426706576,7716.97511100769,0.3498949,209857,321785.756097561
0.0024631908,1.880952380952381,77.22436631950723,33.04859138269463,-30.80364756324826,0.0043291766,0.0,3344,79.30952380952381,-159.42857142857142,24.69047619047619,0.0043291766,1.119047619047619,66.95140861730536,7831.3850700855255,0.37507844,219927,324851.8095238095
0.002352711,2.046511627906977,76.63230568103889,35.501463932686015,-30.126663346939623,0.004417104,0.0,3387,78.67441860465117,-152.58139534883722,25.325581395348838,0.004417104,0.9534883720930233,64.49853606731398,7948.560559749603,0.356864,229936,322250.4186046512
0.0033259445,2.0697674418604652,76.06881292649813,33.59570409552642,-30.257561636898092,0.005385702,0.0,3430,78.06976744186046,-155.65116279069767,25.930232558139537,0.005385702,0.9302325581395349,66.40429590447357,8066.340330839157,0.38042706,239909,319773.76744186046
0.0029180734,2.1363636363636362,77.5093510318752,30.467796384079364,-32.41821721463116,0.0051062624,0.0,3474,79.61363636363636,-166.4318181818182,24.386363636363637,0.0051062624,0.8636363636363636,69.53220361592062,8183.16122841835,0.3661551,249846,326097.45454545453
0.0037434637,1.725,76.17470955480154,35.89284117193615,-29.03900832108169,0.0055882446,0.0,3514,78.2,-150.675,25.825,0.0055882446,1.275,64.10715882806383,8296.559355735779,0.37720925,259737,320307.2
0.0031419215,2.152173913043478,76.45152072559128,32.87921001542018,-30.82689647360819,0.00475555,0.0,3560,78.47826086956522,-158.15217391304347,25.52173913043478,0.00475555,0.8478260869565217,67.12078998457982,8414.694761753082,0.38878092,269941,321446.95652173914
0.003035345,2.1363636363636362,76.91127585029952,30.56680605438946,-32.195346400733314,0.004518854,0.0,3604,78.95454545454545,-164.6590909090909,25.022727272727273,0.004518854,0.8636363636363636,69.43319394561055,8534.354335546494,0.38229576,279786,323397.8181818182
0.0027907814,1.8095238095238095,75.84834615115483,34.51700657526862,-29.780344210169595,0.0049655885,0.0,3646,77.83333333333333,-153.0,26.166666666666668,0.0049655885,1.1904761904761905,65.48299342473135,8649.151367664337,0.38889757,289929,318805.3333333333
0.0031088386,2.0232558139534884,76.80648764178991,32.97598431246757,-31.16415951724798,0.004770871,0.0,3689,78.86046511627907,-158.93023255813952,25.13953488372093,0.004770871,0.9767441860465116,67.02401568753241,8763.04190826416,0.37686196,299868,323012.4651162791
