TimestepsSoFar,TimeElapsed,meankl,Fce,TtR,entropy,MtR,EpisodesSoFar,surrgain,AttNC,entloss,AttC,optimgain
849908,2649.007495164871,0.004042759,0.14600000000000002,36.5,0.19041485,20.57246112677166,4459,0.003922007,1.0,0.0,0.0,0.003922007
859910,2680.0634791851044,0.0051948773,0.16466666666666668,35.23809523809524,0.19049677,20.173323218528736,4501,0.003846407,0.9523809523809523,0.0,0.047619047619047616,0.003846407
869758,2710.7675344944,0.008174776,0.1267672686095715,31.02127659574468,0.17321013,17.450447601143914,4548,0.0056280573,0.8297872340425532,0.0,0.1702127659574468,0.0056280573
879767,2742.2656331062317,0.0040023485,0.14173441734417344,34.78048780487805,0.18218283,19.91951298794736,4589,0.0030007141,0.975609756097561,0.0,0.024390243902439025,0.0030007141
889768,2773.096641778946,0.005565463,0.14048780487804877,35.1219512195122,0.15210527,19.93917162864928,4630,0.005017636,0.975609756097561,0.0,0.024390243902439025,0.005017636
899789,2803.4415950775146,0.0039044914,0.1358803986710964,33.16279069767442,0.15778409,18.957587162816125,4673,0.003736615,0.9302325581395349,0.0,0.06976744186046512,0.003736615
909790,2834.405173778534,0.0068166526,0.13326829268292684,33.31707317073171,0.15667664,19.07574979590829,4714,0.0059955074,0.975609756097561,0.0,0.024390243902439025,0.0059955074
919799,2865.3071024417877,0.004585161,0.13921951219512194,34.80487804878049,0.1554031,20.023227602784782,4755,0.0037628051,0.975609756097561,0.0,0.024390243902439025,0.0037628051
929800,2895.6658368110657,0.0050518853,0.14009756097560974,35.02439024390244,0.13987736,20.213667494787753,4796,0.0032701073,0.975609756097561,0.0,0.024390243902439025,0.0032701073
939802,2927.102770805359,0.0069188126,0.13676190476190472,34.19047619047619,0.14298248,19.383040827788506,4838,0.004914096,0.9523809523809523,0.0,0.047619047619047616,0.004914096
949802,2957.7282116413116,0.003584144,0.139,34.75,0.14112078,19.838538421491453,4878,0.004043726,1.0,0.0,0.0,0.004043726
959802,2987.9891238212585,0.0047758897,0.1419,35.475,0.16315457,20.27971631357906,4918,0.004694284,1.0,0.0,0.0,0.004694284
969804,3019.7531673908234,0.0072402586,0.16095238095238096,34.30952380952381,0.15689085,19.68990491932031,4960,0.006023498,0.9523809523809523,0.0,0.047619047619047616,0.006023498
