surrgain,entloss,EpisodesSoFar,TtR,TimeElapsed,meankl,entropy,AttC,MtR,TimestepsSoFar,Fce,optimgain,AttNC
0.0031359035,0.0,7180,33.59090909090909,4671.903601646423,0.0077073365,0.4908244,0.09090909090909091,19.367509631343644,1289852,0.1378715728715729,0.0031359035,0.9090909090909091
0.002602585,0.0,7233,28.0188679245283,4706.650238037109,0.006625307,0.47108194,0.2641509433962264,16.044370617375115,1299850,0.1206838246378053,0.002602585,0.7358490566037735
0.0016541466,0.0,7283,30.26,4739.8292145729065,0.007881582,0.45140478,0.2,17.29044370327171,1309862,0.12103999999999998,0.0016541466,0.8
0.005449383,0.0,7335,26.846153846153847,4772.037590742111,0.009335642,0.39775065,0.25,15.249679647686836,1319769,0.11313251771815361,0.005449383,0.75
0.002505842,0.0,7380,31.42222222222222,4806.013349056244,0.007593978,0.4024925,0.1111111111111111,17.924033102878607,1329844,0.13440644122383252,0.002505842,0.8888888888888888
0.0013621231,0.0,7422,33.95238095238095,4838.583065748215,0.0064699226,0.41062617,0.047619047619047616,19.3131893646789,1339846,0.1358095238095238,0.0013621231,0.9523809523809523
0.0022044936,0.0,7465,31.674418604651162,4875.209733724594,0.008146997,0.34933114,0.06976744186046512,18.02901585081182,1349851,0.1266976744186047,0.0022044936,0.9302325581395349
0.002548767,0.0,7508,32.44186046511628,4907.8865830898285,0.006951179,0.39285675,0.09302325581395349,18.636314688319633,1359839,0.1340066024492309,0.002548767,0.9069767441860465
0.0033023788,0.0,7550,32.333333333333336,4941.71057009697,0.007327945,0.36564663,0.047619047619047616,18.13460372597126,1369943,0.1306925566343042,0.0033023788,0.9523809523809523
0.0033512055,0.0,7593,32.348837209302324,4975.695445537567,0.008171476,0.3033612,0.06976744186046512,18.267886065040503,1379946,0.12939534883720935,0.0033512055,0.9302325581395349
0.0023307006,0.0,7640,30.19148936170213,5007.0289051532745,0.006867276,0.30569842,0.23404255319148937,17.173612619240924,1389977,0.12814283281656216,0.0023307006,0.7659574468085106
0.0014552582,0.0,7684,29.931818181818183,5040.423801660538,0.007861885,0.27713147,0.13636363636363635,17.100679843760005,1399865,0.12435461663918401,0.0014552582,0.8636363636363636
0.0032853088,0.0,7727,31.488372093023255,5076.799501419067,0.0069335587,0.24781768,0.13953488372093023,18.044253725685753,1409927,0.13347630320362638,0.0032853088,0.8604651162790697
0.0033779878,0.0,7768,34.80487804878049,5108.064033746719,0.0077295206,0.20343015,0.07317073170731707,19.550470212824823,1419868,0.14466668479393824,0.0033779878,0.926829268292683
0.002676843,0.0,7809,32.609756097560975,5144.751576900482,0.00734318,0.24643846,0.024390243902439025,18.283963833123195,1429943,0.1318048780487805,0.002676843,0.975609756097561
0.0036452026,0.0,7855,30.26086956521739,5178.991551876068,0.008098258,0.310501,0.21739130434782608,17.583080803299712,1439891,0.13760527113930127,0.0036452026,0.782608695652174
0.0030556396,0.0,7909,27.24074074074074,5211.361187458038,0.006639047,0.37052944,0.46296296296296297,16.03391475563944,1449924,0.13639324658241628,0.0030556396,0.5370370370370371
