surrgain,entloss,Tbt,EpisodesSoFar,AttNC,MtR,entropy,Ptt,TimeElapsed,optimgain,Tmc,Tmt,AttC,MpbtA,meankl,MpbtN,TimestepsSoFar,TtR
0.004315325,0.0,312843.3777777778,3705,1.488888888888889,-26.8359549480253,0.3263302,74.47482533909364,8911.341009140015,0.004315325,27.644444444444446,76.37777777777778,1.511111111111111,42.6851858736083,0.0051709036,57.31481412639172,319849,-131.33333333333334
0.0046598106,0.0,315756.0888888889,3750,1.7777777777777777,-27.559624700759805,0.32115492,75.15400226410026,9024.598724365234,0.0046598106,26.91111111111111,77.08888888888889,1.2222222222222223,40.980059467385665,0.0053251097,59.01994053261435,329884,-136.86666666666667
0.004070277,0.0,313700.17391304346,3796,1.5434782608695652,-27.274094681009668,0.32907066,74.67142441406499,9140.042861700058,0.004070277,27.434782608695652,76.58695652173913,1.4565217391304348,42.069952336264016,0.0039494853,57.930047663736,339931,-133.1086956521739
0.0031723918,0.0,314926.54545454547,3840,1.3181818181818181,-26.50861155588575,0.3310873,74.96453581982946,9256.757754802704,0.0031723918,27.113636363636363,76.88636363636364,1.6818181818181819,42.47212289754387,0.0042806854,57.52787710245615,349809,-132.8181818181818
0.0033084615,0.0,317485.5111111111,3885,1.4222222222222223,-27.93895026720129,0.33513868,75.53461822253107,9367.997860193253,0.0033084615,26.511111111111113,77.5111111111111,1.5777777777777777,40.051374719357746,0.003054864,59.94862528064224,359796,-139.53333333333333
0.0046249432,0.0,316460.52173913043,3931,1.434782608695652,-28.42143052153123,0.31364098,75.31465984700938,9484.866933107376,0.0046249432,26.73913043478261,77.26086956521739,1.565217391304348,38.72560316397446,0.004963165,61.27439683602554,369947,-142.30434782608697
0.003828716,0.0,312915.3488372093,3974,1.7209302325581395,-26.41291706535621,0.32623518,74.48982348729199,9597.896049976349,0.003828716,27.627906976744185,76.3953488372093,1.2790697674418605,43.21760765258489,0.0034925472,56.78239234741512,379803,-130.1860465116279
0.0041192262,0.0,315392.0,4018,1.3863636363636365,-26.998857849500606,0.30685136,75.05476725736472,9711.771399736404,0.0041192262,27.022727272727273,77.0,1.6136363636363635,40.93966222262586,0.004677342,59.06033777737414,389984,-136.77272727272728
0.004478062,0.0,314248.93023255817,4061,2.0,-27.660108593593325,0.32529283,74.77964804318914,9824.546306848526,0.004478062,27.325581395348838,76.72093023255815,1.0,40.21608515016256,0.005394358,59.783914849837444,399902,-137.7906976744186
0.0044261133,0.0,314117.68888888886,4106,1.4666666666666666,-28.48220364548789,0.3150898,74.76427695224264,9940.631626367569,0.0044261133,27.333333333333332,76.68888888888888,1.5333333333333334,39.42013409087766,0.0033377158,60.579865909122354,409836,-139.86666666666667
0.0038883707,0.0,314663.8222222222,4151,1.7333333333333334,-26.576578829015798,0.31312683,74.89192279064763,10054.587099075317,0.0038883707,27.2,76.82222222222222,1.2666666666666666,43.09467605091208,0.0037727132,56.90532394908791,419894,-131.13333333333333
0.004481267,0.0,314181.8181818182,4195,1.7954545454545454,-27.736638845209484,0.3486957,74.79412601544544,10168.648586511612,0.004481267,27.295454545454547,76.70454545454545,1.2045454545454546,40.535087952727224,0.004788194,59.46491204727278,429856,-136.97727272727272
0.0036191046,0.0,316848.35555555555,4240,1.4444444444444444,-27.572328795878896,0.31787,75.38682282395332,10286.309337854385,0.0036191046,26.666666666666668,77.35555555555555,1.5555555555555556,41.25808688346111,0.0035224599,58.74191311653888,439914,-136.6
0.004699723,0.0,312388.26666666666,4285,1.8888888888888888,-27.01004682618137,0.31154147,74.38688421547275,10400.645676374435,0.004699723,27.733333333333334,76.26666666666667,1.1111111111111112,42.62879185712155,0.004087096,57.371208142878466,449913,-131.2
0.0046838247,0.0,313716.36363636365,4329,1.1590909090909092,-27.266154676408927,0.3209,74.68741227434127,10517.876574993134,0.0046838247,27.40909090909091,76.5909090909091,1.8409090909090908,40.885911923077614,0.0040266775,59.11408807692237,459767,-136.0909090909091
0.0042487024,0.0,309515.1304347826,4375,1.673913043478261,-27.222031510512554,0.29645154,73.67445403646335,10634.451270103455,0.0042487024,28.52173913043478,75.56521739130434,1.326086956521739,41.060877776692564,0.0039914665,58.93912222330743,469996,-133.69565217391303
0.0047145486,0.0,311389.0909090909,4419,1.5227272727272727,-25.547283073792542,0.2868396,74.12759835163409,10749.798087358475,0.0047145486,28.022727272727273,76.02272727272727,1.4772727272727273,44.27816345172038,0.0041451636,55.72183654827962,479949,-127.0909090909091
0.005158199,0.0,313995.63636363635,4463,1.6136363636363635,-27.385138218663123,0.31450534,74.73737109702073,10866.885069608688,0.005158199,27.363636363636363,76.6590909090909,1.3863636363636365,41.67421843983222,0.0048245667,58.32578156016779,489825,-134.11363636363637
0.0050040893,0.0,312275.47826086957,4509,1.4782608695652173,-27.228211885018446,0.30610472,74.35938124795871,10983.443380117416,0.0050040893,27.76086956521739,76.23913043478261,1.5217391304347827,42.60818191959604,0.004090996,57.39181808040396,499981,-131.34782608695653
0.0054337927,0.0,313480.5333333333,4554,1.1777777777777778,-27.23312436062668,0.33627617,74.63694688213722,11099.347354888916,0.0054337927,27.466666666666665,76.53333333333333,1.8222222222222222,42.92896652033544,0.005111762,57.071033479664585,509780,-130.93333333333334
0.0036498993,0.0,313970.9387755102,4603,0.9591836734693877,-26.632661155868213,0.3152409,74.73617481843273,11216.838683366776,0.0036498993,27.367346938775512,76.65306122448979,2.0408163265306123,43.217536270557986,0.0033184814,56.782463729442036,519979,-130.71428571428572
0.004275306,0.0,311466.6666666667,4651,0.625,-27.018338974751874,0.3027276,74.16059377132764,11338.638392686844,0.004275306,27.979166666666668,76.04166666666667,2.375,41.63419326315156,0.0038745387,58.365806736848434,529841,-133.375
0.0033941928,0.0,312898.7826086957,4697,1.5,-26.140238775829452,0.3050181,74.47528029534469,11456.489348649979,0.0033941928,27.652173913043477,76.3913043478261,1.5,44.42193310944043,0.0024801819,55.578066890559555,539978,-127.30434782608695
0.0053544003,0.0,309111.4666666667,4742,1.3777777777777778,-25.069015407810337,0.28904438,73.62375903227304,11571.740580797195,0.0053544003,28.555555555555557,75.46666666666667,1.6222222222222222,46.21157388433262,0.0053598224,53.788426115667384,549873,-121.93333333333334
0.0046362956,0.0,310365.0909090909,4786,2.090909090909091,-25.556215931548824,0.32909375,73.90956459686309,11687.697551727295,0.0046362956,28.25,75.77272727272727,0.9090909090909091,44.820051792102426,0.005521395,55.17994820789756,559945,-125.45454545454545
0.0052338126,0.0,315671.2727272727,4830,1.4772727272727273,-27.354161846300123,0.35012996,75.11980718707144,11800.73164486885,0.0052338126,26.954545454545453,77.06818181818181,1.5227272727272727,41.49802220810831,0.004981969,58.5019777918917,569846,-135.47727272727272
0.0053376323,0.0,309960.347826087,4876,1.326086956521739,-26.38206270766831,0.33747128,73.78995391966859,11913.308178186417,0.0053376323,28.391304347826086,75.67391304347827,1.673913043478261,44.092513756040994,0.005130265,55.907486243959006,579959,-126.97826086956522
0.0040041413,0.0,316484.26666666666,4921,1.2444444444444445,-26.824190119713585,0.32133332,75.29422558121193,12027.450683355331,0.0040041413,26.77777777777778,77.26666666666667,1.7555555555555555,43.202520688131614,0.0036959085,56.79747931186837,589764,-131.8
0.004471163,0.0,310385.77777777775,4966,1.7777777777777777,-25.820525646890076,0.31989527,73.92810412531242,12139.871578454971,0.004471163,28.22222222222222,75.77777777777777,1.2222222222222223,43.87977222834191,0.004028056,56.12022777165809,599939,-127.6
0.004562215,0.0,316416.0,5010,1.7045454545454546,-27.205026937318188,0.33675197,75.28957416890957,12255.799458026886,0.004562215,26.772727272727273,77.25,1.2954545454545454,40.571005585130536,0.004999587,59.42899441486946,609832,-137.9318181818182
0.0043537067,0.0,314145.39130434784,5056,1.826086956521739,-26.3121797521762,0.3192196,74.7873303951784,12370.045622348785,0.0043537067,27.304347826086957,76.69565217391305,1.173913043478261,43.907639258268766,0.0043085027,56.092360741731234,619993,-129.1304347826087
0.0041745706,0.0,315665.06666666665,5101,1.3555555555555556,-26.978809508741946,0.32679987,75.13445462132334,12483.755313396454,0.0041745706,26.933333333333334,77.06666666666666,1.6444444444444444,43.68548328658189,0.0034208593,56.31451671341809,629921,-130.33333333333334
0.0040027597,0.0,315392.0,5148,1.872340425531915,-26.698936417281683,0.30594516,75.07238747869101,12595.489573001862,0.0040027597,27.0,77.0,1.127659574468085,44.349640940750014,0.0043980293,55.650359059249965,639948,-128.36170212765958
0.004348766,0.0,311933.15555555554,5193,1.288888888888889,-26.677965981620886,0.32027876,74.28169397817094,12710.836163282394,0.004348766,27.844444444444445,76.15555555555555,1.711111111111111,43.4970571875165,0.0032894288,56.502942812483504,649860,-129.26666666666668
0.0038621295,0.0,313116.44444444444,5238,1.3555555555555556,-26.139891091665113,0.29523608,74.55268105187967,12827.153606414795,0.0038621295,27.555555555555557,76.44444444444444,1.6444444444444444,44.79685999507902,0.0035567994,55.20314000492097,659795,-126.73333333333333
0.003953895,0.0,312115.2,5283,1.9111111111111112,-25.073617884782735,0.2995831,74.32543078279511,12941.314450740814,0.003953895,27.8,76.2,1.0888888888888888,46.253397210436155,0.0038103648,53.746602789563866,669764,-122.73333333333333
0.004007083,0.0,312115.2,5328,1.4,-25.92267410608419,0.3178117,74.30822730927675,13054.691397190094,0.004007083,27.822222222222223,76.2,1.6,44.360445642567655,0.00457169,55.63955435743233,679944,-127.46666666666667
0.0038418334,0.0,313165.9130434783,5374,1.2826086956521738,-26.15910208601671,0.2948378,74.55098282612865,13170.164392232895,0.0038418334,27.565217391304348,76.45652173913044,1.7173913043478262,44.98769932934922,0.0041365963,55.01230067065076,689929,-126.26086956521739
0.0041672443,0.0,313076.8695652174,5420,1.2826086956521738,-26.552048546229777,0.27951106,74.54372123804539,13288.036653518677,0.0041672443,27.565217391304348,76.43478260869566,1.7173913043478262,43.949467336889015,0.004494459,56.050532663111014,699823,-128.54347826086956
0.0033228474,0.0,309620.36363636365,5464,1.6818181818181819,-25.723764153377886,0.2942737,73.74016047993845,13400.498449802399,0.0033228474,28.431818181818183,75.5909090909091,1.3181818181818181,45.32017927847579,0.0034031407,54.679820721524216,709788,-124.22727272727273
0.0038417866,0.0,312024.1777777778,5509,1.5333333333333334,-26.03621919328852,0.3021799,74.28929557381876,13513.548359155655,0.0038417866,27.844444444444445,76.17777777777778,1.4666666666666666,45.2496385532206,0.0040793302,54.750361446779394,719879,-125.4
0.0043789907,0.0,313522.0869565217,5555,1.4565217391304348,-25.925530626382294,0.284819,74.6311944569878,13628.57723736763,0.0043789907,27.47826086956522,76.54347826086956,1.5434782608695652,44.77076736869364,0.004514837,55.22923263130636,729915,-126.71739130434783
