TtR,Tmt,Tbt,MpbtA,optimgain,entropy,surrgain,meankl,EpisodesSoFar,MtR,Ptt,MpbtN,entloss,Tmc,AttC,TimestepsSoFar,AttNC,TimeElapsed
-172.95081967213116,61.704918032786885,252743.34426229508,72.10967430877645,0.0019973703,0.42315212,0.0019973703,0.0052732336,2953,-11.786027617830717,60.094362735661846,27.89032569122354,0.0,43.31147540983606,5.19672131147541,229949,4.80327868852459,7059.831076860428
-166.93548387096774,60.66129032258065,248468.64516129033,72.6231057024209,0.0015031116,0.4063117,0.0015031116,0.0073290574,3015,-11.348726463318327,59.10434716598558,27.37689429757909,0.0,44.37096774193548,6.645161290322581,239964,3.3548387096774195,7210.374718904495
-146.09375,58.8125,240896.0,75.24285499092638,0.0012109631,0.40286663,0.0012109631,0.0052402653,3079,-10.31681986486936,57.35438375395208,24.75714500907361,0.0,46.234375,6.171875,249946,3.828125,7363.298074960709
-178.5,62.05,254156.8,71.46197241836394,0.001126994,0.40639535,0.001126994,0.0054365383,3139,-11.521994473214923,60.427130987470875,28.538027581636058,0.0,42.95,7.033333333333333,259996,2.966666666666667,7511.986666917801
-164.0983606557377,59.83606557377049,245088.52459016393,72.58717757820133,0.0014344464,0.42630225,0.0014344464,0.00839558,3200,-11.286693981719216,58.32761451833085,27.41282242179867,0.0,45.19672131147541,5.098360655737705,269873,4.901639344262295,7660.407679796219
-194.19354838709677,62.806451612903224,257255.2258064516,69.29662097218669,0.0016723709,0.41387907,0.0016723709,0.0064665037,3262,-12.55382293792419,61.15917715060785,30.703379027813277,0.0,42.16129032258065,7.725806451612903,279898,2.274193548387097,7810.575773000717
-159.04761904761904,59.12698412698413,242184.12698412698,73.106473266004,0.0019904212,0.4426223,0.0019904212,0.011651668,3325,-11.218512350498623,57.640619125557556,26.893526733995998,0.0,45.93650793650794,4.873015873015873,289868,5.126984126984127,7961.825586557388
-268.1666666666667,64.51666666666667,264260.26666666666,58.85907063778431,0.0014555908,0.4521476,0.0014555908,0.0077401097,3385,-16.392301829010833,62.76510347574274,41.14092936221569,0.0,40.45,8.833333333333334,299916,1.1666666666666667,8112.4117732048035
-147.3846153846154,58.49230769230769,239584.4923076923,74.85437541520395,0.001070138,0.32679507,0.001070138,0.0058291084,3450,-10.440988098760066,57.01929335214303,25.14562458479603,0.0,46.61538461538461,4.076923076923077,309861,5.923076923076923,8268.65893483162
-154.375,60.078125,246080.0,74.29787771155573,0.0010080631,0.35850534,0.0010080631,0.005681703,3514,-11.229357080674827,58.560661294012675,25.7021222884443,0.0,44.9375,3.78125,319960,6.21875,8428.047440767288
-167.09677419354838,60.33870967741935,247147.35483870967,72.40672766085397,0.0012497039,0.39801976,0.0012497039,0.006174965,3576,-11.4014237205213,58.80710069980919,27.593272339146015,0.0,44.67741935483871,5.67741935483871,329938,4.32258064516129,8581.351006746292
-147.8125,57.984375,237504.0,74.5864880448125,0.0008981378,0.35195318,0.0008981378,0.00403473,3640,-10.275864415181221,56.55754404714815,25.413511955187488,0.0,47.09375,5.046875,339896,4.953125,8735.118134260178
-141.40625,58.25,238592.0,75.69793129183924,0.0015407935,0.3862687,0.0015407935,0.007613164,3704,-10.35382367845439,56.7976569954562,24.302068708160775,0.0,46.84375,4.03125,349850,5.96875,8893.179826259613
-186.33333333333334,61.1,250265.6,69.69158691595024,0.0012235278,0.42065644,0.0012235278,0.0060895616,3764,-12.00082906542871,59.526233869563406,30.308413084049768,0.0,43.916666666666664,6.75,359938,3.25,9043.14315032959
-144.28571428571428,58.84126984126984,241013.84126984127,75.59991891542741,0.0015330951,0.40880844,0.0015330951,0.014039265,3827,-10.223110432375579,57.37903339728806,24.40008108457258,0.0,46.20634920634921,4.238095238095238,369997,5.761904761904762,9207.550868988037
-192.03389830508473,62.355932203389834,255409.89830508476,69.42796019360146,0.0018687784,0.39902845,0.0018687784,0.007131248,3886,-12.423851653909749,60.735244962913825,30.572039806398553,0.0,42.610169491525426,7.084745762711864,380000,2.9152542372881354,9352.649923563004
-134.28571428571428,57.20634920634921,234317.20634920636,76.57612559083442,0.0015370117,0.38724852,0.0015370117,0.0075644273,3949,-9.833842974603053,55.81989313101381,23.423874409165574,0.0,47.87301587301587,4.73015873015873,389829,5.26984126984127,9510.118212461472
-183.83333333333334,60.65,248422.4,69.82295371040429,0.0008693323,0.42584696,0.0008693323,0.0029140546,4009,-11.952842699354758,59.09076345594438,30.17704628959571,0.0,44.38333333333333,7.35,399826,2.65,9657.86064696312
-152.45901639344262,58.114754098360656,238038.03278688525,73.98441043142854,0.0022295816,0.3572635,0.0022295816,0.010358349,4070,-10.184945586732344,56.691875854030854,26.01558956857146,0.0,46.9344262295082,6.688524590163935,409865,3.3114754098360657,9807.291899681091
-137.07692307692307,57.63076923076923,236055.63076923077,76.17343667923913,0.002275297,0.3543687,0.002275297,0.010052015,4135,-10.19619788524131,56.200000589052415,23.82656332076085,0.0,47.49230769230769,2.3076923076923075,419909,7.6923076923076925,9967.994811058044
