entropy,TimestepsSoFar,TimeElapsed,AttC,meankl,TtR,MtR,AttNC,Tmt,entloss,Tmc,Tbt,Ptt,surrgain,MpbtN,MpbtA,EpisodesSoFar,optimgain
0.21123457,469883,13589.340412139893,0.1794871794871795,0.0033424057,-70.12820512820512,-39.47247072174718,0.8205128205128205,82.6923076923077,0.0,21.256410256410255,338707.6923076923,80.41172052197288,0.0024698963,84.806518948585,15.193481051415015,5163,0.0024698963
0.21943851,479807,13698.792859315872,0.25,0.0046441313,-69.88888888888889,-38.49665160753975,0.75,82.11111111111111,0.0,21.805555555555557,336327.1111111111,79.89121556051771,0.0046371184,85.05937550320697,14.940624496793014,5199,0.0046371184
0.20141403,489805,13805.604952573776,0.1891891891891892,0.0030677512,-70.62162162162163,-38.471808122253314,0.8108108108108109,82.51351351351352,0.0,21.45945945945946,337975.35135135136,80.2244062665819,0.0037022843,85.57579053978698,14.424209460213017,5236,0.0037022843
0.24477075,499854,13914.863367557526,0.05263157894736842,0.0051189945,-72.21052631578948,-40.81127032431834,0.9473684210526315,84.0,0.0,19.894736842105264,344064.0,81.66808337595572,0.0063144555,85.92912847759318,14.070871522406819,5274,0.0063144555
0.24403955,509812,14021.907202720642,0.24324324324324326,0.0044086603,-70.02702702702703,-39.06076642752109,0.7567567567567568,82.4054054054054,0.0,21.56756756756757,337532.54054054053,80.12395578639754,0.0042694067,84.97077973940335,15.029220260596654,5311,0.0042694067
0.2308963,519896,14130.332258224487,0.2631578947368421,0.005118656,-69.94736842105263,-38.73471075458468,0.7368421052631579,82.65789473684211,0.0,21.31578947368421,338566.7368421053,80.35816746056082,0.0048856414,84.60308978828903,15.39691021171098,5349,0.0048856414
0.26216045,529870,14235.409911632538,0.05405405405405406,0.0045696707,-70.70270270270271,-39.644775302072354,0.9459459459459459,82.91891891891892,0.0,21.0,339635.8918918919,80.64426143957141,0.0051019667,85.29429289712704,14.705707102872962,5386,0.0051019667
0.3144313,539993,14340.869087457657,0.10526315789473684,0.008562135,-67.6842105263158,-37.34363823136134,0.8947368421052632,82.6842105263158,0.0,21.236842105263158,338674.5263157895,80.42389512673617,0.008923093,81.84200355542951,18.157996444570486,5424,0.008923093
0.23536928,549866,14463.969742536545,0.3488372093023256,0.0062925266,-69.11627906976744,-40.78490076538588,0.6511627906976745,82.4186046511628,0.0,21.558139534883722,337586.6046511628,80.1350980356588,0.0076938234,83.83423726552648,16.1657627344735,5467,0.0076938234
0.2593107,559953,14574.540756702423,0.38461538461538464,0.0045869905,-67.82051282051282,-37.668547863011504,0.6153846153846154,82.05128205128206,0.0,21.923076923076923,336082.0512820513,79.79488168462974,0.0046521393,82.65725969426273,17.342740305737266,5506,0.0046521393
0.25189894,569915,14692.019631147385,0.2682926829268293,0.0054588495,-68.3170731707317,-39.48263489942131,0.7317073170731707,81.8780487804878,0.0,22.097560975609756,335372.48780487804,79.63233301075668,0.0059280014,83.44515200585867,16.55484799414133,5547,0.0059280014
0.24268799,579898,14801.499403715134,0.24324324324324326,0.0050903875,-67.1891891891892,-37.10330341947448,0.7567567567567568,81.72972972972973,0.0,22.243243243243242,334764.97297297296,79.49655513840162,0.0049747336,82.17632635179248,17.82367364820754,5584,0.0049747336
0.21500583,589966,14917.6232919693,0.3170731707317073,0.005745395,-69.51219512195122,-38.96970704189579,0.6829268292682927,82.78048780487805,0.0,21.146341463414632,339068.8780487805,80.50848536008493,0.0066524567,83.95553620700288,16.044463792997114,5625,0.0066524567
0.25572804,599816,15026.075959205627,0.13513513513513514,0.0052976394,-68.8108108108108,-38.74839778848461,0.8648648648648649,82.67567567567568,0.0,21.27027027027027,338639.5675675676,80.39660702747207,0.005207615,83.21954564163511,16.780454358364914,5662,0.005207615
0.23977329,609923,15136.748299360275,0.45,0.0047200685,-66.875,-37.053460364888636,0.55,82.15,0.0,21.85,336486.4,79.86697493744411,0.0037370746,81.4156712702872,18.584328729712812,5702,0.0037370746
0.22322603,619982,15246.980809211731,0.28205128205128205,0.0047858427,-67.92307692307692,-38.63635725201711,0.717948717948718,82.46153846153847,0.0,21.53846153846154,337762.46153846156,80.15742385095818,0.004083728,82.35440983013142,17.645590169868594,5741,0.004083728
0.27143943,629748,15353.68502497673,0.34210526315789475,0.0038464942,-67.86842105263158,-38.500616703689026,0.6578947368421053,83.23684210526316,0.0,20.763157894736842,340938.1052631579,80.87715446758989,0.004345784,81.54120516643185,18.458794833568152,5779,0.004345784
0.24857888,639917,15462.58010149002,0.4,0.0056089484,-68.0,-38.36725296406662,0.6,83.05,0.0,20.925,340172.8,80.72226657408328,0.005811137,81.8419538903278,18.158046109672227,5819,0.005811137
0.23748963,649991,15575.828776359558,0.3076923076923077,0.004246063,-67.82051282051282,-38.70074547389295,0.6923076923076923,81.56410256410257,0.0,22.41025641025641,334086.5641025641,79.34178741038932,0.0049802535,83.10572583816301,16.89427416183699,5858,0.0049802535
0.2724272,659837,15686.098539352417,0.2972972972972973,0.003402106,-66.91891891891892,-37.36064781186576,0.7027027027027027,81.45945945945945,0.0,22.54054054054054,333657.9459459459,79.22413390313118,0.00550228,82.12434123045354,17.875658769546476,5895,0.00550228
0.22372636,669771,15800.750983715057,0.275,0.00576379,-67.35,-39.008238331178354,0.725,82.45,0.0,21.5,337715.2,80.18575215778768,0.0064667542,81.65211080637678,18.347889193623196,5935,0.0064667542
0.23323785,679765,15913.316243886948,0.39473684210526316,0.0037382683,-67.13157894736842,-37.363302089372084,0.6052631578947368,81.65789473684211,0.0,22.31578947368421,334470.7368421053,79.42723848220061,0.0045286515,82.19996239950717,17.80003760049279,5973,0.0045286515
0.24091724,689879,16026.794539928436,0.18421052631578946,0.006419862,-68.13157894736842,-38.46604401964343,0.8157894736842105,82.1842105263158,0.0,21.736842105263158,336626.5263157895,79.95876707417344,0.009296624,82.89562545665399,17.104374543346015,6011,0.009296624
0.24495423,699935,16135.83093881607,0.16216216216216217,0.005303488,-66.72972972972973,-37.32704437008348,0.8378378378378378,81.91891891891892,0.0,22.054054054054053,335539.8918918919,79.67109575518704,0.0055088317,81.47416692414932,18.525833075850656,6048,0.0055088317
0.22439648,709992,16247.52803659439,0.2894736842105263,0.0032673278,-68.28947368421052,-38.13500191439375,0.7105263157894737,82.15789473684211,0.0,21.81578947368421,336518.7368421053,79.89277391836039,0.00373835,83.08413372965474,16.915866270345266,6086,0.00373835
0.26785815,719752,16354.96896648407,0.08108108108108109,0.005881016,-69.56756756756756,-39.52138008033452,0.918918918918919,82.91891891891892,0.0,21.054054054054053,339635.8918918919,80.60310975537398,0.006236687,83.86617315350773,16.13382684649227,6123,0.006236687
0.24310532,729992,16465.4220328331,0.1282051282051282,0.004342846,-67.71794871794872,-38.05362078059086,0.8717948717948718,82.3076923076923,0.0,21.641025641025642,337132.3076923077,80.05292687289287,0.0062375334,82.25598565913428,17.7440143408657,6162,0.0062375334
0.20930761,739947,16577.560892105103,0.1282051282051282,0.0056921933,-68.82051282051282,-39.89079819589594,0.8717948717948718,83.02564102564102,0.0,20.94871794871795,340073.0256410256,80.70014416197773,0.007156726,82.83625310279679,17.16374689720322,6201,0.007156726
0.2348993,749898,16684.58089375496,0.05555555555555555,0.0069113527,-67.0,-36.888712597188366,0.9444444444444444,81.83333333333333,0.0,22.166666666666668,335189.3333333333,79.5717591559122,0.0074176057,81.88410095513285,18.11589904486716,6237,0.0074176057
