TimeElapsed,meankl,surrgain,TimestepsSoFar,optimgain,entloss,EpisodesSoFar,TtR,MtR,entropy,AttNC,AttC,Fce
16972.135308265686,0.010174781,0.00051276747,499755,0.00051276747,0.0,2537,2495.5,142.67499514941247,0.4197665,10.0,0.0,0.9982000000000001
17270.483469963074,0.010174781,0.0001910178,509764,0.0001910178,0.0,2578,2439.0243902439024,139.43976752606636,0.32217386,9.75609756097561,0.24390243902439024,0.986059620596206
17577.630568742752,0.010174781,0.00031765085,519764,0.00031765085,0.0,2618,2499.0,142.80372532325106,0.22458312,10.0,0.0,0.9995999999999998
17890.949694871902,0.008933196,0.00015362343,529764,0.00015362343,0.0,2658,2500.0,142.8784238871937,0.322174,10.0,0.0,1.0
18186.370933294296,0.008933102,0.00019055587,539764,0.00019055587,0.0,2698,2498.75,142.7982482600856,0.4197665,10.0,0.0,0.9995
18531.800312042236,0.00893351,0.00030618988,549764,0.00030618988,0.0,2738,2497.75,142.73458864186324,0.51735663,10.0,0.0,0.9991
18824.138454437256,0.008933196,4.8223646e-05,559771,4.8223646e-05,0.0,2779,2434.878048780488,139.12383773971993,0.6149372,9.75609756097561,0.24390243902439024,0.9773379790940765
19124.155988931656,0.01017476,0.0002797054,569771,0.0002797054,0.0,2819,2484.0,141.96649999552886,0.51735663,10.0,0.0,0.9936
19419.177191734314,0.010174871,5.156937e-06,579774,5.156937e-06,0.0,2860,2435.609756097561,139.19905041258593,0.4197665,9.75609756097561,0.24390243902439024,0.9822764227642278
19760.93191933632,0.010174863,0.00044563273,589774,0.00044563273,0.0,2900,2498.5,142.79284810335042,0.32217386,10.0,0.0,0.9994
20054.277935743332,0.008933102,0.00028228635,599785,0.00028228635,0.0,2941,2439.512195121951,139.4518310890815,0.41976637,9.75609756097561,0.24390243902439024,0.9842838137472284
20363.6474275589,0.008933204,0.00021428887,609785,0.00021428887,0.0,2981,2497.0,142.7060716729302,0.51735544,10.0,0.0,0.9987999999999998
20675.652302265167,0.008933204,0.00019004391,619785,0.00019004391,0.0,3021,2494.5,142.57406382561058,0.61493695,10.0,0.0,0.9977999999999998
20975.911173820496,0.008933204,0.00022234429,629785,0.00022234429,0.0,3061,2491.5,142.40181241895365,0.71252966,10.0,0.0,0.9965999999999999
21277.910233020782,0.010174781,0.0001571373,639803,0.0001571373,0.0,3103,2356.6666666666665,134.77044469475362,0.61493695,9.523809523809524,0.47619047619047616,0.9501269841269837
21565.83141875267,0.010174863,0.00021570738,649841,0.00021570738,0.0,3145,2370.2380952380954,135.61329413160266,0.51735544,9.523809523809524,0.47619047619047616,0.9596507936507935
21858.07677602768,0.008933196,0.00048403218,659841,0.00048403218,0.0,3185,2496.5,142.6738392344351,0.61493695,10.0,0.0,0.9985999999999999
22220.24200963974,9.298325e-06,3.4637452e-08,669848,3.4637452e-08,0.0,3226,2427.560975609756,138.796287797266,0.6179875,9.75609756097561,0.24390243902439024,0.9845714285714285
22541.669362068176,0.008933196,0.00024626384,679848,0.00024626384,0.0,3266,2486.75,142.11761240431386,0.7155776,10.0,0.0,0.9946999999999997
22864.35826063156,0.01017476,0.0006194934,689884,0.0006194934,0.0,3308,2353.3333333333335,134.72787813405498,0.6179875,9.5,0.5,0.9540737327188938
23154.277230262756,0.008933416,2.5664673e-05,699884,2.5664673e-05,0.0,3348,2491.75,142.43039847462836,0.71557784,10.0,0.0,0.9967
23442.766254901886,0.010174781,0.0002915607,709947,0.0002915607,0.0,3393,2201.5555555555557,125.98248076559408,0.6179875,8.88888888888889,1.1111111111111112,0.9023015098722416
23741.890756368637,0.008933204,4.4590283e-06,719982,4.4590283e-06,0.0,3434,2429.756097560976,138.9606384072465,0.7155776,9.75609756097561,0.24390243902439024,0.9790940766550525
24095.91121816635,0.010174751,0.0003380306,729982,0.0003380306,0.0,3474,2465.75,140.9200053003193,0.6179875,9.975,0.025,0.9863
24431.21970486641,0.010174863,0.00030883343,739991,0.00030883343,0.0,3515,2427.317073170732,138.79235524799648,0.52040666,9.75609756097561,0.24390243902439024,0.9813766937669377
24756.501289367676,0.008933204,6.606856e-05,749991,6.606856e-05,0.0,3555,2490.5,142.33878396534988,0.6179875,10.0,0.0,0.9962
