entloss,TimestepsSoFar,TtR,TimeElapsed,EpisodesSoFar,meankl,Fce,AttC,entropy,optimgain,MtR,surrgain,AttNC
0.0,1189970,407.8048780487805,11111.181418657303,4871,0.010174751,0.16573441734417338,6.804878048780488,4.343501,2.0370483e-07,23.42608588105808,2.0370483e-07,3.1951219512195124
0.0,1199981,400.9756097560976,11186.280299663544,4912,0.008933204,0.162509977827051,6.512195121951219,4.4410944,3.161621e-07,23.074491180802003,3.161621e-07,3.4878048780487805
0.0,1209754,414.5,11259.761066913605,4952,0.008933102,0.16876086956521738,6.325,4.5386305,3.0334473e-07,24.105621529309456,3.0334473e-07,3.675
0.0,1219777,415.3658536585366,11332.799051046371,4993,0.008933102,0.16999787910922587,6.414634146341464,4.636232,1.2569427e-07,24.097377343464277,1.2569427e-07,3.5853658536585367
0.0,1229885,379.54545454545456,11407.15160536766,5037,0.010174781,0.16475238051708635,6.204545454545454,4.5386305,1.4907837e-07,22.263922125805294,1.4907837e-07,3.7954545454545454
0.0,1239917,403.8095238095238,11480.220618247986,5079,0.008933204,0.16581325863678806,6.642857142857143,4.636232,5.569458e-08,23.063888920332243,5.569458e-08,3.357142857142857
0.0,1249965,353.6363636363636,11555.77097773552,5123,0.008933102,0.14220538720538722,7.090909090909091,4.7338705,1.1276245e-07,20.11443529746554,1.1276245e-07,2.909090909090909
0.0,1259988,390.9756097560976,11630.911554336548,5164,0.010175116,0.15831601272534465,6.951219512195122,4.636232,1.663971e-07,22.381670179850325,1.663971e-07,3.048780487804878
0.0,1269752,403.1707317073171,11704.672313928604,5205,0.010174781,0.16604878048780486,6.926829268292683,4.5386305,1.4404297e-07,23.471081900076754,1.4404297e-07,3.073170731707317
0.0,1279752,409.25,11779.185406684875,5245,0.008933204,0.16370000000000004,6.35,4.636232,7.112122e-07,23.466699555309898,7.112122e-07,3.65
0.0,1289791,419.2682926829268,11854.59311079979,5286,0.008933196,0.17192995622263915,6.2439024390243905,4.7338705,5.825806e-07,24.272502856184076,5.825806e-07,3.7560975609756095
0.0,1299791,408.5,11930.456045389175,5326,0.008933204,0.16340000000000002,6.65,4.8314767,3.7719727e-07,23.22716601618479,3.7719727e-07,3.35
0.0,1309840,426.0975609756098,12009.165093421936,5367,0.010174863,0.17284021901443505,6.048780487804878,4.7338705,1.9607543e-07,24.59220143760641,1.9607543e-07,3.951219512195122
0.0,1319889,383.25581395348837,12084.584587812424,5410,0.008933196,0.16040310077519382,6.651162790697675,4.8314767,6.1950686e-08,22.0966090681821,6.1950686e-08,3.3488372093023258
0.0,1329903,386.6666666666667,12163.862196445465,5452,0.01017476,0.16655026455026456,7.166666666666667,4.7338705,9.674072e-08,22.174219687485774,9.674072e-08,2.8333333333333335
0.0,1339937,407.85714285714283,12237.232698440552,5494,0.008933102,0.16575350140056025,6.904761904761905,4.8314767,4.397583e-07,23.67672340945722,4.397583e-07,3.0952380952380953
0.0,1349952,401.9512195121951,12316.469840049744,5535,0.01017476,0.16230894308943092,6.560975609756097,4.7338705,9.6130375e-09,23.0336437397489,9.6130375e-09,3.4390243902439024
0.0,1359991,354.8837209302326,12392.348017215729,5578,0.010174863,0.14958484065460811,7.069767441860465,4.636232,1.7044067e-07,20.23611721581418,1.7044067e-07,2.9302325581395348
0.0,1369763,373.9024390243902,12472.974529743195,5619,0.008933204,0.1521734417344173,6.853658536585366,4.7338705,1.6036988e-07,21.407506120537636,1.6036988e-07,3.1463414634146343
0.0,1379834,383.1707317073171,12549.36512684822,5660,0.008933204,0.1552360013740983,7.2682926829268295,4.8314767,4.9072264e-07,21.96096911116449,4.9072264e-07,2.731707317073171
0.0,1389834,406.25,12627.150201797485,5700,0.008933204,0.1625,6.725,4.9289713,1.4953613e-08,23.63597478757137,1.4953613e-08,3.275
