MpbtN,MpbtA,Tmc,EpisodesSoFar,surrgain,MtR,TtR,Ptt,Tbt,entropy,TimestepsSoFar,AttC,AttNC,optimgain,TimeElapsed,meankl,Tmt,entloss
28.03596070108399,71.96403929891602,47.5,27414,0.0014611298,-11.495149167768774,-161.25,56.1795705063526,235904.0,0.20664637,4089900,5.203125,4.796875,0.0014611298,65799.8522157669,0.0049857893,57.59375,0.0
25.604108096927376,74.3958919030726,46.828125,27478,0.002134175,-10.551666938524843,-149.21875,56.80105688434835,238528.0,0.19957957,4099929,5.703125,4.296875,0.002134175,65940.54321169853,0.010237484,58.234375,0.0
26.55797971208922,73.4420202879108,48.390625,27542,0.0015742831,-10.753876141493082,-150.78125,55.36609569611111,232512.0,0.20332746,4109903,4.84375,5.15625,0.0015742831,66085.3383500576,0.009940018,56.765625,0.0
24.399491481030918,75.6005085189691,48.42424242424242,27608,0.0013741504,-9.715676432363814,-138.4848484848485,55.3110609050175,232168.72727272726,0.2101084,4119993,4.818181818181818,5.181818181818182,0.0013741504,66219.27485728264,0.008334014,56.68181818181818,0.0
28.581848096588914,71.41815190341111,47.285714285714285,27671,0.0015534329,-11.071765127982005,-165.0793650793651,56.38100176471434,236787.80952380953,0.17662668,4129947,6.603174603174603,3.3968253968253967,0.0015534329,66353.60969042778,0.008590518,57.80952380952381,0.0
23.93787685077684,76.0621231492232,49.40625,27735,0.002064305,-9.454495292026603,-133.59375,54.442397117592165,228672.0,0.20764486,4139865,4.015625,5.984375,0.002064305,66492.08284902573,0.010073671,55.828125,0.0
25.67344878425779,74.32655121574221,48.93846153846154,27800,0.001623053,-10.217651628664683,-144.92307692307693,54.89088890636028,230636.3076923077,0.19629863,4149849,5.523076923076923,4.476923076923077,0.001623053,66628.50003910065,0.009408764,56.30769230769231,0.0
24.961917059693995,75.038082940306,48.01538461538462,27865,0.0011836841,-10.000767057359704,-142.46153846153845,55.68460787630713,233724.06153846154,0.18265523,4159970,5.1692307692307695,4.8307692307692305,0.0011836841,66760.7104215622,0.009344347,57.06153846153846,0.0
25.760975825332984,74.23902417466701,49.55384615384615,27930,0.001890802,-10.473825099527746,-144.0,54.26510689043268,227737.6,0.20433402,4169873,2.6769230769230767,7.323076923076923,0.001890802,66902.9576227665,0.009865374,55.6,0.0
24.781906634627155,75.21809336537284,48.261538461538464,27995,0.0016205155,-9.90540132089418,-140.46153846153845,55.47219323485047,232904.86153846153,0.20264477,4179998,4.569230769230769,5.430769230769231,0.0016205155,67041.13024711609,0.010112679,56.86153846153846,0.0
26.869766750857995,73.130233249142,47.8125,28059,0.0025736252,-10.719577098727441,-153.59375,55.905353091288106,234816.0,0.1891482,4189950,5.609375,4.390625,0.0025736252,67174.76714205742,0.0087277945,57.328125,0.0
26.132459498833004,73.867540501167,47.625,28123,0.0015658448,-10.51689613931963,-150.78125,56.04563416921434,235264.0,0.1991574,4199978,4.859375,5.140625,0.0015658448,67306.4657793045,0.0099752145,57.4375,0.0
25.006280301069474,74.99371969893055,47.69230769230769,28188,0.0015844946,-10.086931300695003,-143.69230769230768,56.00483157785744,235173.4153846154,0.19515571,4209964,4.3538461538461535,5.6461538461538465,0.0015844946,67436.25788807869,0.009527128,57.41538461538462,0.0
24.028542380164975,75.97145761983501,50.49230769230769,28253,0.001051001,-9.631708267146834,-131.07692307692307,53.4783762511172,224775.87692307692,0.16218919,4219902,4.846153846153846,5.153846153846154,0.001051001,67573.39045906067,0.008717849,54.87692307692308,0.0
25.614868052920933,74.38513194707906,49.25373134328358,28320,0.0011899468,-10.728852531881927,-143.28358208955223,54.55535665574553,229009.19402985074,0.18938157,4229913,1.8656716417910448,8.134328358208956,0.0011899468,67716.11575365067,0.00843866,55.91044776119403,0.0
24.610982398219445,75.38901760178057,49.03030303030303,28386,0.0017166632,-9.958914651932922,-138.33333333333334,54.78121500981511,230058.66666666666,0.21166621,4239879,2.3636363636363638,7.636363636363637,0.0017166632,67850.7373995781,0.0102589615,56.166666666666664,0.0
