Tmt,MtR,surrgain,EpisodesSoFar,Ptt,meankl,optimgain,AttNC,entloss,TtR,Tmc,TimeElapsed,TimestepsSoFar,Tbt,AttC,entropy,MpbtA,MpbtN
59.68333333333333,-11.757978599984007,0.002820664,18733,58.178115572199886,0.003690053,0.002820664,2.966666666666667,0.0,-174.5,45.35,50069.085451841354,2859914,244462.93333333332,7.033333333333333,0.25602502,70.8463375842117,29.15366241578829
58.950819672131146,-11.540252006848744,0.0032381169,18794,57.456195886106464,0.0036623147,0.0032381169,3.2131147540983607,0.0,-169.8360655737705,46.14754098360656,50227.71271252632,2869855,241462.55737704918,6.786885245901639,0.26196262,71.22821089606757,28.771789103932438
58.68852459016394,-10.798600184086073,0.002570507,18855,57.220070450755465,0.0038309684,0.002570507,3.442622950819672,0.0,-156.88524590163934,46.39344262295082,50379.40723204613,2879920,240388.19672131148,6.557377049180328,0.24627078,73.28079622639083,26.719203773609127
57.935483870967744,-11.177220034953672,0.0027721012,18917,56.50020476829403,0.0038289123,0.0027721012,4.032258064516129,0.0,-158.06451612903226,47.16129032258065,50544.91855311394,2889880,237303.74193548388,5.967741935483871,0.25310335,72.74857575489658,27.25142424510341
58.145161290322584,-11.300854049028265,0.0034372876,18979,56.69850779000026,0.0048144776,0.0034372876,4.193548387096774,0.0,-160.48387096774192,46.95161290322581,50701.08974146843,2899969,238162.5806451613,5.806451612903226,0.2668375,72.41066227625741,27.589337723742588
57.91803278688525,-11.292665319853176,0.002686867,19040,56.49966194160986,0.0039536036,0.002686867,3.7049180327868854,0.0,-160.1639344262295,47.14754098360656,50859.570116996765,2909815,237232.26229508198,6.295081967213115,0.2739341,72.35893452065407,27.64106547934594
58.725806451612904,-11.455705018203457,0.002370258,19102,57.23614109130772,0.0038855553,0.002370258,3.4838709677419355,0.0,-167.41935483870967,46.38709677419355,51025.97675347328,2919918,240540.90322580645,6.516129032258065,0.2579949,71.54062125807273,28.459378741927257
59.049180327868854,-10.789363086611372,0.0029288938,19163,57.55774092181198,0.004189819,0.0029288938,3.2131147540983607,0.0,-158.36065573770492,46.032786885245905,51176.259335279465,2929858,241865.44262295082,6.786885245901639,0.25499198,73.23287949048905,26.767120509510967
57.75806451612903,-10.753483285967027,0.0026823464,19225,56.32431832963761,0.0035542676,0.0026823464,3.6774193548387095,0.0,-152.41935483870967,47.354838709677416,51340.13701868057,2939888,236577.03225806452,6.32258064516129,0.2636936,73.67030824953774,26.329691750462267
59.16393442622951,-11.308408655436589,0.0026699505,19286,57.67433726998256,0.004030534,0.0026699505,3.081967213114754,0.0,-169.34426229508196,45.90163934426229,51491.50120639801,2949980,242335.47540983607,6.918032786885246,0.25003406,71.58613868057616,28.413861319423823
58.53333333333333,-11.05699452637857,0.0033926917,19346,57.08794831055045,0.0038102176,0.0033926917,3.066666666666667,0.0,-162.0,46.516666666666666,51648.21692967415,2959903,239752.53333333333,6.933333333333334,0.25154454,72.61573207312205,27.384267926877936
58.79032258064516,-10.944081769475453,0.0035899032,19408,57.33967950309167,0.0044278223,0.0035899032,3.306451612903226,0.0,-158.38709677419354,46.24193548387097,51800.61519694328,2969844,240805.16129032258,6.693548387096774,0.2574266,73.00788992081372,26.99211007918629
59.354838709677416,-10.809660379939482,0.0024998959,19470,57.86401622622391,0.0036598134,0.0024998959,3.0483870967741935,0.0,-158.06451612903226,45.693548387096776,51956.97523379326,2979991,243117.4193548387,6.951612903225806,0.2500363,73.46488184947903,26.535118150520972
58.9,-10.872890938366428,0.0031335682,19530,57.43248127492485,0.0042070867,0.0031335682,3.65,0.0,-160.0,46.15,52109.3256623745,2989882,241254.4,6.35,0.23790488,73.08029394467204,26.919706055327982
58.596774193548384,-10.525483007547521,0.0037166497,19592,57.14829406670277,0.0049924403,0.0037166497,3.370967741935484,0.0,-150.6451612903226,46.45161290322581,52272.37149524689,2999928,240012.38709677418,6.629032258064516,0.2641732,74.26943317837724,25.730566821622787
58.37096774193548,-11.061116857684658,0.0028049406,19654,56.907372078765896,0.003767556,0.0028049406,2.2419354838709675,0.0,-159.83870967741936,46.725806451612904,52423.22919631004,3009856,239087.48387096773,7.758064516129032,0.24890478,72.77954667137472,27.220453328625272
59.301587301587304,-11.98168571520023,0.0025525237,19717,57.801812701095365,0.0036211694,0.0025525237,2.3492063492063493,0.0,-177.3015873015873,45.76190476190476,52583.33744645119,3019928,242899.3015873016,7.650793650793651,0.25455165,70.22616860566897,29.773831394331022
59.26229508196721,-10.911458825966744,0.0027195278,19778,57.77646332996661,0.0032850464,0.0027195278,2.5737704918032787,0.0,-160.81967213114754,45.78688524590164,52740.869425058365,3029938,242738.3606557377,7.426229508196721,0.26249367,73.05863912752002,26.941360872479976
59.950819672131146,-12.90558999748333,0.002380463,19839,58.430193495224856,0.0034930962,0.002380463,2.2295081967213113,0.0,-197.70491803278688,45.08196721311475,52897.7352540493,3039979,245558.55737704918,7.770491803278689,0.24814618,67.38223369561665,32.61776630438336
59.0,-11.266540512223406,0.0028745194,19898,57.51660578604474,0.0034917407,0.0028745194,2.0677966101694913,0.0,-168.3050847457627,46.067796610169495,53053.044405698776,3049947,241664.0,7.932203389830509,0.2381163,71.69110498113047,28.30889501886951
59.25423728813559,-12.04625099298067,0.0018027294,19957,57.74861462562918,0.0026930724,0.0018027294,2.2033898305084745,0.0,-186.94915254237287,45.83050847457627,53206.24504470825,3059877,242705.35593220338,7.796610169491525,0.2310221,68.73097215918774,31.269027840812285
58.90163934426229,-11.406119617540263,0.0029080703,20018,57.418256206246525,0.0041508195,0.0029080703,2.7049180327868854,0.0,-168.68852459016392,46.18032786885246,53367.33497238159,3069990,241261.11475409835,7.295081967213115,0.23727368,71.52529028228119,28.474709717718852
59.24590163934426,-11.453129702031006,0.0031415543,20079,57.751454041219084,0.0038344543,0.0031415543,2.6065573770491803,0.0,-170.327868852459,45.81967213114754,53513.968314409256,3079949,242671.2131147541,7.39344262295082,0.24711624,71.40913920356188,28.590860796438132
59.08196721311475,-12.689120981767045,0.002118809,20140,57.59729455503448,0.0033060599,0.002118809,2.19672131147541,0.0,-191.9672131147541,45.98360655737705,53679.976066589355,3089862,241999.73770491802,7.80327868852459,0.22892739,67.91488600430064,32.085113995699345
59.53125,-12.587289797337089,0.0028224909,20204,58.03522200070333,0.0036548357,0.0028224909,2.8125,0.0,-186.5625,45.5,53832.09178137779,3099938,243840.0,7.1875,0.2665138,68.80979324302216,31.190206756977847
59.26984126984127,-12.126866088755778,0.004285195,20267,57.766313330848284,0.0032062312,0.004285195,3.1904761904761907,0.0,-175.3968253968254,45.80952380952381,53997.292405605316,3109950,242769.26984126985,6.809523809523809,0.25642607,70.71123667423389,29.28876332576611
59.0,-10.858428559460735,0.0024388104,20328,57.51092663723469,0.00292638,0.0024388104,3.081967213114754,0.0,-155.7377049180328,46.08196721311475,54149.362287282944,3119873,241664.0,6.918032786885246,0.25584468,73.69121744087815,26.308782559121845
59.5625,-13.28697418830685,0.0023665437,20392,58.04934699992502,0.0038025891,0.0023665437,2.15625,0.0,-201.25,45.5,54311.26366901398,3129999,243968.0,7.84375,0.23516716,66.69099567247717,33.30900432752283
58.983333333333334,-11.425545738871877,0.00225105,20452,57.5200933657349,0.0028256366,0.00225105,2.5166666666666666,0.0,-169.33333333333334,46.05,54456.59500980377,3139852,241595.73333333334,7.483333333333333,0.24079293,71.3525469731703,28.64745302682972
58.693548387096776,-11.297609923477431,0.0030046802,20514,57.25272880530294,0.0038769178,0.0030046802,2.693548387096774,0.0,-168.5483870967742,46.32258064516129,54612.21537780762,3149826,240408.7741935484,7.306451612903226,0.23705421,71.58924764636997,28.410752353630038
58.22950819672131,-11.097563698604745,0.0029715144,20575,56.800099480869505,0.0038981882,0.0029715144,2.901639344262295,0.0,-162.45901639344262,46.81967213114754,54763.51550364494,3159886,238508.0655737705,7.098360655737705,0.2521264,72.25194048490502,27.74805951509499
