Tmt,meankl,TimestepsSoFar,Tbt,EpisodesSoFar,MtR,entloss,AttNC,MpbtN,TimeElapsed,surrgain,AttC,MpbtA,optimgain,Tmc,TtR,entropy,Ptt
82.48717948717949,0.0059834113,1039755,337867.4871794872,7150,-39.28370251056308,0.0,0.717948717948718,82.89505080673423,21582.47966980934,0.0047834106,0.28205128205128205,17.10494919326577,0.0047834106,21.46153846153846,-68.41025641025641,0.23732437,80.22085970660791
83.07692307692308,0.0056435284,1049940,340283.07692307694,7189,-37.92848977337473,0.0,0.6410256410256411,81.94640521071885,21715.39559817314,0.005669658,0.358974358974359,18.05359478928116,0.005669658,20.871794871794872,-68.07692307692308,0.28289005,80.76782489834092
82.78571428571429,0.004998532,1059990,339090.28571428574,7231,-38.78799478417178,0.0,0.3333333333333333,82.02839262836419,21856.285457611084,0.0062934905,0.6666666666666666,17.97160737163582,0.0062934905,21.19047619047619,-67.9047619047619,0.25272006,80.47723006374582
83.53846153846153,0.0047820206,1069841,342173.53846153844,7270,-38.22597810690723,0.0,0.5897435897435898,82.18044706421135,21984.44812107086,0.004870471,0.41025641025641024,17.819552935788654,0.004870471,20.384615384615383,-68.66666666666667,0.26041886,81.21720479943657
83.07692307692308,0.005356967,1079763,340283.07692307694,7309,-38.28565408006545,0.0,0.6666666666666666,81.48116536595154,22120.49571943283,0.0054580956,0.3333333333333333,18.518834634048435,0.0054580956,20.871794871794872,-67.6923076923077,0.28906676,80.76704317975586
82.27906976744185,0.0054833884,1089776,337015.06976744183,7352,-40.30432906670687,0.0,0.5116279069767442,83.02578231789657,22263.696058273315,0.008120564,0.4883720930232558,16.974217682103415,0.008120564,21.697674418604652,-68.34883720930233,0.24318491,80.00465699264137
82.15384615384616,0.004394392,1099856,336502.1538461539,7391,-37.6918537132791,0.0,0.6923076923076923,80.62926788954415,22390.91191291809,0.005215535,0.3076923076923077,19.37073211045584,0.005215535,21.82051282051282,-66.25641025641026,0.25322673,79.89037729402402
82.3076923076923,0.0050824587,1109711,337132.3076923077,7430,-38.66328048550549,0.0,0.6410256410256411,82.99201032605525,22524.434619426727,0.0054854006,0.358974358974359,17.007989673944767,0.0054854006,21.641025641025642,-68.3076923076923,0.2253022,80.05262639354416
81.6842105263158,0.00326426,1119804,334578.5263157895,7468,-37.59049508348978,0.0,0.6052631578947368,82.7066192821506,22657.05373120308,0.0040639453,0.39473684210526316,17.29338071784941,0.0040639453,22.289473684210527,-67.55263157894737,0.25073388,79.45295088439114
82.9,0.005137873,1129865,339558.4,7508,-38.82040408321124,0.0,0.5,83.38240616167194,22787.31516647339,0.005491863,0.5,16.61759383832806,0.005491863,21.0,-69.125,0.2540131,80.64153338658397
82.8157894736842,0.0070902067,1139822,339213.4736842105,7546,-38.360397291277515,0.0,0.7105263157894737,82.6494638256875,22927.45688867569,0.0081597855,0.2894736842105263,17.350536174312495,0.0081597855,21.07894736842105,-68.47368421052632,0.28431937,80.56796344745091
82.4390243902439,0.00590872,1149984,337670.243902439,7587,-38.795790834934415,0.0,0.5365853658536586,82.4422470904516,23060.479153871536,0.004696277,0.4634146341463415,17.557752909548352,0.004696277,21.536585365853657,-67.97560975609755,0.27712917,80.1561251542433
82.2051282051282,0.006637517,1159896,336712.2051282051,7626,-37.73045393687642,0.0,0.4358974358974359,82.82061842309875,23194.827003002167,0.0046021948,0.5641025641025641,17.179381576901253,0.0046021948,21.71794871794872,-68.12820512820512,0.21237373,79.97543754291083
82.07692307692308,0.003767939,1169950,336187.07692307694,7665,-38.25177743961789,0.0,0.6923076923076923,82.38025570470371,23335.535037517548,0.003334603,0.3076923076923077,17.619744295296293,0.003334603,21.897435897435898,-67.58974358974359,0.2299083,79.81775735937467
82.29729729729729,0.0056909677,1179916,337089.7297297297,7702,-37.69336446406574,0.0,0.7837837837837838,82.64281337755169,23460.741981744766,0.005491693,0.21621621621621623,17.35718662244833,0.005491693,21.7027027027027,-68.0,0.26112866,80.00376614958667
81.71052631578948,0.003972027,1189884,334686.3157894737,7740,-37.212437308518254,0.0,0.4473684210526316,81.80416400867607,23599.62465119362,0.0034690765,0.5526315789473685,18.195835991323914,0.0034690765,22.289473684210527,-66.84210526315789,0.2328249,79.4578007972694
82.17948717948718,0.0041016326,1199740,336607.1794871795,7779,-38.70622813260893,0.0,0.46153846153846156,83.70784010696704,23737.347663879395,0.0046197386,0.5384615384615384,16.292159893032935,0.0046197386,21.82051282051282,-68.76923076923077,0.22511418,79.89420716663163
81.76923076923077,0.0039030747,1209992,334926.76923076925,7818,-37.45477594198665,0.0,0.6153846153846154,82.90828364579286,23865.06990623474,0.0035787788,0.38461538461538464,17.09171635420713,0.0035787788,22.205128205128204,-67.76923076923077,0.23395427,79.53266189166993
81.83783783783784,0.0049265707,1219848,335207.7837837838,7855,-37.33915028862517,0.0,0.7567567567567568,82.68935352459809,24006.354869365692,0.0053144987,0.24324324324324326,17.310646475401914,0.0053144987,22.135135135135137,-67.64864864864865,0.20488359,79.5960837711196
81.83783783783784,0.0048177894,1229867,335207.7837837838,7892,-38.21268131021414,0.0,0.8918918918918919,84.51864751042444,24131.028026103973,0.0050594634,0.10810810810810811,15.48135248957556,0.0050594634,22.16216216216216,-69.16216216216216,0.24130976,79.57499847896977
82.78947368421052,0.0028302178,1239821,339105.6842105263,7930,-38.317789924031885,0.0,0.7894736842105263,83.16357708224793,24264.78610754013,0.0029762483,0.21052631578947367,16.83642291775206,0.0029762483,21.105263157894736,-68.84210526315789,0.2359397,80.54272614451337
81.78378378378379,0.0038586655,1249796,334986.3783783784,7967,-37.24262124212122,0.0,0.7837837837837838,83.65903542794496,24396.648973464966,0.0059484253,0.21621621621621623,16.34096457205505,0.0059484253,22.18918918918919,-68.43243243243244,0.2412649,79.5473174677491
82.21621621621621,0.004644664,1259805,336757.6216216216,8004,-37.12896311589534,0.0,0.7837837837837838,82.53670789701619,24522.665791749954,0.004108676,0.21621621621621623,17.46329210298381,0.004108676,21.783783783783782,-67.86486486486487,0.2414955,79.92743880070444
