optimgain,EpisodesSoFar,Fce,entloss,AttNC,surrgain,entropy,TimestepsSoFar,TtR,AttC,MtR,TimeElapsed,meankl
0.00014522811,8775,0.9728999999999998,0.0,9.975,0.00014522811,0.7256744,2109887,2432.25,0.025,139.14596989694604,65749.80319309235,0.010174863
1.687399e-05,8817,0.9511178451178453,0.0,9.523809523809524,1.687399e-05,0.62808377,2119907,2349.5238095238096,0.47619047619047616,134.23525065639646,66017.4682199955,0.010174781
0.000566206,8857,0.9936999999999999,0.0,10.0,0.000566206,0.5304943,2129907,2484.25,0.0,142.05144329661007,66267.4600174427,0.01017476
0.00038375228,8898,0.9798466898954705,0.0,9.75609756097561,0.00038375228,0.62808377,2139914,2432.682926829268,0.24390243902439024,139.0336982862538,66528.63764071465,0.008933204
0.00078234787,8940,0.962880230880231,0.0,9.523809523809524,0.00078234787,0.7256744,2149928,2366.904761904762,0.47619047619047616,135.27251360808998,66800.93858790398,0.008933204
0.00017233932,8982,0.9549523809523812,0.0,9.523809523809524,0.00017233932,0.823265,2159968,2355.2380952380954,0.47619047619047616,134.81092306004297,67073.02989387512,0.008933204
5.6862136e-05,9025,0.9175729386892176,0.0,9.30232558139535,5.6862136e-05,0.7256744,2169995,2273.720930232558,0.6976744186046512,129.99587912025945,67320.59241747856,0.01017476
1.4448719e-05,9065,0.9804000000000002,0.0,9.75,1.4448719e-05,0.823265,2179770,2419.5,0.25,138.42549166533314,67569.67882037163,0.008933204
8.4477615e-05,9107,0.9502852369017779,0.0,9.523809523809524,8.4477615e-05,0.9208541,2189810,2332.3809523809523,0.47619047619047616,133.49066526909135,67821.49028754234,0.008933102
0.00011676735,9150,0.907875968992248,0.0,9.209302325581396,0.00011676735,1.0184374,2199833,2220.4651162790697,0.7906976744186046,126.94558302386464,68083.65216350555,0.008933204
0.00011547437,9198,0.8322904666232187,0.0,8.3125,0.00011547437,0.9208541,2209981,1967.9166666666667,1.6875,112.75223298468707,68332.84638643265,0.010174751
0.0005817995,9242,0.8597499672045128,0.0,8.75,0.0005817995,0.823265,2219788,2109.318181818182,1.25,120.81787011194068,68587.35737204552,0.010174781
0.00019348526,9285,0.925634915020472,0.0,9.30232558139535,0.00019348526,0.7256744,2229857,2276.7441860465115,0.6976744186046512,130.18480034632495,68833.21369242668,0.01017476
7.7140176e-05,9328,0.9372292513687859,0.0,9.30232558139535,7.7140176e-05,0.62808377,2239890,2298.139534883721,0.6976744186046512,131.42782639109888,69075.47590231895,0.010174863
7.251555e-05,9369,0.9709268292682927,0.0,9.731707317073171,7.251555e-05,0.7256745,2249895,2427.317073170732,0.2682926829268293,138.73884727536904,69331.88742160797,0.008933204
5.0526046e-06,9409,0.9858,0.0,10.0,5.0526046e-06,0.62808377,2259895,2464.5,0.0,140.88262402287802,69584.71351242065,0.01017476
0.00029537178,9450,0.9690731707317073,0.0,9.707317073170731,0.00029537178,0.7256745,2269898,2422.682926829268,0.2926829268292683,138.4152926102681,69841.25195360184,0.008933204
0.00014134166,9492,0.9506552556506475,0.0,9.523809523809524,0.00014134166,0.62808377,2279936,2348.3333333333335,0.47619047619047616,134.45127654127376,70100.1632091999,0.01017476
5.8182315e-05,9533,0.9807913279132789,0.0,9.75609756097561,5.8182315e-05,0.53049463,2289945,2425.8536585365855,0.24390243902439024,138.67508330553406,70367.85264730453,0.010174781
0.00046975282,9573,0.9977,0.0,10.0,0.00046975282,0.6280839,2299945,2494.25,0.0,142.5272970262201,70632.65505552292,0.008933204
0.0004572586,9615,0.9550793650793652,0.0,9.523809523809524,0.0004572586,0.5304945,2309965,2357.3809523809523,0.47619047619047616,134.8300063690558,70868.66417813301,0.010174863
0.00031490604,9655,0.9978999999999999,0.0,10.0,0.00031490604,0.43290335,2319965,2494.75,0.0,142.59044639417837,71138.83149409294,0.010175116
0.0002824705,9695,0.9996,0.0,10.0,0.0002824705,0.33531508,2329965,2499.0,0.0,142.81422348513766,71399.52619957924,0.010174781
0.0009827405,9735,0.9992000000000001,0.0,10.0,0.0009827405,0.23772767,2339965,2498.0,0.0,142.75643333712213,71656.18449163437,0.010174781
0.00027013122,9775,1.0,0.0,10.0,0.00027013122,0.14013672,2349965,2500.0,0.0,142.8784238871937,71913.87184238434,0.01017476
0.0005572134,9815,1.0,0.0,10.0,0.0005572134,0.23772767,2359965,2500.0,0.0,142.8784238871937,72185.14802026749,0.008933204
7.742988e-05,9855,1.0,0.0,10.0,7.742988e-05,0.14013673,2369965,2500.0,0.0,142.8784238871937,72430.67912435532,0.01017476
0.000540861,9895,1.0,0.0,10.0,0.000540861,0.042547297,2379965,2500.0,0.0,142.8784238871937,72680.81956624985,0.010174751
0.0002754057,9935,1.0,0.0,10.0,0.0002754057,-0.05504254,2389965,2500.0,0.0,142.8784238871937,72940.5071542263,0.010174871
0.00011279731,9975,1.0,0.0,10.0,0.00011279731,0.042547148,2399965,2500.0,0.0,142.8784238871937,73184.0135910511,0.008933102
0.0009390306,10015,1.0,0.0,10.0,0.0009390306,0.14013676,2409965,2500.0,0.0,142.8784238871937,73436.114518404,0.008933204
0.00020045522,10055,1.0,0.0,10.0,0.00020045522,0.23772773,2419965,2500.0,0.0,142.8784238871937,73688.84248805046,0.008933102
0.00013270284,10095,1.0,0.0,10.0,0.00013270284,0.14013676,2429965,2500.0,0.0,142.8784238871937,73957.89073681831,0.010174781
0.0002798749,10135,1.0,0.0,10.0,0.0002798749,0.042547304,2439965,2500.0,0.0,142.8784238871937,74227.46337604523,0.010174751
0.00018395516,10175,1.0,0.0,10.0,0.00018395516,-0.05504254,2449965,2500.0,0.0,142.8784238871937,74482.88371777534,0.010174871
0.00010095853,10215,1.0,0.0,10.0,0.00010095853,-0.15263358,2459965,2500.0,0.0,142.8784238871937,74723.5499420166,0.010174863
0.00021025412,10255,1.0,0.0,10.0,0.00021025412,-0.25022417,2469965,2500.0,0.0,142.8784238871937,74981.39794278145,0.01017476
6.5965425e-05,10295,1.0,0.0,10.0,6.5965425e-05,-0.15263353,2479965,2500.0,0.0,142.8784238871937,75247.89227557182,0.008933204
0.0003444763,10335,1.0,0.0,10.0,0.0003444763,-0.25022417,2489965,2500.0,0.0,142.8784238871937,75484.90701317787,0.01017476
0.00013395434,10375,1.0,0.0,10.0,0.00013395434,-0.34781152,2499965,2500.0,0.0,142.8784238871937,75749.40456461906,0.010174863
0.00016662819,10415,1.0,0.0,10.0,0.00016662819,-0.25022417,2509965,2500.0,0.0,142.8784238871937,76011.27719521523,0.008933204
0.00027728837,10455,1.0,0.0,10.0,0.00027728837,-0.34780973,2519965,2500.0,0.0,142.8784238871937,76273.6452202797,0.010174751
0.00036774838,10495,1.0,0.0,10.0,0.00036774838,-0.44540387,2529965,2500.0,0.0,142.8784238871937,76516.29582834244,0.010174863
0.00015967274,10535,1.0,0.0,10.0,0.00015967274,-0.34781152,2539965,2500.0,0.0,142.8784238871937,76786.00472474098,0.008933196
0.0001862386,10575,1.0,0.0,10.0,0.0001862386,-0.44540387,2549965,2500.0,0.0,142.8784238871937,77042.37802410126,0.01017476
