entloss,meankl,surrgain,EpisodesSoFar,AttC,AttNC,TtR,Fce,TimestepsSoFar,TimeElapsed,entropy,optimgain,MtR
0.0,0.0074108746,0.0012869188,7442,0.0,10.0,2478.75,0.9915,1789899,11383.819783449173,0.30891415,0.0012869188,141.48688242397316
0.0,0.005408717,0.00077712064,7482,0.0,10.0,2462.75,0.9851000000000003,1799899,11437.392407894135,0.3037753,0.00077712064,140.47659149790917
0.0,0.0053753224,0.00088168524,7522,0.0,10.0,2482.75,0.9930999999999998,1809899,11490.136192560196,0.27317375,0.00088168524,141.68551308474886
0.0,0.001733754,0.0006235344,7562,0.0,10.0,2481.0,0.9924,1819899,11543.713976621628,0.28184536,0.0006235344,141.6466606121831
0.0,0.0037210062,0.0008619603,7602,0.0,10.0,2481.0,0.9923999999999996,1829899,11596.789591312408,0.30357668,0.0008619603,141.57735232306143
0.0,0.005347317,0.0010294752,7642,0.0,10.0,2482.25,0.9929000000000002,1839899,11650.25100183487,0.35348532,0.0010294752,141.61954839878632
0.0,0.00581505,0.001008317,7682,0.05,9.95,2467.25,0.9869000000000001,1849899,11705.05813908577,0.40832767,0.001008317,140.72515549107354
0.0,0.0069637806,0.0011024916,7722,0.0,10.0,2475.5,0.9902000000000001,1859899,11756.523375988007,0.33991858,0.0011024916,141.32115970560238
0.0,0.004355863,0.00054194685,7762,0.0,10.0,2486.5,0.9945999999999999,1869899,11811.907755851746,0.3297701,0.00054194685,141.8627448502197
0.0,0.005529586,0.0006077462,7802,0.0,10.0,2483.75,0.9934999999999998,1879899,11864.475962400436,0.29370221,0.0006077462,141.6215363704879
0.0,0.001863493,0.00045252548,7842,0.0,10.0,2477.0,0.9907999999999998,1889899,11916.838244199753,0.32009575,0.00045252548,141.1354503537288
0.0,0.0051776757,0.00073329516,7882,0.0,10.0,2476.0,0.9903999999999996,1899899,11970.176078796387,0.3029519,0.00073329516,140.9979782324261
0.0,0.0052597937,0.0011288604,7922,0.0,10.0,2474.25,0.9897,1909899,12022.47286772728,0.30731192,0.0011288604,140.8933806348903
0.0,0.0065356763,0.0010585675,7963,0.24390243902439024,9.75609756097561,2411.7073170731705,0.9721300813008131,1919920,12075.8329205513,0.26495385,0.0010585675,137.47862378681367
0.0,0.006273044,0.0008644457,8003,0.0,10.0,2477.0,0.9908000000000001,1929920,12128.224933862686,0.22289047,0.0008644457,141.05759966172715
0.0,0.005835051,0.0008917629,8043,0.0,10.0,2488.0,0.9951999999999999,1939920,12182.064333677292,0.24248256,0.0008917629,141.84218714496512
0.0,0.0035039636,0.00069198,8083,0.0,10.0,2483.75,0.9935,1949920,12236.627143144608,0.25982636,0.00069198,141.41809889937184
0.0,0.0033550432,0.00054358953,8123,0.0,10.0,2486.5,0.9945999999999999,1959920,12289.28010892868,0.28477913,0.00054358953,141.68296922813064
0.0,0.0030128644,0.0005545946,8163,0.0,10.0,2478.75,0.9914999999999999,1969920,12340.70519399643,0.31619254,0.0005545946,140.98810922711766
0.0,0.0038833283,0.0008040387,8203,0.0,10.0,2481.75,0.9926999999999996,1979920,12391.579017877579,0.35854837,0.0008040387,141.25249503498966
0.0,0.005314661,0.0005622884,8243,0.0,10.0,2472.5,0.9889999999999999,1989920,12443.075098752975,0.42202476,0.0005622884,140.6984825700148
0.0,0.006601567,0.00080457807,8283,0.0,10.0,2467.25,0.9869,1999920,12493.75578737259,0.49849695,0.00080457807,140.3127256726018
0.0,0.0066698277,0.0006748905,8323,0.0,10.0,2464.5,0.9858,2009920,12544.090596199036,0.43350273,0.0006748905,140.43343304989688
