TimestepsSoFar,Fce,meankl,optimgain,entloss,AttNC,AttC,MtR,TimeElapsed,EpisodesSoFar,surrgain,entropy,TtR
1569776,0.15128098952637845,0.00490261,0.0018889769,0.0,1.5348837209302326,1.4651162790697674,20.01268690871238,6478.447142124176,7133,0.0018889769,1.00081,106.11627906976744
1579856,0.14559939531368102,0.0039026858,0.0014851728,0.0,1.7619047619047619,1.2380952380952381,20.276050597806925,6520.945036411285,7175,0.0014851728,1.0183107,106.14285714285714
1589914,0.1448480300187617,0.0045545194,0.0014327789,0.0,1.6590909090909092,1.3409090909090908,20.152449786809058,6561.946537971497,7219,0.0014327789,0.993221,107.04545454545455
1599914,0.1583,0.0051485584,0.0013738681,0.0,1.775,1.225,22.50601400549822,6602.86020731926,7259,0.0013738681,1.0196666,118.725
1609946,0.15450076804915516,0.0039037582,0.001358415,0.0,1.5952380952380953,1.4047619047619047,21.597123410082038,6645.777182340622,7301,0.001358415,0.9937099,113.85714285714286
1619977,0.14724368048533873,0.0040901373,0.0013777497,0.0,1.558139534883721,1.441860465116279,20.847741583775893,6686.0622437000275,7344,0.0013777497,0.9921297,109.74418604651163
1629996,0.16382222222222223,0.003844005,0.001089328,0.0,1.4666666666666666,1.5333333333333334,20.16812132878162,6729.979823350906,7389,0.001089328,0.96208334,106.26666666666667
1639980,0.1399978577831068,0.0027876901,0.00109062,0.0,1.2127659574468086,1.7872340425531914,18.82253249593256,6769.5516521930695,7436,0.00109062,0.9455575,97.2127659574468
1649822,0.1557637504614249,0.0042873514,0.0013631271,0.0,1.372093023255814,1.627906976744186,21.62940511485009,6813.213089466095,7479,0.0013631271,0.9183824,113.02325581395348
1659822,0.1565,0.005739813,0.00178154,0.0,1.85,1.15,22.515965534810558,6853.721819400787,7519,0.00178154,0.9177858,117.375
1669920,0.15554565574355678,0.0034763236,0.0014828532,0.0,1.5,1.5,21.870783920133402,6896.097644805908,7561,0.0014828532,0.9222369,114.42857142857143
1679984,0.1616535783904205,0.004348371,0.001222997,0.0,1.380952380952381,1.619047619047619,22.53363018816417,6936.260716199875,7603,0.001222997,0.9351951,116.35714285714286
1689777,0.14842781557067272,0.0024920774,0.0009806879,0.0,1.5714285714285714,1.4285714285714286,20.257559329676642,6978.025596857071,7645,0.0009806879,0.9182909,107.07142857142857
1699791,0.14428571428571432,0.0022456087,0.0011142475,0.0,1.5238095238095237,1.4761904761904763,20.45358075650751,7020.427112817764,7687,0.0011142475,0.91233957,108.21428571428571
1709885,0.1535937395937396,0.003311467,0.0015722371,0.0,1.6428571428571428,1.3571428571428572,21.149627376881163,7061.825551271439,7729,0.0015722371,0.9254797,111.35714285714286
