TimestepsSoFar,MtR,TtR,surrgain,MpbtA,optimgain,TimeElapsed,entloss,AttNC,Tmc,Tbt,Ptt,MpbtN,AttC,entropy,meankl,EpisodesSoFar,Tmt
1519800,-38.00022675069518,-66.925,0.0050131683,18.722082884410824,0.0050131683,25108.857058525085,0.0,0.625,21.65,337203.2,80.04810805782071,81.27791711558916,0.375,0.23300308,0.00404179,9411,82.325
1529732,-37.44064816392748,-66.66666666666667,0.003574768,18.53396213168838,0.003574768,25220.705008983612,0.0,0.5641025641025641,22.153846153846153,335136.8205128205,79.57885399549595,81.46603786831163,0.4358974358974359,0.2067564,0.005237217,9450,81.82051282051282
1539763,-36.880352939663,-66.05405405405405,0.0035962767,19.33448573635839,0.0035962767,25324.601897239685,0.0,0.8108108108108109,22.08108108108108,335318.4864864865,79.64250185851417,80.66551426364161,0.1891891891891892,0.24142107,0.003656202,9487,81.86486486486487
1549883,-37.003140233717446,-66.6923076923077,0.0035671997,18.531146976469778,0.0035671997,25435.688508749008,0.0,0.5897435897435898,22.153846153846153,335241.8461538461,79.58366758447299,81.46885302353022,0.41025641025641024,0.23981176,0.0043826653,9526,81.84615384615384
1559706,-38.02217433115304,-68.36842105263158,0.005192743,18.10254581442096,0.005192743,25541.488461971283,0.0,0.6842105263157895,20.44736842105263,341908.2105263158,81.1585726217918,81.89745418557902,0.3157894736842105,0.23434432,0.005610155,9564,83.47368421052632
1569901,-38.08886698455289,-67.64102564102564,0.0047807354,17.82477357194862,0.0047807354,25643.658387184143,0.0,0.7948717948717948,21.666666666666668,337132.3076923077,80.03364896341355,82.1752264280514,0.20512820512820512,0.22946353,0.004828389,9603,82.3076923076923
1579871,-37.893685918861685,-67.71052631578948,0.008301285,17.816844366976785,0.008301285,25751.515018463135,0.0,0.6578947368421053,21.57894736842105,337381.05263157893,80.1102334148308,82.18315563302323,0.34210526315789475,0.2629819,0.0069720573,9641,82.36842105263158
1589845,-38.84256564415681,-67.87179487179488,0.006249625,17.970484136942144,0.006249625,25860.086261987686,0.0,0.7692307692307693,21.256410256410255,338812.71794871794,80.41310311643063,82.02951586305787,0.23076923076923078,0.23919643,0.004859644,9680,82.71794871794872
1599730,-38.533741970811604,-68.6842105263158,0.004406848,17.410524390262452,0.004406848,25966.010276794434,0.0,0.8421052631578947,20.763157894736842,340614.7368421053,80.86540617850599,82.58947560973755,0.15789473684210525,0.23188162,0.0059329756,9718,83.15789473684211
1609842,-38.00806334435751,-67.48648648648648,0.003061949,18.293647290596063,0.003061949,26070.918461322784,0.0,0.972972972972973,21.35135135135135,338086.0540540541,80.31233314653497,81.70635270940394,0.02702702702702703,0.22436528,0.0062219575,9755,82.54054054054055
1619947,-36.86972907298061,-67.64864864864865,0.004855899,18.52113714953659,0.004855899,26174.521100997925,0.0,0.8378378378378378,20.91891891891892,339968.0,80.71824142128213,81.47886285046343,0.16216216216216217,0.20031634,0.0063304864,9792,83.0
1629815,-38.80210655399216,-68.62162162162163,0.005531328,16.812572679544626,0.005531328,26279.058224201202,0.0,1.0,21.486486486486488,337864.64864864864,80.201850238201,83.18742732045536,0.0,0.24022251,0.0057536736,9829,82.48648648648648
1639944,-37.938971259617276,-67.94594594594595,0.0025264327,17.032330095191607,0.0025264327,26382.154989242554,0.0,0.918918918918919,22.08108108108108,335429.1891891892,79.64700588406053,82.9676699048084,0.08108108108108109,0.23780972,0.004025573,9866,81.89189189189189
1649942,-37.736282854524426,-67.97297297297297,0.005120816,17.12145574604611,0.005120816,26489.438886880875,0.0,0.8648648648648649,22.0,335872.0,79.72639002777086,82.87854425395389,0.13513513513513514,0.20802598,0.0056214468,9903,82.0
1659776,-37.99894385448889,-68.47222222222223,0.005226322,17.291527339052635,0.005226322,26593.87666773796,0.0,0.9722222222222222,21.194444444444443,338830.22222222225,80.46289924991983,82.70847266094738,0.027777777777777776,0.24065842,0.005354131,9939,82.72222222222223
1669822,-37.98282579823432,-67.72972972972973,0.007595137,17.515721648430883,0.007595137,26697.829105377197,0.0,0.972972972972973,21.89189189189189,336314.8108108108,79.82807530346176,82.48427835156915,0.02702702702702703,0.26651907,0.008153308,9976,82.10810810810811
1679792,-37.431093099741574,-66.15789473684211,0.0037448304,19.202426422939123,0.0037448304,26806.730393886566,0.0,0.6842105263157895,22.13157894736842,335117.4736842105,79.59527497950279,80.79757357706086,0.3157894736842105,0.24450593,0.005310035,10014,81.8157894736842
1689914,-38.59919778987897,-67.53846153846153,0.005902095,18.8130086430425,0.005902095,26911.47744178772,0.0,0.717948717948718,20.794871794871796,340703.1794871795,80.84459257771417,81.18699135695749,0.28205128205128205,0.24561484,0.005963376,10053,83.17948717948718
1699910,-38.12207758030233,-66.92682926829268,0.00612145,18.454664481317256,0.00612145,27021.680686473846,0.0,0.6341463414634146,21.878048780487806,336271.60975609755,79.83723073323665,81.54533551868273,0.36585365853658536,0.2243218,0.0060219867,10094,82.09756097560975
1709748,-37.95340357412963,-66.92105263157895,0.0043278076,19.07507177898277,0.0043278076,27127.651755571365,0.0,0.6842105263157895,21.289473684210527,338566.7368421053,80.38020975647645,80.92492822101723,0.3157894736842105,0.22784726,0.004043982,10132,82.65789473684211
1719956,-37.46794417610337,-66.17948717948718,0.0062353057,19.394378645461607,0.0062353057,27237.145233869553,0.0,0.6923076923076923,21.897435897435898,336292.10256410256,79.8227543414651,80.60562135453841,0.3076923076923077,0.22528902,0.0064680823,10171,82.1025641025641
1729725,-36.57760467978243,-66.10810810810811,0.0043993536,20.255148505379346,0.0043993536,27341.358387708664,0.0,0.6486486486486487,21.027027027027028,339525.1891891892,80.61781137046496,79.74485149462066,0.35135135135135137,0.20068887,0.0057683513,10208,82.89189189189189
1739836,-37.11373488437977,-65.73684210526316,0.004076714,19.87484431322172,0.004076714,27447.28988146782,0.0,0.7631578947368421,21.973684210526315,335872.0,79.74712619374918,80.12515568677827,0.23684210526315788,0.21839434,0.0050442424,10246,82.0
1749829,-38.141679009688445,-67.025,0.0056482507,18.41833891877329,0.0056482507,27556.64722084999,0.0,0.525,21.825,336486.4,79.8867941967937,81.58166108122671,0.475,0.23033321,0.006467034,10286,82.15
1759914,-39.266185339554305,-68.0,0.0058953124,17.4363095315338,0.0058953124,27672.518317461014,0.0,0.40476190476190477,21.61904761904762,337237.3333333333,80.07375711014008,82.56369046846623,0.5952380952380952,0.18363011,0.0073281145,10328,82.33333333333333
1769830,-37.48606375696361,-66.37837837837837,0.0053005307,18.873516012051624,0.0053005307,27779.697152137756,0.0,0.8378378378378378,22.135135135135137,335097.08108108107,79.59174957520594,81.12648398794839,0.16216216216216217,0.20744745,0.006564207,10365,81.8108108108108
1779768,-37.43678835388143,-66.5945945945946,0.0044045807,19.06365504127845,0.0044045807,27884.715159654617,0.0,0.7567567567567568,21.7027027027027,336979.02702702704,79.99840038410396,80.93634495872156,0.24324324324324326,0.1829085,0.005856416,10402,82.27027027027027
1789742,-36.94665164197664,-66.10810810810811,0.0039403457,19.105554533512716,0.0039403457,27989.136996746063,0.0,0.8378378378378378,22.2972972972973,334654.2702702703,79.45003980401596,80.89444546648728,0.16216216216216217,0.19271146,0.0038708206,10439,81.70270270270271
1799728,-37.52680864342595,-67.72972972972973,0.006528343,17.76484770405828,0.006528343,28091.97424864769,0.0,0.8918918918918919,21.594594594594593,337421.8378378378,80.09936707410078,82.23515229594173,0.10810810810810811,0.20518613,0.006384006,10476,82.37837837837837
1809749,-38.162379672727816,-67.51282051282051,0.0046876585,18.534005673437758,0.0046876585,28200.790122270584,0.0,0.7948717948717948,21.025641025641026,339337.8461538461,80.61272506762423,81.46599432656225,0.20512820512820512,0.19340803,0.005035349,10515,82.84615384615384
1819830,-37.51796423066504,-67.29729729729729,0.0041843993,18.884024334250824,0.0041843993,28302.33001279831,0.0,0.8918918918918919,21.054054054054053,339746.5945945946,80.60643538771635,81.11597566574918,0.10810810810810811,0.19855592,0.003558506,10552,82.94594594594595
1829878,-38.26298121757322,-67.64102564102564,0.004589786,17.6375922503594,0.004589786,28408.33465194702,0.0,0.8205128205128205,21.897435897435898,336292.10256410256,79.82272723809318,82.3624077496406,0.1794871794871795,0.19859087,0.0036255782,10591,82.1025641025641
1839950,-37.67280635545022,-66.56410256410257,0.0035943727,19.120473224736166,0.0035943727,28516.63071846962,0.0,0.6410256410256411,21.743589743589745,336922.25641025644,79.96569421766546,80.87952677526383,0.358974358974359,0.20846248,0.0059608663,10630,82.25641025641026
1849860,-38.03141874825583,-66.6923076923077,0.00503325,18.990939515354047,0.00503325,28624.064849853516,0.0,0.6923076923076923,21.666666666666668,337237.3333333333,80.037420381219,81.00906048464597,0.3076923076923077,0.18432495,0.0055445516,10669,82.33333333333333
1859715,-38.23979730169279,-67.67567567567568,0.005718885,18.031997164315154,0.005718885,28728.45465373993,0.0,0.8648648648648649,21.405405405405407,338086.0540540541,80.27240925016231,81.96800283568486,0.13513513513513514,0.20556958,0.0053499537,10706,82.54054054054055
1869836,-38.436902932151774,-67.74358974358974,0.0053200256,17.873987738028163,0.0053200256,28837.722492456436,0.0,0.7948717948717948,21.41025641025641,337972.5128205128,80.26360235464708,82.12601226197187,0.20512820512820512,0.19046567,0.005173565,10745,82.51282051282051
1879771,-37.90376397765627,-67.23684210526316,0.0046910155,18.37114405363774,0.0046910155,28945.676430940628,0.0,0.8421052631578947,21.57894736842105,337381.05263157893,80.10988965657123,81.62885594636225,0.15789473684210525,0.1826784,0.005610419,10783,82.36842105263158
1889745,-38.15829360242412,-67.29729729729729,0.008035725,18.059779744789484,0.008035725,29052.202721357346,0.0,0.9459459459459459,21.83783783783784,336425.5135135135,79.87393946953335,81.94022025521052,0.05405405405405406,0.22862148,0.007583072,10820,82.13513513513513
1899901,-38.00046381698657,-67.38461538461539,0.0063311523,18.396089429055717,0.0063311523,29161.13806271553,0.0,0.7948717948717948,21.384615384615383,338182.5641025641,80.29213388403923,81.6039105709443,0.20512820512820512,0.19931675,0.0057925987,10859,82.56410256410257
1909932,-38.445795497611776,-67.86842105263158,0.0046101133,18.119250840207318,0.0046101133,29262.387379407883,0.0,0.9473684210526315,21.07894736842105,339429.05263157893,80.57638531381488,81.8807491597927,0.05263157894736842,0.20040439,0.004875844,10897,82.86842105263158
1919796,-37.670327879143656,-67.70270270270271,0.003511957,18.228185410345674,0.003511957,29367.250337600708,0.0,0.8378378378378378,21.216216216216218,338860.97297297296,80.44791643742904,81.77181458965434,0.16216216216216217,0.17820175,0.005616594,10934,82.72972972972973
1929806,-38.081650946694744,-68.21621621621621,0.004277826,17.569110391475153,0.004277826,29471.48173046112,0.0,0.918918918918919,21.18918918918919,338860.97297297296,80.46913961710604,82.43088960852488,0.08108108108108109,0.19303945,0.0052523026,10971,82.72972972972973
1939924,-37.224471201509374,-66.86486486486487,0.0052737463,18.163228230275003,0.0052737463,29576.302550554276,0.0,0.8378378378378378,22.2972972972973,334654.2702702703,79.44912831023784,81.836771769725,0.16216216216216217,0.22132614,0.006928189,11008,81.70270270270271
1949925,-37.33022970357031,-66.78378378378379,0.0050521605,18.72450828654344,0.0050521605,29683.92041373253,0.0,0.8108108108108109,21.83783783783784,336425.5135135135,79.8727525429127,81.27549171345656,0.1891891891891892,0.22871716,0.0050795376,11045,82.13513513513513
1959989,-38.40220581488384,-67.56410256410257,0.0042762933,18.420820930280996,0.0042762933,29791.653736829758,0.0,0.8205128205128205,21.076923076923077,339127.7948717949,80.56634219795767,81.579179069719,0.1794871794871795,0.20576629,0.0044348123,11084,82.7948717948718
1969862,-38.41296341203613,-67.84210526315789,0.00438573,17.898886676649678,0.00438573,29897.334690093994,0.0,0.8157894736842105,21.36842105263158,338243.36842105264,80.30704467319175,82.10111332335035,0.18421052631578946,0.20419674,0.0053467103,11122,82.57894736842105
1979918,-38.11616491679826,-67.05263157894737,0.0043361266,18.366878599120827,0.0043361266,30002.562972307205,0.0,0.8947368421052632,21.842105263157894,336410.94736842107,79.87046960029903,81.63312140087919,0.10526315789473684,0.18501802,0.0062718485,11160,82.13157894736842
1989832,-38.67539340745989,-68.71052631578948,0.0063487855,16.855112184272507,0.0063487855,30106.75737762451,0.0,0.7894736842105263,21.342105263157894,338458.94736842107,80.33512494011579,83.14488781572749,0.21052631578947367,0.19283257,0.005334013,11198,82.63157894736842
1999983,-38.170368723813795,-68.21052631578948,0.004537326,17.309659670432612,0.004537326,30210.34097647667,0.0,0.8157894736842105,21.526315789473685,337812.2105263158,80.16703539044498,82.69034032956739,0.18421052631578946,0.21433306,0.0038850617,11236,82.47368421052632
2009983,-37.82304318191253,-67.21621621621621,0.004289228,18.01874299043844,0.004289228,30315.4809987545,0.0,0.8648648648648649,22.0,335539.8918918919,79.7139200405507,81.98125700956157,0.13513513513513514,0.22736846,0.0047953855,11273,81.91891891891892
2019808,-37.79801600020621,-67.62162162162163,0.00448353,18.432569193375514,0.00448353,30420.03298330307,0.0,0.9459459459459459,21.10810810810811,339414.4864864865,80.55231509142885,81.56743080662449,0.05405405405405406,0.21769576,0.005531103,11310,82.86486486486487
2029924,-37.192735782158685,-66.8157894736842,0.0045006042,18.702192264125205,0.0045006042,30524.277346134186,0.0,0.7631578947368421,21.81578947368421,336626.5263157895,79.89759032938476,81.2978077358748,0.23684210526315788,0.205315,0.0051703146,11348,82.1842105263158
2039939,-37.01841486816481,-67.10810810810811,0.00394104,18.154153614639814,0.00394104,30631.262623548508,0.0,0.8918918918918919,22.027027027027028,335761.2972972973,79.70129465275002,81.84584638536023,0.10810810810810811,0.20346458,0.0036977383,11385,81.97297297297297
2049916,-37.99024520252065,-67.5,0.006768008,18.015884755482578,0.006768008,30736.700766801834,0.0,0.8421052631578947,21.605263157894736,337273.2631578947,80.08633934132823,81.98411524451741,0.15789473684210525,0.24531612,0.0065143476,11423,82.34210526315789
2059820,-37.79875720596202,-66.65789473684211,0.005159978,19.025438694205878,0.005159978,30843.901610851288,0.0,0.6578947368421053,21.57894736842105,337273.2631578947,80.10637136073558,80.97456130579413,0.34210526315789475,0.21634677,0.0060417154,11461,82.34210526315789
2069896,-37.59940845865224,-66.82051282051282,0.0055562654,18.913281706237235,0.0055562654,30955.109899759293,0.0,0.7692307692307693,21.58974358974359,337447.3846153846,80.10510411420947,81.08671829376274,0.23076923076923078,0.2381087,0.005049518,11500,82.38461538461539
2079962,-37.45403122237744,-66.21052631578948,0.005350255,19.469677807383494,0.005350255,31059.78941297531,0.0,0.8421052631578947,21.736842105263158,336626.5263157895,79.9606715913458,80.53032219261651,0.15789473684210525,0.20408428,0.0056987884,11538,82.1842105263158
2089918,-38.50101109173399,-68.1025641025641,0.0033844712,17.638179508692694,0.0033844712,31167.31968975067,0.0,0.8461538461538461,21.256410256410255,338602.6666666667,80.40722151256013,82.36182049130731,0.15384615384615385,0.20566839,0.0050728386,11577,82.66666666666667
2099953,-36.59244259223788,-65.83783783783784,0.0051800185,19.123426360221806,0.0051800185,31274.25956273079,0.0,0.8108108108108109,22.594594594594593,333436.54054054053,79.17189044421123,80.87657363977819,0.1891891891891892,0.21916431,0.006022632,11614,81.4054054054054
2109788,-37.10207886753676,-66.16666666666667,0.0042892867,19.404401365473472,0.0042892867,31382.475581884384,0.0,0.9166666666666666,21.916666666666668,335985.77777777775,79.794450832929,80.59559863452652,0.08333333333333333,0.19163445,0.0060407463,11650,82.02777777777777
2119978,-38.09781220191445,-67.44736842105263,0.0056992257,17.620265644025253,0.0056992257,31487.2543926239,0.0,0.9736842105263158,22.07894736842105,335440.84210526315,79.64871009049249,82.37973435597475,0.02631578947368421,0.21737112,0.0066537363,11688,81.89473684210526
2129850,-38.075188595431904,-68.0,0.0047059967,17.565275809843833,0.0047059967,31594.325036525726,0.0,0.918918918918919,21.43243243243243,337975.35135135136,80.24606017911597,82.43472419015617,0.08108108108108109,0.1867204,0.006342557,11725,82.51351351351352
2139890,-37.36480161451554,-67.29729729729729,0.004522313,18.877380831408047,0.004522313,31699.852226257324,0.0,0.972972972972973,21.0,339525.1891891892,80.63932386097947,81.12261916859195,0.02702702702702703,0.19655916,0.0059101298,11762,82.89189189189189
2149808,-37.79491668833278,-66.61111111111111,0.0057296692,18.672245871981346,0.0057296692,31805.258293151855,0.0,0.9444444444444444,22.083333333333332,335303.1111111111,79.63986428961891,81.32775412801864,0.05555555555555555,0.22229291,0.0048024203,11798,81.86111111111111
2159830,-37.27488226919444,-66.87179487179488,0.005415785,18.112518966430557,0.005415785,31920.130370140076,0.0,0.6410256410256411,22.333333333333332,334506.6666666667,79.41497897668629,81.88748103356946,0.358974358974359,0.20240776,0.006066933,11837,81.66666666666667
2169952,-37.412138077288056,-66.37837837837837,0.004143901,18.577381520420307,0.004143901,32024.06040763855,0.0,0.9459459459459459,22.45945945945946,333879.35135135136,79.29372004116098,81.4226184795797,0.05405405405405406,0.21906404,0.004492595,11874,81.51351351351352
2179878,-38.288730550059306,-67.92105263157895,0.0049026995,17.648067293787108,0.0049026995,32128.177834510803,0.0,0.868421052631579,21.5,337704.4210526316,80.18306795646765,82.3519327062129,0.13157894736842105,0.2073921,0.0047511053,11912,82.44736842105263
2189947,-38.82487606472375,-68.6,0.0050503663,16.800942462736383,0.0050503663,32238.94762277603,0.0,0.775,21.525,337715.2,80.16381778497421,83.1990575372636,0.225,0.17615749,0.006236244,11952,82.45
