AttC,entropy,TimestepsSoFar,TimeElapsed,optimgain,entloss,meankl,TtR,Fce,AttNC,MtR,surrgain,EpisodesSoFar
0.09090909090909091,0.5456331,1939929,8737.226120948792,0.0044528446,0.0,0.0031423233,28.113636363636363,0.11245454545454545,0.9090909090909091,16.092112341434753,0.0044528446,9547
0.13043478260869565,0.5354281,1949985,8774.567899942398,0.004493153,0.0,0.0041531874,28.847826086956523,0.11708780903665818,0.8695652173913043,16.407902050106642,0.004493153,9593
0.22,0.52772164,1959852,8818.052921772003,0.004350479,0.0,0.0029295795,26.2,0.11370276679841895,0.78,15.309920725997092,0.004350479,9643
0.16666666666666666,0.5494166,1969872,8861.64132809639,0.0039705723,0.0,0.0030583907,25.854166666666668,0.12778787878787878,0.8333333333333334,14.98046781011445,0.0039705723,9691
0.14893617021276595,0.5365796,1979907,8904.072132110596,0.0041380464,0.0,0.002601528,28.170212765957448,0.11344680851063832,0.851063829787234,15.97525585888399,0.0041380464,9738
0.09090909090909091,0.53247005,1989931,8948.741324186325,0.0045205094,0.0,0.005168368,29.75,0.127960372960373,0.9090909090909091,16.84793240446804,0.0045205094,9782
0.047619047619047616,0.54167604,1999933,9002.933041334152,0.0044692564,0.0,0.0030311835,31.857142857142858,0.12742857142857145,0.9523809523809523,18.24082795167445,0.0044692564,9824
0.16666666666666666,0.52940947,2009941,9045.098902702332,0.004064137,0.0,0.0023893754,26.833333333333332,0.10733333333333335,0.8333333333333334,15.23094102258821,0.004064137,9872
0.047619047619047616,0.51113904,2019945,9083.471907138824,0.003935123,0.0,0.0034383582,29.738095238095237,0.11895238095238099,0.9523809523809523,17.049707173555426,0.003935123,9914
0.14893617021276595,0.52101517,2030000,9129.419869661331,0.004030768,0.0,0.0032685578,27.893617021276597,0.11506382978723405,0.851063829787234,15.774665122718323,0.004030768,9961
0.09302325581395349,0.5183529,2039778,9168.51497220993,0.003328881,0.0,0.0034411026,29.069767441860463,0.1204651162790698,0.9069767441860465,16.630158008403928,0.003328881,10004
0.16666666666666666,0.5213199,2049798,9212.735880374908,0.0031121888,0.0,0.0047442275,27.520833333333332,0.13445454545454544,0.8333333333333334,15.755506875415689,0.0031121888,10052
