surrgain,TimestepsSoFar,entropy,TimeElapsed,AttNC,optimgain,MtR,TtR,entloss,EpisodesSoFar,AttC,meankl,Fce
0.00033617707,2699970,1.6687391,36406.58373451233,1.6,0.00033617707,15.749877469313212,83.8,0.0,12486,1.4,0.0025354843,0.11604489337822674
0.0005866979,2709986,1.679162,36525.15672969818,1.7380952380952381,0.0005866979,17.702609981852152,93.35714285714286,0.0,12528,1.2619047619047619,0.0015218714,0.14819047619047618
0.00050776824,2719997,1.7032765,36636.51199269295,1.5555555555555556,0.00050776824,16.915314002348815,86.73333333333333,0.0,12573,1.4444444444444444,0.007847243,0.13777777777777778
0.00080585864,2729763,1.698577,36766.83650445938,1.441860465116279,0.00080585864,18.463812620379027,96.69767441860465,0.0,12616,1.558139534883721,0.002123588,0.14114728682170544
0.00056487403,2739775,1.692595,36877.49734044075,1.5454545454545454,0.00056487403,17.52094718331744,91.02272727272727,0.0,12660,1.4545454545454546,0.0026551075,0.12136363636363634
0.00062826485,2749846,1.6719126,37005.60007572174,1.0612244897959184,0.00062826485,16.181952827217145,84.36734693877551,0.0,12709,1.9387755102040816,0.0026674266,0.12493157262905161
0.00040703532,2759889,1.6760155,37149.202607154846,1.3777777777777778,0.00040703532,17.07362233195509,88.6,0.0,12754,1.6222222222222222,0.001166359,0.13357037037037037
0.000706251,2769925,1.6778942,37276.37865829468,1.3333333333333333,0.000706251,16.23752285001189,84.375,0.0,12802,1.6666666666666667,0.005571347,0.15791666666666662
0.00050676573,2779950,1.6772139,37406.92171359062,1.4081632653061225,0.00050676573,15.094831480770077,79.77551020408163,0.0,12851,1.5918367346938775,0.0013147753,0.1288798185941043
0.0005138659,2789976,1.6753771,37535.810621738434,1.619047619047619,0.0005138659,18.78208306235277,98.28571428571429,0.0,12893,1.380952380952381,0.004010985,0.1327838827838828
0.00087339175,2799753,1.6706843,37667.028111219406,1.565217391304348,0.00087339175,14.860909020294313,77.15217391304348,0.0,12939,1.434782608695652,0.00090335147,0.12663615560640737
0.00082625693,2809775,1.651581,37798.61707639694,1.6304347826086956,0.00082625693,15.907389844031856,83.73913043478261,0.0,12985,1.3695652173913044,0.0022576256,0.1139806763285024
0.0003414153,2819841,1.6289876,37924.449128866196,1.3958333333333333,0.0003414153,15.642668239088527,80.75,0.0,13033,1.6041666666666667,0.0015947713,0.13729100529100532
0.00072743645,2829859,1.6436787,38059.427502155304,1.6590909090909092,0.00072743645,16.769782445869303,87.54545454545455,0.0,13077,1.3409090909090908,0.0023252426,0.12710743801652893
0.0005705897,2839919,1.6467688,38189.440725803375,1.6041666666666667,0.0005705897,15.84953876099145,82.0,0.0,13125,1.3958333333333333,0.0019103518,0.11645768392827217
0.00082919415,2849767,1.6557943,38327.819527864456,1.3877551020408163,0.00082919415,15.4349162830009,80.6938775510204,0.0,13174,1.6122448979591837,0.0017530364,0.14460107294950494
0.00071744336,2859851,1.6803356,38469.002279281616,1.4583333333333333,0.00071744336,16.205320587681744,85.5,0.0,13222,1.5416666666666667,0.0053299298,0.15231419457735249
0.00067992083,2869832,1.6719649,38595.54083919525,1.3076923076923077,0.00067992083,15.657022045705004,80.3076923076923,0.0,13274,1.6923076923076923,0.0067245527,0.15082113431388794
0.00043805694,2879933,1.6805425,38719.245259046555,1.510204081632653,0.00043805694,15.751776154527732,82.53061224489795,0.0,13323,1.489795918367347,0.0031132186,0.1176287657920311
0.0005318105,2889982,1.6921684,38858.26169848442,1.32,0.0005318105,15.706437090416024,81.54,0.0,13373,1.68,0.0029069087,0.11595014631891669
0.0008396617,2899901,1.6857885,38991.40057873726,1.3541666666666667,0.0008396617,16.282897725068448,83.4375,0.0,13421,1.6458333333333333,0.0022267045,0.12279671656845569
0.00043987783,2909967,1.6558813,39125.40560913086,1.56,0.00043987783,14.542253719266624,77.22,0.0,13471,1.44,0.0017249542,0.13051361344537815
0.00044244181,2919774,1.6441549,39255.877079725266,1.4130434782608696,0.00044244181,16.312910634893708,85.1086956521739,0.0,13517,1.5869565217391304,0.0016110087,0.13824837434655102
0.00069861603,2929873,1.6383458,39368.21054124832,1.6222222222222222,0.00069861603,18.066528103160046,93.46666666666667,0.0,13562,1.3777777777777778,0.00563483,0.14260571470626118
0.00018256022,2939894,1.6375654,39504.53336262703,1.7674418604651163,0.00018256022,16.50603973901401,86.51162790697674,0.0,13605,1.2325581395348837,0.00044597848,0.11534883720930235
0.00086350855,2949983,1.6475836,39640.91112160683,1.4285714285714286,0.00086350855,15.564832551667656,81.36734693877551,0.0,13654,1.5714285714285714,0.0048631844,0.14002951913510917
0.0007021833,2959993,1.653412,39762.025571107864,1.4772727272727273,0.0007021833,16.23514120269522,85.63636363636364,0.0,13698,1.5227272727272727,0.009180978,0.11418181818181822
0.0004432378,2969801,1.6379083,39890.61143040657,1.6,0.0004432378,16.79218433767052,87.6,0.0,13743,1.4,0.0017287318,0.12139259259259261
0.0007423299,2979947,1.6289058,40021.945343256,1.4807692307692308,0.0007423299,14.665681642261273,76.21153846153847,0.0,13795,1.5192307692307692,0.0047984296,0.1559960561475324
0.00082955527,2989963,1.6275539,40148.5399415493,1.6363636363636365,0.00082955527,17.354884957533177,91.0909090909091,0.0,13839,1.3636363636363635,0.0027953729,0.12145454545454544
0.00031001485,2999989,1.6479876,40273.17575716972,1.8095238095238095,0.00031001485,16.321391496466447,88.5,0.0,13881,1.1904761904761905,0.009967048,0.11885714285714288
0.0005482498,3009829,1.6722406,40401.88524413109,1.4893617021276595,0.0005482498,15.06683772921276,78.76595744680851,0.0,13928,1.5106382978723405,0.0015145305,0.10825382605449797
0.000983966,3019902,1.6940894,40531.70763921738,1.813953488372093,0.000983966,18.510179598167554,96.13953488372093,0.0,13971,1.186046511627907,0.003445255,0.132327796234773
0.00047959594,3029940,1.6665938,40659.32300615311,1.4285714285714286,0.00047959594,15.712340028698426,82.40816326530613,0.0,14020,1.5714285714285714,0.003301736,0.11684048359712391
0.0007332855,3039888,1.650841,40784.11551141739,1.3703703703703705,0.0007332855,14.232998554456959,72.61111111111111,0.0,14074,1.6296296296296295,0.0030177413,0.1319510696561954
0.0004926778,3049900,1.635,40907.39604520798,1.6818181818181819,0.0004926778,16.920469547052992,88.56818181818181,0.0,14118,1.3181818181818181,0.0025539498,0.1255757575757576
0.00034689732,3059946,1.6134037,41032.471121788025,1.6956521739130435,0.00034689732,15.071330953695199,79.3695652173913,0.0,14164,1.3043478260869565,0.0025327993,0.10582608695652175
0.00024322358,3069954,1.6242678,41150.36152148247,1.7142857142857142,0.00024322358,17.078690768503492,89.28571428571429,0.0,14206,1.2857142857142858,0.009475445,0.1190476190476191
0.0005565216,3079771,1.6377053,41278.03189086914,1.7380952380952381,0.0005565216,16.90165702162472,88.07142857142857,0.0,14248,1.2619047619047619,0.0042403126,0.1228331934418891
0.00022920329,3089802,1.6231711,41407.10898280144,1.7674418604651163,0.00022920329,17.072501937728042,89.30232558139535,0.0,14291,1.2325581395348837,0.0029513082,0.12090596562184032
0.00032605897,3099905,1.6134112,41529.20486474037,1.4042553191489362,0.00032605897,16.33035108634979,85.97872340425532,0.0,14338,1.5957446808510638,0.0031712356,0.13014429666316707
0.00071825663,3109939,1.5786536,41651.894260406494,1.4782608695652173,0.00071825663,16.091728028497105,84.45652173913044,0.0,14384,1.5217391304347827,0.0027715561,0.11562732919254662
0.0007555242,3119982,1.6087568,41770.15287280083,1.6046511627906976,0.0007555242,17.30061847911264,92.16279069767442,0.0,14427,1.3953488372093024,0.0034613006,0.1271935910399005
0.0011300313,3129778,1.6161296,41890.58738446236,1.511111111111111,0.0011300313,17.999946762973384,94.13333333333334,0.0,14472,1.488888888888889,0.0028583629,0.1407470484490092
0.00044599458,3139789,1.6208502,42007.54524922371,1.627906976744186,0.00044599458,19.063522098698197,99.90697674418605,0.0,14515,1.372093023255814,0.0018938812,0.1672602436323367
0.00058650586,3149792,1.6172684,42123.28442835808,1.8048780487804879,0.00058650586,18.871702874977533,98.63414634146342,0.0,14556,1.1951219512195121,0.0044616708,0.13151219512195123
0.00062471925,3159793,1.6298912,42247.72338891029,1.5609756097560976,0.00062471925,18.111081351887588,95.63414634146342,0.0,14597,1.4390243902439024,0.0034662674,0.12751219512195122
0.00036721802,3169841,1.6620175,42350.76864409447,1.6136363636363635,0.00036721802,16.188747576649714,83.18181818181819,0.0,14641,1.3863636363636365,0.007772054,0.11336829836829843
0.0008251315,3179863,1.6656469,42475.83724069595,1.5869565217391304,0.0008251315,15.622150849365337,81.32608695652173,0.0,14687,1.4130434782608696,0.010452889,0.1242360248447205
0.00074301375,3189898,1.6706449,42601.57757616043,1.3777777777777778,0.00074301375,18.41850579272082,95.0,0.0,14732,1.6222222222222222,0.001736941,0.13636543209876545
0.00043702903,3199959,1.6597981,42721.63535737991,1.3829787234042554,0.00043702903,16.89852698334731,89.04255319148936,0.0,14779,1.6170212765957446,0.0013618851,0.12825991477727203
0.00074131065,3209775,1.647217,42848.560151815414,1.2444444444444445,0.00074131065,17.58015362978254,90.66666666666667,0.0,14824,1.7555555555555555,0.0068969443,0.12803171730230556
0.00045705008,3219777,1.6266198,42964.72295045853,1.5,0.00045705008,19.491304879504405,101.35714285714286,0.0,14866,1.5,0.0022928435,0.13514285714285718
0.0008494914,3229801,1.6278158,43096.74371981621,1.4545454545454546,0.0008494914,16.92375347005064,89.6590909090909,0.0,14910,1.5454545454545454,0.0014307775,0.12203743315508021
0.0010054046,3239818,1.6617336,43217.64111995697,1.6046511627906976,0.0010054046,16.28792391885531,84.0,0.0,14953,1.3953488372093024,0.0039238953,0.11200000000000002
0.0007799147,3249873,1.6920172,43350.89033341408,1.2765957446808511,0.0007799147,16.00115130347813,83.1063829787234,0.0,15000,1.7234042553191489,0.0046992167,0.11911274150158963
0.0004644572,3259890,1.7092189,43483.557752132416,1.372093023255814,0.0004644572,17.967472313924855,94.74418604651163,0.0,15043,1.627906976744186,0.0013586148,0.15536575052854126
