TimestepsSoFar,entloss,optimgain,AttC,MtR,entropy,Fce,TtR,EpisodesSoFar,meankl,TimeElapsed,surrgain,AttNC
629951,0.0,0.0031402786,0.047619047619047616,17.16865383774246,0.39822486,0.12104761904761906,30.261904761904763,3460,0.0053050024,4954.960143566132,0.0031402786,0.9523809523809523
639956,0.0,0.0021348954,0.1111111111111111,15.6745797639685,0.37379125,0.10960000000000003,27.4,3505,0.0039950586,5043.6702535152435,0.0021348954,0.8888888888888888
649960,0.0,0.002466812,0.09090909090909091,15.822389197990509,0.39333785,0.1102727272727273,27.568181818181817,3549,0.0050403317,5120.16598200798,0.002466812,0.9090909090909091
659968,0.0,0.002721288,0.16666666666666666,15.68688592023984,0.34768763,0.11016666666666669,27.541666666666668,3597,0.00454587,5191.765339851379,0.002721288,0.8333333333333334
669971,0.0,0.0021763267,0.06976744186046512,18.702406332374053,0.34981132,0.12911627906976747,32.27906976744186,3640,0.003164592,5272.004673957825,0.0021763267,0.9302325581395349
679981,0.0,0.002381002,0.09090909090909091,17.828365374804324,0.38734353,0.15088311688311684,31.272727272727273,3684,0.004186458,5358.041524410248,0.002381002,0.9090909090909091
689988,0.0,0.0023268142,0.1111111111111111,17.953034492343,0.34752315,0.13140740740740742,31.022222222222222,3729,0.009747756,5425.735082387924,0.0023268142,0.8888888888888888
699992,0.0,0.0018308387,0.047619047619047616,18.77399388747487,0.31845468,0.1304761904761905,32.61904761904762,3771,0.0056708795,5505.142763376236,0.0018308387,0.9523809523809523
709994,0.0,0.0041458923,0.047619047619047616,17.528755222908572,0.34877127,0.12190476190476193,30.476190476190474,3813,0.009646066,5583.286365509033,0.0041458923,0.9523809523809523
719997,0.0,0.0015838302,0.06976744186046512,17.348765295229125,0.38374,0.12158139534883722,30.3953488372093,3856,0.0022485668,5664.957478761673,0.0015838302,0.9302325581395349
729757,0.0,0.0023039626,0.04878048780487805,18.93564600503998,0.3437958,0.13336585365853657,33.34146341463415,3897,0.0052009104,5752.80006814003,0.0023039626,0.9512195121951219
739761,0.0,0.0028307054,0.09090909090909091,16.570925282504685,0.3469849,0.13818181818181818,28.886363636363637,3941,0.008463917,5818.94221663475,0.0028307054,0.9090909090909091
749762,0.0,0.0032725418,0.024390243902439025,18.91112485890515,0.36349514,0.13092682926829272,32.73170731707317,3982,0.008236288,5903.235436677933,0.0032725418,0.975609756097561
759763,0.0,0.0032533447,0.024390243902439025,19.346458137997157,0.39422706,0.13414634146341464,33.53658536585366,4023,0.006223699,5979.267630338669,0.0032533447,0.975609756097561
769767,0.0,0.0035219833,0.09090909090909091,19.89089673108431,0.34912112,0.138,34.5,4067,0.0086572,6049.480244398117,0.0035219833,0.9090909090909091
779810,0.0,0.0014361519,0.1111111111111111,18.78730166318959,0.3394012,0.13385264834727206,32.71111111111111,4112,0.0057772733,6133.912449598312,0.0014361519,0.8888888888888888
789831,0.0,0.0006231621,0.1111111111111111,19.67308932427688,0.34528664,0.16219797979797979,34.53333333333333,4157,0.0069396356,6215.72486448288,0.0006231621,0.8888888888888888
799842,0.0,0.0033354126,0.06976744186046512,19.116145662130855,0.3305628,0.13330232558139532,33.325581395348834,4200,0.0049942066,6295.364177465439,0.0033354126,0.9302325581395349
809850,0.0,0.0015417042,0.09090909090909091,18.62011601168569,0.33520398,0.1301818181818182,32.54545454545455,4244,0.0020339116,6367.719412326813,0.0015417042,0.9090909090909091
