Tbt,entropy,AttNC,surrgain,TimeElapsed,TimestepsSoFar,Tmt,TtR,EpisodesSoFar,MpbtN,entloss,meankl,AttC,MpbtA,optimgain,Tmc,MtR,Ptt
321981.2173913043,0.34956858,0.7608695652173914,0.0049711447,7792.435020208359,169990,78.6086956521739,-161.67391304347825,3283,68.49425534867586,0.0,0.0029769517,2.239130434782609,31.50574465132413,0.0049711447,25.391304347826086,-32.08034688561757,76.57030999524407
323298.23255813954,0.34167492,1.0930232558139534,0.0049679046,7906.555905818939,179839,78.93023255813954,-157.53488372093022,3326,66.53687028972698,0.0,0.0033532833,1.9069767441860466,33.46312971027303,0.0049679046,25.069767441860463,-31.256300036539223,76.87088870604403
320950.85714285716,0.35996908,1.2380952380952381,0.0052965963,8020.226973772049,189896,78.35714285714286,-154.42857142857142,3368,65.65549592592646,0.0,0.003749017,1.7619047619047619,34.34450407407352,0.0052965963,25.642857142857142,-30.288644336275254,76.3365547881794
319097.90476190473,0.36822727,1.1904761904761905,0.0052918373,8135.521714448929,199841,77.9047619047619,-154.78571428571428,3410,66.241717470815,0.0,0.0038968765,1.8095238095238095,33.75828252918496,0.0052918373,26.095238095238095,-30.146154880066703,75.91536418195412
326405.68888888886,0.3933058,0.5555555555555556,0.004867812,8254.14155626297,209819,79.68888888888888,-166.33333333333334,3455,69.51381357823836,0.0,0.0026159333,2.4444444444444446,30.486186421761634,0.004867812,24.31111111111111,-32.69732618496587,77.57863043494477
322855.8222222222,0.38262478,0.6444444444444445,0.0037797866,8371.990005016327,219977,78.82222222222222,-161.0,3500,68.07899940485524,0.0,0.0025042119,2.3555555555555556,31.92100059514478,0.0037797866,25.155555555555555,-30.99366598738189,76.78736645382462
326587.73333333334,0.36812142,0.6666666666666666,0.0045469706,8495.067678689957,229823,79.73333333333333,-170.2,3545,71.11482033394087,0.0,0.002681042,2.3333333333333335,28.885179666059113,0.0045469706,24.266666666666666,-32.84906017109732,77.61856420151415
325453.9130434783,0.39269546,0.6739130434782609,0.0047373944,8613.169340610504,239971,79.45652173913044,-163.82608695652175,3591,68.63734439886517,0.0,0.0026108718,2.3260869565217392,31.362655601134808,0.0047373944,24.543478260869566,-31.809702988997273,77.36362905390642
323397.8181818182,0.36907202,0.8181818181818182,0.004399161,8732.535256385803,249883,78.95454545454545,-158.86363636363637,3635,66.95498595950578,0.0,0.002613613,2.1818181818181817,33.04501404049421,0.004399161,25.09090909090909,-31.40688954509089,76.86234275667283
322901.3333333333,0.37437195,0.7708333333333334,0.004680525,8856.963392734528,259964,78.83333333333333,-157.875,3683,66.63160187994181,0.0,0.0026851532,2.2291666666666665,33.368398120058195,0.004680525,25.145833333333332,-31.525985609289666,76.79714040794612
318154.4186046512,0.36287522,0.9069767441860465,0.004763324,8974.81655883789,269825,77.67441860465117,-158.58139534883722,3726,68.00139002433139,0.0,0.0028188417,2.0930232558139537,31.9986099756686,0.004763324,26.348837209302324,-30.828021254593015,75.68330970490229
318566.4,0.3615263,1.275,0.0050898315,9090.318706274033,279785,77.775,-154.65,3766,66.18841479708071,0.0,0.0030964427,1.725,33.81158520291928,0.0050898315,26.225,-29.828491150233003,75.78948948336206
319678.511627907,0.3442347,1.372093023255814,0.004294124,9206.067095279694,289876,78.04651162790698,-157.53488372093022,3809,67.31005259251438,0.0,0.0027360367,1.627906976744186,32.68994740748563,0.004294124,25.976744186046513,-31.03349528092964,76.03106856527468
320073.14285714284,0.3411856,1.5952380952380953,0.004474711,9319.317815065384,299811,78.14285714285714,-152.78571428571428,3851,65.09325992078796,0.0,0.0032590933,1.4047619047619047,34.906740079212035,0.004474711,25.857142857142858,-30.392484964377537,76.13700973849868
315209.9555555555,0.34580112,1.0222222222222221,0.0046889386,9437.050104618073,309973,76.95555555555555,-151.53333333333333,3896,65.55545332996219,0.0,0.0029276153,1.9777777777777779,34.4445466700378,0.0046889386,27.066666666666666,-30.233043976683966,75.01310497612084
323774.511627907,0.37777457,0.7441860465116279,0.004911755,9552.34777021408,319857,79.04651162790698,-151.74418604651163,3939,63.93622546827293,0.0,0.0030612254,2.255813953488372,36.06377453172706,0.004911755,24.953488372093023,-30.00017944145899,76.97999474979667
321126.4,0.36568823,0.8222222222222222,0.004716941,9668.19430065155,329854,78.4,-155.53333333333333,3984,66.0299374291263,0.0,0.0033310435,2.1777777777777776,33.97006257087369,0.004716941,25.622222222222224,-30.61407665442192,76.36163447857285
317905.45454545453,0.37054676,1.0681818181818181,0.005598039,9785.84265780449,339934,77.61363636363636,-148.5681818181818,4028,63.72798820639548,0.0,0.0036436473,1.9318181818181819,36.27201179360449,0.005598039,26.386363636363637,-29.47472711451877,75.6438165629232
313010.6046511628,0.34209862,1.0465116279069768,0.0053839455,9905.717941522598,349849,76.4186046511628,-150.13953488372093,4071,65.42531996878826,0.0,0.0033053085,1.9534883720930232,34.57468003121171,0.0053839455,27.58139534883721,-29.51178040248091,74.524245632731
321243.4285714286,0.3658476,1.119047619047619,0.0041440553,10021.619578123093,359811,78.42857142857143,-155.21428571428572,4113,65.87570813978681,0.0,0.002364829,1.880952380952381,34.12429186021317,0.0041440553,25.571428571428573,-30.210792646763487,76.40203377274425
318743.2727272727,0.3888402,1.0454545454545454,0.0052773585,10137.250275611877,369997,77.81818181818181,-153.61363636363637,4157,65.72815272053242,0.0,0.0037893676,1.9545454545454546,34.271847279467515,0.0052773585,26.181818181818183,-29.99864572897642,75.83508692014881
321256.7272727273,0.37604663,0.9090909090909091,0.00401852,10254.260650873184,379935,78.43181818181819,-154.0909090909091,4201,65.35855034743982,0.0,0.002597209,2.090909090909091,34.641449652560155,0.00401852,25.545454545454547,-30.184041173728836,76.42394897969197
319878.09523809527,0.35681307,0.9047619047619048,0.004014184,10369.82735323906,389825,78.0952380952381,-151.5,4243,64.56239571331912,0.0,0.0030591444,2.0952380952380953,35.43760428668087,0.004014184,25.904761904761905,-29.476892617199475,76.09113834871937
319392.74418604653,0.38287494,0.9302325581395349,0.004065338,10487.855705499649,399900,77.97674418604652,-153.34883720930233,4286,65.53194796956667,0.0,0.0025947944,2.0697674418604652,34.468052030433284,0.004065338,26.046511627906977,-30.33918672020092,75.96576055510103
323677.0909090909,0.36725312,1.0,0.005445711,10602.739209890366,409945,79.02272727272727,-158.04545454545453,4330,66.65579508428301,0.0,0.003159458,2.0,33.34420491571695,0.005445711,24.977272727272727,-31.047323603156823,76.95945104758344
316659.8095238095,0.33707535,1.3333333333333333,0.0051506613,10716.993271827698,419914,77.30952380952381,-145.64285714285714,4372,62.662956348971335,0.0,0.0039117797,1.6666666666666667,37.33704365102864,0.0051506613,26.69047619047619,-28.971293799662,75.35710596327483
324250.79069767444,0.3677861,1.1395348837209303,0.0066967937,10832.786973714828,429943,79.16279069767442,-163.6046511627907,4415,68.81232746989531,0.0,0.004332839,1.8604651162790697,31.187672530104702,0.0066967937,24.837209302325583,-31.488036608961366,77.08840288022216
316091.31707317074,0.34420392,1.0731707317073171,0.0050109,10949.622306585312,439761,77.17073170731707,-150.58536585365854,4456,64.87025173519035,0.0,0.0038030734,1.9268292682926829,35.12974826480962,0.0050109,26.853658536585368,-28.79597193712648,75.20923235064006
