Tbt,entropy,AttC,TtR,MpbtA,Tmc,surrgain,optimgain,MtR,meankl,TimestepsSoFar,entloss,AttNC,Tmt,TimeElapsed,EpisodesSoFar,MpbtN,Ptt
324891.2340425532,0.35690424,2.1914893617021276,-160.40425531914894,32.74975120358062,24.680851063829788,0.0026873616,0.0026873616,-31.05879799410134,0.00694916,109831,0.0,0.8085106382978723,79.31914893617021,6397.642967939377,2770,67.25024879641937,77.23400285768375
324461.71428571426,0.35482162,0.6904761904761905,-157.21428571428572,33.88109534809034,24.785714285714285,0.0036513316,0.0036513316,-30.70907190036675,0.007205301,119971,0.0,2.3095238095238093,79.21428571428571,6513.721294879913,2812,66.11890465190966,77.13811781623465
321268.8695652174,0.33354414,1.891304347826087,-157.3695652173913,33.09953021781984,25.565217391304348,0.0024835186,0.0024835186,-31.263740759510355,0.005061207,129951,0.0,1.108695652173913,78.43478260869566,6632.654004573822,2858,66.90046978218015,76.407605554709
322998.85714285716,0.25887895,0.9047619047619048,-151.92857142857142,35.8677555640085,25.142857142857142,0.0021175176,0.0021175176,-30.143257269434248,0.006180434,139820,0.0,2.0952380952380953,78.85714285714286,6751.425808906555,2900,64.13224443599148,76.80291530849588
320950.85714285716,0.329802,0.42857142857142855,-153.28571428571428,34.85382137984842,25.642857142857142,0.0044445843,0.0044445843,-30.26692306897517,0.008871323,149968,0.0,2.5714285714285716,78.35714285714286,6870.252348423004,2942,65.1461786201516,76.33641425633675
321035.3777777778,0.40409404,1.6222222222222222,-149.46666666666667,36.41669890998713,25.622222222222224,0.0038165406,0.0038165406,-30.105382269297326,0.006556268,159945,0.0,1.3777777777777778,78.37777777777778,6984.149521827698,2987,63.58330109001289,76.35718974128224
323820.3076923077,0.34977788,2.6153846153846154,-164.3653846153846,30.799497753985204,24.942307692307693,0.003638621,0.003638621,-32.6291740205831,0.0077049015,169968,0.0,0.38461538461538464,79.0576923076923,7112.881230354309,3039,69.20050224601479,76.98994690150421
321340.95238095237,0.38590267,1.0238095238095237,-142.92857142857142,39.32891896272883,25.547619047619047,0.0038544412,0.0038544412,-28.329461518537226,0.009154382,179840,0.0,1.9761904761904763,78.45238095238095,7225.91770529747,3081,60.67108103727117,76.42724978397739
325468.16,0.36791915,2.1,-165.24,30.71804114617606,24.54,0.0047673606,0.0047673606,-33.97216477870727,0.008016963,189929,0.0,0.9,79.46,7353.230985164642,3131,69.28195885382392,77.36606227768272
321202.6046511628,0.35625505,1.1395348837209303,-146.37209302325581,37.75051666546315,25.6046511627907,0.002461437,0.002461437,-29.178583174041975,0.0067703016,199843,0.0,1.8604651162790697,78.4186046511628,7467.7051067352295,3174,62.249483334536855,76.38098069072076
318395.73333333334,0.36116776,1.8666666666666667,-143.53333333333333,38.600150644358195,26.266666666666666,0.0028400929,0.0028400929,-28.466172270990153,0.00632402,209971,0.0,1.1333333333333333,77.73333333333333,7581.558731079102,3219,61.39984935564181,75.75521359907911
320853.3333333333,0.36349156,1.8666666666666667,-147.66666666666666,37.16406000723213,25.666666666666668,0.0030215322,0.0030215322,-29.505917585381784,0.0076288492,219859,0.0,1.1333333333333333,78.33333333333333,7697.99262547493,3264,62.835939992767855,76.31676081031657
320359.4893617021,0.3311391,1.9574468085106382,-151.40425531914894,35.521501544978435,25.78723404255319,0.0017072632,0.0017072632,-30.44713557039215,0.0068194224,229880,0.0,1.0425531914893618,78.2127659574468,7821.27604842186,3311,64.47849845502158,76.20548727345462
319202.23255813954,0.3852045,1.4651162790697674,-143.93023255813952,38.48456159933904,26.069767441860463,0.003468791,0.003468791,-29.113879087239077,0.007233357,239802,0.0,1.5348837209302326,77.93023255813954,7934.790190219879,3354,61.51543840066094,75.94161305200772
318241.39130434784,0.3679318,2.239130434782609,-151.56521739130434,35.02469580906518,26.304347826086957,0.0016319794,0.0016319794,-29.951181091849968,0.0038127676,249792,0.0,0.7608695652173914,77.69565217391305,8054.225736141205,3400,64.9753041909348,75.71989985049906
318184.7272727273,0.39499274,1.25,-138.6818181818182,40.51474855971499,26.318181818181817,0.0051064147,0.0051064147,-28.166957158982232,0.008913005,259937,0.0,1.75,77.68181818181819,8166.621592998505,3444,59.485251440285,75.70801300235534
318604.54901960783,0.35050318,2.6470588235294117,-150.0,35.800320661786245,26.215686274509803,0.0039236625,0.0039236625,-30.091269053975143,0.0071117054,269892,0.0,0.35294117647058826,77.7843137254902,8301.847149848938,3495,64.19967933821377,75.8017347680039
322821.9534883721,0.39083716,1.186046511627907,-145.67441860465115,38.45423317929999,25.162790697674417,0.002793961,0.002793961,-29.160813193729535,0.0069860173,279847,0.0,1.813953488372093,78.81395348837209,8414.183690309525,3538,61.5457668207,76.78193522122773
319943.1111111111,0.35838282,1.7333333333333334,-139.6,40.49434005576826,25.91111111111111,0.0016978546,0.0016978546,-27.9263874026467,0.003928456,289950,0.0,1.2666666666666666,78.11111111111111,8526.67447733879,3583,59.505659944231745,76.09470047263972
316757.3333333333,0.36552855,2.0444444444444443,-141.26666666666668,39.16860008667015,26.666666666666668,0.0016382202,0.0016382202,-27.98434986208008,0.003629237,299962,0.0,0.9555555555555556,77.33333333333333,8641.815888643265,3628,60.83139991332983,75.38151597435635
316695.2727272727,0.3774085,1.5,-139.02272727272728,40.10092304736757,26.704545454545453,0.0028184764,0.0028184764,-27.894498178840696,0.0054489197,309845,0.0,1.5,77.31818181818181,8755.146256685257,3672,59.89907695263241,75.35381664682458
316638.60869565216,0.36416882,1.8478260869565217,-142.95652173913044,38.45091417776711,26.717391304347824,0.0023148407,0.0023148407,-28.182210292555574,0.004288215,319945,0.0,1.1521739130434783,77.30434782608695,8872.340528964996,3718,61.54908582223288,75.34017959438634
320580.26666666666,0.33545637,1.1777777777777778,-143.4,38.97027932348642,25.733333333333334,0.0019516998,0.0019516998,-29.51445423381031,0.0033992024,329818,0.0,1.8222222222222222,78.26666666666667,8987.701652526855,3763,61.0297206765136,76.25582492859692
316282.4347826087,0.33787364,1.8043478260869565,-137.80434782608697,40.54267273644386,26.782608695652176,0.0019347016,0.0019347016,-27.91188117696336,0.00460789,339861,0.0,1.1956521739130435,77.21739130434783,9105.667760372162,3809,59.457327263556124,75.27522081243158
318486.7555555556,0.29903993,1.1777777777777778,-141.06666666666666,39.63569356423755,26.244444444444444,0.0027247376,0.0027247376,-28.477864846615688,0.0078114374,349890,0.0,1.8222222222222222,77.75555555555556,9224.43857049942,3854,60.36430643576243,75.77654708970243
313963.16279069765,0.30347568,0.9767441860465116,-139.53488372093022,39.40398259144647,27.348837209302324,0.002406727,0.002406727,-28.635644989712674,0.0048049837,359847,0.0,2.0232558139534884,76.65116279069767,9340.77085185051,3897,60.596017408553514,74.74469249161407
317160.7272727273,0.33767176,1.0227272727272727,-137.5909090909091,40.81617317555913,26.568181818181817,0.002308128,0.002308128,-28.059246440036233,0.0062803896,369864,0.0,1.9772727272727273,77.43181818181819,9456.703461647034,3941,59.18382682444087,75.47518277894982
316994.7826086957,0.35507277,1.391304347826087,-145.2391304347826,37.59179019722935,26.608695652173914,0.0015290538,0.0015290538,-29.17623039293449,0.002769136,379975,0.0,1.608695652173913,77.3913043478261,9573.749590396881,3987,62.40820980277064,75.4369373073671
316302.22222222225,0.33482787,1.288888888888889,-135.4,41.65663118602394,26.8,0.0026684504,0.0026684504,-27.590181199004373,0.007937054,389918,0.0,1.711111111111111,77.22222222222223,9688.762377500534,4032,58.34336881397605,75.26521035052882
317160.7272727273,0.3214729,1.3636363636363635,-140.3181818181818,39.61059037036551,26.568181818181817,0.002864449,0.002864449,-27.95605088658008,0.006166576,399911,0.0,1.6363636363636365,77.43181818181819,9802.994354009628,4076,60.3894096296345,75.47534189555996
315578.1818181818,0.33401662,0.5909090909090909,-136.02272727272728,41.25380312263594,26.977272727272727,0.00205578,0.00205578,-27.65712892250059,0.005412186,409920,0.0,2.409090909090909,77.04545454545455,9918.063982725143,4120,58.74619687736408,75.09956119809448
319964.27906976745,0.39788193,1.0930232558139534,-140.1627906976744,40.287646583287355,25.906976744186046,0.0022424336,0.0022424336,-27.999544721613457,0.0057279035,419853,0.0,1.9069767441860466,78.11627906976744,10033.561776638031,4163,59.71235341671264,76.10014158502574
320256.0,0.36091563,2.0416666666666665,-150.875,35.71012294912286,25.8125,0.0024179108,0.0024179108,-30.620790842022256,0.009038511,429957,0.0,0.9583333333333334,78.1875,10154.276689291,4211,64.28987705087714,76.17778797629624
313902.54545454547,0.34786242,0.8863636363636364,-131.38636363636363,42.91325155754246,27.363636363636363,0.0024822825,0.0024822825,-27.56868305750064,0.0069410913,439825,0.0,2.1136363636363638,76.63636363636364,10272.949541330338,4255,57.08674844245755,74.73140746697955
314323.47826086957,0.34365836,2.0869565217391304,-138.2608695652174,39.968349298726565,27.26086956521739,0.002536976,0.002536976,-27.659369886687422,0.005674667,449824,0.0,0.9130434782608695,76.73913043478261,10394.581671714783,4301,60.03165070127342,74.82591194730733
321722.1818181818,0.3527089,1.0681818181818181,-143.79545454545453,38.96770664910155,25.477272727272727,0.0021033792,0.0021033792,-29.279724477132152,0.0036029874,459825,0.0,1.9318181818181819,78.54545454545455,10510.7503221035,4345,61.032293350898456,76.49879345228328
319305.9555555555,0.3422714,1.511111111111111,-132.46666666666667,43.402617555946314,26.066666666666666,0.0023347777,0.0023347777,-27.355126619843183,0.0033568628,469885,0.0,1.488888888888889,77.95555555555555,10627.892562150955,4390,56.59738244405368,75.94804837382718
319208.7272727273,0.37328717,1.3181818181818181,-135.20454545454547,42.22829357675404,26.068181818181817,0.0027595246,0.0027595246,-27.408919867829738,0.0067613297,479829,0.0,1.6818181818181819,77.93181818181819,10742.582533121109,4434,57.77170642324595,75.94098694698111
317529.04347826086,0.3207966,1.7608695652173914,-142.04347826086956,39.036270693685815,26.456521739130434,0.004395097,0.004395097,-28.500771329614544,0.008496451,489839,0.0,1.2391304347826086,77.52173913043478,10862.393523454666,4480,60.96372930631416,75.57452485153792
317212.44444444444,0.36774576,0.4444444444444444,-137.26666666666668,40.93080567248502,26.555555555555557,0.0048331344,0.0048331344,-28.601092154113328,0.011853762,499958,0.0,2.5555555555555554,77.44444444444444,10978.355705976486,4525,59.069194327514985,75.48719299871452
320307.2,0.3229716,1.98,-145.44,38.18716733852727,25.8,0.0037166222,0.0037166222,-29.937101174489225,0.0073442897,509974,0.0,1.02,78.2,11100.305560350418,4575,61.81283266147273,76.19235250897492
316302.22222222225,0.3061635,0.9555555555555556,-138.33333333333334,40.328345192575064,26.77777777777778,0.0013494288,0.0013494288,-28.82837491020237,0.0029538814,519866,0.0,2.0444444444444443,77.22222222222223,11219.234769105911,4620,59.67165480742496,75.27945661569886
316484.26666666666,0.3673624,0.6888888888888889,-134.26666666666668,42.15801300444182,26.733333333333334,0.0034918273,0.0034918273,-27.80674823117755,0.008443003,529965,0.0,2.311111111111111,77.26666666666667,11335.630354642868,4665,57.84198699555818,75.32193087602299
323118.54545454547,0.3758841,1.7272727272727273,-152.11363636363637,35.81798735005791,25.113636363636363,0.0025296067,0.0025296067,-30.10146858578921,0.0056218132,539917,0.0,1.2727272727272727,78.88636363636364,11447.8447535038,4709,64.18201264994208,76.83239114000258
316029.15555555554,0.32973,1.0,-130.53333333333333,43.601935965842685,26.866666666666667,0.002292751,0.002292751,-26.22527064030274,0.004534858,549860,0.0,2.0,77.15555555555555,11564.442018985748,4754,56.398064034157294,75.20109868912336
316509.0909090909,0.34995404,1.2045454545454546,-137.1818181818182,40.91109611380353,26.727272727272727,0.002131669,0.002131669,-27.48383262212677,0.0045086863,559934,0.0,1.7954545454545454,77.27272727272727,11679.752929449081,4798,59.088903886196455,75.32620405760525
315764.36363636365,0.363481,0.9545454545454546,-129.8181818181818,43.81913952100961,26.90909090909091,0.0037678801,0.0037678801,-26.419692642376845,0.0074872486,569969,0.0,2.0454545454545454,77.0909090909091,11793.415022850037,4842,56.18086047899037,75.15700427595984
321625.04347826086,0.36269352,1.5434782608695652,-150.1304347826087,36.41655096724314,25.47826086956522,0.0029786602,0.0029786602,-30.308804894288112,0.00557235,579980,0.0,1.4565217391304348,78.52173913043478,11913.286666631699,4888,63.58344903275687,76.49188788241014
315483.02222222224,0.32526866,0.9111111111111111,-132.13333333333333,42.880831943337355,27.0,0.0015380897,0.0015380897,-27.023704776067913,0.004925359,589923,0.0,2.088888888888889,77.02222222222223,12028.774108409882,4933,57.119168056662645,75.07811153459753
317212.44444444444,0.36655867,0.9333333333333333,-135.2,41.839552911598446,26.555555555555557,0.0022027974,0.0022027974,-27.723006010787042,0.0070868786,599837,0.0,2.066666666666667,77.44444444444444,12144.318712234497,4978,58.16044708840154,75.4872920697258
322604.52173913043,0.3788476,1.7391304347826086,-151.43478260869566,35.92204889093847,25.23913043478261,0.0041438253,0.0041438253,-30.035062909217018,0.0069810757,609784,0.0,1.2608695652173914,78.76086956521739,12263.467524051666,5024,64.07795110906153,76.71479817336775
315570.0869565217,0.31390145,1.108695652173913,-138.2608695652174,40.32368279404036,26.97826086956522,0.0045954795,0.0045954795,-28.471721411777363,0.008259636,619940,0.0,1.891304347826087,77.04347826086956,12382.171958208084,5070,59.67631720595964,75.09753580876486
