AttC,Fce,EpisodesSoFar,TtR,AttNC,TimestepsSoFar,meankl,entropy,surrgain,TimeElapsed,optimgain,entloss,MtR
0.0,1.0,9461,2500.0,10.0,2259883,0.010174871,-1.7405571,0.00016856934,23129.61027598381,0.00016856934,0.0,142.8784238871937
0.0,1.0,9501,2500.0,10.0,2269883,0.010174863,-1.8381356,0.0003206375,23217.74487042427,0.0003206375,0.0,142.8784238871937
0.0,1.0,9541,2500.0,10.0,2279883,0.008933416,-1.7405571,0.0001624464,23306.188581466675,0.0001624464,0.0,142.8784238871937
0.0,1.0,9581,2500.0,10.0,2289883,0.008931296,-1.6429564,0.00047105926,23401.95837545395,0.00047105926,0.0,142.8784238871937
0.0,1.0,9621,2500.0,10.0,2299883,0.010174871,-1.7405639,0.00013435453,23489.287443876266,0.00013435453,0.0,142.8784238871937
0.0,1.0,9661,2500.0,10.0,2309883,0.008931637,-1.6429815,0.0003319075,23594.612226963043,0.0003319075,0.0,142.8784238871937
0.0,1.0,9701,2500.0,10.0,2319883,0.00014996529,-1.6551632,3.2073976e-07,23683.64395904541,3.2073976e-07,0.0,142.8784238871937
0.0,1.0,9741,2500.0,10.0,2329883,0.010172359,-1.7527643,0.0004487078,23788.22083258629,0.0004487078,0.0,142.8784238871937
0.0,1.0,9781,2500.0,10.0,2339883,0.010174781,-1.8503425,0.00021152472,23878.217486858368,0.00021152472,0.0,142.8784238871937
0.0,1.0,9821,2500.0,10.0,2349883,0.010174781,-1.9479169,0.00011017991,23975.68784379959,0.00011017991,0.0,142.8784238871937
0.0,1.0,9861,2500.0,10.0,2359883,0.010174863,-2.0455315,0.00018188616,24066.180220127106,0.00018188616,0.0,142.8784238871937
0.0,1.0,9901,2500.0,10.0,2369883,0.008933204,-1.9479572,5.808773e-05,24165.60143184662,5.808773e-05,0.0,142.8784238871937
0.0,1.0,9941,2500.0,10.0,2379883,0.0089264,-1.8503768,0.00015423464,24257.558680295944,0.00015423464,0.0,142.8784238871937
0.0,1.0,9981,2500.0,10.0,2389883,0.010171422,-1.9479666,0.00026396057,24358.24358868599,0.00026396057,0.0,142.8784238871937
0.0,1.0,10021,2500.0,10.0,2399883,0.010175116,-2.0455396,0.00013623864,24455.88890194893,0.00013623864,0.0,142.8784238871937
0.0,1.0,10061,2500.0,10.0,2409883,0.01017476,-2.1431534,2.0318632e-05,24546.46147608757,2.0318632e-05,0.0,142.8784238871937
0.0,1.0,10101,2500.0,10.0,2419883,0.010088655,-2.2403479,0.00010666168,24655.705572128296,0.00010666168,0.0,142.8784238871937
0.0,1.0,10141,2500.0,10.0,2429883,0.008933204,-2.14273,0.00016563904,24746.709728479385,0.00016563904,0.0,142.8784238871937
0.0,1.0,10181,2500.0,10.0,2439883,0.008933204,-2.0451589,0.00046459227,24844.01764011383,0.00046459227,0.0,142.8784238871937
0.0,1.0,10221,2500.0,10.0,2449883,0.008933102,-1.9475487,0.0005604325,24940.636743307114,0.0005604325,0.0,142.8784238871937
0.0,1.0,10261,2500.0,10.0,2459883,0.008932251,-1.8499755,0.0005392017,25036.487139940262,0.0005392017,0.0,142.8784238871937
0.0,1.0,10301,2500.0,10.0,2469883,3.7372112e-05,-1.8560784,1.5404702e-07,25135.567914247513,1.5404702e-07,0.0,142.8784238871937
0.0,1.0,10341,2500.0,10.0,2479883,0.010174751,-1.9536519,0.00036712893,25231.278912067413,0.00036712893,0.0,142.8784238871937
0.0,1.0,10381,2500.0,10.0,2489883,0.008933204,-1.8560784,0.00018296475,25321.156635284424,0.00018296475,0.0,142.8784238871937
0.0,1.0,10421,2500.0,10.0,2499883,0.01017476,-1.9536519,6.900959e-06,25415.20082306862,6.900959e-06,0.0,142.8784238871937
0.0,1.0,10461,2500.0,10.0,2509883,0.008933204,-1.8560783,0.00047194047,25508.41551876068,0.00047194047,0.0,142.8784238871937
0.0,1.0,10501,2500.0,10.0,2519883,0.010174863,-1.9536519,0.00044040085,25597.80677461624,0.00044040085,0.0,142.8784238871937
0.0,1.0,10541,2500.0,10.0,2529883,0.008933204,-1.8560783,0.00031979085,25696.98306632042,0.00031979085,0.0,142.8784238871937
0.0,1.0,10581,2500.0,10.0,2539883,0.008933102,-1.7584683,0.0005029426,25793.806317329407,0.0005029426,0.0,142.8784238871937
0.0,1.0,10621,2500.0,10.0,2549883,0.00893351,-1.660889,6.8603105e-05,25885.809076070786,6.8603105e-05,0.0,142.8784238871937
0.0,1.0,10661,2500.0,10.0,2559883,0.010174781,-1.7584682,3.251314e-05,25977.319776296616,3.251314e-05,0.0,142.8784238871937
0.0,1.0,10701,2500.0,10.0,2569883,0.010174863,-1.8560783,0.0004155085,26069.774468183517,0.0004155085,0.0,142.8784238871937
