Tmt,TimestepsSoFar,optimgain,MtR,Ptt,MpbtN,TimeElapsed,MpbtA,AttNC,Tbt,entropy,entloss,meankl,EpisodesSoFar,AttC,Tmc,TtR,surrgain
81.3157894736842,1849963,0.006946167,-36.817014334975426,79.11029460481222,81.641453947263,32888.33702850342,18.358546052736994,0.5263157894736842,333069.4736842105,0.21192576,0.0,0.0067020445,10301,0.47368421052631576,22.657894736842106,-66.39473684210526,0.006946167
81.74358974358974,1859861,0.007353876,-37.930821751049706,79.50606106841839,81.69529136194615,33025.42802977562,18.30470863805386,0.41025641025641024,334821.74358974356,0.18282901,0.0,0.005891597,10340,0.5897435897435898,22.23076923076923,-66.7948717948718,0.007353876
82.15384615384616,1869768,0.0085806865,-37.63387292335541,79.89019998425739,81.85654186475224,33160.86218833923,18.14345813524779,0.358974358974359,336502.1538461539,0.20955254,0.0,0.005578614,10379,0.6410256410256411,21.82051282051282,-67.23076923076923,0.0085806865
81.65,1879780,0.006384658,-38.05738520949542,79.42242564650773,82.2268540823023,33298.8883600235,17.773145917697697,0.35,334438.4,0.19118787,0.0,0.005281901,10419,0.65,22.325,-67.125,0.006384658
82.125,1889903,0.0051749144,-38.187748103497455,79.88212535606775,82.393097271578,33433.046677827835,17.606902728421993,0.45,336384.0,0.19057158,0.0,0.004682708,10459,0.55,21.825,-67.7,0.0051749144
81.47368421052632,1899798,0.0053444565,-37.31961478263389,79.25622532313551,82.27521113808609,33563.00564312935,17.7247888619139,0.5526315789473685,333716.2105263158,0.20471685,0.0,0.004705829,10497,0.4473684210526316,22.5,-67.02631578947368,0.0053444565
82.05128205128206,1909846,0.006429515,-38.16093074531337,79.77583958471956,81.95359935304619,33692.149975299835,18.04640064695381,0.6153846153846154,336082.0512820513,0.22343723,0.0,0.005037982,10536,0.38461538461538464,21.94871794871795,-67.25641025641026,0.006429515
81.35897435897436,1919997,0.0061795595,-36.726756105599556,79.15047573524423,80.29751974737088,33830.69529390335,19.702480252629105,0.48717948717948717,333246.358974359,0.1829333,0.0,0.0072189546,10575,0.5128205128205128,22.615384615384617,-65.35897435897436,0.0061795595
82.3157894736842,1929919,0.0064633316,-37.74023000798425,80.0405645030678,81.00515757527174,33960.907593011856,18.99484242472825,0.6052631578947368,337165.4736842105,0.18473017,0.0,0.0052373763,10613,0.39473684210526316,21.657894736842106,-66.71052631578948,0.0064633316
82.21052631578948,1939840,0.0063978834,-37.96324236469087,79.94343114001921,81.44169211059172,34094.120465278625,18.558307889408262,0.631578947368421,336734.3157894737,0.22488227,0.0,0.005291665,10651,0.3684210526315789,21.763157894736842,-66.94736842105263,0.0063978834
82.2051282051282,1949862,0.004681578,-37.16985087555314,79.9769252779584,80.92079178786797,34229.028646707535,19.07920821213201,0.5384615384615384,336712.2051282051,0.19604702,0.0,0.004975307,10690,0.46153846153846156,21.71794871794872,-66.51282051282051,0.004681578
82.76923076923077,1959746,0.0034123978,-38.07639623970143,80.44345677973062,81.53020989149233,34362.65924668312,18.46979010850764,0.5128205128205128,339022.76923076925,0.20063539,0.0,0.003444168,10729,0.48717948717948717,21.23076923076923,-67.48717948717949,0.0034123978
81.07692307692308,1969999,0.005666913,-37.06823632162496,78.86801252375491,81.30824864781425,34501.553184986115,18.69175135218577,0.6410256410256411,332091.07692307694,0.20266168,0.0,0.0052008866,10768,0.358974358974359,22.923076923076923,-65.92307692307692,0.005666913
82.15789473684211,1979893,0.0072112787,-37.47976186059242,79.91447483563361,81.32660003530157,34629.48832654953,18.673399964698415,0.5526315789473685,336518.7368421053,0.21599668,0.0,0.0051394394,10806,0.4473684210526316,21.789473684210527,-66.8157894736842,0.0072112787
81.28947368421052,1989936,0.003947793,-36.52916589788425,79.06441114622544,80.88300765893469,34761.41334652901,19.116992341065338,0.5,332961.6842105263,0.20790261,0.0,0.0038869919,10844,0.5,22.710526315789473,-65.73684210526316,0.003947793
81.25641025641026,1999942,0.0052985107,-36.841910622841326,79.07442931181858,82.01331042536185,34900.13228201866,17.986689574638156,0.4358974358974359,332826.25641025644,0.20500982,0.0,0.0053638285,10883,0.5641025641025641,22.692307692307693,-66.6923076923077,0.0052985107
81.8157894736842,2009873,0.0062128203,-37.5097159929723,79.5560714368488,81.78292855189468,35026.04303574562,18.21707144810532,0.6052631578947368,335117.4736842105,0.2131259,0.0,0.006317437,10921,0.39473684210526316,22.18421052631579,-66.92105263157895,0.0062128203
81.62162162162163,2019786,0.0038792514,-37.00205756151218,79.37304026060815,82.17182125616341,35162.609405756,17.828178743836613,0.6486486486486487,334322.1621621622,0.17994456,0.0,0.006990062,10958,0.35135135135135137,22.37837837837838,-67.08108108108108,0.0038792514
82.25641025641026,2029925,0.005931136,-38.40532194775949,80.0045716302776,83.14492907729027,35294.43132472038,16.8550709227097,0.6666666666666666,336922.25641025644,0.21479668,0.0,0.006654367,10997,0.3333333333333333,21.692307692307693,-68.41025641025641,0.005931136
82.07894736842105,2039692,0.0049820705,-38.44485971303129,79.82090972663704,82.29931140166735,35429.3808093071,17.700688598332636,0.5789473684210527,336195.36842105264,0.2069231,0.0,0.0068193544,11035,0.42105263157894735,21.894736842105264,-67.55263157894737,0.0049820705
81.5,2049833,0.006291095,-37.55438976352092,79.26341399132974,81.67847499608484,35569.37775397301,18.32152500391513,0.6842105263157895,333824.0,0.21579844,0.0,0.006753335,11073,0.3157894736842105,22.5,-66.57894736842105,0.006291095
82.15384615384616,2059844,0.0043322295,-37.7032731587486,79.91027255401855,82.38463776094831,35700.59950208664,17.615362239051667,0.5384615384615384,336502.1538461539,0.20674638,0.0,0.004459327,11112,0.46153846153846156,21.794871794871796,-67.6923076923077,0.0043322295
82.04878048780488,2069972,0.0043086717,-37.60199405619605,79.79056971880817,82.11359874798914,35843.66690325737,17.88640125201085,0.4634146341463415,336071.8048780488,0.18973233,0.0,0.006417929,11153,0.5365853658536586,21.926829268292682,-67.36585365853658,0.0043086717
81.89473684210526,2079783,0.0060088714,-37.913595114664396,79.64802733479408,82.93380508753754,35978.239607810974,17.066194912462464,0.5526315789473685,335440.84210526315,0.20981838,0.0,0.0049095023,11191,0.4473684210526316,22.07894736842105,-67.92105263157895,0.0060088714
81.60975609756098,2089935,0.0049519273,-37.565717866110816,79.36288867239175,82.21161002557126,36116.92580604553,17.78838997442874,0.36585365853658536,334273.56097560975,0.18446347,0.0,0.0056506544,11232,0.6341463414634146,22.390243902439025,-67.1219512195122,0.0049519273
82.8974358974359,2099785,0.0071630217,-39.21960282879589,80.58118108474072,82.74514253102893,36256.11350607872,17.254857468971103,0.6153846153846154,339547.89743589744,0.17836137,0.0,0.005896982,11271,0.38461538461538464,21.076923076923077,-68.61538461538461,0.0071630217
81.34210526315789,2109941,0.0039219484,-37.591534918869755,79.11466415747313,82.82954725575378,36387.26819896698,17.170452744246212,0.5789473684210527,333177.2631578947,0.18962963,0.0,0.004396846,11309,0.42105263157894735,22.657894736842106,-67.39473684210526,0.0039219484
81.5945945945946,2119736,0.0057818564,-37.18038382718781,79.37024640157634,82.59219190056199,36525.276893377304,17.407808099437982,0.4594594594594595,334211.45945945947,0.18709353,0.0,0.0051259245,11346,0.5405405405405406,22.37837837837838,-67.37837837837837,0.0057818564
81.21621621621621,2129748,0.0059036287,-37.11386901216155,79.03720144858573,82.40242726407381,36661.393668174744,17.59757273592617,0.5405405405405406,332661.6216216216,0.17975806,0.0,0.005214039,11383,0.4594594594594595,22.72972972972973,-66.94594594594595,0.0059036287
81.43243243243244,2139798,0.007788025,-36.997502943129,79.19831975114214,82.5487194621261,36788.38099980354,17.45128053787391,0.6216216216216216,333547.24324324325,0.1883708,0.0,0.007229407,11420,0.3783783783783784,22.56756756756757,-67.21621621621621,0.007788025
81.65789473684211,2149729,0.0083255675,-37.672586994721826,79.48950364828279,82.68128798542135,36927.578783750534,17.318712014578647,0.631578947368421,334470.7368421053,0.20545264,0.0,0.0074805375,11458,0.3684210526315789,22.236842105263158,-67.52631578947368,0.0083255675
81.26829268292683,2159949,0.0053171865,-37.79571836616292,79.0452685958865,82.8591956549541,37060.473135471344,17.140804345045904,0.4878048780487805,332874.9268292683,0.17714566,0.0,0.0056858114,11499,0.5121951219512195,22.73170731707317,-67.34146341463415,0.0053171865
81.54054054054055,2169868,0.006200077,-37.514052742381615,79.3195481765414,82.4260878242109,37187.130487680435,17.57391217578909,0.6486486486486487,333990.0540540541,0.1730568,0.0,0.004694788,11536,0.35135135135135137,22.43243243243243,-67.1891891891892,0.006200077
81.76923076923077,2179833,0.0037682313,-38.18908859567734,79.53325751861188,83.04793528370877,37322.31906533241,16.952064716291243,0.6410256410256411,334926.76923076925,0.17511778,0.0,0.0044718585,11575,0.358974358974359,22.205128205128204,-67.8974358974359,0.0037682313
81.78378378378379,2189893,0.0040765977,-37.71021069179707,79.54449949873327,82.33672594473924,37454.27835845947,17.66327405526076,0.7297297297297297,334986.3783783784,0.14963843,0.0,0.0056960196,11612,0.2702702702702703,22.18918918918919,-67.35135135135135,0.0040765977
82.41025641025641,2199793,0.0045019165,-39.08672572473118,80.14704848689728,83.64271227392753,37593.11893296242,16.35728772607247,0.7435897435897436,337552.41025641025,0.16730505,0.0,0.0056578256,11651,0.2564102564102564,21.53846153846154,-68.94871794871794,0.0045019165
82.32432432432432,2209827,0.006876068,-37.7656271190658,80.0687939479123,83.01409623924415,37725.46567392349,16.98590376075584,0.6216216216216216,337200.4324324324,0.1880175,0.0,0.0056379167,11688,0.3783783783783784,21.62162162162162,-68.35135135135135,0.006876068
81.83783783783784,2219788,0.006493616,-37.47682644029976,79.57624519877945,82.89644941234424,37861.59745645523,17.103550587655782,0.6756756756756757,335207.7837837838,0.19089416,0.0,0.0047550644,11725,0.32432432432432434,22.16216216216216,-67.83783783783784,0.006493616
82.46153846153847,2229787,0.0052470644,-37.96758352268188,80.19763174417622,82.91435790912236,37998.193459272385,17.08564209087763,0.5897435897435898,337762.46153846156,0.20026201,0.0,0.004688724,11764,0.41025641025641024,21.487179487179485,-68.38461538461539,0.0052470644
81.67567567567568,2239827,0.006773976,-37.05547174525901,79.42419362459404,82.36625128285817,38140.51069164276,17.633748717141835,0.6756756756756757,334543.5675675676,0.1935862,0.0,0.0051620626,11801,0.32432432432432434,22.324324324324323,-67.27027027027027,0.006773976
81.92857142857143,2249880,0.005463611,-39.74674985487572,79.69815154625255,84.03355070444967,38280.436688899994,15.96644929555033,0.5,335579.4285714286,0.19923578,0.0,0.005138573,11843,0.5,22.023809523809526,-68.85714285714286,0.005463611
81.28205128205128,2259869,0.0054538087,-37.84442023396417,79.07782128279928,83.52896071350987,38413.64673614502,16.471039286490143,0.5384615384615384,332931.28205128206,0.18461666,0.0,0.0069621718,11882,0.46153846153846156,22.692307692307693,-67.8974358974359,0.0054538087
