MtR,meankl,Tbt,optimgain,TtR,surrgain,Ptt,entropy,AttNC,Tmc,AttC,EpisodesSoFar,TimeElapsed,MpbtN,MpbtA,Tmt,TimestepsSoFar,entloss
-14.768597146154907,0.0043486436,258112.0,0.001520354,-228.59375,0.001520354,61.374260030589895,0.32979956,1.09375,41.921875,8.90625,2411,6911.6491067409515,36.050839040721634,63.949160959278366,63.015625,119894,0.0
-12.521668280671177,0.0053470684,249788.8524590164,0.0016239505,-178.68852459016392,0.0016239505,59.42317120627791,0.39035445,4.278688524590164,44.01639344262295,5.721311475409836,2472,7184.814380645752,29.309637637763437,70.69036236223656,60.98360655737705,129934,0.0
-14.78560980478457,0.007177704,263074.9090909091,0.002441697,-236.96969696969697,0.002441697,62.499055370170424,0.35506824,0.5,40.72727272727273,9.5,2538,7477.877641677856,36.67375172290218,63.32624827709779,64.22727272727273,139976,0.0
-12.153272616147126,0.0011502202,251835.73333333334,0.0007146149,-177.0,0.0007146149,59.89452591740077,0.3569053,4.15,43.516666666666666,5.85,2598,7757.558682441711,28.73792928119178,71.26207071880823,61.483333333333334,149989,0.0
-12.562184954253775,0.004475298,252285.83050847458,0.0018541084,-182.03389830508473,0.0018541084,59.99628837635055,0.35078675,3.3220338983050848,43.40677966101695,6.677966101694915,2657,8047.903008937836,29.43536935842958,70.5646306415704,61.59322033898305,159889,0.0
-12.38683552655466,0.004027995,247645.46031746033,0.0015898157,-174.28571428571428,0.0015898157,58.921131062505474,0.33771133,3.0952380952380953,44.55555555555556,6.904761904761905,2720,8331.384799718857,28.726846686976824,71.27315331302319,60.46031746031746,169982,0.0
-12.43259792385943,0.002936823,252791.46666666667,0.0015798856,-176.83333333333334,0.0015798856,60.11417506613129,0.34344292,2.8,43.28333333333333,7.2,2780,8613.675000667572,28.73291457586452,71.2670854241355,61.71666666666667,179910,0.0
-11.859404532435068,0.0035037072,241465.8064516129,0.001689985,-165.6451612903226,0.001689985,57.48302852767525,0.37089038,2.2419354838709675,46.096774193548384,7.758064516129032,2842,8916.990349769592,28.061465967532577,71.93853403246742,58.95161290322581,189912,0.0
-11.275680028196115,0.003140467,244800.0,0.0012392206,-163.75,0.0012392206,58.28347627975722,0.39389583,1.5,45.21875,8.5,2906,9199.635051488876,27.376561331143904,72.62343866885605,59.765625,199955,0.0
-12.940616836171765,0.0043106475,252484.776119403,0.001074837,-193.5820895522388,0.001074837,60.04276658036836,0.342011,0.8059701492537313,43.35820895522388,9.194029850746269,2973,9479.397206783295,31.153911723406658,68.84608827659333,61.64179104477612,209852,0.0
-11.458304548936667,0.0033787352,245635.87878787878,0.0012691861,-160.6060606060606,0.0012691861,58.45143696731433,0.34765524,2.696969696969697,45.06060606060606,7.303030303030303,3039,9761.926990032196,26.86486947766623,73.13513052233374,59.96969696969697,219984,0.0
-10.131834104839164,0.003500774,241596.8524590164,0.0016805432,-138.68852459016392,0.0016805432,57.50438437059002,0.3936642,2.540983606557377,46.08196721311475,7.459016393442623,3100,10064.825004577637,23.53247443171504,76.46752556828498,58.98360655737705,229832,0.0
-11.798052548411725,0.006107354,249408.0,0.0012179059,-180.46875,0.0012179059,59.32504309096845,0.35001406,0.984375,44.125,9.015625,3164,10373.774673700333,29.532898979460644,70.46710102053936,60.890625,239987,0.0
-10.972822852162453,0.0037922452,241193.96721311475,0.0011558031,-150.1639344262295,0.0011558031,57.4121296992656,0.37298512,4.885245901639344,46.18032786885246,5.114754098360656,3225,10691.82423877716,25.44323675629281,74.5567632437072,58.885245901639344,249871,0.0
-11.463476805006259,0.0072037634,246475.17460317462,0.0014901757,-170.95238095238096,0.0014901757,58.643372918975096,0.32544094,2.238095238095238,44.857142857142854,7.761904761904762,3288,11011.322678089142,28.301653937805145,71.69834606219483,60.17460317460318,259903,0.0
