EpisodesSoFar,TtR,AttNC,entropy,Fce,TimestepsSoFar,optimgain,AttC,surrgain,MtR,meankl,TimeElapsed,entloss
11458,2494.5,10.0,0.20069918,0.9978,2779872,0.001009836,0.0,0.001009836,142.46545404420132,0.006370499,16787.662041664124,0.0
11498,2493.5,10.0,0.1776637,0.9973999999999998,2789872,0.0010926068,0.0,0.0010926068,142.36503078440572,0.0049547246,16834.379545211792,0.0
11538,2497.0,10.0,0.21236128,0.9987999999999999,2799872,0.0006808395,0.0,0.0006808395,142.67083401952578,0.0038542002,16882.065187454224,0.0
11578,2492.25,10.0,0.17085275,0.9968999999999999,2809872,0.0006773329,0.0,0.0006773329,142.4337314825787,0.004002912,16928.379467725754,0.0
11618,2495.75,10.0,0.20780976,0.9983000000000001,2819872,0.000521248,0.0,0.000521248,142.59144709815513,0.0057066777,16975.58763885498,0.0
11658,2495.5,10.0,0.19157408,0.9982,2829872,0.0007116547,0.0,0.0007116547,142.60861747832988,0.004673692,17022.05846118927,0.0
11698,2493.5,10.0,0.1436746,0.9974000000000002,2839872,0.0013022621,0.0,0.0013022621,142.48354165497193,0.0060304687,17069.91680288315,0.0
11738,2495.0,10.0,0.20381166,0.998,2849872,0.0011419983,0.0,0.0011419983,142.52864194149984,0.0057001375,17117.614748477936,0.0
11778,2493.5,10.0,0.19236602,0.9973999999999998,2859872,0.00074972946,0.0,0.00074972946,142.51190288232274,0.004863202,17166.70371246338,0.0
11818,2489.5,10.0,0.142248,0.9958,2869872,0.0009090473,0.0,0.0009090473,142.20777483464778,0.0058737854,17213.54381775856,0.0
11858,2495.75,10.0,0.11867585,0.9983000000000001,2879872,0.0008473033,0.0,0.0008473033,142.589256529525,0.004123363,17258.777438879013,0.0
11898,2495.75,10.0,0.14426638,0.9983000000000001,2889872,0.0009103499,0.0,0.0009103499,142.57525764272137,0.003759766,17305.855213165283,0.0
11938,2496.0,10.0,0.16123974,0.9983999999999998,2899872,0.00070825574,0.0,0.00070825574,142.63408442078162,0.0036149854,17353.376113414764,0.0
11978,2483.5,10.0,0.1784502,0.9934,2909872,0.0007430348,0.0,0.0007430348,141.8734911099247,0.0040289946,17400.41526222229,0.0
12018,2494.75,10.0,0.17571977,0.9978999999999999,2919872,0.0006991943,0.0,0.0006991943,142.49376211502448,0.0042082015,17447.890051603317,0.0
12058,2493.75,10.0,0.17629148,0.9974999999999999,2929872,0.0007875925,0.0,0.0007875925,142.48067360124338,0.004142081,17495.28409910202,0.0
12098,2498.75,10.0,0.2243905,0.9994999999999999,2939872,0.0010328706,0.0,0.0010328706,142.7976233577246,0.005143762,17540.815240621567,0.0
12138,2493.5,10.0,0.25282776,0.9973999999999996,2949872,0.0007077504,0.0,0.0007077504,142.45365599246074,0.004989384,17586.671427965164,0.0
12178,2494.75,10.0,0.22193375,0.9978999999999999,2959872,0.0010981914,0.0,0.0010981914,142.54032786939527,0.005520012,17632.826385736465,0.0
12218,2494.5,10.0,0.19744362,0.9978000000000001,2969872,0.0007130446,0.0,0.0007130446,142.5711300544139,0.004405108,17679.535884141922,0.0
12258,2492.5,10.0,0.16332424,0.9969999999999999,2979872,0.0008191237,0.0,0.0008191237,142.42149107727533,0.004266014,17725.672611951828,0.0
12298,2494.5,10.0,0.1365335,0.9978,2989872,0.0008988052,0.0,0.0008988052,142.52499075509814,0.0048682475,17771.225197553635,0.0
12338,2496.0,10.0,0.1542052,0.9983999999999998,2999872,0.00076495024,0.0,0.00076495024,142.6019271670976,0.005746342,17817.65406703949,0.0
12378,2493.5,10.0,0.14060917,0.9974000000000002,3009872,0.0006095319,0.0,0.0006095319,142.49149519117708,0.0043042563,17863.626381874084,0.0
12418,2493.5,10.0,0.12919615,0.9973999999999998,3019872,0.0009590025,0.0,0.0009590025,142.46779330035,0.006471215,17909.34061574936,0.0
12458,2496.5,10.0,0.08978692,0.9985999999999999,3029872,0.0011957538,0.0,0.0011957538,142.62079085879404,0.004669469,17956.00174164772,0.0
12498,2498.5,10.0,0.06882944,0.9994,3039872,0.00064182066,0.0,0.00064182066,142.78186493032166,0.00718234,18002.134623765945,0.0
12538,2497.75,10.0,0.042501524,0.9991,3049872,0.0008237183,0.0,0.0008237183,142.76309357360824,0.0051506995,18048.93545818329,0.0
12578,2499.0,10.0,0.037996415,0.9996,3059872,0.000805238,0.0,0.000805238,142.81604889365653,0.0053704632,18094.09219264984,0.0
12618,2499.0,10.0,0.11726363,0.9996,3069872,0.0008163309,0.0,0.0008163309,142.7926375434956,0.00695923,18140.767216920853,0.0
12658,2500.0,10.0,0.085937284,1.0,3079872,0.0005416126,0.0,0.0005416126,142.8784238871937,0.0035742803,18186.399406433105,0.0
12698,2499.75,10.0,0.09226651,0.9998999999999999,3089872,0.0005353894,0.0,0.0005353894,142.85379701531866,0.002487629,18231.974500656128,0.0
12738,2499.25,10.0,0.045774657,0.9997,3099872,0.0007688125,0.0,0.0007688125,142.82209016569624,0.0056918226,18277.725221157074,0.0
12778,2499.25,10.0,0.010538071,0.9997,3109872,0.00081772055,0.0,0.00081772055,142.8222061300181,0.0056508165,18322.26401782036,0.0
12818,2500.0,10.0,-0.049338017,1.0,3119872,0.00069140055,0.0,0.00069140055,142.8784238871937,0.005036428,18365.939738035202,0.0
12858,2500.0,10.0,-0.076751515,1.0,3129872,0.00074162486,0.0,0.00074162486,142.8784238871937,0.0069064996,18412.220152139664,0.0
12898,2500.0,10.0,-0.16516256,1.0,3139872,0.0008286288,0.0,0.0008286288,142.8784238871937,0.008541949,18457.453597545624,0.0
12938,2500.0,10.0,-0.107058436,1.0,3149872,0.000425412,0.0,0.000425412,142.8784238871937,0.0044273785,18503.124325990677,0.0
12978,2500.0,10.0,-0.024416583,1.0,3159872,0.0005539192,0.0,0.0005539192,142.8784238871937,0.007464068,18548.93495821953,0.0
13018,2500.0,10.0,-0.0417137,1.0,3169872,0.0007256702,0.0,0.0007256702,142.8784238871937,0.009601338,18595.30109000206,0.0
13058,2499.5,10.0,0.004298139,0.9997999999999999,3179872,0.00052530825,0.0,0.00052530825,142.8530824997189,0.0032482871,18639.776917219162,0.0
13098,2500.0,10.0,-0.035850942,1.0,3189872,0.0007975362,0.0,0.0007975362,142.8784238871937,0.004293096,18684.422522068024,0.0
13138,2499.5,10.0,-0.10535445,0.9998000000000001,3199872,0.0010625479,0.0,0.0010625479,142.85484876569518,0.0070620314,18728.967886924744,0.0
13178,2500.0,10.0,-0.18733881,1.0,3209872,0.001026344,0.0,0.001026344,142.8784238871937,0.0077158855,18773.476893424988,0.0
13218,2500.0,10.0,-0.13903864,1.0,3219872,0.00074466126,0.0,0.00074466126,142.8784238871937,0.0035828112,18818.74703359604,0.0
13258,2499.75,10.0,-0.089190446,0.9998999999999999,3229872,0.0007731425,0.0,0.0007731425,142.85775975949431,0.005765873,18862.762503147125,0.0
13298,2500.0,10.0,-0.063113,1.0,3239872,0.00051561155,0.0,0.00051561155,142.8784238871937,0.0037365372,18907.224113225937,0.0
13338,2500.0,10.0,-0.10038834,1.0,3249872,0.00044928308,0.0,0.00044928308,142.8784238871937,0.0028800599,18953.381205797195,0.0
13378,2499.75,10.0,-0.077785246,0.9999,3259872,5.1196927e-05,0.0,5.1196927e-05,142.85916016496085,0.0021262742,18997.70706987381,0.0
13418,2499.75,10.0,-0.069890164,0.9998999999999999,3269872,0.00063482235,0.0,0.00063482235,142.86956625335907,0.0037206726,19042.2722697258,0.0
13458,2500.0,10.0,-0.09189622,1.0,3279872,0.0008877426,0.0,0.0008877426,142.8784238871937,0.0037735098,19087.758937120438,0.0
13498,2500.0,10.0,-0.02451898,1.0,3289872,0.0011882669,0.0,0.0011882669,142.8784238871937,0.008319995,19131.945081472397,0.0
13538,2499.75,10.0,-0.004789114,0.9999,3299872,0.0003253753,0.0,0.0003253753,142.86743572020146,0.0026219888,19176.67349243164,0.0
13578,2499.75,10.0,-0.04686872,0.9999,3309872,0.0012098723,0.0,0.0012098723,142.8615985650713,0.007488778,19222.498375177383,0.0
13618,2499.5,10.0,-0.0637484,0.9998000000000001,3319872,0.0011533417,0.0,0.0011533417,142.84627558732922,0.0064888103,19267.41819858551,0.0
13658,2499.5,10.0,-0.039764404,0.9998000000000001,3329872,0.0011779093,0.0,0.0011779093,142.84321332609142,0.006314944,19312.327973604202,0.0
13698,2499.0,10.0,-0.09711011,0.9995999999999998,3339872,0.0008676032,0.0,0.0008676032,142.8196432042583,0.007234762,19357.692970991135,0.0
13738,2498.0,10.0,-0.10391698,0.9992000000000001,3349872,0.0009493202,0.0,0.0009493202,142.76189961179185,0.0024077625,19403.303843021393,0.0
13778,2497.25,10.0,-0.10680609,0.9988999999999999,3359872,0.00072760886,0.0,0.00072760886,142.71500796256896,0.003082455,19447.5036110878,0.0
13818,2498.25,10.0,-0.073265344,0.9993000000000001,3369872,0.00088053546,0.0,0.00088053546,142.7834915727753,0.0031373156,19493.08223605156,0.0
13858,2497.5,10.0,-0.03414918,0.999,3379872,0.00047476645,0.0,0.00047476645,142.71715520861284,0.0049988134,19540.007939338684,0.0
13898,2498.25,10.0,0.00439167,0.9993000000000001,3389872,0.00083092635,0.0,0.00083092635,142.8002268013293,0.003697492,19585.269653081894,0.0
13938,2498.0,10.0,-0.001219511,0.9992000000000001,3399872,0.00035130902,0.0,0.00035130902,142.76308896617917,0.004175895,19630.212249994278,0.0
13978,2496.25,10.0,-0.026243256,0.9985000000000002,3409872,0.00076690654,0.0,0.00076690654,142.68364654454564,0.0035186664,19676.74737238884,0.0
14018,2493.5,10.0,-0.048087977,0.9974000000000001,3419872,0.0009878881,0.0,0.0009878881,142.57177674759197,0.007010315,19721.5343375206,0.0
14058,2499.0,10.0,-0.075562306,0.9996,3429872,0.00079242303,0.0,0.00079242303,142.8227745364125,0.0057907887,19765.136370897293,0.0
14098,2499.0,10.0,-0.07355116,0.9996000000000003,3439872,0.0005785807,0.0,0.0005785807,142.8151848933561,0.0026479978,19808.96664905548,0.0
14138,2499.25,10.0,-0.023817075,0.9997,3449872,0.0007572797,0.0,0.0007572797,142.8299816227715,0.003433767,19853.27771949768,0.0
14178,2497.75,10.0,-0.018057125,0.9991000000000001,3459872,0.00048611476,0.0,0.00048611476,142.75900593632687,0.005634154,19896.986347436905,0.0
14218,2499.75,10.0,0.010866698,0.9998999999999999,3469872,0.00050231133,0.0,0.00050231133,142.85775975949431,0.0025101728,19942.20536184311,0.0
14258,2500.0,10.0,0.008386467,1.0,3479872,0.00040676972,0.0,0.00040676972,142.8784238871937,0.004212489,19985.528038740158,0.0
14298,2500.0,10.0,0.04121635,1.0,3489872,0.00037963653,0.0,0.00037963653,142.8784238871937,0.003923487,20027.782163858414,0.0
14338,2499.75,10.0,-0.0025857696,0.9999,3499872,0.0003698925,0.0,0.0003698925,142.85827122242048,0.004420426,20071.26059627533,0.0
14378,2500.0,10.0,0.05250663,1.0,3509872,0.0008627848,0.0,0.0008627848,142.8784238871937,0.008976197,20114.279871702194,0.0
14418,2499.0,10.0,0.08663538,0.9995999999999998,3519872,0.000760215,0.0,0.000760215,142.8283321441253,0.004665932,20158.177451133728,0.0
14458,2500.0,10.0,0.020364536,1.0,3529872,0.0007172817,0.0,0.0007172817,142.8784238871937,0.008219092,20201.605987787247,0.0
14498,2499.75,10.0,0.03477665,0.9998999999999999,3539872,0.00042545455,0.0,0.00042545455,142.86965460825655,0.0009010889,20243.771010160446,0.0
14538,2500.0,10.0,0.006791294,1.0,3549872,0.00025281825,0.0,0.00025281825,142.8784238871937,0.0024851914,20286.873909235,0.0
14578,2500.0,10.0,0.030746302,1.0,3559872,0.00086127996,0.0,0.00086127996,142.8784238871937,0.010934514,20329.600564479828,0.0
14618,2499.5,10.0,0.025544535,0.9998000000000001,3569872,0.00046000228,0.0,0.00046000228,142.83464315624968,0.009234214,20374.154507160187,0.0
14658,2499.25,10.0,0.013818762,0.9997,3579872,0.0006483383,0.0,0.0006483383,142.83577419830127,0.0030982494,20416.768055200577,0.0
14698,2497.75,10.0,0.04368209,0.9991000000000001,3589872,0.000377359,0.0,0.000377359,142.76612127103226,0.0031887863,20459.55979704857,0.0
14738,2497.25,10.0,-0.0015254021,0.9989000000000002,3599872,0.0007948645,0.0,0.0007948645,142.75615831366503,0.003745628,20503.249567508698,0.0
