Ptt,MpbtA,TimestepsSoFar,MpbtN,surrgain,optimgain,entropy,Tmc,entloss,AttC,meankl,EpisodesSoFar,AttNC,TimeElapsed,TtR,Tbt,MtR,Tmt
54.37890571008808,81.8667518429074,2259950,18.133248157092613,0.002593889,0.002593889,0.20631126,49.483870967741936,0.0,4.725806451612903,0.006927779,15698,5.274193548387097,78375.77815008163,-101.93548387096774,228451.09677419355,-7.304344956349051,55.774193548387096
54.361351367284115,79.8698673661123,2269968,20.130132633887694,0.002740418,0.002740418,0.23190711,49.45762711864407,0.0,5.711864406779661,0.0052819224,15757,4.288135593220339,78691.69689798355,-111.69491525423729,228195.7966101695,-7.998966956261292,55.71186440677966
54.44721441128482,80.8464129895785,2279888,19.153587010421514,0.0022945993,0.0022945993,0.22464614,49.4,0.0,5.133333333333334,0.0061951256,15817,4.866666666666666,79011.37818431854,-106.83333333333333,228693.33333333334,-7.63787240500105,55.833333333333336
54.30411990524519,80.89357037360503,2289948,19.106429626395002,0.0023539173,0.0023539173,0.24320029,49.54838709677419,0.0,4.935483870967742,0.0062701935,15879,5.064516129032258,79335.79009628296,-106.7741935483871,228054.70967741936,-7.789746935238794,55.67741935483871
55.59896793917091,81.82192011764822,2299926,18.178079882351753,0.0019843953,0.0019843953,0.23554146,48.11666666666667,0.0,3.95,0.004755319,15939,6.05,79664.33286309242,-104.0,233403.73333333334,-7.458592565670404,56.983333333333334
54.041485473013616,81.57738757485043,2309965,18.422612425149563,0.0025680203,0.0025680203,0.25988108,49.83050847457627,0.0,3.76271186440678,0.006001803,15998,6.237288135593221,79996.43497228622,-102.37288135593221,226946.16949152542,-7.307223676821763,55.40677966101695
57.17332800471386,75.45467959373812,2319883,24.545320406261865,0.0027301959,0.0027301959,0.2624697,46.44827586206897,0.0,4.068965517241379,0.0070326617,16056,5.931034482758621,80327.03446745872,-145.17241379310346,240251.58620689655,-9.795594794899108,58.6551724137931
54.70586115449614,81.44525919680879,2329844,18.554740803191194,0.0020207711,0.0020207711,0.2529139,49.13559322033898,0.0,4.491525423728813,0.0064576776,16115,5.508474576271187,80653.42665982246,-104.57627118644068,229861.9661016949,-7.225507673883275,56.11864406779661
54.95869777339991,82.32569211520874,2339915,17.67430788479125,0.0018804449,0.0018804449,0.25343204,48.87096774193548,0.0,3.596774193548387,0.0051181917,16177,6.403225806451613,80977.719165802,-100.3225806451613,230961.5483870968,-7.233352087009701,56.38709677419355
56.409609426057585,80.13664291542892,2349979,19.863357084571064,0.0023194246,0.0023194246,0.2688541,47.25,0.0,3.7666666666666666,0.0059930873,16237,6.233333333333333,81312.47397685051,-115.0,236885.33333333334,-8.068152308611756,57.833333333333336
53.880628735192836,79.1408152836774,2359911,20.859184716322588,0.003242643,0.003242643,0.26124403,50.03389830508475,0.0,3.7457627118644066,0.0066233156,16296,6.254237288135593,81648.59543561935,-117.11864406779661,226390.77966101695,-8.141659623756878,55.271186440677965
56.242644362897536,80.91613117749121,2369942,19.08386882250877,0.0027634602,0.0027634602,0.27347156,47.45,0.0,3.5166666666666666,0.0066660694,16356,6.483333333333333,81962.13789796829,-110.33333333333333,236270.93333333332,-7.689698357800002,57.68333333333333
53.722404814638374,80.347981259323,2379851,19.652018740677,0.0021785272,0.0021785272,0.25107038,50.18333333333333,0.0,3.216666666666667,0.0055564265,16416,6.783333333333333,82284.6355330944,-108.83333333333333,225621.33333333334,-7.762914991247032,55.083333333333336
