EpisodesSoFar,surrgain,AttC,TtR,TimeElapsed,entloss,meankl,optimgain,TimestepsSoFar,Fce,AttNC,entropy,MtR
8229,0.00035720755,0.0,2500.0,21323.65672969818,0.0,0.008933416,0.00035720755,1899867,1.0,10.0,-0.037130482,142.8784238871937
8269,0.00023885374,0.0,2500.0,21408.469866275787,0.0,0.008933204,0.00023885374,1909867,1.0,10.0,0.06045916,142.8784238871937
8309,0.00017260805,0.0,2500.0,21504.482510328293,0.0,0.008933196,0.00017260805,1919867,1.0,10.0,0.15805016,142.8784238871937
8349,0.000781091,0.0,2500.0,21596.651460886,0.0,0.010174863,0.000781091,1929867,1.0,10.0,0.06045922,142.8784238871937
8389,0.0002799614,0.0,2500.0,21699.4768743515,0.0,0.008933102,0.0002799614,1939867,1.0,10.0,0.1580504,142.8784238871937
8429,3.2914268e-05,0.0,2500.0,21795.716468811035,0.0,0.008933204,3.2914268e-05,1949867,1.0,10.0,0.25564116,142.8784238871937
8469,0.00018443346,0.0,2500.0,21898.409927368164,0.0,0.008933204,0.00018443346,1959867,1.0,10.0,0.35322773,142.8784238871937
8509,0.00013796036,0.0,2499.0,21986.780854940414,0.0,0.01017476,0.00013796036,1969867,0.9996,10.0,0.25564116,142.82472254710984
8549,0.00015664921,0.0,2500.0,22083.98163843155,0.0,0.010174781,0.00015664921,1979867,1.0,10.0,0.15805016,142.8784238871937
8589,0.0003136396,0.0,2500.0,22178.997562646866,0.0,0.008933416,0.0003136396,1989867,1.0,10.0,0.25564116,142.8784238871937
8629,0.000186185,0.0,2499.75,22266.94845366478,0.0,0.01017476,0.000186185,1999867,0.9998999999999999,10.0,0.15805043,142.86578004723393
8669,0.00041411072,0.0,2500.0,22364.470351219177,0.0,0.00893351,0.00041411072,2009867,1.0,10.0,0.2556418,142.8784238871937
8709,0.0003626299,0.0,2500.0,22453.17872619629,0.0,0.008933204,0.0003626299,2019867,1.0,10.0,0.3532296,142.8784238871937
8749,2.0428419e-05,0.0,2499.25,22546.02294898033,0.0,0.008933204,2.0428419e-05,2029867,0.9997,10.0,0.45081672,142.8283892713635
8789,0.00023153004,0.0,2498.5,22638.199635505676,0.0,0.008933204,0.00023153004,2039867,0.9994,10.0,0.54840815,142.79581116097455
8829,0.00063221256,0.075,2489.25,22738.72314620018,0.0,0.010174781,0.00063221256,2049867,0.9956999999999997,9.925,0.45082512,142.25895300260268
8869,0.00074384315,0.0,2496.75,22835.922590970993,0.0,0.008933204,0.00074384315,2059867,0.9987,10.0,0.5484082,142.68180949416842
8909,0.0005040667,0.0,2494.25,22936.872158527374,0.0,0.01017476,0.0005040667,2069867,0.9976999999999998,10.0,0.45082515,142.52943948554417
8949,0.00092146924,0.0,2497.5,23038.981282949448,0.0,0.010174781,0.00092146924,2079867,0.9990000000000002,10.0,0.35323015,142.73487198256535
8989,0.0004907141,0.0,2499.5,23139.708397865295,0.0,0.010174863,0.0004907141,2089867,0.9997999999999999,10.0,0.25564206,142.8581522878605
9029,0.0003339786,0.0,2500.0,23240.557923793793,0.0,0.008933102,0.0003339786,2099867,1.0,10.0,0.3532297,142.8784238871937
9069,0.0003672965,0.0,2499.5,23342.765282154083,0.0,0.008933416,0.0003672965,2109867,0.9998000000000001,10.0,0.45082515,142.8488349255396
9110,0.00027967175,0.24390243902439024,2437.0731707317073,23441.030827522278,0.0,0.008933204,0.00027967175,2119870,0.9828617886178862,9.75609756097561,0.54840827,139.27057546781526
9150,4.565278e-05,0.0,2494.0,23546.626827716827,0.0,0.010174863,4.565278e-05,2129870,0.9976,10.0,0.45082515,142.55250834166497
9191,0.00018835245,0.24390243902439024,2436.3414634146343,23643.80635690689,0.0,0.01017476,0.00018835245,2139879,0.9849864498644987,9.75609756097561,0.35323015,139.28358367670896
9231,7.275664e-05,0.0,2499.75,23745.852877616882,0.0,0.008933204,7.275664e-05,2149879,0.9999,10.0,0.45082527,142.86010196582757
9271,3.815069e-05,0.0,2497.5,23844.182177066803,0.0,0.010174781,3.815069e-05,2159879,0.999,10.0,0.35323015,142.7541531831968
9311,0.00013199069,0.0,2499.5,23944.520496845245,0.0,0.008933196,0.00013199069,2169879,0.9998000000000001,10.0,0.45082515,142.85120512394502
9351,0.00045449447,0.0,2496.75,24036.035036087036,0.0,0.010174781,0.00045449447,2179879,0.9987,10.0,0.35323015,142.69157223542274
9391,0.00024144459,0.0,2499.0,24134.935725450516,0.0,0.008933204,0.00024144459,2189879,0.9996,10.0,0.45082515,142.81330395116976
9431,0.00029680473,0.0,2498.0,24219.117817163467,0.0,0.010174751,0.00029680473,2199879,0.9991999999999999,10.0,0.35323015,142.77597864983267
9471,0.000121578385,0.0,2499.0,24321.0431060791,0.0,0.010174863,0.000121578385,2209879,0.9995999999999998,10.0,0.25564453,142.8208522019072
9511,0.00021759617,0.0,2500.0,24411.690762043,0.0,0.008933204,0.00021759617,2219879,1.0,10.0,0.35323015,142.8784238871937
9551,0.00040711823,0.0,2499.0,24511.03406906128,0.0,0.010174863,0.00040711823,2229879,0.9995999999999998,10.0,0.25564453,142.82580072252512
9591,0.0005117306,0.0,2500.0,24607.49678349495,0.0,0.008933196,0.0005117306,2239879,1.0,10.0,0.35323015,142.8784238871937
9631,0.00024283564,0.0,2499.75,24704.635986328125,0.0,0.010174781,0.00024283564,2249879,0.9999,10.0,0.25564453,142.8706485752395
9671,0.00021200455,0.0,2500.0,24796.833970546722,0.0,0.008933204,0.00021200455,2259879,1.0,10.0,0.35323033,142.8784238871937
9711,0.00015642795,0.0,2499.75,24891.999240636826,0.0,0.008933204,0.00015642795,2269879,0.9999,10.0,0.45082527,142.85464613393202
9751,1.1467018e-05,0.0,2496.5,24987.09581542015,0.0,0.008933102,1.1467018e-05,2279879,0.9985999999999999,10.0,0.54840827,142.6840966595352
9791,0.00017255337,0.0,2492.5,25077.086990594864,0.0,0.010174751,0.00017255337,2289879,0.9969999999999999,10.0,0.45082527,142.4447173593412
9831,0.00014523011,0.0,2498.25,25174.59788274765,0.0,0.010174781,0.00014523011,2299879,0.9992999999999999,10.0,0.35323033,142.78057596799516
9871,0.00059797533,0.0,2499.75,25262.908257961273,0.0,0.008933204,0.00059797533,2309879,0.9999,10.0,0.45082527,142.86492869915165
9911,0.00055138156,0.0,2498.0,25356.818841934204,0.0,0.010174751,0.00055138156,2319879,0.9991999999999999,10.0,0.35323033,142.79376376584295
9951,0.00061981473,0.0,2499.5,25452.194783449173,0.0,0.010174863,0.00061981473,2329879,0.9997999999999999,10.0,0.25564462,142.84002568955458
9991,6.1669634e-05,0.0,2499.75,25547.196093082428,0.0,0.010174781,6.1669634e-05,2339879,0.9999,10.0,0.15805206,142.86669585360028
10031,0.0003536924,0.0,2500.0,25639.205279827118,0.0,0.01017476,0.0003536924,2349879,1.0,10.0,0.060462978,142.8784238871937
10071,0.00046316025,0.0,2500.0,25738.5542845726,0.0,0.010174781,0.00046316025,2359879,1.0,10.0,-0.037126664,142.8784238871937
