TimestepsSoFar,TimeElapsed,Fce,TtR,AttC,entropy,optimgain,entloss,EpisodesSoFar,MtR,surrgain,AttNC,meankl
319832,2006.40678358078,0.13159494526703533,82.29411764705883,1.607843137254902,1.4661857,0.00096563617,0.0,1529,15.804354861850916,0.00096563617,1.392156862745098,0.0014061617
329869,2072.496016740799,0.13539177101967803,99.0,1.372093023255814,1.4672828,0.0009401815,0.0,1572,19.057260701678487,0.0009401815,1.627906976744186,0.0009934832
339922,2134.005377292633,0.12391575570843709,89.86046511627907,1.372093023255814,1.4567895,0.00087901,0.0,1615,17.15409790356142,0.00087901,1.627906976744186,0.0022294421
349979,2199.5715041160583,0.11621589757759969,84.38297872340425,1.4042553191489362,1.4563079,0.0008311989,0.0,1662,16.204585552062923,0.0008311989,1.5957446808510638,0.0010127914
359775,2259.7510302066803,0.1338803035958691,81.25531914893617,1.2765957446808511,1.4564297,0.0008540085,0.0,1709,15.383349469876153,0.0008540085,1.7234042553191489,0.0008162468
369887,2324.4767529964447,0.11908859003334152,83.73913043478261,1.3043478260869565,1.4900323,0.00093191327,0.0,1755,16.155280984658585,0.00093191327,1.6956521739130435,0.0017557433
379910,2387.7039580345154,0.12842328042328038,86.2,1.4444444444444444,1.486694,0.0012859779,0.0,1800,16.34818837621616,0.0012859779,1.5555555555555556,0.0012524888
389921,2451.522330760956,0.10844444444444448,81.33333333333333,1.2,1.497558,0.0008569402,0.0,1845,15.630922029456691,0.0008569402,1.8,0.0014413575
399970,2513.396908521652,0.13719148936170214,81.0,1.425531914893617,1.491533,0.001055661,0.0,1892,15.345640791505945,0.001055661,1.574468085106383,0.0020137841
409972,2582.5197451114655,0.11923809523809528,89.42857142857143,1.3571428571428572,1.500131,0.0007842224,0.0,1934,17.00645629467679,0.0007842224,1.6428571428571428,0.0030610922
419988,2639.952496290207,0.1149090909090909,86.18181818181819,1.2727272727272727,1.4894218,0.0013634713,0.0,1978,16.04769057957499,0.0013634713,1.7272727272727273,0.004157108
429769,2705.348600625992,0.12743748259537735,91.92857142857143,1.3333333333333333,1.4946707,0.0012403707,0.0,2020,17.476559318593935,0.0012403707,1.6666666666666667,0.002035299
439886,2767.6462235450745,0.11229016740969248,81.25531914893617,1.4680851063829787,1.4777492,0.001165016,0.0,2067,15.378362997427605,0.001165016,1.5319148936170213,0.0016338875
449761,2827.1231870651245,0.1390882740447958,92.54347826086956,1.5,1.4743651,0.0010542633,0.0,2113,17.61901464628223,0.0010542633,1.5,0.0020245484
459960,2888.162717103958,0.16535945063604632,88.40425531914893,1.3404255319148937,1.4804326,0.00061073835,0.0,2160,17.13138396203435,0.00061073835,1.6595744680851063,0.0027250506
469977,2949.744477748871,0.11848888888888892,88.86666666666666,1.511111111111111,1.4873154,0.0010248972,0.0,2205,16.8886103631707,0.0010248972,1.488888888888889,0.0012450747
