optimgain,Fce,AttNC,MtR,AttC,entloss,surrgain,TimeElapsed,EpisodesSoFar,TtR,entropy,TimestepsSoFar,meankl
0.0025494632,0.09704,0.8,14.129971158483059,0.2,0.0,0.0025494632,1931.4370272159576,2758,24.26,0.8766248,459838,0.002750753
0.002849243,0.10592318911035492,0.7843137254901961,15.061621241012308,0.21568627450980393,0.0,0.002849243,1972.4429967403412,2809,26.0,0.87228036,469977,0.0020862317
0.0026885506,0.1088717948717949,0.8333333333333334,14.941595505929348,0.16666666666666666,0.0,0.0026885506,2017.5879850387573,2857,26.458333333333332,0.8925712,479997,0.0019475924
0.0024425841,0.10561826756018866,0.7647058823529411,14.681973484189024,0.23529411764705882,0.0,0.0024425841,2057.979843854904,2908,25.725490196078432,0.87652737,489841,0.0016745965
0.0029246765,0.10506122448979595,0.8163265306122449,14.898612085549464,0.1836734693877551,0.0,0.0029246765,2098.6975708007812,2957,26.26530612244898,0.8171711,499852,0.0062102736
0.0022648526,0.10469444444444444,0.8333333333333334,14.50052906149085,0.16666666666666666,0.0,0.0022648526,2138.338699579239,3005,25.520833333333332,0.8230649,509874,0.001459501
0.0026996392,0.1015510204081633,0.8163265306122449,14.480060242435298,0.1836734693877551,0.0,0.0026996392,2180.1574397087097,3054,25.387755102040817,0.8452205,519889,0.0023598317
0.0021760666,0.09925289256198347,0.7272727272727273,14.011812543130697,0.2727272727272727,0.0,0.0021760666,2217.6617755889893,3109,24.418181818181818,0.8198547,529924,0.002957254
0.0011857118,0.09740606060606063,0.7272727272727273,13.23112865081679,0.2727272727272727,0.0,0.0011857118,2258.8294007778168,3164,22.854545454545455,0.83325243,539959,0.00075512053
0.0018070724,0.10709887359199002,0.851063829787234,14.996737198802533,0.14893617021276595,0.0,0.0018070724,2301.344719648361,3211,26.19148936170213,0.84057605,549984,0.00068073656
0.0026688774,0.12016326530612245,0.7959183673469388,14.428442103278872,0.20408163265306123,0.0,0.0026688774,2340.997019290924,3260,24.959183673469386,0.79901713,559752,0.002778229
0.0021969858,0.1145925925925926,0.7407407407407407,13.190190435822323,0.25925925925925924,0.0,0.0021969858,2379.806104183197,3314,23.12962962962963,0.8167666,569788,0.0015000595
0.0021673844,0.1068860398860399,0.7692307692307693,14.211013942106137,0.23076923076923078,0.0,0.0021673844,2420.449993133545,3366,24.51923076923077,0.81033915,579834,0.002925104
0.0019101233,0.09676923076923079,0.7692307692307693,13.89303041602429,0.23076923076923078,0.0,0.0019101233,2460.666314125061,3418,24.192307692307693,0.7710857,589850,0.004045774
0.0030503112,0.09689846153846159,0.8,13.850421678641476,0.2,0.0,0.0030503112,2504.239709854126,3468,23.86,0.7217952,599872,0.0046273926
0.0015531799,0.10622222222222223,0.8888888888888888,15.38357427786069,0.1111111111111111,0.0,0.0015531799,2547.6430790424347,3513,26.555555555555557,0.7343156,609877,0.0010349948
0.0019781846,0.1023829787234043,0.851063829787234,14.676804013068823,0.14893617021276595,0.0,0.0019781846,2582.454104423523,3560,25.595744680851062,0.7245783,619884,0.00081935385
0.0029053804,0.1033913043478261,0.8695652173913043,15.112944802027906,0.13043478260869565,0.0,0.0029053804,2623.064724445343,3606,25.847826086956523,0.738769,629892,0.012679948
0.0032873445,0.12018181818181818,0.9090909090909091,17.277073998471607,0.09090909090909091,0.0,0.0032873445,2664.7045698165894,3650,30.045454545454547,0.7725205,639900,0.004904908
0.0028830003,0.1342608695652174,0.8695652173913043,16.402376750384253,0.13043478260869565,0.0,0.0028830003,2707.2753994464874,3696,28.152173913043477,0.72997844,649906,0.004108384
0.0025022754,0.10704000000000001,0.8,14.924666995643593,0.2,0.0,0.0025022754,2750.984124660492,3746,25.78,0.70782477,659926,0.0016471043
0.003759121,0.11663636363636361,0.9090909090909091,16.82206273247938,0.09090909090909091,0.0,0.003759121,2794.911586999893,3790,29.15909090909091,0.692697,669934,0.0034839397
0.003567276,0.10829314420803784,0.851063829787234,15.042705727724996,0.14893617021276595,0.0,0.003567276,2834.923227071762,3837,26.170212765957448,0.7268759,679963,0.0033088054
0.0041032243,0.11111111111111112,0.851063829787234,15.03837573634662,0.14893617021276595,0.0,0.0041032243,2878.242035627365,3884,26.638297872340427,0.7100747,689982,0.0031442808
0.0028632702,0.10741666666666667,0.8125,15.109429990981,0.1875,0.0,0.0028632702,2913.9996495246887,3932,25.833333333333332,0.68651444,699753,0.003270862
0.0035995487,0.11226666666666668,0.8888888888888888,16.097383672712244,0.1111111111111111,0.0,0.0035995487,2954.952841758728,3977,28.066666666666666,0.65887463,709758,0.002764271
0.0029961776,0.11182222222222224,0.8888888888888888,16.219691919482848,0.1111111111111111,0.0,0.0029961776,3000.051008939743,4022,27.955555555555556,0.64142805,719763,0.0031604033
