entloss,meankl,optimgain,TimestepsSoFar,Fce,AttC,AttNC,surrgain,TimeElapsed,EpisodesSoFar,TtR,entropy,MtR
0.0,0.0054762587,0.0025030149,2089816,0.144,0.024390243902439025,0.975609756097561,0.0025030149,17004.777257680893,9746,36.0,0.13187186,20.65125923296575
0.0,0.0068894112,0.004960709,2099817,0.1426341463414634,0.024390243902439025,0.975609756097561,0.004960709,17078.83823275566,9787,35.65853658536585,0.13934588,20.303019762509322
0.0,0.006191463,0.0034798721,2109836,0.14375353016688067,0.024390243902439025,0.975609756097561,0.0034798721,17161.220144987106,9828,35.048780487804876,0.13844849,20.190579358246517
0.0,0.0067044282,0.005660098,2119837,0.14341463414634145,0.024390243902439025,0.975609756097561,0.005660098,17236.50862789154,9869,35.853658536585364,0.1411029,20.246629144802075
0.0,0.005104465,0.0024785432,2129796,0.1529543395237878,0.11363636363636363,0.8863636363636364,0.0024785432,17322.984624624252,9913,34.81818181818182,0.117210545,20.25934587250325
0.0,0.008164919,0.004788031,2139973,0.1569193003108532,0.1111111111111111,0.8888888888888888,0.004788031,17403.35030055046,9958,35.733333333333334,0.1013183,20.59815880070472
0.0,0.0060462193,0.004358818,2149883,0.1483126552882026,0.09302325581395349,0.9069767441860465,0.004358818,17483.15958428383,10001,34.55813953488372,0.097747795,20.144663396986022
0.0,0.007096226,0.0045509157,2159855,0.15016708145290286,0.09302325581395349,0.9069767441860465,0.0045509157,17564.72791314125,10044,36.46511627906977,0.07206478,20.811639436514692
0.0,0.0062056757,0.003322989,2169855,0.1487,0.0,1.0,0.003322989,17635.299664258957,10084,37.175,0.055190627,20.86892758763341
0.0,0.0053287037,0.0034644944,2179913,0.14665998329156224,0.047619047619047616,0.9523809523809523,0.0034644944,17722.239630699158,10126,36.26190476190476,0.03972831,20.341318781316765
0.0,0.0054519153,0.0033590118,2189778,0.14941304347826084,0.025,0.975,0.0033590118,17801.03183031082,10166,36.825,0.054363698,21.11009104030589
0.0,0.0052941744,0.0027055587,2199782,0.1627272727272727,0.09090909090909091,0.9090909090909091,0.0027055587,17877.968938827515,10210,35.02272727272727,0.047390502,20.034173824095575
0.0,0.007060678,0.003427214,2209842,0.14648640248640252,0.09090909090909091,0.9090909090909091,0.003427214,17960.884019613266,10254,35.06818181818182,0.023052216,20.06362954924632
0.0,0.0062626586,0.0039473437,2219843,0.14243902439024395,0.024390243902439025,0.975609756097561,0.0039473437,18038.896020412445,10295,35.609756097560975,0.07463862,20.05819348044553
0.0,0.006299253,0.00437928,2229844,0.14770731707317075,0.024390243902439025,0.975609756097561,0.00437928,18120.34435725212,10336,36.926829268292686,0.08215684,20.727261156022795
0.0,0.0047442336,0.0043569854,2239844,0.15369999999999998,0.0,1.0,0.0043569854,18196.92609667778,10376,38.425,0.09892372,21.6539096272791
0.0,0.0053498344,0.0043290495,2249863,0.1465608755129959,0.06976744186046512,0.9302325581395349,0.0043290495,18270.423211574554,10419,35.04651162790697,0.08161898,20.080871842482363
0.0,0.0044632475,0.003864904,2259876,0.14866807610993663,0.06976744186046512,0.9302325581395349,0.003864904,18355.946875095367,10462,35.651162790697676,0.07283146,20.2345593716755
0.0,0.0064839995,0.0034485885,2269876,0.15200000000000002,0.0,1.0,0.0034485885,18432.275523662567,10502,38.0,0.04570335,21.800690251298548
0.0,0.007884691,0.003570224,2279877,0.1471219512195122,0.024390243902439025,0.975609756097561,0.003570224,18524.679052114487,10543,36.78048780487805,0.0030237436,21.06508086773773
0.0,0.007704173,0.0055909064,2289879,0.13971428571428565,0.047619047619047616,0.9523809523809523,0.0055909064,18596.629937410355,10585,34.92857142857143,-0.02872002,20.21077488848328
0.0,0.007302491,0.004057541,2299880,0.1495609756097561,0.024390243902439025,0.975609756097561,0.004057541,18689.237102508545,10626,37.390243902439025,-0.051443085,21.10527950038783
0.0,0.0066823866,0.0026451699,2309882,0.14390476190476192,0.047619047619047616,0.9523809523809523,0.0026451699,18767.76412630081,10668,35.976190476190474,-0.034939513,20.813528798864972
0.0,0.0044543245,0.004187271,2319883,0.14458536585365853,0.024390243902439025,0.975609756097561,0.004187271,18851.594234466553,10709,36.146341463414636,-0.047381874,20.650960616430787
0.0,0.006723673,0.0041549043,2329904,0.1512984901277584,0.024390243902439025,0.975609756097561,0.0041549043,18928.46834921837,10750,37.292682926829265,-0.049139403,21.137620259305308
0.0,0.0061516627,0.0039487085,2339973,0.1417184582028207,0.06976744186046512,0.9302325581395349,0.0039487085,18999.179072856903,10793,33.55813953488372,-0.053563878,19.16588045565566
0.0,0.005500824,0.0021617576,2349973,0.15300000000000002,0.0,1.0,0.0021617576,19082.4128305912,10833,38.25,-0.07881897,21.859976352651156
0.0,0.007229585,0.0050935084,2359974,0.14780487804878048,0.024390243902439025,0.975609756097561,0.0050935084,19161.570060491562,10874,36.951219512195124,-0.12206333,21.08659657044944
0.0,0.00434413,0.0039806077,2369974,0.1509,0.0,1.0,0.0039806077,19238.440046310425,10914,37.725,-0.099857084,21.674431433803374
0.0,0.007155943,0.005707937,2379974,0.1483,0.0,1.0,0.005707937,19319.824816942215,10954,37.075,-0.1163297,21.064522755003473
0.0,0.0067244936,0.003677201,2389999,0.1455609756097561,0.024390243902439025,0.975609756097561,0.003677201,19400.399964094162,10995,35.951219512195124,-0.06399953,20.359172792644806
0.0,0.006360802,0.0035645661,2399768,0.15524736842105263,0.025,0.975,0.0035645661,19482.298157930374,11035,37.9,-0.0707818,21.491567412972216
0.0,0.004259178,0.004237453,2409768,0.1572,0.0,1.0,0.004237453,19560.116122484207,11075,39.3,-0.0755237,22.34411198330854
0.0,0.0051718177,0.0033526276,2419768,0.1522,0.0,1.0,0.0033526276,19634.1275472641,11115,38.05,-0.09421132,21.6083822995627
0.0,0.0055452823,0.0039517363,2429769,0.14897560975609755,0.024390243902439025,0.975609756097561,0.0039517363,19719.194933891296,11156,37.24390243902439,-0.08710203,21.309578240551396
0.0,0.005109262,0.004318033,2439769,0.155,0.0,1.0,0.004318033,19800.31684923172,11196,38.75,-0.08819963,22.202960507434092
0.0,0.005168565,0.00435251,2449857,0.1412370005473454,0.047619047619047616,0.9523809523809523,0.00435251,19886.422274827957,11238,34.95238095238095,-0.06473913,19.906928166159123
0.0,0.006276332,0.004278833,2459857,0.15250000000000002,0.0,1.0,0.004278833,19956.6400077343,11278,38.125,-0.06994628,21.936815986087556
0.0,0.007384491,0.0049180877,2469858,0.1486829268292683,0.024390243902439025,0.975609756097561,0.0049180877,20044.602732658386,11319,37.170731707317074,-0.10003681,21.426076675504024
