EpisodesSoFar,Fce,entropy,AttC,MtR,meankl,TimestepsSoFar,entloss,surrgain,TtR,TimeElapsed,AttNC,optimgain
12063,0.17307317073170733,8.061562,6.317073170731708,24.57927489163404,0.008933204,2919798,0.0,-7.476807e-09,428.2926829268293,22368.98201560974,3.682926829268293,-7.476807e-09
12106,0.16574272012729188,8.061562,6.8604651162790695,22.94552791364599,0.008933204,2929857,0.0,-7.476807e-09,397.6744186046512,22439.624707221985,3.13953488372093,-7.476807e-09
12147,0.1673310104529617,8.061562,6.560975609756097,23.96752753684072,0.008933204,2939892,0.0,-7.476807e-09,416.8292682926829,22510.144676685333,3.4390243902439024,-7.476807e-09
12189,0.15660317460317458,8.061562,6.9523809523809526,21.26726617399669,0.008933204,2949906,0.0,-7.476807e-09,371.9047619047619,22581.505821704865,3.0476190476190474,-7.476807e-09
12231,0.15064852607709753,8.061562,6.976190476190476,21.694435833429026,0.008933204,2959978,0.0,-7.476807e-09,372.3809523809524,22651.25505375862,3.0238095238095237,-7.476807e-09
12273,0.1738161044789245,8.061562,6.738095238095238,23.909834861899984,0.008933204,2969760,0.0,-7.476807e-09,418.3333333333333,22722.420444726944,3.261904761904762,-7.476807e-09
12314,0.16267975926512515,8.061562,6.780487804878049,23.161991439706224,0.008933204,2979837,0.0,-7.476807e-09,401.219512195122,22792.382932662964,3.2195121951219514,-7.476807e-09
12355,0.16029268292682927,7.9639964,7.024390243902439,22.803238843797097,0.010174781,2989848,0.0,5.9509278e-09,400.7317073170732,22864.093521595,2.975609756097561,5.9509278e-09
12397,0.17089450926001465,7.9639964,6.404761904761905,23.92810555466162,0.010174781,2999968,0.0,5.9509278e-09,415.95238095238096,22933.512340307236,3.5952380952380953,5.9509278e-09
12441,0.15858570375630923,7.9639964,7.045454545454546,21.463640038712377,0.010174781,3009947,0.0,5.9509278e-09,370.45454545454544,23003.916734457016,2.9545454545454546,5.9509278e-09
12483,0.15840063939720772,7.9639964,7.071428571428571,21.99033908860868,0.010174781,3019870,0.0,5.9509278e-09,381.42857142857144,23074.173275709152,2.9285714285714284,5.9509278e-09
12524,0.16585365853658537,7.9639964,6.634146341463414,23.606847618856357,0.010174781,3029877,0.0,5.9509278e-09,414.6341463414634,23144.214642763138,3.3658536585365852,5.9509278e-09
12567,0.16361903577798148,8.012816,7.023255813953488,22.64892038997839,0.0023053885,3039974,0.0,-8.239746e-09,393.25581395348837,23218.753757238388,2.9767441860465116,-8.239746e-09
12608,0.1643252032520325,8.012816,6.609756097560975,23.27657357898764,0.0023053885,3049758,0.0,-8.239746e-09,403.1707317073171,23290.134200811386,3.3902439024390243,-8.239746e-09
12648,0.1654,8.0250225,6.3,24.2058900355835,0.00014746189,3059758,0.0,-9.6130375e-09,413.5,23367.252843379974,3.7,-9.6130375e-09
12690,0.1655520282186949,8.0250225,6.238095238095238,23.153481640674414,0.00014746189,3069790,0.0,-9.6130375e-09,404.04761904761904,23438.27177977562,3.761904761904762,-9.6130375e-09
12731,0.16533924611973397,8.122569,6.7317073170731705,23.41157315119414,0.008933204,3079801,0.0,-4.7302247e-09,408.0487804878049,23511.707956790924,3.268292682926829,-4.7302247e-09
12773,0.16891609977324262,8.128758,6.595238095238095,22.870128724385534,3.707409e-05,3089827,0.0,-1.0223388e-08,400.23809523809524,23588.165341615677,3.4047619047619047,-1.0223388e-08
12815,0.1710884353741496,8.03113,6.4523809523809526,23.979071813152114,0.010174781,3099911,0.0,1.0986328e-08,413.57142857142856,23662.44161581993,3.5476190476190474,1.0986328e-08
12857,0.18602364066193855,8.03113,6.142857142857143,25.663301498997487,0.010174781,3109961,0.0,1.0986328e-08,439.2857142857143,23733.128659009933,3.857142857142857,1.0986328e-08
12897,0.16429999999999995,8.03113,6.875,23.52087178008864,0.010174781,3119961,0.0,1.0986328e-08,410.75,23805.29302215576,3.125,1.0986328e-08
12938,0.1664390243902439,8.03113,6.682926829268292,24.438667937455218,0.010174781,3129974,0.0,1.0986328e-08,416.0975609756098,23874.873871088028,3.317073170731707,1.0986328e-08
12979,0.1733392461197339,8.03113,6.463414634146342,24.732823499086486,0.010174781,3139985,0.0,1.0986328e-08,428.0487804878049,23946.881775856018,3.5365853658536586,1.0986328e-08
13020,0.1679946395068346,8.03113,6.609756097560975,23.335977996751605,0.010174781,3149755,0.0,1.0986328e-08,407.0731707317073,24017.28749537468,3.3902439024390243,1.0986328e-08
13061,0.16555471022600132,8.03113,7.146341463414634,23.322104262076568,0.010174781,3159864,0.0,1.0986328e-08,410.7317073170732,24087.821276426315,2.8536585365853657,1.0986328e-08
13102,0.16928474875110197,8.03113,6.487804878048781,24.2153479437111,0.010174781,3169947,0.0,1.0986328e-08,416.3414634146341,24158.404497385025,3.5121951219512195,1.0986328e-08
13143,0.16548886532343582,8.03113,7.170731707317073,23.709230520398037,0.010174781,3179837,0.0,1.0986328e-08,405.609756097561,24228.58810377121,2.8292682926829267,1.0986328e-08
13183,0.16219999999999998,8.03113,6.8,23.22184134693219,0.010174781,3189837,0.0,1.0986328e-08,405.5,24299.1517226696,3.2,1.0986328e-08
13223,0.1698,8.03113,6.8,24.512691412994577,0.010174781,3199837,0.0,1.0986328e-08,424.5,24369.39781188965,3.2,1.0986328e-08
13264,0.16585365853658537,8.03113,6.804878048780488,23.81456700971715,0.010174781,3209844,0.0,1.0986328e-08,414.6341463414634,24440.302003622055,3.1951219512195124,1.0986328e-08
13304,0.1672,8.03113,6.575,24.07290738178141,0.010174781,3219844,0.0,1.0986328e-08,418.0,24510.448434591293,3.425,1.0986328e-08
13346,0.16736507936507933,8.03113,6.357142857142857,23.914765985750343,0.010174781,3229868,0.0,1.0986328e-08,410.95238095238096,24580.70996928215,3.642857142857143,1.0986328e-08
13386,0.1694,8.03113,6.575,24.205425462803454,0.010174781,3239868,0.0,1.0986328e-08,423.5,24650.48903822899,3.425,1.0986328e-08
13427,0.1663722721437741,8.03113,6.780487804878049,23.85818738670995,0.010174781,3249887,0.0,1.0986328e-08,410.0,24722.460243701935,3.2195121951219514,1.0986328e-08
13470,0.15949547485393517,7.9335837,6.395348837209302,22.47395994972562,0.010174781,3259932,0.0,1.34277345e-08,385.3488372093023,24793.784538030624,3.604651162790698,1.34277345e-08
13512,0.1679468150896722,7.9335837,6.761904761904762,23.10592892589163,0.010174781,3269950,0.0,1.34277345e-08,406.42857142857144,24863.629643440247,3.238095238095238,1.34277345e-08
13553,0.17365853658536587,7.9335837,6.560975609756097,24.93057369198725,0.010174781,3279969,0.0,1.34277345e-08,434.1463414634146,24933.208420991898,3.4390243902439024,1.34277345e-08
13593,0.16889999999999997,7.9335837,6.25,24.98306677798159,0.010174781,3289969,0.0,1.34277345e-08,422.25,25003.198131084442,3.75,1.34277345e-08
13635,0.1620132768083079,7.9335837,6.666666666666667,22.11869922952663,0.010174781,3299758,0.0,1.34277345e-08,381.6666666666667,25072.55913901329,3.3333333333333335,1.34277345e-08
13680,0.16278156976677668,7.9335837,6.911111111111111,22.53384381062368,0.010174781,3309981,0.0,1.34277345e-08,390.8888888888889,25142.400609731674,3.088888888888889,1.34277345e-08
13723,0.1662579631691106,8.03113,6.930232558139535,22.86450940736894,0.008933204,3319891,0.0,-1.2359619e-08,390.0,25214.560586690903,3.0697674418604652,-1.2359619e-08
13763,0.1764,8.128758,6.25,25.27447226882439,0.008933204,3329891,0.0,-1.4419555e-08,441.0,25286.983637571335,3.75,-1.4419555e-08
13804,0.1713774680603949,8.128758,6.926829268292683,24.030124431689224,0.008933204,3339954,0.0,-1.4419555e-08,419.7560975609756,25355.61252093315,3.073170731707317,-1.4419555e-08
13844,0.1666,8.128758,6.05,23.815345990129494,0.008933204,3349954,0.0,-1.4419555e-08,416.5,25424.712793827057,3.95,-1.4419555e-08
13885,0.16546341463414632,8.128758,6.439024390243903,23.551695010225842,0.008933204,3359979,0.0,-1.4419555e-08,411.4634146341463,25494.788153648376,3.5609756097560976,-1.4419555e-08
13926,0.16914412416851443,8.128758,6.780487804878049,24.017904094926408,0.008933204,3369990,0.0,-1.4419555e-08,417.5609756097561,25564.030760765076,3.2195121951219514,-1.4419555e-08
13967,0.16821795537104306,8.128758,6.7317073170731705,23.37898073181716,0.008933204,3379812,0.0,-1.4419555e-08,408.780487804878,25633.809245824814,3.268292682926829,-1.4419555e-08
14007,0.16239999999999996,8.128758,6.95,23.31196425906146,0.008933204,3389812,0.0,-1.4419555e-08,406.0,25703.079852581024,3.05,-1.4419555e-08
14049,0.16373271889400923,8.128758,6.880952380952381,22.563251592356657,0.008933204,3399848,0.0,-1.4419555e-08,392.6190476190476,25772.377712726593,3.119047619047619,-1.4419555e-08
14090,0.16636844836533474,8.128758,6.780487804878049,23.25586056281524,0.008933204,3409895,0.0,-1.4419555e-08,411.7073170731707,25841.65376853943,3.2195121951219514,-1.4419555e-08
14132,0.17286118065089232,8.128758,6.357142857142857,24.28217573859688,0.008933204,3419985,0.0,-1.4419555e-08,417.85714285714283,25911.743493795395,3.642857142857143,-1.4419555e-08
14177,0.1579924943954222,8.128758,7.177777777777778,20.206337660607684,0.008933204,3429949,0.0,-1.4419555e-08,348.8888888888889,25980.921937704086,2.8222222222222224,-1.4419555e-08
14218,0.1613658536585366,8.226229,6.195121951219512,23.485474751251026,0.008933204,3439958,0.0,-5.9509278e-09,403.4146341463415,26053.026210784912,3.8048780487804876,-5.9509278e-09
14258,0.1627,8.3238535,6.575,23.309557578332225,0.008933204,3449958,0.0,-1.03759765e-08,406.75,26124.37421822548,3.425,-1.03759765e-08
14301,0.15361557485865235,8.3238535,6.883720930232558,20.98846149205381,0.008933204,3459812,0.0,-1.03759765e-08,366.9767441860465,26193.381071805954,3.116279069767442,-1.03759765e-08
14343,0.17085714285714287,8.3238535,6.476190476190476,23.40251756789953,0.008933204,3469828,0.0,-1.03759765e-08,403.8095238095238,26262.940526485443,3.5238095238095237,-1.03759765e-08
14386,0.16625353330813905,8.421423,6.8604651162790695,23.167371610673538,0.008933204,3479899,0.0,-4.577637e-09,401.16279069767444,26333.939507484436,3.13953488372093,-4.577637e-09
14428,0.1692542031611798,8.421423,6.5,23.928692630552952,0.008933204,3489975,0.0,-4.577637e-09,415.0,26403.252175807953,3.5,-4.577637e-09
14469,0.19440650406504065,8.421423,6.365853658536586,25.879132737610647,0.008933204,3499978,0.0,-4.577637e-09,445.8536585365854,26472.445237874985,3.6341463414634148,-4.577637e-09
14510,0.17338836772983113,8.421423,6.2682926829268295,24.60602611841194,0.008933204,3509991,0.0,-4.577637e-09,429.0243902439024,26542.47825860977,3.731707317073171,-4.577637e-09
14551,0.1620263803397047,8.3238535,6.902439024390244,23.023910384672835,0.010174863,3519789,0.0,1.1291504e-08,400.0,26613.429986953735,3.097560975609756,1.1291504e-08
14593,0.16832653061224492,8.421423,6.619047619047619,24.022253221327794,0.008933204,3529835,0.0,-8.544922e-09,416.42857142857144,26684.987283229828,3.380952380952381,-8.544922e-09
14633,0.1668,8.421732,6.3,24.367265689017902,0.0,3539835,0.0,-1.34277345e-08,417.0,26764.03568315506,3.7,-1.34277345e-08
14674,0.1707062566277837,8.421732,6.463414634146342,24.292567597016166,0.0,3549858,0.0,-1.34277345e-08,421.9512195121951,26832.592938184738,3.5365853658536586,-1.34277345e-08
14715,0.1666635987114588,8.51905,6.658536585365853,23.67109288212724,0.008933196,3559911,0.0,-5.645752e-09,411.219512195122,26904.0860619545,3.341463414634146,-5.645752e-09
14756,0.1786062717770035,8.51905,6.317073170731708,25.26577657884028,0.008933196,3569946,0.0,-5.645752e-09,439.0243902439024,26973.421013593674,3.682926829268293,-5.645752e-09
14798,0.15934046510579297,8.51905,7.119047619047619,21.90772184069269,0.008933196,3579767,0.0,-5.645752e-09,379.5238095238095,27042.349380731583,2.880952380952381,-5.645752e-09
14838,0.17259999999999995,8.51905,6.275,24.446579563207713,0.008933196,3589767,0.0,-5.645752e-09,431.5,27110.596563100815,3.725,-5.645752e-09
14879,0.16694328533646782,8.51905,6.682926829268292,23.634648354113757,0.008933196,3599850,0.0,-5.645752e-09,410.4878048780488,27178.30917620659,3.317073170731707,-5.645752e-09
14919,0.166,8.51905,6.25,23.78056327927129,0.008933196,3609850,0.0,-5.645752e-09,415.0,27248.139822244644,3.75,-5.645752e-09
14960,0.16677351916376307,8.51905,6.829268292682927,23.94188934945421,0.008933196,3619885,0.0,-5.645752e-09,412.4390243902439,27317.20428276062,3.1707317073170733,-5.645752e-09
15003,0.15398286413708692,8.51905,7.116279069767442,21.782544339722595,0.008933196,3629928,0.0,-5.645752e-09,379.30232558139534,27385.78216457367,2.883720930232558,-5.645752e-09
15045,0.1683492063492064,8.51905,6.928571428571429,23.63013366758807,0.008933196,3639968,0.0,-5.645752e-09,412.85714285714283,27453.563483715057,3.0714285714285716,-5.645752e-09
15085,0.1722,8.51905,6.275,24.778446549376604,0.008933196,3649968,0.0,-5.645752e-09,430.5,27519.33512878418,3.725,-5.645752e-09
15125,0.1639,8.51905,6.25,23.60997224656767,0.008933196,3659968,0.0,-5.645752e-09,409.75,27586.046519756317,3.75,-5.645752e-09
15166,0.16721951219512202,8.51905,6.853658536585366,24.33425988291683,0.008933196,3669979,0.0,-5.645752e-09,418.0487804878049,27652.170378923416,3.1463414634146343,-5.645752e-09
15208,0.17494977168949774,8.51905,6.714285714285714,24.46842119676673,0.008933196,3679852,0.0,-5.645752e-09,418.3333333333333,27719.583612203598,3.2857142857142856,-5.645752e-09
15250,0.1612169312169312,8.51905,6.714285714285714,22.51560308223724,0.008933196,3689886,0.0,-5.645752e-09,394.5238095238095,27785.088871717453,3.2857142857142856,-5.645752e-09
15291,0.1579393939393939,8.51905,7.414634146341464,22.210793580190547,0.008933196,3699919,0.0,-5.645752e-09,386.8292682926829,27849.564059495926,2.5853658536585367,-5.645752e-09
15332,0.16125646711012567,8.51905,7.048780487804878,22.8108509596509,0.008933196,3709952,0.0,-5.645752e-09,395.1219512195122,27914.964431762695,2.951219512195122,-5.645752e-09
15375,0.16375427394697475,8.470243,7.023255813953488,22.962339825423147,0.0024602725,3719878,0.0,1.4343262e-08,394.6511627906977,27982.512139558792,2.9767441860465116,1.4343262e-08
15418,0.15818198766959626,8.470243,7.116279069767442,21.720127375703967,0.0024602725,3729752,0.0,1.4343262e-08,376.74418604651163,28047.956666707993,2.883720930232558,1.4343262e-08
15461,0.16207959244434156,8.470243,6.4186046511627906,23.29365190624123,0.0024602725,3739903,0.0,1.4343262e-08,396.27906976744185,28112.36170053482,3.5813953488372094,1.4343262e-08
15501,0.1666,8.470243,6.475,23.934799408830905,0.0024602725,3749903,0.0,1.4343262e-08,416.5,28176.556061267853,3.525,1.4343262e-08
15541,0.16519999999999999,8.470243,6.85,23.817226457049976,0.0024602725,3759903,0.0,1.4343262e-08,413.0,28241.528953552246,3.15,1.4343262e-08
15581,0.17530000000000004,8.470243,6.825,24.945397374054103,0.0024602725,3769903,0.0,1.4343262e-08,438.25,28306.491290330887,3.175,1.4343262e-08
15623,0.16740259740259744,8.470552,6.238095238095238,23.384079582634172,1.1920929e-07,3779939,0.0,-6.4086914e-09,406.9047619047619,28380.25253391266,3.761904761904762,-6.4086914e-09
15664,0.1749682740902253,8.372674,6.195121951219512,24.41626087257078,0.010174781,3789765,0.0,8.392334e-09,425.1219512195122,28447.349606752396,3.8048780487804876,8.392334e-09
15705,0.17411973392461194,8.372674,6.390243902439025,24.84038584383966,0.010174781,3799798,0.0,8.392334e-09,430.4878048780488,28512.449597358704,3.6097560975609757,8.392334e-09
