entropy,surrgain,entloss,EpisodesSoFar,TimeElapsed,AttC,Fce,TimestepsSoFar,AttNC,TtR,optimgain,meankl,MtR
-0.27132222,0.0029660019,0.0,12852,10184.895822763443,0.0,0.13340000000000002,2779805,1.0,33.35,0.0029660019,0.008250854,18.42183608834743
-0.25375396,0.0023840424,0.0,12893,10221.204933404922,0.0975609756097561,0.13349895987182767,2789835,0.9024390243902439,32.5609756097561,0.0023840424,0.007467993,18.039566994379133
-0.3137204,0.0030665374,0.0,12933,10258.949668169022,0.0,0.12790000000000004,2799835,1.0,31.975,0.0030665374,0.009503393,17.53034398294767
-0.3063495,0.0032723588,0.0,12974,10295.607190608978,0.04878048780487805,0.13653558382472253,2809871,0.9512195121951219,33.31707317073171,0.0032723588,0.008689068,18.285912245872513
-0.34021348,0.0025780166,0.0,13016,10330.09882760048,0.09523809523809523,0.1402489829767033,2819897,0.9047619047619048,32.92857142857143,0.0025780166,0.009508904,18.479402836724695
-0.33966494,0.0039531477,0.0,13057,10367.755289077759,0.024390243902439025,0.12878048780487808,2829898,0.975609756097561,32.19512195121951,0.0039531477,0.009051617,17.627977153833235
-0.37153962,0.0037096932,0.0,13098,10407.279081821442,0.0975609756097561,0.14420410971607195,2839868,0.9024390243902439,35.048780487804876,0.0037096932,0.009015393,19.556668342129086
-0.3582009,0.001969989,0.0,13140,10442.739779233932,0.09523809523809523,0.14741259774297538,2850000,0.9047619047619048,35.30952380952381,0.001969989,0.008883189,19.271730696753455
-0.38923672,0.002600119,0.0,13182,10479.48294377327,0.11904761904761904,0.15181521923076818,2859953,0.8809523809523809,36.166666666666664,0.002600119,0.009189366,20.311446149920105
-0.37738118,0.0034512863,0.0,13224,10515.136823892593,0.11904761904761904,0.13302737886020571,2869992,0.8809523809523809,31.571428571428573,0.0034512863,0.008822983,17.657409201142485
-0.4049196,0.003743486,0.0,13264,10548.131506443024,0.05,0.13858615356117437,2879852,0.95,34.05,0.003743486,0.009295069,18.768195133335603
-0.43400133,0.003969887,0.0,13304,10590.502156496048,0.05,0.1375644399508919,2889762,0.95,34.0,0.003969887,0.0092835575,18.59296913458946
-0.4200327,0.0033630615,0.0,13345,10627.19453883171,0.0975609756097561,0.13029240143345094,2899752,0.9024390243902439,31.70731707317073,0.0033630615,0.008390182,17.196753381621704
-0.37620157,0.002825862,0.0,13390,10663.171359539032,0.2222222222222222,0.141272813128919,2909986,0.7777777777777778,31.555555555555557,0.002825862,0.006782196,17.707492144935937
-0.38949564,0.0015127121,0.0,13432,10703.580070972443,0.19047619047619047,0.14365610910248802,2919926,0.8095238095238095,34.0,0.0015127121,0.0090065915,18.847261123764127
-0.35806248,0.006288789,0.0,13474,10736.508516788483,0.16666666666666666,0.1354175422114475,2929949,0.8333333333333334,32.26190476190476,0.006288789,0.008042663,17.856132808796914
-0.3286629,0.005653473,0.0,13515,10774.03489279747,0.14634146341463414,0.13595444483517946,2939983,0.8536585365853658,33.19512195121951,0.005653473,0.008392619,18.488768539455425
-0.33873078,0.0052183317,0.0,13556,10812.062735319138,0.07317073170731707,0.12887094112034594,2949894,0.926829268292683,31.24390243902439,0.0052183317,0.009482811,17.52673904709036
-0.31206805,0.0039920798,0.0,13596,10846.127399206161,0.0,0.1286,2959894,1.0,32.15,0.0039920798,0.007806032,17.976362266932465
-0.31434515,0.003194143,0.0,13636,10886.027415275574,0.0,0.13879999999999998,2969894,1.0,34.7,0.003194143,0.008726716,18.97596019139615
-0.30809018,0.004963745,0.0,13676,10924.258377313614,0.0,0.1377,2979894,1.0,34.425,0.004963745,0.010776857,18.930579381068014
-0.31445777,0.0020931808,0.0,13716,10957.898450374603,0.0,0.14560000000000003,2989894,1.0,36.4,0.0020931808,0.007276104,20.060956535887435
-0.32894903,0.0039070435,0.0,13756,10994.346436738968,0.0,0.13640000000000002,2999894,1.0,34.1,0.0039070435,0.009675301,18.931633550008648
-0.32594416,0.0031822608,0.0,13796,11029.603901386261,0.0,0.1427,3009894,1.0,35.675,0.0031822608,0.008411857,19.67861871238592
