TtR,EpisodesSoFar,Tbt,MtR,meankl,Tmt,entropy,Tmc,entloss,Ptt,MpbtA,MpbtN,AttNC,optimgain,surrgain,TimestepsSoFar,AttC,TimeElapsed
-135.86666666666667,18378,313571.55555555556,-27.878678520433954,0.005389272,76.55555555555556,0.19495283,27.488888888888887,0.0,74.62571436355493,40.92472798860169,59.075272011398305,1.9111111111111112,0.0060611167,0.0060611167,3579940,1.0888888888888888,48749.42527747154
-133.53333333333333,18423,313298.4888888889,-26.938677527113516,0.005064574,76.4888888888889,0.20742555,27.511111111111113,0.0,74.59244520213261,41.916609438901666,58.08339056109833,1.4444444444444444,0.0050471923,0.0050471923,3589941,1.5555555555555556,48872.9017431736
-141.3913043478261,18469,313700.17391304346,-28.570879435896096,0.0058966666,76.58695652173913,0.18950424,27.434782608695652,0.0,74.67083003106883,38.63263835432567,61.36736164567433,1.2391304347826086,0.0064621754,0.0064621754,3599938,1.7608695652173914,48995.29514884949
-134.5909090909091,18513,312692.36363636365,-27.146320060273105,0.0053636264,76.3409090909091,0.20035784,27.681818181818183,0.0,74.43974439319193,41.24737450048862,58.752625499511375,1.75,0.0064244196,0.0064244196,3609800,1.25,49114.16598701477
-139.53333333333333,18558,317121.4222222222,-28.47864656149257,0.0059773326,77.42222222222222,0.19760357,26.57777777777778,0.0,75.46485039954518,40.01225920540011,59.987740794599915,1.8222222222222222,0.006399524,0.006399524,3619967,1.1777777777777778,49232.902566194534
-140.13333333333333,18603,314754.84444444446,-28.38788176882391,0.0057039103,76.84444444444445,0.19269064,27.177777777777777,0.0,74.91219853959062,39.324693847316325,60.675306152683696,1.4,0.0061965,0.0061965,3629872,1.6,49353.53561878204
-135.91304347826087,18649,310939.82608695654,-27.894743192755158,0.005713933,75.91304347826087,0.19449961,28.08695652173913,0.0,74.05576393083842,40.350964100032066,59.649035899967934,1.5434782608695652,0.006798233,0.006798233,3639919,1.4565217391304348,49477.52962446213
-138.0,18694,310385.77777777775,-28.62638546545086,0.005125976,75.77777777777777,0.20278189,28.266666666666666,0.0,73.89826873135503,39.3860785478224,60.61392145217759,1.6666666666666667,0.004956782,0.004956782,3649817,1.3333333333333333,49605.47286748886
-133.36363636363637,18738,309713.45454545453,-26.720211733318102,0.0052881315,75.61363636363636,0.20546621,28.431818181818183,0.0,73.74446908776837,41.278910150293164,58.72108984970683,1.6590909090909092,0.0068895086,0.0068895086,3659942,1.3409090909090908,49727.79972577095
-134.79545454545453,18782,308875.63636363635,-27.272422951023028,0.0063584587,75.4090909090909,0.21191764,28.65909090909091,0.0,73.5380658133291,40.45011892720884,59.549881072791166,1.6590909090909092,0.007207204,0.007207204,3669954,1.3409090909090908,49848.101531744
-137.51162790697674,18825,315868.27906976745,-27.15489538059972,0.0062105316,77.11627906976744,0.20844002,26.88372093023256,0.0,75.17851971671591,40.6473893894149,59.35261061058509,1.7209302325581395,0.007074892,0.007074892,3679891,1.2790697674418605,49967.23007297516
-142.2391304347826,18871,313165.9130434783,-29.112842152356762,0.005345514,76.45652173913044,0.1936708,27.543478260869566,0.0,74.56381235157592,38.05162860005426,61.94837139994571,1.2826086956521738,0.004642683,0.004642683,3689843,1.7173913043478262,50089.942962646484
-137.6590909090909,18915,310923.63636363635,-26.90962198678417,0.0062766527,75.9090909090909,0.19837682,28.09090909090909,0.0,74.04981997555949,39.557106996442535,60.44289300355745,1.5681818181818181,0.0076523647,0.0076523647,3699985,1.4318181818181819,50208.98499941826
-136.97727272727272,18959,313157.8181818182,-27.8868742766047,0.005344802,76.45454545454545,0.20073375,27.545454545454547,0.0,74.56015878706096,40.35187312765313,59.648126872346886,1.3863636363636365,0.0058913757,0.0058913757,3709866,1.6136363636363635,50330.18900632858
-135.0,19004,311933.15555555554,-27.644444486091118,0.0058781556,76.15555555555555,0.20411013,27.866666666666667,0.0,74.26631997990233,40.992262900958146,59.00773709904185,1.8666666666666667,0.006701493,0.006701493,3719973,1.1333333333333333,50450.058510780334
-135.86666666666667,19049,311660.0888888889,-27.27824039691635,0.005431478,76.08888888888889,0.19971208,27.955555555555556,0.0,74.19059251854254,40.52340446752868,59.47659553247134,1.3111111111111111,0.006427879,0.006427879,3729797,1.6888888888888889,50573.73822307587
-130.5681818181818,19093,309248.0,-26.06288911735407,0.0054842755,75.5,0.2141041,28.545454545454547,0.0,73.63709172078497,42.413623805653735,57.58637619434628,1.4772727272727273,0.0074683717,0.0074683717,3739849,1.5227272727272727,50693.90782260895
-134.0,19138,311113.9555555555,-27.34007852546659,0.006094665,75.95555555555555,0.21270159,28.08888888888889,0.0,74.06530448348198,41.26747584311269,58.732524156887315,1.6444444444444444,0.0080687255,0.0080687255,3749922,1.3555555555555556,50818.90985870361
-133.13333333333333,19183,313389.5111111111,-26.59308289480551,0.005830815,76.5111111111111,0.20898226,27.488888888888887,0.0,74.61472983576432,41.95804086778489,58.04195913221512,1.5333333333333334,0.006686861,0.006686861,3759975,1.4666666666666666,50940.33218741417
-136.29545454545453,19227,313530.1818181818,-27.53955729985513,0.0062108417,76.54545454545455,0.21907687,27.454545454545453,0.0,74.64478296191486,40.84163102107521,59.15836897892479,1.5454545454545454,0.00786528,0.00786528,3769973,1.4545454545454546,51058.164013147354
-136.9090909090909,19271,315112.7272727273,-27.56049656413303,0.005571636,76.93181818181819,0.21059255,27.068181818181817,0.0,75.00554067194243,40.79040154410157,59.209598455898416,1.4090909090909092,0.00587517,0.00587517,3779861,1.5909090909090908,51177.014701366425
-135.75,19315,310551.2727272727,-27.179723591832996,0.006188137,75.81818181818181,0.20275322,28.204545454545453,0.0,73.95137460396354,40.40488190529748,59.59511809470251,1.2727272727272727,0.0067078564,0.0067078564,3789840,1.7272727272727273,51296.61895227432
-145.0,19363,317013.3333333333,-28.96954672030103,0.0054352256,77.39583333333333,0.19237399,26.625,0.0,75.42688121652643,37.74893630465248,62.25106369534755,0.9583333333333334,0.0063974853,0.0063974853,3799944,2.0416666666666665,51422.205102443695
-138.93333333333334,19408,312024.1777777778,-28.05566324017192,0.0060007507,76.17777777777778,0.20131005,27.822222222222223,0.0,74.30277836442886,39.23798355591396,60.76201644408606,1.488888888888889,0.007681138,0.007681138,3809878,1.511111111111111,51546.01734828949
-129.65217391304347,19454,311028.8695652174,-26.766336356628305,0.0052308277,75.93478260869566,0.20710304,28.08695652173913,0.0,74.06117661448688,43.052881680665855,56.94711831933414,1.173913043478261,0.0056675365,0.0056675365,3819970,1.826086956521739,51669.00545668602
-132.88636363636363,19498,309061.8181818182,-26.824174042013155,0.005482473,75.45454545454545,0.19422273,28.568181818181817,0.0,73.60908435211981,41.37420521930146,58.62579478069854,1.4090909090909092,0.005069166,0.005069166,3829898,1.5909090909090908,51790.605085372925
-133.66666666666666,19543,311296.0,-26.99659541293357,0.0056329183,76.0,0.20336396,28.022222222222222,0.0,74.12107460969108,41.4256492856065,58.574350714393496,1.4222222222222223,0.0058252257,0.0058252257,3839897,1.5777777777777777,51913.51724624634
-135.95454545454547,19587,314554.1818181818,-28.0202770202089,0.00548573,76.79545454545455,0.20852663,27.204545454545453,0.0,74.88162429507882,41.011403769627066,58.98859623037293,1.5,0.0066628684,0.0066628684,3849791,1.5,52035.00174617767
-139.69565217391303,19633,314412.52173913043,-28.859241172599244,0.0049664145,76.76086956521739,0.202771,27.282608695652176,0.0,74.81993111871142,39.39620717692192,60.603792823078095,1.2826086956521738,0.005461367,0.005461367,3859855,1.7173913043478262,52155.44816637039
-130.22727272727272,19677,311575.2727272727,-26.228029707064294,0.006126632,76.06818181818181,0.2143459,27.977272727272727,0.0,74.1704135371355,42.971589108093966,57.02841089190601,1.4772727272727273,0.00610347,0.00610347,3869929,1.5227272727272727,52273.082879304886
-128.73333333333332,19722,311296.0,-26.09144834469874,0.005430542,76.0,0.21185127,28.0,0.0,74.13607449194865,43.5825060773043,56.4174939226957,1.288888888888889,0.0064782226,0.0064782226,3879776,1.711111111111111,52392.414969205856
-139.70454545454547,19766,315298.9090909091,-27.51027194122837,0.0054862006,76.97727272727273,0.21039854,27.068181818181817,0.0,75.02012252444813,39.49910217204707,60.50089782795292,1.2045454545454546,0.007889235,0.007889235,3889828,1.7954545454545454,52508.42761349678
