optimgain,entloss,entropy,meankl,EpisodesSoFar,AttC,TimestepsSoFar,AttNC,surrgain,TimeElapsed,TtR,Fce,MtR
3.917923e-05,0.0,2.6846497,0.010174776,15470,2.0727272727272728,3169859,0.9272727272727272,3.917923e-05,39315.21241950989,80.67272727272727,0.12723660348959617,15.596681274382512
1.532847e-05,0.0,2.5870614,0.010174776,15521,1.8627450980392157,3179954,1.1372549019607843,1.532847e-05,39428.00198030472,88.94117647058823,0.1462504663599054,17.200490685132923
5.842285e-05,0.0,2.6846497,0.008933174,15573,1.9230769230769231,3189793,1.0769230769230769,5.842285e-05,39558.621529102325,82.15384615384616,0.1394546026310732,15.898814354834128
2.082723e-05,0.0,2.5870614,0.010174758,15618,1.8222222222222222,3199818,1.1777777777777778,2.082723e-05,39664.1776843071,95.06666666666666,0.15517575757575755,18.200680426627272
3.4191387e-05,0.0,2.4894953,0.010174752,15667,1.9183673469387754,3209847,1.0816326530612246,3.4191387e-05,39780.416872024536,82.65306122448979,0.136198250728863,15.755531806250282
5.3642783e-05,0.0,2.5870614,0.008933181,15716,1.6938775510204083,3219926,1.3061224489795917,5.3642783e-05,39907.14305615425,85.04081632653062,0.19186509883456487,16.68995681566519
7.2723387e-06,0.0,2.6846497,0.008933095,15766,1.96,3229759,1.04,7.2723387e-06,40013.3590195179,81.66,0.13580093023255815,15.852139294584227
1.39989215e-05,0.0,2.5870614,0.010174845,15814,1.875,3239861,1.125,1.39989215e-05,40136.343586206436,91.1875,0.15045925470925473,17.2556250910245
2.1250407e-05,0.0,2.6846497,0.008933095,15868,1.9814814814814814,3249949,1.0185185185185186,2.1250407e-05,40253.11475563049,77.66666666666667,0.1926832557420793,14.804546840314426
5.195109e-06,0.0,2.7822282,0.008933095,15935,2.1791044776119404,3259857,0.8208955223880597,5.195109e-06,40365.40621638298,63.67164179104478,0.15839817835924258,12.205818354283243
1.9816081e-05,0.0,2.6846497,0.010174752,15991,2.0535714285714284,3269997,0.9464285714285714,1.9816081e-05,40486.00005507469,75.48214285714286,0.12967407988836563,14.651771309229488
2.4505362e-05,0.0,2.5870614,0.010174758,16045,2.0555555555555554,3279866,0.9444444444444444,2.4505362e-05,40601.47204661369,77.44444444444444,0.17328446530127206,14.837165792393568
2.3499044e-05,0.0,2.4894953,0.010174852,16094,1.653061224489796,3289951,1.346938775510204,2.3499044e-05,40716.80608463287,88.40816326530613,0.18338042076734065,16.988518014290033
1.68101e-07,0.0,2.5870569,0.008930733,16147,1.7547169811320755,3299833,1.2452830188679245,1.68101e-07,40835.594024181366,76.98113207547169,0.16370021280947125,14.895656004144687
4.868062e-06,0.0,2.684645,0.008933095,16198,1.8431372549019607,3309922,1.1568627450980393,4.868062e-06,40946.68974709511,82.94117647058823,0.13224592401062985,15.68245657985812
3.0880357e-05,0.0,2.7822268,0.008933181,16255,1.8421052631578947,3319764,1.1578947368421053,3.0880357e-05,41061.8418507576,71.36842105263158,0.1759663728084781,13.782668444152838
6.6594444e-06,0.0,2.684645,0.010174845,16305,1.78,3329870,1.22,6.6594444e-06,41171.30750966072,84.84,0.14494588235294117,16.227696613142463
