optimgain,AttNC,EpisodesSoFar,AttC,Fce,surrgain,TimestepsSoFar,entropy,TimeElapsed,MtR,meankl,entloss,TtR
0.0036849068,0.7959183673469388,4302,0.20408163265306123,0.11998863805072008,0.0036849068,819893,0.3736606,6379.042228221893,16.047934256973786,0.009119409,0.0,27.816326530612244
0.0022742006,0.975609756097561,4343,0.024390243902439025,0.13434146341463418,0.0022742006,829894,0.40504166,6456.532792568207,19.078728416574947,0.0038649354,0.0,33.58536585365854
0.0036847366,0.851063829787234,4390,0.14893617021276595,0.11624444088945766,0.0036847366,839953,0.38928542,6542.96640253067,16.090213573715577,0.0066843717,0.0,28.148936170212767
0.0028953056,0.9069767441860465,4433,0.09302325581395349,0.11526614987080105,0.0028953056,849751,0.39619055,6616.195393562317,16.54451183227374,0.0042747916,0.0,28.6046511627907
0.0034453182,0.9523809523809523,4475,0.047619047619047616,0.13238095238095238,0.0034453182,859757,0.39482018,6691.514407157898,18.766731499189625,0.0056223366,0.0,33.095238095238095
0.0034520614,0.8888888888888888,4520,0.1111111111111111,0.12195555555555557,0.0034520614,869770,0.40373594,6771.577978372574,17.526141722030026,0.007222934,0.0,30.488888888888887
0.0031244284,0.9523809523809523,4562,0.047619047619047616,0.12771428571428572,0.0031244284,879772,0.4222726,6850.717414140701,18.22849467143,0.0063472237,0.0,31.928571428571427
0.0038832016,0.9523809523809523,4604,0.047619047619047616,0.12619047619047621,0.0038832016,889774,0.41683608,6932.26824426651,17.92794174724781,0.0076732817,0.0,31.547619047619047
0.0025373735,0.8863636363636364,4648,0.11363636363636363,0.1383342964043743,0.0025373735,899925,0.43785533,7002.998370409012,18.545949308135015,0.004601985,0.0,32.20454545454545
0.0041662687,0.9285714285714286,4690,0.07142857142857142,0.1317177244524183,0.0041662687,909816,0.4229773,7071.899105548859,18.122737291174424,0.0053083086,0.0,31.69047619047619
0.0044671968,0.8888888888888888,4735,0.1111111111111111,0.13533262786596123,0.0044671968,919837,0.37878034,7159.159613132477,18.59356346787212,0.008148103,0.0,32.46666666666667
0.003212476,0.8888888888888888,4780,0.1111111111111111,0.12391111111111112,0.003212476,929842,0.35900882,7242.311651945114,17.678332989804964,0.008903408,0.0,30.977777777777778
0.0030628452,0.8888888888888888,4825,0.1111111111111111,0.11368888888888892,0.0030628452,939855,0.34817058,7317.410217285156,16.388541770108134,0.005405891,0.0,28.42222222222222
0.0023881432,0.9090909090909091,4869,0.09090909090909091,0.12376623376623383,0.0023881432,949865,0.31575018,7399.529515743256,16.81508204339127,0.0069060745,0.0,29.363636363636363
0.0020626434,0.975609756097561,4910,0.024390243902439025,0.11756097560975615,0.0020626434,959866,0.32214323,7475.340034246445,16.667687228206884,0.0044856053,0.0,29.390243902439025
0.002559104,0.9090909090909091,4954,0.09090909090909091,0.117,0.002559104,969870,0.30899167,7559.01128077507,16.410129135687754,0.0039667874,0.0,29.25
0.0030515762,0.9523809523809523,4996,0.047619047619047616,0.12552380952380954,0.0030515762,979872,0.34993067,7632.092296123505,17.88076435721282,0.0058870455,0.0,31.38095238095238
0.0052391766,0.975609756097561,5037,0.024390243902439025,0.12360975609756099,0.0052391766,989873,0.3697213,7708.599107980728,17.804525014983124,0.007834393,0.0,30.902439024390244
0.003873735,0.9523809523809523,5079,0.047619047619047616,0.12273469387755104,0.003873735,999913,0.37144127,7786.171193361282,16.993963067350926,0.0067248032,0.0,29.952380952380953
0.0035688232,1.0,5119,0.0,0.13790000000000002,0.0035688232,1009913,0.35457954,7854.181490182877,19.81756806458255,0.0052261148,0.0,34.475
0.0026841664,0.8666666666666667,5164,0.13333333333333333,0.11837260656883301,0.0026841664,1019849,0.38764626,7945.400180339813,16.405954550737725,0.0038106553,0.0,28.88888888888889
0.0026785615,0.8478260869565217,5210,0.15217391304347827,0.12383096893417815,0.0026785615,1029922,0.44540736,8017.806460380554,16.477135768742375,0.005649803,0.0,28.26086956521739
0.0025967422,0.8163265306122449,5259,0.1836734693877551,0.11637206719422465,0.0025967422,1039999,0.4365952,8104.023008108139,15.612917803180315,0.0053929565,0.0,27.3265306122449
0.002736412,0.8085106382978723,5306,0.19148936170212766,0.13862538315037476,0.002736412,1049868,0.45998126,8179.120229005814,17.578091338250033,0.0045301993,0.0,30.25531914893617
0.0029273636,0.8333333333333334,5354,0.16666666666666666,0.1459968174514893,0.0029273636,1059948,0.45164898,8248.38716840744,17.02966207107414,0.005026346,0.0,29.458333333333332
0.0026690965,0.8695652173913043,5400,0.13043478260869565,0.12356521739130435,0.0026690965,1069954,0.4320059,8335.528513431549,17.632154927197867,0.0050310465,0.0,30.891304347826086
0.0040885573,0.8478260869565217,5446,0.15217391304347827,0.12693719806763287,0.0040885573,1079751,0.40310743,8418.231246948242,17.64126305401839,0.006873746,0.0,31.152173913043477
0.0032815475,0.851063829787234,5493,0.14893617021276595,0.13728117135666898,0.0032815475,1089832,0.41758412,8497.694484472275,19.19254000625525,0.00496979,0.0,33.12765957446808
0.0031331147,0.7692307692307693,5545,0.23076923076923078,0.13158156406757004,0.0031331147,1099962,0.41084296,8571.635512828827,15.857095428080708,0.0063382043,0.0,27.903846153846153
0.0023267593,0.7959183673469388,5594,0.20408163265306123,0.12724062213506343,0.0023267593,1109982,0.42105475,8646.828144073486,16.673833154361592,0.0032007867,0.0,28.918367346938776
0.00590361,0.7037037037037037,5648,0.2962962962962963,0.11794928525914535,0.00590361,1119982,0.3849792,8727.674891710281,15.301651479116588,0.008758211,0.0,26.462962962962962
0.0037741696,0.8297872340425532,5695,0.1702127659574468,0.11732933194823851,0.0037741696,1129842,0.37676996,8795.874175071716,16.044354846709684,0.0049532363,0.0,28.361702127659573
0.0014328636,0.8695652173913043,5741,0.13043478260869565,0.13008930669800237,0.0014328636,1139884,0.35966924,8867.650338172913,18.36622054360107,0.0027632995,0.0,32.02173913043478
0.0036549752,0.9523809523809523,5783,0.047619047619047616,0.1360952380952381,0.0036549752,1149890,0.3457068,8945.701743125916,19.495578057203325,0.007239482,0.0,34.023809523809526
0.0031805008,0.9090909090909091,5827,0.09090909090909091,0.13365286965286963,0.0031805008,1159970,0.32907015,9021.663188695908,18.40193505434822,0.0055840067,0.0,32.13636363636363
0.0032611047,0.9285714285714286,5869,0.07142857142857142,0.1287370600414079,0.0032611047,1169791,0.33442718,9109.766306638718,17.951998024156165,0.007711884,0.0,31.80952380952381
