TtR,surrgain,EpisodesSoFar,AttNC,meankl,TimestepsSoFar,TimeElapsed,entloss,entropy,MtR,AttC,optimgain,Fce
37.85,0.0022115738,13301,1.0,0.0039534466,2989821,9390.400643825531,0.0,-0.23367967,21.428674553867133,0.0,0.0022115738,0.1514
36.02439024390244,0.0044635944,13342,0.975609756097561,0.006705045,2999822,9420.928042173386,0.0,-0.22739519,20.206439203144253,0.024390243902439025,0.0044635944,0.14409756097560977
36.675,0.0064977263,13382,1.0,0.00743787,3009822,9453.35894536972,0.0,-0.20505522,20.822491482441947,0.0,0.0064977263,0.14669999999999997
36.7,0.0062034517,13422,1.0,0.007680374,3019822,9484.967824697495,0.0,-0.17443863,20.975478686385227,0.0,0.0062034517,0.14679999999999999
36.926829268292686,0.003962872,13463,0.975609756097561,0.0069939257,3029823,9516.549595117569,0.0,-0.17136608,20.817420440734768,0.024390243902439025,0.003962872,0.14770731707317072
36.75,0.0057089804,13503,1.0,0.0076547563,3039823,9548.656514406204,0.0,-0.17819265,20.91276339837488,0.0,0.0057089804,0.14700000000000002
38.075,0.004348657,13543,1.0,0.006375399,3049823,9579.188243627548,0.0,-0.16922761,21.591905525092578,0.0,0.004348657,0.15230000000000005
34.97560975609756,0.004835098,13584,0.975609756097561,0.0077415984,3059834,9612.2015106678,0.0,-0.14750168,19.839246037803242,0.024390243902439025,0.004835098,0.14626164079822618
35.8,0.004819149,13624,1.0,0.0068504945,3069834,9643.27945303917,0.0,-0.10995913,20.179328382134745,0.0,0.004819149,0.14320000000000005
37.609756097560975,0.004875244,13665,0.975609756097561,0.008068503,3079835,9674.62532734871,0.0,-0.14271754,21.430919680259628,0.024390243902439025,0.004875244,0.1504390243902439
38.146341463414636,0.005995026,13706,0.975609756097561,0.0075864564,3089836,9706.931000232697,0.0,-0.12068616,21.859360322442427,0.024390243902439025,0.005995026,0.15258536585365856
36.65,0.0043214005,13746,1.0,0.006685852,3099836,9737.251379966736,0.0,-0.07664363,20.477950749770763,0.0,0.0043214005,0.1466
36.65,0.00366073,13786,1.0,0.0074275183,3109836,9770.209269046783,0.0,-0.068538666,20.455312536004307,0.0,0.00366073,0.1466
37.829268292682926,0.004899748,13827,0.975609756097561,0.008176857,3119837,9801.371331214905,0.0,-0.05685076,21.791873853876176,0.024390243902439025,0.004899748,0.15131707317073173
36.95238095238095,0.0032286728,13869,0.9523809523809523,0.005953515,3129867,9833.589585065842,0.0,-0.05061328,21.213117742801963,0.047619047619047616,0.0032286728,0.15650333979745745
36.95,0.004805394,13909,1.0,0.007840771,3139867,9864.569996833801,0.0,-0.07027704,20.927677577861054,0.0,0.004805394,0.1478
35.906976744186046,0.0052182763,13952,0.9302325581395349,0.008033152,3149940,9895.062138080597,0.0,-0.058076527,20.55326070286762,0.06976744186046512,0.0052182763,0.1556763225894193
36.707317073170735,0.004022333,13993,0.975609756097561,0.0070437705,3159977,9927.357093811035,0.0,-0.07481382,20.604500869662015,0.024390243902439025,0.004022333,0.15132234673698092
37.3,0.004726339,14033,0.975,0.007153588,3169810,9958.319782018661,0.0,-0.050163385,20.99442204876194,0.025,0.004726339,0.15302289156626508
38.0,0.0027226058,14075,0.9523809523809523,0.0056144902,3179842,9991.04870557785,0.0,-0.07665133,21.347450084793202,0.047619047619047616,0.0027226058,0.15670967741935482
38.05,0.004035999,14115,1.0,0.00826676,3189842,10022.266750097275,0.0,-0.11604326,21.804387725747702,0.0,0.004035999,0.15220000000000006
37.075,0.007248366,14155,1.0,0.008652275,3199842,10052.608710765839,0.0,-0.10284829,20.956351194557637,0.0,0.007248366,0.1483
38.3,0.0035973731,14195,1.0,0.006523621,3209842,10084.742012500763,0.0,-0.09287236,21.69310120111412,0.0,0.0035973731,0.15319999999999998
36.475,0.0055448622,14235,1.0,0.007849409,3219842,10115.204476594925,0.0,-0.062064733,21.157114006445703,0.0,0.0055448622,0.14590000000000003
35.904761904761905,0.003782328,14277,0.9523809523809523,0.006395153,3229874,10147.033430576324,0.0,-0.03753857,20.482833362985836,0.047619047619047616,0.003782328,0.1519455782312925
36.9,0.0070260847,14317,1.0,0.008538552,3239874,10177.595553398132,0.0,-0.017873444,20.920811457759182,0.0,0.0070260847,0.14759999999999998
37.475,0.0055093667,14357,1.0,0.007672585,3249874,10209.6478099823,0.0,-0.03889848,21.338224191505,0.0,0.0055093667,0.14990000000000003
35.829268292682926,0.004036017,14398,0.975609756097561,0.0065613985,3259893,10241.271091222763,0.0,-0.018133502,20.599447290341036,0.024390243902439025,0.004036017,0.1468754813863928
36.69047619047619,0.00506716,14440,0.9523809523809523,0.0058176485,3269921,10272.401286125183,0.0,-0.009913405,20.801383254056034,0.047619047619047616,0.00506716,0.15545124716553294
36.523809523809526,0.00470315,14482,0.9523809523809523,0.007429014,3279947,10304.02869105339,0.0,0.03102512,20.64728980003658,0.047619047619047616,0.00470315,0.1517171500179019
37.707317073170735,0.0038481734,14523,0.9512195121951219,0.005350864,3289765,10334.337348222733,0.0,0.020861698,21.42253264356838,0.04878048780487805,0.0038481734,0.15589224608663999
34.93181818181818,0.0031770442,14567,0.9090909090909091,0.005662101,3299853,10366.705056905746,0.0,0.02757732,19.767604637683093,0.09090909090909091,0.0031770442,0.14900318979266347
38.5,0.003867868,14607,1.0,0.0056339186,3309853,10398.085479259491,0.0,0.042112358,21.90250429223981,0.0,0.003867868,0.154
34.43181818181818,0.005664039,14651,0.9090909090909091,0.006592974,3319893,10429.261615991592,0.0,0.02449894,19.576294660084447,0.09090909090909091,0.005664039,0.14484100747737114
36.23255813953488,0.0049256594,14694,0.9302325581395349,0.0075218226,3329952,10459.941882610321,0.0,0.017243385,20.73801892827134,0.06976744186046512,0.0049256594,0.15203120034667053
37.21951219512195,0.005810595,14735,0.975609756097561,0.007879002,3339953,10490.562631130219,0.0,0.029232025,21.37804835876591,0.024390243902439025,0.005810595,0.1488780487804878
36.5,0.0047385935,14777,0.9523809523809523,0.005784687,3349965,10522.33334326744,0.0,0.052407738,20.75364338716209,0.047619047619047616,0.0047385935,0.14806926406926407
34.28260869565217,0.0052098306,14823,0.8478260869565217,0.007932589,3359938,10552.643236875534,0.0,0.032829236,19.52505761948345,0.15217391304347827,0.0052098306,0.14959236848302612
38.04761904761905,0.004349245,14865,0.9523809523809523,0.0081175845,3369980,10583.95257616043,0.0,-0.013823096,21.64206862617287,0.047619047619047616,0.004349245,0.16084033613445373
