TimeElapsed,AttNC,entropy,TimestepsSoFar,entloss,AttC,meankl,TtR,Fce,MtR,optimgain,surrgain,EpisodesSoFar
9321.882442712784,1.0377358490566038,1.9876393,1849973,0.0,1.9622641509433962,0.00014753948,82.81132075471699,0.12642678181177563,16.131030246387674,2.4587504e-05,2.4587504e-05,9366
9369.564730405807,1.1538461538461537,1.9655507,1859900,0.0,1.8461538461538463,0.006127461,83.59615384615384,0.16667074381109462,16.29168086318713,0.00021695302,0.00021695302,9418
9422.795460700989,1.2307692307692308,1.9447343,1869940,0.0,1.7692307692307692,0.0013986422,80.59615384615384,0.12828671328671326,15.351344563615372,0.00027909578,0.00027909578,9470
9469.799790620804,1.24,1.9401773,1879797,0.0,1.76,0.0021158203,80.64,0.1265661827578107,15.651240008549841,5.9116745e-05,5.9116745e-05,9520
9523.772373199463,1.326086956521739,1.962621,1889823,0.0,1.673913043478261,0.009724395,91.69565217391305,0.12226086956521742,17.460700255878788,0.00039837722,0.00039837722,9566
9572.202957391739,1.0961538461538463,1.9585301,1899909,0.0,1.9038461538461537,0.0033991886,83.76923076923077,0.12269202142886353,16.01600215846557,9.125392e-05,9.125392e-05,9618
9629.271423339844,1.2040816326530612,1.967563,1909988,0.0,1.7959183673469388,0.0021861272,88.65306122448979,0.14879901051329622,16.805996640725635,9.545593e-05,9.545593e-05,9667
9675.788442373276,0.7413793103448276,1.9637175,1919774,0.0,2.2586206896551726,0.004402359,70.13793103448276,0.11394602532284226,13.573502724475038,0.0003314621,0.0003314621,9725
9727.851205348969,1.2340425531914894,1.9832685,1929841,0.0,1.7659574468085106,0.00059408904,85.97872340425532,0.12831848179274397,16.526051936956847,5.7725523e-05,5.7725523e-05,9772
9774.391300916672,1.1346153846153846,1.9804945,1939933,0.0,1.8653846153846154,0.0010903074,80.1923076923077,0.13460619272765018,15.43735488734503,0.00023050385,0.00023050385,9824
9828.189139842987,1.3404255319148937,1.9399157,1949970,0.0,1.6595744680851063,0.002542444,90.12765957446808,0.1493624295326423,17.17995430390195,8.686854e-05,8.686854e-05,9871
9877.339324951172,1.7317073170731707,1.92783,1959975,0.0,1.2682926829268293,0.0045900014,96.95121951219512,0.12926829268292683,18.474633780542195,0.00017848205,0.00017848205,9912
9931.18252825737,1.4772727272727273,1.9394598,1969752,0.0,1.5227272727272727,0.0016774152,83.38636363636364,0.11283916083916085,15.994826744947083,6.297734e-05,6.297734e-05,9956
