EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
17979,1.8222222222222222,1.1777777777777778,-27.36243897392892,58.94759603679267,46634.24033474922,74.57176750505299,-135.4,0.0058226003,27.555555555555557,0.005728018,3459823,0.19119072,76.5111111111111,0.0,41.05240396320734,0.005728018,313389.5111111111
18025,1.8043478260869565,1.1956521739130435,-28.528556823412906,61.69502520251258,46754.85491156578,74.71098643226341,-142.04347826086956,0.005013029,27.391304347826086,0.0059780874,3469959,0.18780388,76.6304347826087,0.0,38.30497479748742,0.0059780874,313878.26086956525
18069,1.5909090909090908,1.4090909090909092,-27.505756807199365,59.78684595554426,46874.515699863434,74.83612760526358,-137.86363636363637,0.0058697197,27.25,0.0061848275,3479840,0.18984506,76.75,0.0,40.21315404445573,0.0061848275,314368.0
18116,1.6382978723404256,1.3617021276595744,-30.007102787948043,63.08878411081461,46994.20741391182,75.39472583846731,-146.5531914893617,0.0055480273,26.659574468085108,0.0051466697,3489994,0.18542697,77.36170212765957,0.0,36.91121588918539,0.0051466697,316873.5319148936
18160,1.5454545454545454,1.4545454545454546,-28.26303435658391,61.07909289949377,47111.64482212067,74.45511096646565,-139.9090909090909,0.005524043,27.65909090909091,0.007178014,3499831,0.19127612,76.3409090909091,0.0,38.92090710050624,0.007178014,312692.36363636365
18206,1.7826086956521738,1.2173913043478262,-28.337856146712628,60.47835712900513,47234.49332380295,74.96720952235094,-139.7608695652174,0.0059738667,27.108695652173914,0.005659658,3509992,0.1948055,76.8913043478261,0.0,39.52164287099485,0.005659658,314946.7826086957
18250,1.8636363636363635,1.1363636363636365,-27.98882105107059,59.91380859113301,47354.92295193672,74.98512341249548,-138.47727272727272,0.0049030334,27.09090909090909,0.0062026246,3519780,0.18580855,76.9090909090909,0.0,40.086191408866995,0.0062026246,315019.63636363635
18295,1.6,1.4,-28.398406462229772,60.90433231717917,47472.33525848389,75.05128673969173,-140.66666666666666,0.005310987,27.022222222222222,0.006193637,3529845,0.18931417,76.97777777777777,0.0,39.09566768282083,0.006193637,315300.97777777776
18339,1.75,1.25,-28.69068306778016,62.692852963386535,47591.00356078148,74.96387321919735,-144.75,0.0054263417,27.113636363636363,0.006109432,3539808,0.18875434,76.88636363636364,0.0,37.30714703661344,0.006109432,314926.54545454547
18384,1.6666666666666667,1.3333333333333333,-27.90875278731727,61.46475801316879,47708.72539496422,74.57273252578723,-141.13333333333333,0.0049977764,27.533333333333335,0.0063101836,3549962,0.19810212,76.46666666666667,0.0,38.53524198683118,0.0063101836,313207.4666666667
