Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
337488.84210526315,21.57894736842105,0.7368421052631579,0.2631578947368421,7779,1109858,80.11551213790884,0.0063280794,0.0063280794,20082.939044475555,0.005713895,82.39473684210526,19.996916693648863,80.00308330635114,-65.89473684210526,-37.55066256949288,0.24112524,0.0
334901.8947368421,22.210526315789473,0.7105263157894737,0.2894736842105263,7817,1119880,79.52752575504826,0.0063056285,0.0063056285,20166.50408554077,0.0061016837,81.76315789473684,20.351533533347332,79.64846646665266,-65.13157894736842,-36.581398575664196,0.24225107,0.0
335974.4,21.975,0.575,0.425,7857,1129869,79.75045673452018,0.00795698,0.00795698,20259.48770046234,0.0067822593,82.025,19.930433406513615,80.06956659348637,-65.7,-37.13797235551807,0.22575405,0.0
333774.0487804878,22.48780487804878,0.4146341463414634,0.5853658536585366,7898,1139780,79.269556290235,0.0072586304,0.0072586304,20350.717099905014,0.006061051,81.48780487804878,19.564961243699752,80.43503875630024,-65.5609756097561,-37.10176058597711,0.21260904,0.0
338968.9756097561,21.146341463414632,0.6097560975609756,0.3902439024390244,7939,1149982,80.50693783311168,0.0050526815,0.0050526815,20442.1366918087,0.004514478,82.7560975609756,20.34710327035408,79.65289672964595,-65.92682926829268,-37.558102964704396,0.20991313,0.0
333981.53846153844,22.435897435897434,0.5897435897435898,0.41025641025641024,7978,1159791,79.31681824332507,0.0044581266,0.0044581266,20532.678679943085,0.00345113,81.53846153846153,20.027493415366386,79.97250658463362,-65.2051282051282,-37.36783371670047,0.19515212,0.0
333561.4358974359,22.564102564102566,0.5384615384615384,0.46153846153846156,8017,1169891,79.20297555283204,0.005614807,0.005614807,20622.642117023468,0.0052994248,81.43589743589743,19.054817364258128,80.94518263574189,-65.94871794871794,-37.02648339306956,0.19722901,0.0
333657.9459459459,22.54054054054054,0.8378378378378378,0.16216216216216217,8054,1179798,79.22419064243242,0.005915936,0.005915936,20707.27937722206,0.0044086236,81.45945945945945,21.645318422522607,78.3546815774774,-63.83783783783784,-36.18770607461454,0.21150908,0.0
334362.94736842107,22.342105263157894,0.7105263157894737,0.2894736842105263,8092,1189780,79.4057176727826,0.0064875116,0.0064875116,20794.02646970749,0.0042768335,81.63157894736842,20.724739713211278,79.27526028678872,-64.71052631578948,-36.67163820507045,0.21874307,0.0
337305.6,21.6,0.75,0.25,8132,1199998,80.09265545666726,0.0054780245,0.0054780245,20880.387066602707,0.0043801735,82.35,21.241353788198712,78.75864621180129,-64.9,-36.76529838227033,0.21231018,0.0
