EpisodesSoFar,TimeElapsed,MtR,Fce,AttNC,entropy,meankl,AttC,optimgain,surrgain,TtR,entloss,TimestepsSoFar
2516,1511.3322739601135,15.697491843432429,0.11684523809523813,0.8333333333333334,0.50976866,0.0075195977,0.16666666666666666,0.0017327835,0.0017327835,27.041666666666668,0.0,419972
2559,1547.2708461284637,17.111984932818984,0.11944186046511628,0.9302325581395349,0.47586367,0.0022276973,0.06976744186046512,0.0009443733,0.0009443733,29.86046511627907,0.0,429975
2604,1587.316777229309,15.629469470198451,0.10853333333333336,0.8888888888888888,0.498669,0.0027461078,0.1111111111111111,0.0017730652,0.0017730652,27.133333333333333,0.0,439980
2650,1624.2902204990387,16.171963384379534,0.11382608695652176,0.8695652173913043,0.47781622,0.00286441,0.13043478260869565,0.0014044716,0.0014044716,28.456521739130434,0.0,449988
2692,1659.3315467834473,16.875168897821236,0.11733333333333336,0.9523809523809523,0.4937344,0.0077998964,0.047619047619047616,0.0026271285,0.0026271285,29.333333333333332,0.0,459990
2738,1697.723040342331,17.067280348337302,0.11834782608695654,0.8695652173913043,0.5119439,0.0065162177,0.13043478260869565,0.0020685685,0.0020685685,29.58695652173913,0.0,469996
2785,1733.3905813694,16.884985355250798,0.12394147696275355,0.8297872340425532,0.48481494,0.0026949288,0.1702127659574468,0.0016536377,0.0016536377,29.085106382978722,0.0,479832
2836,1770.182222366333,15.566932898178289,0.11973179850611439,0.7450980392156863,0.53502256,0.007991492,0.2549019607843137,0.0038792267,0.0038792267,26.80392156862745,0.0,489813
2890,1809.5335791110992,14.199733099402133,0.10686294169477106,0.7407407407407407,0.5315358,0.0014094802,0.25925925925925924,0.0005433498,0.0005433498,24.88888888888889,0.0,499937
2934,1845.4955949783325,17.76655554521705,0.1286233766233766,0.9090909090909091,0.57965344,0.0043941834,0.09090909090909091,0.0021015038,0.0021015038,31.318181818181817,0.0,509987
2983,1880.2149999141693,15.249164472830655,0.11459514398644835,0.7959183673469388,0.59482604,0.0031158284,0.20408163265306123,0.0022360687,0.0022360687,26.714285714285715,0.0,519787
3040,1916.8149123191833,15.129794681314593,0.11494988366974784,0.7017543859649122,0.5819483,0.0054950262,0.2982456140350877,0.002406201,0.002406201,26.05263157894737,0.0,529850
3090,1953.0481595993042,15.472439872678287,0.11371636363636366,0.8,0.5802003,0.006134065,0.2,0.001347232,0.001347232,27.56,0.0,539898
3144,1992.6387221813202,13.494369265177234,0.11738461538461538,0.7407407407407407,0.53716165,0.005363471,0.25925925925925924,0.0020360458,0.0020360458,23.72222222222222,0.0,549924
