entropy,AttC,MtR,TimeElapsed,optimgain,EpisodesSoFar,Fce,AttNC,TtR,meankl,entloss,surrgain,TimestepsSoFar
1.3513279,1.5813953488372092,19.403353389520486,772.5452299118042,0.0010560872,954,0.14014617940199336,1.4186046511627908,102.0,0.0027820256,0.0,0.0010560872,189781
1.3348513,1.9,16.25439640791707,814.2510166168213,0.0007515165,1004,0.12932141636141636,1.1,85.32,0.0025454438,0.0,0.0007515165,199855
1.3341073,1.625,20.3477404025277,853.3139796257019,0.0013827283,1044,0.1417,1.375,106.275,0.00633257,0.0,0.0013827283,209855
1.3239622,1.3863636363636365,17.687198118451832,893.509420633316,0.00086707383,1088,0.12842857142857142,1.6136363636363635,93.95454545454545,0.0027688285,0.0,0.00086707383,219869
1.3215334,1.372093023255814,18.84642184801347,933.2440037727356,0.0016529632,1131,0.1381344237158191,1.627906976744186,100.04651162790698,0.0037816935,0.0,0.0016529632,229904
1.3150247,1.425,20.532810656465998,974.1155076026917,0.0008614441,1171,0.14200000000000004,1.575,106.5,0.0046760906,0.0,0.0008614441,239904
1.3338219,1.5348837209302326,18.107469149693554,1014.8030471801758,0.000915979,1214,0.13398449612403102,1.4651162790697674,94.74418604651163,0.0034987251,0.0,0.000915979,249913
1.3413094,1.5813953488372092,19.345775700898,1055.210847377777,0.00089825847,1257,0.13895016611295682,1.4186046511627908,101.79069767441861,0.0019393605,0.0,0.00089825847,259922
1.3512696,1.4318181818181819,18.818737257521494,1096.5782828330994,0.0012241018,1301,0.1303636363636364,1.5681818181818181,97.77272727272727,0.0027836587,0.0,0.0012241018,269936
1.348837,1.5476190476190477,20.5040490899167,1138.594399690628,0.0010137747,1343,0.16647619047619044,1.4523809523809523,107.07142857142857,0.0025294581,0.0,0.0010137747,279940
1.3426133,1.488888888888889,18.216704709120418,1180.469528913498,0.0010406789,1388,0.1285090909090909,1.511111111111111,94.93333333333334,0.0058936942,0.0,0.0010406789,289967
1.3455927,1.4761904761904763,19.115472094210823,1221.1466286182404,0.0008730021,1430,0.13594557823129252,1.5238095238095237,100.64285714285714,0.002121409,0.0,0.0008730021,299760
1.3249637,1.1818181818181819,17.531503004566773,1261.6486003398895,0.0008852905,1474,0.15109090909090905,1.8181818181818181,93.0,0.0024063487,0.0,0.0008852905,309778
1.3139622,1.4285714285714286,16.585705146368127,1301.9645364284515,0.0011030467,1523,0.12556586270871983,1.5714285714285714,87.18367346938776,0.0029640538,0.0,0.0011030467,319827
1.3017187,1.5777777777777777,17.750503644056135,1344.2352845668793,0.0010039398,1568,0.13161332088390912,1.4222222222222223,94.06666666666666,0.0029908253,0.0,0.0010039398,329886
1.2945532,1.4666666666666666,20.099571976336456,1384.632539987564,0.0010330584,1613,0.15083064563766319,1.5333333333333334,104.73333333333333,0.0033333236,0.0,0.0010330584,339939
1.2998536,1.372093023255814,21.000054570643954,1426.8142185211182,0.0011936834,1656,0.15106586436818992,1.627906976744186,110.51162790697674,0.004537713,0.0,0.0011936834,349964
1.2652062,1.625,16.968398864669663,1467.6604211330414,0.0007351822,1704,0.1461895897504575,1.375,88.625,0.0027245432,0.0,0.0007351822,359919
1.2485484,1.9230769230769231,16.47343058654582,1510.2486448287964,0.0017232738,1756,0.13282753869713862,1.0769230769230769,85.90384615384616,0.0076898127,0.0,0.0017232738,369844
1.2266812,1.2954545454545454,18.60281026186684,1550.0844504833221,0.0013500793,1800,0.14026573426573427,1.7045454545454546,96.88636363636364,0.0032122652,0.0,0.0013500793,379864
1.2078155,1.5227272727272727,17.642273039757445,1592.8846049308777,0.0010940287,1844,0.1514710743801653,1.4772727272727273,92.18181818181819,0.0032023722,0.0,0.0010940287,389892
1.2149763,1.1590909090909092,18.81355703735902,1633.8108875751495,0.0007837657,1888,0.1402575446881667,1.8409090909090908,99.0,0.0022700334,0.0,0.0007837657,399954
1.2147216,1.1219512195121952,18.41905286768634,1675.1738538742065,0.0007632066,1929,0.12858536585365857,1.8780487804878048,96.4390243902439,0.001540819,0.0,0.0007632066,409955
1.211789,1.0930232558139534,18.117882935210858,1715.6843254566193,0.0014545512,1972,0.13140051679586565,1.9069767441860466,94.81395348837209,0.0061012283,0.0,0.0014545512,419988
1.2089149,1.3333333333333333,18.814825411915372,1757.0278339385986,0.0013108423,2014,0.1376849816849817,1.6666666666666667,99.35714285714286,0.003304361,0.0,0.0013108423,429761
1.1889096,1.4186046511627908,19.52539856236839,1797.5732939243317,0.0013578736,2057,0.13948127709893574,1.5813953488372092,103.25581395348837,0.0057585165,0.0,0.0013578736,439822
1.2073296,0.875,20.64592492061933,1838.897653579712,0.0011435287,2097,0.1458,2.125,109.35,0.0049958825,0.0,0.0011435287,449822
1.1922714,1.5,17.734262425444882,1883.0985486507416,0.0012710495,2143,0.12696315795917867,1.5,93.78260869565217,0.0041393796,0.0,0.0012710495,459984
1.2181833,1.4186046511627908,20.458472955385396,1923.6396923065186,0.0011707383,2186,0.1417674418604651,1.5813953488372092,106.32558139534883,0.0042068856,0.0,0.0011707383,469987
1.2023795,1.6170212765957446,18.480074761522044,1966.1383442878723,0.0013674204,2233,0.13936031997074638,1.3829787234042554,96.19148936170212,0.004560182,0.0,0.0013674204,479915
1.1733433,1.8085106382978724,18.276567463072997,2006.1660549640656,0.0014213646,2280,0.15285106382978725,1.1914893617021276,95.74468085106383,0.0036555235,0.0,0.0014213646,489986
1.1681018,1.5909090909090908,19.66962586706961,2050.412654399872,0.0012637192,2324,0.14706643549927131,1.4090909090909092,104.86363636363636,0.004623336,0.0,0.0012637192,499883
