TimestepsSoFar,MtR,surrgain,AttNC,MpbtA,entloss,TimeElapsed,Tmt,TtR,Tmc,optimgain,AttC,Tbt,Ptt,MpbtN,meankl,EpisodesSoFar,entropy
279805,-29.661232817575584,0.00371668,0.717391304347826,36.619177745081444,0.0,8355.4585146904,78.0,-148.56521739130434,26.0,0.00371668,2.282608695652174,319488.0,76.00413653265541,63.380822254918556,0.004620824,3505,0.34019622
289888,-28.09212305389122,0.0039183125,0.8222222222222222,39.379599241513986,0.0,8472.532217025757,77.68888888888888,-141.46666666666667,26.31111111111111,0.0039183125,2.1777777777777776,318213.68888888886,75.71399547063675,60.620400758486014,0.0038183818,3550,0.34016526
299978,-29.20005521205794,0.0031567148,1.0444444444444445,37.31080829367309,0.0,8588.133796215057,77.64444444444445,-146.2,26.355555555555554,0.0031567148,1.9555555555555555,318031.64444444445,75.67305773490295,62.68919170632691,0.002982587,3595,0.34383643
309927,-27.66584075990752,0.0033321914,1.0681818181818181,40.41399756663561,0.0,8705.560014486313,77.43181818181819,-138.47727272727272,26.568181818181817,0.0033321914,1.9318181818181819,317160.7272727273,75.47422116477901,59.586002433364385,0.0044317646,3639,0.33947888
319997,-30.096555628929448,0.003785082,0.8636363636363636,35.96265054145437,0.0,8819.218538284302,78.31818181818181,-150.6818181818182,25.681818181818183,0.003785082,2.1363636363636362,320791.2727272727,76.30262804657465,64.03734945854563,0.0038129212,3683,0.34028772
329998,-28.80590401935459,0.003130069,1.3863636363636365,38.93188297923433,0.0,8933.98175406456,77.86363636363636,-142.77272727272728,26.136363636363637,0.003130069,1.6136363636363635,318929.45454545453,75.8771172206429,61.06811702076568,0.0027585498,3727,0.33606052
339793,-29.2273653566541,0.004637832,1.4318181818181819,38.666438609279744,0.0,9048.792832612991,77.8409090909091,-143.45454545454547,26.15909090909091,0.004637832,1.5681818181818181,318836.36363636365,75.85669244563172,61.33356139072025,0.004805668,3771,0.35174727
349973,-27.677763555456043,0.0032669383,0.9565217391304348,40.700539677204794,0.0,9165.588752985,77.30434782608695,-137.6086956521739,26.695652173913043,0.0032669383,2.0434782608695654,316638.60869565216,75.35495931079713,59.299460322795184,0.0026241282,3817,0.3454043
359848,-27.39558835311674,0.0037412774,0.9090909090909091,40.55193650189266,0.0,9280.850208759308,76.75,-137.1818181818182,27.25,0.0037412774,2.090909090909091,314368.0,74.83641412053271,59.44806349810733,0.0031573512,3861,0.32356438
369900,-27.463269379315378,0.0040222984,1.4666666666666666,41.59725705167054,0.0,9392.198940038681,77.73333333333333,-136.06666666666666,26.266666666666666,0.0040222984,1.5333333333333334,318395.73333333334,75.75709035658605,58.40274294832946,0.003439926,3906,0.34686938
379952,-26.272227720934108,0.0042051077,0.9545454545454546,42.484974068220886,0.0,9510.03591132164,76.25,-131.5909090909091,27.75,0.0042051077,2.0454545454545454,312320.0,74.3677953536988,57.515025931779135,0.0039622514,3950,0.35070866
389900,-27.44700769858504,0.003293451,1.2222222222222223,41.428247861545024,0.0,9624.435712099075,76.95555555555555,-135.4,27.08888888888889,0.003293451,1.7777777777777777,315209.9555555555,75.00103614490635,58.57175213845497,0.0036363378,3995,0.31263843
399796,-27.71339323309237,0.0041294764,1.5,40.99006050123243,0.0,9737.879323244095,76.3409090909091,-135.4090909090909,27.65909090909091,0.0041294764,1.5,312692.36363636365,74.45485908571841,59.009939498767565,0.004608075,4039,0.30635813
409876,-27.094999893338183,0.0045543853,1.7333333333333334,43.052405354551176,0.0,9852.619851589203,77.17777777777778,-131.86666666666667,26.822222222222223,0.0045543853,1.2666666666666666,316120.1777777778,75.23951169820646,56.94759464544881,0.0050539877,4084,0.31011924
419835,-27.357340541669178,0.0041091684,1.511111111111111,41.55117974718518,0.0,9967.342353343964,76.31111111111112,-133.93333333333334,27.711111111111112,0.0041091684,1.488888888888889,312570.31111111114,74.41289271764236,58.448820252814805,0.0035290448,4129,0.32258233
429858,-27.198760416643456,0.00408335,1.0869565217391304,41.636098342038295,0.0,10084.272748231888,77.6304347826087,-136.04347826086956,26.391304347826086,0.00408335,1.9130434782608696,317974.26086956525,75.64457687935855,58.363901657961726,0.004501216,4175,0.32988167
439877,-27.531696812180286,0.004499899,1.434782608695652,41.00883854556606,0.0,10200.841370344162,76.71739130434783,-135.91304347826087,27.282608695652176,0.004499899,1.565217391304348,314234.4347826087,74.8070497369505,58.99116145443394,0.005153338,4221,0.28434005
449816,-27.22899490683803,0.0036269429,1.5116279069767442,41.76764219443132,0.0,10316.384739160538,75.74418604651163,-132.48837209302326,28.325581395348838,0.0036269429,1.4883720930232558,310248.18604651163,73.8515343489761,58.23235780556869,0.0030249008,4264,0.3157008
