AttC,optimgain,surrgain,Tbt,entloss,MtR,EpisodesSoFar,AttNC,Tmc,Ptt,MpbtA,TtR,Tmt,MpbtN,TimestepsSoFar,entropy,meankl,TimeElapsed
0.6097560975609756,0.0044447463,0.0044447463,342965.0731707317,0.0,-40.44979933908866,4095,0.3902439024390244,20.195121951219512,81.39329454163793,14.094730686520883,-71.95121951219512,83.73170731707317,85.90526931347911,209827,0.18738115,0.0052704504,10363.161061525345
0.5,0.003439267,0.003439267,341504.0,0.0,-40.12741104035656,4135,0.5,20.55,81.06232691795371,12.654791345888842,-72.825,83.375,87.34520865411113,219820,0.17304604,0.0060352585,10479.822848081589
0.13157894736842105,0.0035702207,0.0035702207,344926.3157894737,0.0,-41.826600746157126,4173,0.868421052631579,19.657894736842106,81.8829206503333,11.471867277232475,-74.57894736842105,84.21052631578948,88.52813272276752,229939,0.18690045,0.0032869682,10584.935269594193
0.02857142857142857,0.0034243164,0.0034243164,338095.54285714286,0.0,-39.602560057351795,4208,0.9714285714285714,21.4,80.27264363153321,11.96272111176291,-72.68571428571428,82.54285714285714,88.03727888823708,239971,0.24576074,0.0040295706,10692.350262641907
0.2702702702702703,0.0029657471,0.0029657471,339635.8918918919,0.0,-39.47332344726343,4245,0.7297297297297297,21.054054054054053,80.59862622482828,13.255732843868596,-71.97297297297297,82.91891891891892,86.7442671561314,249818,0.20620915,0.0042629917,10800.02870965004
0.02702702702702703,0.006535039,0.006535039,341628.54054054053,0.0,-39.96032162322187,4282,0.972972972972973,20.513513513513512,81.09550656640928,13.182791558773573,-72.45945945945945,83.4054054054054,86.81720844122643,259983,0.2886393,0.008163603,10905.038012981415
0.30952380952380953,0.0066079376,0.0066079376,339090.28571428574,0.0,-42.52067656491717,4324,0.6904761904761905,21.142857142857142,80.51251327062347,14.05224363380668,-71.16666666666667,82.78571428571429,85.9477563661933,269815,0.20209055,0.0062963287,11022.208141565323
0.16216216216216217,0.0049163788,0.0049163788,338307.45945945947,0.0,-38.78859739899422,4361,0.8378378378378378,21.37837837837838,80.29952221454013,14.513243348644373,-70.62162162162163,82.5945945945946,85.48675665135563,279961,0.22552325,0.0051964535,11125.722571372986
0.2972972972972973,0.002954149,0.002954149,338418.1621621622,0.0,-39.220312714228484,4398,0.7027027027027027,21.27027027027027,80.38811115877527,14.074554685145136,-71.05405405405405,82.62162162162163,85.92544531485487,289742,0.16545495,0.0047089676,11235.496750831604
0.10810810810810811,0.00251129,0.00251129,341296.4324324324,0.0,-40.675283402334856,4435,0.8918918918918919,20.594594594594593,81.02006407451886,11.376986050697502,-73.86486486486487,83.32432432432432,88.6230139493025,299865,0.22906314,0.0036004875,11337.933414936066
0.21621621621621623,0.004357344,0.004357344,338750.2702702703,0.0,-39.003000613484936,4472,0.7837837837837838,21.216216216216218,80.44336271799146,14.464282193394748,-70.75675675675676,82.70270270270271,85.53571780660523,309872,0.26190537,0.004587951,11440.863973140717
