AttNC,MpbtA,Tmt,optimgain,MpbtN,AttC,MtR,Tbt,TtR,TimestepsSoFar,Tmc,Ptt,meankl,entloss,EpisodesSoFar,TimeElapsed,surrgain,entropy
7.360655737704918,72.00671844194949,60.67213114754098,0.0020527928,27.993281558050505,2.639344262295082,-11.809531565982807,248513.04918032786,-170.49180327868854,319909,44.34426229508197,59.12279324940148,0.009121547,0.0,3467,8449.41918373108,0.0020527928,0.39079332
3.533333333333333,70.20177049378859,62.1,0.0015975097,29.79822950621141,6.466666666666667,-12.231777762881025,254361.6,-185.66666666666666,329911,42.916666666666664,60.464120956595515,0.0057915575,0.0,3527,8593.76539516449,0.0015975097,0.39721614
5.761904761904762,72.73990258992431,59.76190476190476,0.0008757117,27.260097410075687,4.238095238095238,-11.606206444466412,244784.7619047619,-162.53968253968253,339851,45.317460317460316,58.231095956021214,0.0037973316,0.0,3590,8755.714920759201,0.0008757117,0.31374067
6.96875,73.66634446158322,60.359375,0.0017721802,26.333655538416778,3.03125,-11.530481427535346,247232.0,-159.375,349982,44.671875,58.81853671024213,0.005674746,0.0,3654,8912.134911775589,0.0017721802,0.3553699
3.9508196721311477,72.05907754396043,60.50819672131148,0.0008170978,27.94092245603958,6.049180327868853,-11.429820047264139,247841.5737704918,-169.50819672131146,359922,44.52459016393443,58.95917947606334,0.0039031196,0.0,3715,9067.630959272385,0.0008170978,0.40689805
4.065573770491803,72.2825308958571,60.47540983606557,0.0015235083,27.717469104142918,5.934426229508197,-11.411601838975999,247707.2786885246,-167.70491803278688,369909,44.540983606557376,58.935837766723154,0.006717566,0.0,3776,9216.559740781784,0.0015235083,0.4193579
2.34375,72.42338884737352,59.890625,0.0011476068,27.57661115262646,7.65625,-11.38276249098492,245312.0,-165.15625,379975,45.109375,58.39388834800709,0.0055648107,0.0,3840,9371.262202739716,0.0011476068,0.38366267
3.8095238095238093,74.46456154674594,59.142857142857146,0.0020845274,25.53543845325405,6.190476190476191,-10.823244684269762,242249.14285714287,-150.47619047619048,389946,45.904761904761905,57.66517219335655,0.006603375,0.0,3903,9518.568255662918,0.0020845274,0.41059837
2.2280701754385963,65.67836722884435,62.50877192982456,0.00089902343,34.32163277115565,7.771929824561403,-13.583749876983614,256035.9298245614,-214.56140350877192,399836,42.45614035087719,60.881208515647245,0.0055799535,0.0,3960,9669.214509487152,0.00089902343,0.47755438
1.5172413793103448,61.88794251554108,64.65517241379311,0.00084491423,38.11205748445894,8.482758620689655,-15.08376947549096,264827.5862068966,-246.89655172413794,409965,40.293103448275865,62.907886700207875,0.006548389,0.0,4018,9809.800961017609,0.00084491423,0.44518486
