Tmt,meankl,TtR,Tbt,entloss,EpisodesSoFar,TimeElapsed,AttC,AttNC,Ptt,optimgain,entropy,MpbtN,surrgain,TimestepsSoFar,Tmc,MpbtA,MtR
55.53731343283582,0.002945236,-116.26865671641791,227480.83582089553,0.0,6095,13841.445353746414,5.925373134328358,4.074626865671642,54.179370321806914,0.0023115654,0.29532194,20.846771900303896,0.0023115654,729989,49.67164179104478,79.15322809969608,-8.577890017796987
54.32835820895522,0.0032131472,-119.70149253731343,222528.9552238806,0.0,6162,13988.9946808815,5.507462686567164,4.492537313432836,52.95010319198033,0.0020835942,0.30134234,22.05582937289064,0.0020835942,739968,51.059701492537314,77.94417062710936,-8.763463708832028
56.1044776119403,0.00426879,-120.29850746268657,229803.94029850746,0.0,6229,14135.056508302689,5.552238805970149,4.447761194029851,54.738771663549436,0.0022562433,0.31036586,21.396653027190155,0.0022562433,749884,49.059701492537314,78.60334697280985,-8.697461441339783
56.06060606060606,0.004062223,-119.84848484848484,229624.24242424243,0.0,6295,14277.527866840363,5.7727272727272725,4.2272727272727275,54.6664613281237,0.0019914003,0.29967764,21.3214742021219,0.0019914003,759913,49.166666666666664,78.67852579787812,-8.682037394268228
55.39393939393939,0.00342869,-122.42424242424242,226893.57575757575,0.0,6361,14425.212796211243,5.7727272727272725,4.2272727272727275,53.98405876839521,0.0022619776,0.30332816,21.9952388310754,0.0022619776,769986,49.93939393939394,78.00476116892459,-8.796818286448724
55.07575757575758,0.0046199593,-117.87878787878788,225590.30303030304,0.0,6427,14573.391338586807,5.318181818181818,4.681818181818182,53.72083132403151,0.0024316001,0.30762088,21.507747513346846,0.0024316001,779886,50.18181818181818,78.49225248665311,-8.61009742133509
56.07462686567164,0.003284151,-121.49253731343283,229681.67164179104,0.0,6494,14714.712365627289,5.731343283582089,4.268656716417911,54.68071189789665,0.002049704,0.29128805,21.58883985060382,0.002049704,789990,49.149253731343286,78.41116014939618,-8.998860919814252
55.303030303030305,0.002788686,-117.72727272727273,226521.21212121213,0.0,6560,14859.157078266144,5.712121212121212,4.287878787878788,53.94269836920049,0.0015951808,0.281164,21.317831930087614,0.0015951808,799970,49.93939393939394,78.68216806991241,-8.711145608697175
54.36363636363637,0.0047528655,-112.27272727272727,222673.45454545456,0.0,6626,15005.806535959244,5.46969696969697,4.53030303030303,52.996345176607946,0.00291519,0.31471843,20.66297012433075,0.00291519,809892,51.0,79.33702987566924,-8.40754876700949
56.492537313432834,0.004147706,-135.37313432835822,231393.4328358209,0.0,6693,15146.462341070175,7.029850746268656,2.970149253731343,55.091393923162826,0.0023309293,0.32363915,23.91369216126744,0.0023309293,819991,48.701492537313435,76.08630783873258,-9.552936969193938
