Ptt,TtR,MpbtA,surrgain,AttNC,TimeElapsed,optimgain,AttC,MpbtN,Tmc,Tmt,MtR,entropy,TimestepsSoFar,entloss,Tbt,EpisodesSoFar,meankl
80.5640528159131,-75.51428571428572,8.94008759206638,0.0059453133,0.9714285714285714,10023.488934755325,0.0059453133,0.02857142857142857,91.05991240793364,21.085714285714285,82.85714285714286,-41.16200316096561,0.21047407,149915,0.0,339382.85714285716,4022,0.0056764223
80.46585469530211,-73.36111111111111,11.326261878160663,0.0064874175,0.9444444444444444,10128.592701911926,0.0064874175,0.05555555555555555,88.67373812183934,21.194444444444443,82.75,-40.691842296270735,0.24233715,159903,0.0,338944.0,4058,0.0065055513
81.23047823113649,-73.8048780487805,11.6577716822074,0.0041533355,0.6097560975609756,10243.487505197525,0.0041533355,0.3902439024390244,88.3422283177926,20.365853658536587,83.53658536585365,-41.63322200831018,0.19606867,169950,0.0,342165.85365853657,4099,0.003795233
81.38039211194581,-73.16216216216216,12.540991991769648,0.0051263976,0.8378378378378378,10353.6877014637,0.0051263976,0.16216216216216217,87.45900800823037,20.18918918918919,83.62162162162163,-40.56562325321572,0.2588676,179974,0.0,342514.1621621622,4136,0.0045154174
80.3629258847217,-70.35897435897436,14.891087120272873,0.0058611063,0.6153846153846154,10465.852303504944,0.0058611063,0.38461538461538464,85.10891287972711,21.307692307692307,82.64102564102564,-39.59333291885726,0.25726718,189830,0.0,338497.641025641,4175,0.0049001114
80.23272565702308,-69.60526315789474,15.678123784390838,0.0066819536,0.868421052631579,10572.993148565292,0.0066819536,0.13157894736842105,84.32187621560917,21.44736842105263,82.5,-39.22233311753836,0.26935995,199798,0.0,337920.0,4213,0.005865902
80.51212058763412,-70.39024390243902,14.995201098745728,0.0042571,0.5121951219512195,10686.210385084152,0.0042571,0.4878048780487805,85.00479890125429,21.146341463414632,82.8048780487805,-39.89193217270406,0.24071997,209916,0.0,339168.7804878049,4254,0.0035455674
80.41330664984898,-69.54054054054055,15.881026881340057,0.0038363738,0.8648648648648649,10793.57940196991,0.0038363738,0.13513513513513514,84.11897311865994,21.243243243243242,82.64864864864865,-39.32702535719561,0.23300537,219979,0.0,338528.86486486485,4291,0.0036960328
80.77614575868888,-69.5,16.38455469310684,0.0033783966,0.8888888888888888,10896.604954957962,0.0033783966,0.1111111111111111,83.61544530689315,20.86111111111111,83.08333333333333,-37.99671227651562,0.24443755,229905,0.0,340309.3333333333,4327,0.002904912
80.66900573427733,-69.97297297297297,15.651114556483988,0.004049134,0.8918918918918919,11005.436264514923,0.004049134,0.10810810810810811,84.34888544351602,20.972972972972972,82.94594594594595,-39.137248677734306,0.2577037,239765,0.0,339746.5945945946,4364,0.0034890138
79.75059214186854,-68.25641025641026,16.79555915779527,0.0056373565,0.8974358974358975,11117.070996522903,0.0056373565,0.10256410256410256,83.20444084220475,21.974358974358974,82.02564102564102,-38.36120978903016,0.24888428,249982,0.0,335977.0256410256,4403,0.0048669493
80.47313789979567,-70.05128205128206,15.341626342462538,0.0057475474,0.6666666666666666,11234.075824975967,0.0057475474,0.3333333333333333,84.65837365753747,21.17948717948718,82.71794871794872,-39.25885494883471,0.2057754,259788,0.0,338812.71794871794,4442,0.00531616
81.25221487394681,-71.83783783783784,14.056690115755343,0.0077514113,0.918918918918919,11337.589334249496,0.0077514113,0.08108108108108109,85.94330988424466,20.35135135135135,83.5945945945946,-40.02659061798461,0.29378915,269794,0.0,342403.45945945947,4479,0.007603931
80.11395313018855,-69.44736842105263,15.758347337102467,0.004431981,0.7368421052631579,11448.815168619156,0.004431981,0.2631578947368421,84.24165266289754,21.57894736842105,82.39473684210526,-38.87654135810559,0.29467195,279798,0.0,337488.84210526315,4517,0.005339196
80.26308410605735,-71.11627906976744,13.859644499764434,0.0055982154,0.5116279069767442,11566.477959632874,0.0055982154,0.4883720930232558,86.14035550023559,21.41860465116279,82.55813953488372,-40.66556170977966,0.22165166,289954,0.0,338158.1395348837,4560,0.00543726
80.08425244849984,-70.53846153846153,14.383135910168926,0.002694525,0.6153846153846154,11678.538787126541,0.002694525,0.38461538461538464,85.61686408983103,21.615384615384617,82.38461538461539,-39.44360785573775,0.23408909,299867,0.0,337447.3846153846,4599,0.0012640257
80.14732156459056,-70.08108108108108,15.005412669201421,0.002500769,0.8378378378378378,11786.812508821487,0.002500769,0.16216216216216217,84.99458733079857,21.54054054054054,82.43243243243244,-39.56166780169071,0.23835865,309781,0.0,337643.24324324325,4636,0.0021788625
