TimestepsSoFar,TtR,meankl,Tmt,Tmc,entloss,TimeElapsed,MpbtN,surrgain,MpbtA,entropy,MtR,Tbt,EpisodesSoFar,AttC,optimgain,AttNC,Ptt
2559885,-154.44444444444446,0.00867201,58.476190476190474,46.55555555555556,0.0,42560.45871400833,26.37771726249863,0.0012887426,73.62228273750137,0.20711029,-10.764368901474569,239518.47619047618,17745,6.031746031746032,0.0012887426,3.9682539682539684,57.04271785219605
2569915,-155.46875,0.008668793,57.453125,47.578125,0.0,42711.25373721123,27.0814993809655,0.0018524673,72.9185006190345,0.1868948,-10.805585262004827,235328.0,17809,6.46875,0.0018524673,3.53125,56.07601065320279
2579858,-142.76923076923077,0.010934799,56.12307692307692,49.01538461538462,0.0,42870.551199674606,25.466150082294874,0.0025127972,74.53384991770513,0.23002376,-10.379226062594418,229880.12307692308,17874,3.9846153846153847,0.0025127972,6.015384615384615,54.76849384677972
2589847,-163.27868852459017,0.008554463,58.442622950819676,46.622950819672134,0.0,43020.379912137985,27.819780704046646,0.0010356231,72.18021929595335,0.19344448,-10.941192273005287,239380.9836065574,17935,7.032786885245901,0.0010356231,2.9672131147540983,56.995080599126666
2599887,-153.59375,0.008924455,57.578125,47.515625,0.0,43175.23609781265,26.628529038342723,0.0009785886,73.3714709616573,0.19472805,-10.79017280850939,235840.0,17999,5.359375,0.0009785886,4.640625,56.16434108022269
2609840,-138.4375,0.009438187,56.921875,48.203125,0.0,43328.61088228226,24.23155757145988,0.0012842246,75.76844242854013,0.18016234,-9.7835927755791,233152.0,18063,4.765625,0.0012842246,5.234375,55.528971400819174
2619895,-132.12121212121212,0.009809442,55.5,49.71212121212121,0.0,43490.29806852341,23.766733398303863,0.0012188385,76.23326660169612,0.1907555,-9.808064519551744,227328.0,18129,3.1818181818181817,0.0012188385,6.818181818181818,54.143055741284506
2629992,-148.93939393939394,0.010554218,56.77272727272727,48.34848484848485,0.0,43649.74389791489,26.300101003582327,0.0020361645,73.69989899641769,0.22008586,-10.85792937377293,232541.0909090909,18195,3.712121212121212,0.0020361645,6.287878787878788,55.3906250728474
2639872,-150.32258064516128,0.008732858,58.03225806451613,47.03225806451613,0.0,43800.710889816284,25.705341563180294,0.001360791,74.29465843681972,0.18785965,-10.231759404824151,237700.12903225806,18257,6.064516129032258,0.001360791,3.935483870967742,56.60612749458714
2649973,-137.42424242424244,0.0094906995,56.333333333333336,48.803030303030305,0.0,43962.618854761124,24.50034140918878,0.0012485059,75.49965859081121,0.21098106,-9.960621030180661,230741.33333333334,18323,3.0303030303030303,0.0012485059,6.96969696969697,54.96784824379637
2659820,-144.0625,0.008864347,57.40625,47.71875,0.0,44118.18788290024,25.129021515863776,0.0008944778,74.87097848413623,0.21081625,-10.222893322910089,235136.0,18387,4.46875,0.0008944778,5.53125,55.987348407469014
2669960,-144.30769230769232,0.009773216,57.61538461538461,47.4,0.0,44271.044585466385,25.002591562104644,0.0017793775,74.99740843789536,0.21115185,-10.182332060402537,235992.61538461538,18452,5.1692307692307695,0.0017793775,4.8307692307692305,56.23710700576167
2679937,-144.76190476190476,0.0095516415,57.07936507936508,48.01587301587302,0.0,44426.18867659569,25.251645412289204,0.0014296074,74.74835458771079,0.20789707,-10.09231664910323,233797.07936507938,18515,5.126984126984127,0.0014296074,4.873015873015873,55.69243941756811
2689902,-139.0625,0.009035037,57.359375,47.78125,0.0,44579.418671131134,24.177499198728757,0.0017772781,75.82250080127126,0.19427566,-9.877122453976416,234944.0,18579,4.171875,0.0017772781,5.828125,55.93515087290103
2699980,-132.42424242424244,0.009861808,55.71212121212121,49.5,0.0,44736.369317770004,23.829132836125638,0.0017269977,76.1708671638744,0.21028516,-9.484278386447123,228196.84848484848,18645,3.9545454545454546,0.0017269977,6.045454545454546,54.34391778251456
2709969,-144.53125,0.009212797,57.421875,47.6875,0.0,44889.23798418045,25.25405263314702,0.0012400296,74.74594736685297,0.19799094,-10.116892179609856,235200.0,18709,4.859375,0.0012400296,5.140625,56.008862655059126
2719944,-155.45454545454547,0.009906626,58.121212121212125,46.92424242424242,0.0,45044.95358777046,26.809938386505557,0.0014607558,73.19006161349445,0.23307633,-10.981756993613278,238064.48484848486,18775,4.333333333333333,0.0014607558,5.666666666666667,56.70219915135948
2729947,-199.5,0.009073893,60.8,44.2,0.0,45188.76365232468,32.57492675095602,0.0012913983,67.42507324904396,0.18051252,-12.813705603735176,249036.8,18835,7.816666666666666,0.0012913983,2.183333333333333,59.25539795475937
2739874,-151.7741935483871,0.008945766,58.193548387096776,46.87096774193548,0.0,45337.94541931152,26.012200528465215,0.0015843969,73.98779947153479,0.19214804,-10.351240412581298,238360.7741935484,18897,5.548387096774194,0.0015843969,4.451612903225806,56.7598834870808
2749917,-137.23076923076923,0.00802479,56.98461538461538,48.06153846153846,0.0,45493.27942085266,24.045657961770633,0.0005505374,75.95434203822938,0.19248956,-9.703433975579575,233408.9846153846,18962,4.2153846153846155,0.0005505374,5.7846153846153845,55.62706536403617
2759888,-144.0,0.010957116,56.184615384615384,48.96923076923077,0.0,45651.34240484238,25.71129636911304,0.0020168514,74.28870363088697,0.22147653,-10.469580105217517,230132.1846153846,19027,3.5692307692307694,0.0020168514,6.430769230769231,54.81783922906959
2769928,-186.77966101694915,0.008476616,59.76271186440678,45.25423728813559,0.0,45793.52638888359,31.08642824520595,0.000862458,68.91357175479408,0.17825308,-12.09669458651585,244788.06779661018,19086,7.101694915254237,0.000862458,2.8983050847457625,58.26233239459733
2779950,-141.84615384615384,0.008605697,56.44615384615385,48.707692307692305,0.0,45949.75059199333,25.130911585132452,0.00089790375,74.86908841486759,0.17794766,-10.100398338001384,231203.44615384616,19151,5.123076923076923,0.00089790375,4.876923076923077,55.06517004184207
2789907,-143.53846153846155,0.009266058,55.784615384615385,49.38461538461539,0.0,46106.60629487038,25.786079276596237,0.0014024433,74.21392072340376,0.18458986,-10.20493703160477,228493.78461538462,19216,4.492307692307692,0.0014024433,5.507692307692308,54.433057499961066
2799851,-173.11475409836066,0.0086096255,59.22950819672131,45.83606557377049,0.0,46260.28899168968,29.067610937167643,0.0012952025,70.93238906283234,0.16664633,-11.748868082581865,242604.0655737705,19277,5.868852459016393,0.0012952025,4.131147540983607,57.73625452942993
2809880,-151.09375,0.009633979,58.671875,46.359375,0.0,46420.69691872597,25.690517820107342,0.002272099,74.30948217989268,0.18561481,-10.47796979166958,240320.0,19341,3.6875,0.002272099,6.3125,57.22711422960262
2819936,-142.30769230769232,0.010139498,55.738461538461536,49.50769230769231,0.0,46580.641036748886,25.519200735755888,0.0012358582,74.4807992642441,0.19457641,-10.18809464825609,228304.73846153845,19406,4.123076923076923,0.0012358582,5.876923076923077,54.35236194509627
2829894,-140.6153846153846,0.00974379,55.96923076923077,49.23076923076923,0.0,46740.01148080826,25.104667716858312,0.0018038809,74.89533228314167,0.18804632,-10.0928157431551,229249.96923076923,19471,3.769230769230769,0.0018038809,6.230769230769231,54.59299439259131
2839860,-140.15151515151516,0.010593608,54.93939393939394,50.34848484848485,0.0,46901.851712703705,25.426529144034326,0.0027943943,74.5734708559657,0.20740198,-10.246995628749332,225031.75757575757,19537,3.484848484848485,0.0027943943,6.515151515151516,53.576020325497595
2849997,-179.36507936507937,0.008549035,58.82539682539682,46.19047619047619,0.0,47051.97922039032,30.274642173288548,0.0012433325,69.72535782671146,0.16998516,-12.034933992800706,240948.82539682538,19600,6.666666666666667,0.0012433325,3.3333333333333335,57.37998721482638
2859925,-139.3846153846154,0.009970619,55.46153846153846,49.723076923076924,0.0,47211.97390174866,25.22533002510229,0.0012062457,74.77466997489772,0.19315057,-10.102024146579764,227170.46153846153,19665,4.876923076923077,0.0012062457,5.123076923076923,54.12003010109969
2869875,-168.52459016393442,0.008742861,57.9344262295082,47.18032786885246,0.0,47363.472138643265,28.942689985751457,0.0011635193,71.05731001424854,0.16397731,-11.262070916395322,237299.40983606558,19726,6.622950819672131,0.0011635193,3.377049180327869,56.48964825485298
2879930,-138.63636363636363,0.009340331,55.90909090909091,49.28787878787879,0.0,47523.432346343994,24.793453731198642,0.0012729944,75.20654626880135,0.17635432,-10.087608230748113,229003.63636363635,19792,3.9696969696969697,0.0012729944,6.03030303030303,54.53762355345632
2889985,-144.46153846153845,0.009284574,55.47692307692308,49.753846153846155,0.0,47682.68068432808,26.135257833773032,0.0017917352,73.86474216622693,0.16506225,-10.323382887372611,227233.47692307693,19857,4.384615384615385,0.0017917352,5.615384615384615,54.112282028491364
2899977,-129.6969696969697,0.009436529,55.31818181818182,49.833333333333336,0.0,47847.71192264557,23.462276351049464,0.0011392438,76.53772364895053,0.18789274,-9.464158440411193,226583.27272727274,19923,3.4393939393939394,0.0011392438,6.5606060606060606,54.00012453779301
2909984,-128.30769230769232,0.008109099,55.43076923076923,49.753846153846155,0.0,48007.75023674965,23.185347634042884,0.0015694968,76.81465236595712,0.18182947,-9.38036579427983,227044.43076923076,19988,4.476923076923077,0.0015694968,5.523076923076923,54.09021928935506
2919923,-138.6153846153846,0.008964047,55.184615384615384,50.0,0.0,48169.21584057808,25.089532989553927,0.0012075214,74.91046701044604,0.16222484,-10.020168844342962,226036.1846153846,20053,5.107692307692307,0.0012075214,4.892307692307693,53.857476900203295
2929949,-130.45454545454547,0.010061821,55.57575757575758,49.666666666666664,0.0,48330.31756186485,23.367016814927347,0.0021625354,76.63298318507265,0.18785791,-9.48332018703418,227638.30303030304,20119,2.803030303030303,0.0021625354,7.196969696969697,54.20078620524385
2939905,-137.69230769230768,0.009214214,56.292307692307695,48.87692307692308,0.0,48488.65548205376,24.384318507733738,0.0013986243,75.61568149226626,0.17126557,-9.951038357279106,230573.29230769232,20184,4.630769230769231,0.0013986243,5.369230769230769,54.91236030000488
2949946,-135.07462686567163,0.010233281,55.46268656716418,49.73134328358209,0.0,48651.2606549263,24.362219533912892,0.0010162496,75.63778046608714,0.18753609,-9.829049106400118,227175.16417910447,20251,3.5074626865671643,0.0010162496,6.492537313432836,54.117282336719555
2959999,-133.78787878787878,0.009436138,54.45454545454545,50.86363636363637,0.0,48814.567249536514,24.577318906882216,0.00089056825,75.42268109311779,0.17781678,-9.741498123470336,223045.81818181818,20317,3.696969696969697,0.00089056825,6.303030303030303,53.10299109151864
