TtR,MpbtA,Tmt,TimestepsSoFar,MpbtN,Ptt,entropy,EpisodesSoFar,AttC,optimgain,Tmc,surrgain,entloss,AttNC,TimeElapsed,Tbt,MtR,meankl
-141.06666666666666,39.82187945280493,78.08888888888889,250000,60.17812054719506,76.08915051208677,0.35090056,3439,1.0222222222222221,0.0018447876,25.91111111111111,0.0018447876,0.0,1.9777777777777779,8299.263666629791,319852.0888888889,-28.813854223061767,0.004164261
-147.45652173913044,37.23888117406759,78.30434782608695,259986,62.76111882593243,76.28856415677235,0.35020658,3485,1.7391304347826086,0.002767537,25.695652173913043,0.002767537,0.0,1.2608695652173914,8419.053602695465,320734.60869565216,-29.55504802452951,0.004824235
-137.07142857142858,41.20222037767468,77.57142857142857,269837,58.79777962232532,75.60457683351817,0.36599636,3527,1.2619047619047619,0.0036900858,26.428571428571427,0.0036900858,0.0,1.7380952380952381,8533.565737247467,317732.5714285714,-27.873845442408214,0.007368341
-140.93478260869566,40.27583533875016,78.65217391304348,279915,59.72416466124982,76.61509324720267,0.36121485,3573,1.565217391304348,0.0006732432,25.347826086956523,0.0006732432,0.0,1.434782608695652,8648.75704407692,322159.3043478261,-28.745384175274946,0.0010798975
-143.79545454545453,38.497245112871,77.8409090909091,289923,61.502754887129,75.84005660628321,0.39290178,3617,1.7045454545454546,0.0024793518,26.181818181818183,0.0024793518,0.0,1.2954545454545454,8762.094843864441,318836.36363636365,-28.462487888994485,0.0051890556
-146.25,37.258646209151735,77.63636363636364,299850,62.74135379084826,75.66496977847241,0.4251716,3661,1.7272727272727273,0.0021333566,26.363636363636363,0.0021333566,0.0,1.2727272727272727,8878.309561252594,317998.54545454547,-28.909977385533765,0.0047525046
-149.6326530612245,36.36537552499626,78.40816326530613,309892,63.634624475003726,76.38450527440415,0.37791216,3710,2.4285714285714284,0.0028173844,25.591836734693878,0.0028173844,0.0,0.5714285714285714,9001.788132190704,321159.8367346939,-30.3446372981538,0.0068493774
-132.84782608695653,42.642103027064756,77.17391304347827,319964,57.35789697293523,75.23515082677731,0.38409552,3756,1.7391304347826086,0.003338094,26.82608695652174,0.003338094,0.0,1.2608695652173914,9119.571785449982,316104.347826087,-27.140593038499418,0.006673564
-152.0204081632653,35.31482846238565,78.28571428571429,329899,64.68517153761432,76.27027872433979,0.37901977,3805,2.4693877551020407,0.004133884,25.714285714285715,0.004133884,0.0,0.5306122448979592,9245.416768074036,320658.28571428574,-29.73795814405956,0.006449066
-148.2,37.38921585540748,78.8,339934,62.610784144592536,76.7507764639324,0.38750234,3850,1.5333333333333334,0.0022239725,25.2,0.0022239725,0.0,1.4666666666666666,9361.325178146362,322764.8,-29.652205903141585,0.0050848
-137.02173913043478,41.12514877622314,77.58695652173913,349989,58.87485122377683,75.62027734322356,0.3520468,3896,1.6521739130434783,0.0016506591,26.41304347826087,0.0016506591,0.0,1.3478260869565217,9478.638150930405,317796.17391304346,-27.830993442519777,0.005407973
-131.33333333333334,42.78630301306702,76.55555555555556,359877,57.21369698693297,74.65628569135143,0.3436225,3941,1.9111111111111112,0.0015023234,27.444444444444443,0.0015023234,0.0,1.0888888888888888,9594.879833459854,313571.55555555556,-26.915842021191402,0.0040365397
-134.29787234042553,41.75519440517574,76.82978723404256,369995,58.24480559482426,74.91349840652673,0.36318913,3988,1.6170212765957446,0.0013735351,27.170212765957448,0.0013735351,0.0,1.3829787234042554,9714.100172281265,314694.8085106383,-27.91695672083758,0.004395188
-134.5531914893617,41.80679325142338,77.02127659574468,379961,58.19320674857662,75.06478184619982,0.36156067,4035,1.9574468085106382,0.0010700114,27.02127659574468,0.0010700114,0.0,1.0425531914893618,9832.534070014954,315479.1489361702,-27.599754091296447,0.0036628132
-140.52,40.075057388617594,78.12,389883,59.924942611382406,76.11901351577339,0.31823343,4085,2.1,0.0022566696,25.88,0.0022566696,0.0,0.9,9952.723284244537,319979.52,-28.82196374318457,0.005187919
-135.73333333333332,41.379068985725965,77.11111111111111,399845,58.620931014274056,75.17476679479128,0.3780735,4130,1.0888888888888888,0.003085241,26.88888888888889,0.003085241,0.0,1.9111111111111112,10065.625321865082,315847.1111111111,-27.922961241970896,0.00879061
-137.2826086956522,41.035840765120405,77.52173913043478,409905,58.96415923487959,75.55795053174943,0.33782738,4176,1.826086956521739,0.0022717468,26.47826086956522,0.0022717468,0.0,1.173913043478261,10185.05252289772,317529.04347826086,-27.43708102400941,0.0059907003
-130.6,43.60908055767591,77.04444444444445,419855,56.3909194423241,75.09970790040774,0.35915598,4221,1.1333333333333333,0.0037760183,26.977777777777778,0.0037760183,0.0,1.8666666666666667,10302.244932174683,315574.0444444445,-26.753788110171698,0.008739864
-137.14285714285714,41.15640958251842,77.71428571428571,429891,58.8435904174816,75.74003172635265,0.31498703,4270,1.816326530612245,0.0025867564,26.285714285714285,0.0025867564,0.0,1.183673469387755,10422.016749382019,318317.71428571426,-27.776705728127904,0.0059444867
-130.30434782608697,43.25825644834044,76.34782608695652,439932,56.74174355165955,74.43536589104528,0.29565424,4316,1.2391304347826086,0.003374176,27.695652173913043,0.003374176,0.0,1.7608695652173914,10534.715827941895,312720.6956521739,-26.65422631030492,0.0076424414
-131.46666666666667,42.8740871965236,76.66666666666667,449882,57.125912803476425,74.76043681300249,0.34580937,4361,0.7777777777777778,0.0045174607,27.333333333333332,0.0045174607,0.0,2.2222222222222223,10651.739267587662,314026.6666666667,-27.44307325806852,0.009739362
-132.31914893617022,42.62770056442603,76.82978723404256,459844,57.37229943557398,74.91315883082845,0.30496854,4408,1.4042553191489362,0.0040155165,27.170212765957448,0.0040155165,0.0,1.5957446808510638,10773.335265874863,314694.8085106383,-27.721905212381447,0.0072139446
-126.84782608695652,44.817298484537304,76.54347826086956,469972,55.182701515462696,74.63256561483952,0.28751308,4454,0.7608695652173914,0.0028928488,27.47826086956522,0.0028928488,0.0,2.239130434782609,10889.032391786575,313522.0869565217,-26.590563204541123,0.0059808833
-122.93333333333334,46.152453071508845,76.02222222222223,479882,53.847546928491155,74.14397325749253,0.333447,4499,0.6,0.00578999,28.0,0.00578999,0.0,2.4,11005.009491920471,311387.02222222224,-26.07121961456266,0.011920522
