entropy,TtR,Tbt,optimgain,surrgain,Ptt,AttC,meankl,TimestepsSoFar,MtR,EpisodesSoFar,TimeElapsed,entloss,AttNC,MpbtA,Tmt,Tmc,MpbtN
0.27597168,-71.29729729729729,341960.64864864864,0.0038286136,0.0038286136,81.27634332025318,0.02702702702702703,0.006183733,359679,-39.85103644539926,4710,12195.030067443848,0.0,0.972972972972973,14.649716050745592,83.48648648648648,20.2972972972973,85.35028394925442
0.27921498,-67.16216216216216,336425.5135135135,0.0045619933,0.0045619933,79.89264512086032,0.2702702702702703,0.005182557,369746,-37.43357372878658,4747,12305.143492937088,0.0,0.7297297297297297,18.2770694935651,82.13513513513513,21.81081081081081,81.7229305064349
0.25437906,-68.85,338739.2,0.0019239166,0.0019239166,80.4549177756058,0.3,0.0032620423,379950,-38.43252276049703,4787,12415.614643096924,0.0,0.7,16.754142415151907,82.7,21.2,83.2458575848481
0.2423586,-69.375,336281.6,0.0052938843,0.0052938843,79.8577585837458,0.25,0.0049460456,389815,-39.73268949737012,4827,12528.957884788513,0.0,0.75,15.51766121795462,82.1,21.85,84.4823387820454
0.26289213,-69.35897435897436,338392.6153846154,0.0067087235,0.0067087235,80.3590733625711,0.10256410256410256,0.006019567,399820,-39.29285660055086,4866,12640.217536449432,0.0,0.8974358974358975,16.069151479159032,82.61538461538461,21.307692307692307,83.93084852084097
0.24338408,-67.73684210526316,338890.1052631579,0.0038850068,0.0038850068,80.4927121964928,0.34210526315789475,0.0047268076,409881,-37.906301045148794,4904,12750.76396226883,0.0,0.6578947368421053,18.132692938512033,82.73684210526316,21.157894736842106,81.86730706148795
0.25010523,-69.0,339303.7837837838,0.0037817908,0.0037817908,80.50450065327819,0.16216216216216217,0.005867285,419740,-38.1102206872625,4941,12860.002815008163,0.0,0.8378378378378378,16.740775767423813,82.83783783783784,21.16216216216216,83.2592242325762
0.2454771,-68.6842105263158,338135.5789473684,0.004302913,0.004302913,80.30105405569873,0.07894736842105263,0.0055139624,429919,-38.56758149413801,4979,12967.127289772034,0.0,0.9210526315789473,16.85011192450805,82.55263157894737,21.36842105263158,83.14988807549194
0.29801625,-68.27027027027027,338307.45945945947,0.006268591,0.006268591,80.28126964543075,0.13513513513513514,0.009232416,439794,-38.635724860897035,5016,13074.072201013565,0.0,0.8648648648648649,17.368821531276396,82.5945945945946,21.405405405405407,82.6311784687236
0.2121633,-67.71428571428571,334311.61904761905,0.0065989243,0.0065989243,79.38919183734116,0.5476190476190477,0.0075764633,449749,-38.321967790250795,5058,13191.774757623672,0.0,0.4523809523809524,17.0076286350723,81.61904761904762,22.357142857142858,82.99237136492769
