optimgain,Tmt,meankl,Tbt,MpbtN,TimestepsSoFar,entloss,MtR,TimeElapsed,EpisodesSoFar,TtR,surrgain,AttC,MpbtA,AttNC,Tmc,Ptt,entropy
0.0038698853,77.86363636363636,0.0034813073,318929.45454545453,60.264018415701464,219904,0.0,-28.758178552029143,7601.386104345322,3210,-140.9318181818182,0.0038698853,1.8181818181818181,39.735981584298536,1.1818181818181819,26.136363636363637,75.87843591088203,0.36026913
0.0038389156,77.52272727272727,0.0036103455,317533.0909090909,60.27102718685192,229782,0.0,-28.15326435177751,7717.189591407776,3254,-140.25,0.0038389156,1.9090909090909092,39.72897281314809,1.0909090909090908,26.477272727272727,75.55912457489818,0.374578
0.003546585,77.30434782608695,0.0037264836,316638.60869565216,60.93451939324369,239974,0.0,-28.241433434544913,7834.635414838791,3300,-141.32608695652175,0.003546585,1.891304347826087,39.06548060675634,1.108695652173913,26.695652173913043,75.35132813109121,0.35878393
0.0045868186,77.8409090909091,0.0045650858,318836.36363636365,58.66185612783645,249812,0.0,-28.23017002692037,7950.165396928787,3344,-137.1818181818182,0.0045868186,1.3863636363636365,41.33814387216354,1.6136363636363635,26.15909090909091,75.85756679707869,0.37359115
0.0031283447,76.45454545454545,0.0027898422,313157.8181818182,57.478600745919806,259800,0.0,-26.433697393677072,8061.885847568512,3388,-131.9318181818182,0.0031283447,1.7045454545454546,42.521399254080215,1.2954545454545454,27.545454545454547,74.56087642055378,0.35920456
0.0035177816,76.86046511627907,0.0038832296,314820.4651162791,58.353755780410275,269957,0.0,-26.81117037565894,8172.868923664093,3431,-135.06976744186048,0.0035177816,1.5116279069767442,41.64624421958972,1.4883720930232558,27.186046511627907,74.90843489066653,0.38645107
0.0031595582,77.0,0.0031307333,315392.0,58.91435663244783,279992,0.0,-27.461565465273306,8285.55810213089,3475,-136.0909090909091,0.0031595582,1.6818181818181819,41.08564336755217,1.3181818181818181,27.022727272727273,75.0571177536562,0.36577955
0.0038975545,76.5,0.0037132273,313344.0,58.3479795325745,289871,0.0,-27.10426904304272,8399.028018474579,3519,-133.97727272727272,0.0038975545,1.5681818181818181,41.6520204674255,1.4318181818181819,27.522727272727273,74.58797021054983,0.3386129
0.0038919067,76.91111111111111,0.0049769236,315027.9111111111,57.32832357117906,299986,0.0,-26.996813532890606,8511.396645069122,3564,-132.4,0.0038919067,1.1111111111111112,42.67167642882094,1.8888888888888888,27.11111111111111,74.9720400355941,0.34281015
0.0030541779,77.30434782608695,0.003294065,316638.60869565216,58.03235862312054,309902,0.0,-27.432542054909593,8625.028954982758,3610,-134.7391304347826,0.0030541779,1.565217391304348,41.96764137687947,1.434782608695652,26.695652173913043,75.35578003012346,0.333352
