AttC,surrgain,TimestepsSoFar,MtR,AttNC,entloss,meankl,optimgain,Fce,TimeElapsed,TtR,entropy,EpisodesSoFar
1.372093023255814,0.0012922598,1659924,17.85212504724741,1.627906976744186,0.0,0.001511816,0.0012922598,0.12968005637773078,10754.586154699326,93.55813953488372,1.4774258,7652
1.3409090909090908,0.0010826288,1669944,16.596743982849244,1.6590909090909092,0.0,0.0023757,0.0010826288,0.11972727272727277,10818.87785410881,86.45454545454545,1.4581732,7696
1.2666666666666666,0.000858491,1679981,15.949527652403994,1.7333333333333334,0.0,0.0017916433,0.000858491,0.12078845598845595,10888.090916395187,82.2,1.4366107,7741
1.0952380952380953,0.00060468295,1689987,16.673657084538483,1.9047619047619047,0.0,0.0015487778,0.00060468295,0.11647619047619051,10943.643277168274,87.35714285714286,1.4177222,7783
1.4222222222222223,0.0014545968,1699879,14.978969023022255,1.5777777777777777,0.0,0.003868574,0.0014545968,0.11191922068931416,11014.059111118317,79.33333333333333,1.4312302,7828
1.54,0.0021432058,1709911,14.288476879652565,1.46,0.0,0.005516881,0.0021432058,0.13293323270729115,11080.175375699997,73.5,1.420244,7878
1.2954545454545454,0.0002897359,1719754,15.300917113091892,1.7045454545454546,0.0,0.00056555914,0.0002897359,0.11329437229437235,11148.101467370987,81.0,1.4157627,7922
1.4583333333333333,0.00096166914,1729780,14.015502696688905,1.5416666666666667,0.0,0.0013699392,0.00096166914,0.11478703703703703,11208.489359855652,74.125,1.3897344,7970
1.4772727272727273,0.001285202,1739818,16.323073124363376,1.5227272727272727,0.0,0.0027916941,0.001285202,0.11624793388429754,11268.12972521782,85.70454545454545,1.3726901,8014
1.069767441860465,0.0017232053,1749835,14.942304960831438,1.930232558139535,0.0,0.0048753233,0.0017232053,0.10739112050739962,11329.655396938324,77.51162790697674,1.3891984,8057
1.2666666666666666,0.0015248561,1759884,15.19536083365914,1.7333333333333334,0.0,0.007299136,0.0015248561,0.11003881347410761,11404.761351585388,80.4,1.3871952,8102
1.2,0.0009814006,1769921,14.935293579996578,1.8,0.0,0.0042580236,0.0009814006,0.11119709513435004,11461.804884195328,78.0,1.3765969,8147
1.4772727272727273,0.0005469116,1779932,17.129751889102405,1.5227272727272727,0.0,0.0032493742,0.0005469116,0.1339400123685838,11526.062906980515,89.18181818181819,1.3471674,8191
1.0952380952380953,0.0013100739,1789951,15.842524559283246,1.9047619047619047,0.0,0.002890355,0.0013100739,0.11623144165248146,11585.646510124207,83.0,1.363977,8233
1.3181818181818181,0.00067071023,1799983,16.15167090663543,1.6818181818181819,0.0,0.0023964874,0.00067071023,0.11497979797979804,11652.023609638214,84.54545454545455,1.3717034,8277
1.2325581395348837,0.0009431604,1809765,14.96322959844504,1.7674418604651163,0.0,0.0018584304,0.0009431604,0.10673597811217513,11717.486512422562,78.13953488372093,1.3894783,8320
1.4545454545454546,0.0013881043,1819797,15.7542500264348,1.5454545454545454,0.0,0.007627045,0.0013881043,0.11449760765550238,11785.064313411713,83.38636363636364,1.3768313,8364
1.425531914893617,0.0009265442,1829831,15.136205718512802,1.574468085106383,0.0,0.002969797,0.0009265442,0.12018848291748502,11840.179316043854,79.46808510638297,1.382851,8411
