TimestepsSoFar,EpisodesSoFar,entropy,Tmc,optimgain,AttNC,MpbtA,Ptt,surrgain,meankl,TimeElapsed,TtR,AttC,MpbtN,Tmt,entloss,MtR,Tbt
1619963,11774,0.28038844,49.18032786885246,0.0025490248,4.672131147540983,79.33169671228521,54.65969859716351,0.0025490248,0.0062875515,57019.229518175125,-116.72131147540983,5.327868852459017,20.668303287714817,56.0655737704918,0.0,-8.59676958992783,229644.59016393442
1629892,11833,0.28595337,46.11864406779661,0.002817793,4.271186440677966,74.72531436177955,57.471048489493604,0.002817793,0.0054813176,57314.30538702011,-153.05084745762713,5.728813559322034,25.274685638220458,58.94915254237288,0.0,-10.036453020999339,241455.7288135593
1639882,11895,0.2739254,48.38709677419355,0.0021441376,5.274193548387097,79.1059100827451,55.3930684663659,0.0021441376,0.005034485,57640.26247167587,-119.6774193548387,4.725806451612903,20.894089917254902,56.82258064516129,0.0,-8.68801048723482,232745.29032258064
1649927,11957,0.26207513,47.12903225806452,0.0019286699,4.596774193548387,78.78522283792577,56.5589684687779,0.0019286699,0.00524524,57981.48667263985,-125.0,5.403225806451613,21.21477716207421,58.03225806451613,0.0,-8.574376988340196,237700.12903225806
1659974,12019,0.26606146,48.193548387096776,0.0021702482,5.774193548387097,80.41432943371657,55.546656868778705,0.0021702482,0.0051349974,58330.04878425598,-112.09677419354838,4.225806451612903,19.58567056628345,56.95161290322581,0.0,-8.04108955836126,233273.8064516129
1669957,12080,0.26572034,47.67213114754098,0.001963996,4.688524590163935,78.00699548289151,56.047253358653315,0.001963996,0.0050205286,58673.903444767,-127.21311475409836,5.311475409836065,21.993004517108478,57.49180327868852,0.0,-8.91697514510963,235486.4262295082
1679903,12143,0.24929431,49.01587301587302,0.0019447925,3.873015873015873,78.85083407982215,54.79700490855513,0.0019447925,0.006036101,59027.875957489014,-120.47619047619048,6.126984126984127,21.149165920177854,56.19047619047619,0.0,-8.451252605941548,230156.19047619047
1689972,12206,0.25331876,47.92063492063492,0.0032139833,5.365079365079365,78.60412881829656,55.83423161144652,0.0032139833,0.0072369184,59379.53949356079,-124.28571428571429,4.634920634920635,21.395871181703438,57.285714285714285,0.0,-8.552222496604514,234642.2857142857
1699867,12270,0.2662213,49.953125,0.0023535874,5.421875,80.36712539487202,53.961930466649925,0.0023535874,0.006160001,59736.72751736641,-108.125,4.578125,19.63287460512797,55.359375,0.0,-7.995434896634387,226752.0
1709883,12332,0.25881958,47.37096774193548,0.0023910413,4.258064516129032,77.52365493730312,56.3306415299286,0.0023910413,0.005981389,60078.620337963104,-131.4516129032258,5.741935483870968,22.47634506269687,57.79032258064516,0.0,-9.01778360810258,236709.16129032258
1719832,12395,0.256455,49.285714285714285,0.0021837691,5.4603174603174605,79.56951175075818,54.52997852993183,0.0021837691,0.005074638,60446.284663677216,-115.07936507936508,4.5396825396825395,20.430488249241797,55.888888888888886,0.0,-8.225278451587842,228920.88888888888
1729872,12459,0.25563568,49.515625,0.002373557,4.15625,79.81137849065395,54.308300996281254,0.002373557,0.0053569805,60789.291164159775,-112.8125,5.84375,20.188621509346046,55.65625,0.0,-7.866726114177156,227968.0
1739871,12522,0.24056396,49.57142857142857,0.0025583107,4.4603174603174605,80.73392395520821,54.28773792307443,0.0025583107,0.005784384,61135.10299873352,-106.98412698412699,5.5396825396825395,19.266076044791795,55.666666666666664,0.0,-7.612953864305915,228010.66666666666
1749952,12585,0.24313968,50.301587301587304,0.0019010986,4.920634920634921,79.13371736652185,53.61118856952509,0.0019010986,0.0041603786,61480.879677295685,-114.44444444444444,5.079365079365079,20.866282633478146,54.96825396825397,0.0,-8.029791676627742,225149.96825396825
1759980,12647,0.27486044,50.016129032258064,0.0024961361,5.661290322580645,78.90068278074499,53.87556519536303,0.0024961361,0.005930525,61810.45857477188,-117.25806451612904,4.338709677419355,21.099317219254996,55.24193548387097,0.0,-8.426960616894645,226270.96774193548
1769917,12708,0.26038587,48.049180327868854,0.0023894976,3.8852459016393444,80.00140010829162,55.675324737409085,0.0023894976,0.0063635292,62096.72190093994,-114.26229508196721,6.114754098360656,19.99859989170836,57.08196721311475,0.0,-7.678420082100632,233807.73770491802
1779899,12770,0.2409879,47.53225806451613,0.0025694282,5.725806451612903,80.54997594519995,56.18539183374767,0.0025694282,0.006895821,62410.858399391174,-113.2258064516129,4.274193548387097,19.450024054800057,57.645161290322584,0.0,-7.944984610427605,236114.5806451613
1789909,12831,0.2569969,49.19672131147541,0.0026704178,6.032786885245901,77.89613808197932,54.59932039254555,0.0026704178,0.0066498793,62734.40580177307,-123.77049180327869,3.9672131147540983,22.103861918020662,55.950819672131146,0.0,-8.917504693246649,229174.55737704918
1799994,12894,0.27173585,48.74603174603175,0.0022180292,5.841269841269841,81.91709429780538,55.03887445428949,0.0022180292,0.005307799,63073.67011761665,-101.74603174603175,4.158730158730159,18.082905702194612,56.42857142857143,0.0,-7.352456448051902,231131.42857142858
1809834,12953,0.2447873,48.101694915254235,0.0030541634,4.101694915254237,79.61261145908901,55.64374143937768,0.0030541634,0.0071184654,63421.58356189728,-119.66101694915254,5.898305084745763,20.387388540910987,57.067796610169495,0.0,-8.040765345886127,233749.69491525425
1819813,13012,0.25369167,50.33898305084746,0.0033582733,3.9322033898305087,77.2180765431273,53.575215939407364,0.0033582733,0.0069405115,63783.11469745636,-126.27118644067797,6.067796610169491,22.781923456872722,54.932203389830505,0.0,-9.121116392109503,225002.30508474575
1829888,13074,0.26767755,47.935483870967744,0.0037548996,2.9838709677419355,76.3234043876036,55.78084962838662,0.0037548996,0.0071878172,64133.70624899864,-136.4516129032258,7.016129032258065,23.676595612396408,57.193548387096776,0.0,-9.105622514877222,234264.7741935484
1839821,13135,0.25479946,50.32786885245902,0.0026745298,4.885245901639344,80.21776429743113,53.613218276295015,0.0026745298,0.0070443987,64497.087346076965,-109.34426229508196,5.114754098360656,19.782235702568876,55.0,0.0,-7.522056361478738,225280.0
1849909,13197,0.24167319,50.564516129032256,0.0024404456,6.225806451612903,81.01148962769713,53.38613956647216,0.0024404456,0.0061760205,64858.781718969345,-103.70967741935483,3.774193548387097,18.98851037230288,54.75806451612903,0.0,-7.378692536128746,224289.03225806452
1859860,13257,0.2515038,50.96666666666667,0.0027310052,5.266666666666667,80.76696228107615,53.00237553845077,0.0027310052,0.005611274,65224.32149577141,-104.16666666666667,4.733333333333333,19.23303771892389,54.35,0.0,-7.622336854960298,222617.6
1869991,13320,0.25303587,51.44444444444444,0.0023164423,5.158730158730159,81.1339131019639,52.58278493635173,0.0023164423,0.0050025377,65593.22212457657,-102.22222222222223,4.841269841269841,18.866086898036063,53.93650793650794,0.0,-7.399129507098037,220923.9365079365
1879870,13382,0.2601534,49.24193548387097,0.0022902482,5.661290322580645,80.06704450178296,54.600909034217665,0.0022902482,0.005592433,65948.11592745781,-112.09677419354838,4.338709677419355,19.932955498217073,56.0,0.0,-8.051672939295972,229376.0
1889963,13446,0.26690316,48.359375,0.0027098255,5.34375,80.95458186186463,55.39592975753502,0.0027098255,0.0067725764,66303.10191249847,-108.28125,4.65625,19.04541813813539,56.796875,0.0,-7.836912034599202,232640.0
1899875,13505,0.3017291,44.69491525423729,0.0028797186,4.915254237288136,72.14407546622853,58.81171102066728,0.0028797186,0.005356896,66659.1149520874,-172.03389830508473,5.084745762711864,27.855924533771447,60.3728813559322,0.0,-11.096556875043616,247287.3220338983
1909936,13568,0.23798445,48.42857142857143,0.0021899662,6.26984126984127,80.70690107056899,55.34611848817259,0.0021899662,0.005450652,67016.15798354149,-109.04761904761905,3.7301587301587302,19.293098929430972,56.76190476190476,0.0,-7.7782205334001615,232496.7619047619
1919975,13632,0.27001107,49.40625,0.0027590436,6.59375,81.2094059376961,54.45599682124207,0.0027590436,0.0066880677,67366.58346104622,-105.0,3.40625,18.790594062303906,55.859375,0.0,-7.686810532383914,228800.0
1929972,13696,0.27255547,49.5625,0.0032905494,5.375,82.49310594124205,54.31676682542307,0.0032905494,0.006633533,67725.10726475716,-98.125,4.625,17.50689405875795,55.71875,0.0,-7.209273014860411,228224.0
1939978,13759,0.26699656,48.55555555555556,0.0027901959,5.904761904761905,80.71829221805541,55.22461092065245,0.0027901959,0.005777174,68070.7525882721,-110.95238095238095,4.095238095238095,19.281707781944615,56.63492063492063,0.0,-7.789426576295704,231976.6349206349
1949891,13823,0.27022946,49.453125,0.0032170902,6.109375,81.54493492175308,54.376497658496575,0.0032170902,0.006537212,68416.25046896935,-102.5,3.890625,18.455065078246914,55.734375,0.0,-7.5661425905380915,228288.0
1959910,13885,0.28263497,48.516129032258064,0.0025131723,6.17741935483871,80.96212959937745,55.27840000270909,0.0025131723,0.0061269165,68768.68101096153,-108.87096774193549,3.8225806451612905,19.03787040062257,56.70967741935484,0.0,-7.653668348312154,232282.83870967742
1969913,13948,0.2782704,49.84126984126984,0.0029268332,5.031746031746032,81.62676470210246,54.03975955380373,0.0029268332,0.006597018,69104.19492125511,-102.06349206349206,4.968253968253968,18.37323529789755,55.41269841269841,0.0,-7.391017060623975,226970.4126984127
1979995,14012,0.27518278,50.09375,0.0034314701,4.671875,80.36804843525273,53.83451214298545,0.0034314701,0.0059439973,69460.7008869648,-110.15625,5.328125,19.631951564747265,55.234375,0.0,-7.825453226356597,226240.0
1989885,14074,0.29481304,49.08064516129032,0.00241416,5.951612903225806,81.52549218459622,54.743605682313955,0.00241416,0.005409352,69789.54666900635,-104.51612903225806,4.048387096774194,18.474507815403765,56.145161290322584,0.0,-7.402696987446681,229970.5806451613
1999885,14134,0.3111301,49.63333333333333,0.0028899855,4.133333333333334,78.70292440816863,54.22491872257394,0.0028899855,0.007932635,70112.56136250496,-119.66666666666667,5.866666666666666,21.297075591831305,55.6,0.0,-8.075332062977289,227737.6
2009894,14194,0.2991193,48.81666666666667,0.0024029827,5.266666666666667,79.90809244909984,54.98825553290922,0.0024029827,0.005013999,70383.65034484863,-114.0,4.733333333333333,20.091907550900142,56.4,0.0,-7.952156821710618,231014.4
2019954,14255,0.27846557,50.278688524590166,0.0022637742,5.704918032786885,81.49618275954707,53.62120736099133,0.0022637742,0.0057065883,70669.40983247757,-101.63934426229508,4.295081967213115,18.503817240452946,54.967213114754095,0.0,-7.291577069632905,225145.70491803277
2029989,14314,0.29856858,48.83050847457627,0.0021911096,4.677966101694915,79.04860278314523,54.95537968998615,0.0021911096,0.0049488232,70981.64485859871,-118.64406779661017,5.322033898305085,20.951397216854737,56.33898305084746,0.0,-8.010211640146178,230764.4745762712
2039990,14376,0.29873204,48.38709677419355,0.0024106952,5.548387096774194,82.23745379915671,55.36367930152045,0.0024106952,0.0060801497,71286.44266796112,-100.96774193548387,4.451612903225806,17.76254620084329,56.75806451612903,0.0,-7.232177107689941,232481.03225806452
2049935,14437,0.30310708,50.18032786885246,0.0024206394,3.9836065573770494,79.33613159589778,53.73071950604472,0.0024206394,0.005628721,71612.50894808769,-114.09836065573771,6.016393442622951,20.66386840410221,55.09836065573771,0.0,-7.976861575634754,225682.88524590165
2059876,14495,0.31022775,47.775862068965516,0.0028882062,5.482758620689655,76.76684037877874,55.974137032863204,0.0028882062,0.007435414,71924.42063593864,-136.3793103448276,4.517241379310345,23.23315962122125,57.44827586206897,0.0,-9.18320504044212,235308.1379310345
2069892,14557,0.24900836,48.87096774193548,0.0025057353,3.274193548387097,79.54641140436892,54.95708705217917,0.0025057353,0.0059282416,72259.71404218674,-116.45161290322581,6.725806451612903,20.453588595631086,56.38709677419355,0.0,-8.221821259472604,230961.5483870968
2079896,14621,0.2615493,50.6875,0.0027940876,5.921875,81.45695090395542,53.28801636543059,0.0027940876,0.006832513,72591.60831069946,-101.875,4.078125,18.543049096044577,54.671875,0.0,-7.64028304082856,223936.0
2089970,14684,0.26953393,49.55555555555556,0.003373793,5.031746031746032,81.257102719543,54.30943378770388,0.003373793,0.008415349,72916.64218997955,-104.28571428571429,4.968253968253968,18.742897280456997,55.698412698412696,0.0,-7.656832686807451,228140.6984126984
2099903,14742,0.29797205,48.172413793103445,0.0026909115,5.982758620689655,78.17120518648612,55.5767198700945,0.0026909115,0.005389397,73248.90509152412,-126.72413793103448,4.017241379310345,21.828794813513852,57.0,0.0,-8.441408712697395,233472.0
2109957,14803,0.26047122,49.32786885245902,0.0024267463,6.721311475409836,81.05567682987186,54.527031582592585,0.0024267463,0.0053137788,73567.02510213852,-107.21311475409836,3.278688524590164,18.94432317012812,55.9344262295082,0.0,-7.495716638078016,229107.40983606558
2119830,14863,0.25291368,50.2,0.0023996448,6.133333333333334,78.00627051224468,53.70530844249363,0.0023996448,0.005327786,73905.22564864159,-121.83333333333333,3.8666666666666667,21.99372948775535,55.06666666666667,0.0,-8.754670395611859,225553.06666666668
2129900,14924,0.24831551,49.21311475409836,0.0023438141,5.540983606557377,79.10272153173747,54.63477389272091,0.0023438141,0.0052011427,74230.78827619553,-118.68852459016394,4.459016393442623,20.897278468262495,56.049180327868854,0.0,-8.344926390443517,229577.44262295082
2139852,14985,0.25288087,49.16393442622951,0.0023478756,6.60655737704918,81.50347130049619,54.68430789785718,0.0023478756,0.005386244,74560.42684745789,-104.09836065573771,3.3934426229508197,18.496528699503816,56.09836065573771,0.0,-7.555695782680591,229778.88524590165
2149903,15047,0.2681113,50.91935483870968,0.0032615992,5.887096774193548,80.21846134165968,53.08049060230631,0.0032615992,0.0045367726,74886.26199293137,-109.19354838709677,4.112903225806452,19.781538658340324,54.46774193548387,0.0,-7.792455383008291,223099.87096774194
2159904,15109,0.24589507,48.88709677419355,0.002466856,5.145161290322581,78.21551287326518,54.91909442011333,0.002466856,0.0041208235,75209.06755137444,-125.80645161290323,4.854838709677419,21.78448712673479,56.32258064516129,0.0,-8.717233522639582,230697.29032258064
2169958,15169,0.26683965,50.666666666666664,0.0023120404,6.2,79.93175962707886,53.30276858804919,0.0023120404,0.0053203227,75537.19245433807,-109.66666666666667,3.8,20.06824037292116,54.68333333333333,0.0,-7.976453410053826,223982.93333333332
2179899,15231,0.27988562,46.193548387096776,0.0037142118,4.32258064516129,71.99658680678107,57.386823331689286,0.0037142118,0.0070446543,75860.13040542603,-172.58064516129033,5.67741935483871,28.00341319321894,58.854838709677416,0.0,-11.420886527328221,241069.4193548387
2189994,15293,0.2516999,49.20967741935484,0.0019758001,6.306451612903226,80.5078224693999,54.585816689371384,0.0019758001,0.0054528685,76174.88293385506,-109.51612903225806,3.693548387096774,19.492177530600113,55.935483870967744,0.0,-7.995559488264957,229111.74193548388
