AttNC,entloss,TimestepsSoFar,EpisodesSoFar,surrgain,TtR,Fce,meankl,AttC,TimeElapsed,entropy,MtR,optimgain
1.0961538461538463,0.0,819819,3764,0.0006256246,79.03846153846153,0.12328844585366325,0.0068727373,1.9038461538461537,11244.879051685333,1.6417542,15.20425203638468,0.0006256246
1.5957446808510638,0.0,829882,3811,5.950292e-05,84.12765957446808,0.12251650402602256,0.0022873227,1.4042553191489362,11389.059949874878,1.6304023,16.025281079650348,5.950292e-05
1.6888888888888889,0.0,839909,3856,0.00016186893,83.66666666666667,0.11626178266178268,0.0018874662,1.3111111111111111,11514.717427968979,1.6468126,16.225637204030463,0.00016186893
1.6744186046511629,0.0,849861,3899,0.00033734995,89.30232558139535,0.13833587740564487,0.0028351666,1.3255813953488371,11656.710241556168,1.6350423,17.149628749739893,0.00033734995
1.6222222222222222,0.0,859904,3944,0.00036467146,84.6,0.11776958525345625,0.0031760884,1.3777777777777778,11791.687094211578,1.6512779,16.202339923928836,0.00036467146
1.6046511627906976,0.0,869919,3987,3.5542296e-05,87.62790697674419,0.12462458471760797,0.00024788905,1.3953488372093024,11932.41982126236,1.6595461,16.799592300647188,3.5542296e-05
1.7906976744186047,0.0,879932,4030,8.812205e-05,84.06976744186046,0.14023772609819118,0.0005718913,1.2093023255813953,12060.448171377182,1.6825781,16.04266458299775,8.812205e-05
1.775,0.0,889932,4070,5.7899982e-05,88.8,0.11840000000000002,0.008933181,1.225,12172.182570934296,1.7801512,16.927509009087153,5.7899982e-05
1.5227272727272727,0.0,899942,4114,6.892421e-05,86.79545454545455,0.1188831168831169,0.008933095,1.4772727272727273,12310.054351568222,1.8777206,16.457961828781208,6.892421e-05
1.7857142857142858,0.0,909968,4156,0.00025346273,92.92857142857143,0.1273772893772894,0.008933174,1.2142857142857142,12433.161080360413,1.9753398,17.86480119128149,0.00025346273
1.5116279069767442,0.0,919999,4199,0.00012619782,90.76744186046511,0.12994159818150028,0.008933181,1.4883720930232558,12544.390709400177,2.072902,17.258171810593065,0.00012619782
1.326086956521739,0.0,929770,4245,4.5961508e-05,83.47826086956522,0.11432298136645964,0.008933095,1.673913043478261,12676.205134391785,2.170526,15.84257372896044,4.5961508e-05
1.3695652173913044,0.0,939798,4291,8.552907e-05,91.6304347826087,0.14253002070393375,0.008933181,1.6304347826086956,12792.09634590149,2.2680886,17.443129401815025,8.552907e-05
1.28,0.0,949844,4341,1.3516744e-05,82.44,0.13861960784313726,0.010175057,1.72,12900.4190325737,2.170526,15.251769178898746,1.3516744e-05
1.2545454545454546,0.0,959931,4396,3.6514535e-05,73.74545454545455,0.15212520005247276,0.008933181,1.7454545454545454,13023.803451299667,2.2680886,14.464727021442883,3.6514535e-05
1.3541666666666667,0.0,969989,4444,7.0589704e-05,85.4375,0.12694444444444444,0.008933181,1.6458333333333333,13147.861414909363,2.3657017,16.368164587793128,7.0589704e-05
1.372093023255814,0.0,979755,4487,5.9484228e-05,93.97674418604652,0.14846511627906975,0.008933494,1.627906976744186,13265.907919168472,2.463277,18.18035139618755,5.9484228e-05
1.2075471698113207,0.0,989844,4540,1.9860712e-05,80.54716981132076,0.16396724846377278,0.010174776,1.7924528301886793,13390.290250778198,2.3657017,15.618446090651084,1.9860712e-05
1.2127659574468086,0.0,999875,4587,3.5914104e-06,86.36170212765957,0.1405106382978723,0.008933181,1.7872340425531914,13501.521183490753,2.463277,16.371912766477887,3.5914104e-06
1.3958333333333333,0.0,1009915,4635,2.1194966e-05,82.75,0.13260256410256407,0.008933095,1.6041666666666667,13638.317593336105,2.560874,15.851690252175425,2.1194966e-05
1.22,0.0,1019989,4685,4.4395954e-05,85.92,0.1778353439153439,0.010174845,1.78,13759.33196401596,2.463277,16.366705740693867,4.4395954e-05
1.0,0.0,1029793,4736,3.5832214e-05,75.70588235294117,0.13890048948872477,0.008933095,2.0,13875.354167938232,2.560874,14.607655894445129,3.5832214e-05
1.0943396226415094,0.0,1039912,4789,1.46522525e-05,81.73584905660377,0.1628984943910696,0.010174852,1.9056603773584906,13997.232771635056,2.463277,15.67662542168214,1.46522525e-05
1.2553191489361701,0.0,1049973,4836,3.3723576e-05,86.48936170212765,0.11827355623100308,0.008933095,1.7446808510638299,14107.35252070427,2.560874,16.263296602481585,3.3723576e-05
1.2037037037037037,0.0,1059836,4890,3.0598958e-06,74.16666666666667,0.10536916000968287,0.010174776,1.7962962962962963,14223.439116716385,2.463277,14.149199276644016,3.0598958e-06
1.0588235294117647,0.0,1069901,4941,1.9243367e-05,83.3529411764706,0.1431545908916151,0.010174776,1.9411764705882353,14339.870490074158,2.3657017,16.082686659100634,1.9243367e-05
1.0612244897959184,0.0,1079960,4990,3.2587177e-05,82.65306122448979,0.15892118529208138,0.008933181,1.9387755102040816,14461.571001529694,2.463277,15.954567129861182,3.2587177e-05
1.16,0.0,1089843,5040,2.3935445e-05,76.5,0.14843296602710793,0.010174758,1.84,14585.28961968422,2.3657017,14.650282679070584,2.3935445e-05
1.26,0.0,1099909,5090,2.0151012e-05,82.02,0.12470349206349204,0.008933181,1.74,14715.350593328476,2.463277,15.880253073898116,2.0151012e-05
1.2244897959183674,0.0,1109769,5139,4.1209412e-05,85.40816326530613,0.12656845537147676,0.008933417,1.7755102040816326,14835.949297189713,2.560874,16.315893392839588,4.1209412e-05
1.0357142857142858,0.0,1119871,5195,1.1537679e-05,73.76785714285714,0.1345693718046659,0.008933181,1.9642857142857142,14950.967459917068,2.658449,14.230891743969815,1.1537679e-05
1.0769230769230769,0.0,1129852,5247,6.73879e-06,79.67307692307692,0.13547384362603887,0.010174852,1.9230769230769231,15068.858001470566,2.560874,15.28638366286361,6.73879e-06
1.375,0.0,1139912,5295,2.7634938e-05,89.8125,0.12889542483660135,0.008933095,1.625,15185.209122896194,2.658449,17.31666858928257,2.7634938e-05
1.2127659574468086,0.0,1149947,5342,1.1240641e-07,89.80851063829788,0.1497610474631751,0.008933181,1.7872340425531914,15305.457627296448,2.7560797,17.278841818620357,1.1240641e-07
1.1020408163265305,0.0,1159773,5391,1.9660696e-05,85.95918367346938,0.13647869590726733,0.008933181,1.8979591836734695,15426.823896169662,2.8536668,16.44101379890324,1.9660696e-05
1.0363636363636364,0.0,1169878,5446,4.498596e-05,78.54545454545455,0.1707325693430956,0.007539433,1.9636363636363636,15549.142503261566,2.769533,14.846841659652446,4.498596e-05
