TimestepsSoFar,surrgain,entropy,TimeElapsed,AttC,TtR,optimgain,AttNC,Tbt,MpbtA,Ptt,Tmt,entloss,Tmc,MpbtN,MtR,EpisodesSoFar,meankl
3829900,0.00454846,0.18323185,49199.06869149208,0.25,-64.5,0.00454846,0.75,335360.0,21.223985114719866,79.64996749217747,81.875,0.0,22.075,78.77601488528015,-37.213772086286056,18326,0.008567153
3839788,0.005010263,0.2016585,49302.0966668129,0.08108108108108109,-65.78378378378379,0.005010263,0.918918918918919,336204.1081081081,19.864064558365975,79.84480115883044,82.08108108108108,0.0,21.864864864864863,80.13593544163403,-36.78721065994875,18363,0.010056307
3849887,0.005097897,0.16384636,49415.521639585495,0.2682926829268293,-65.8780487804878,0.005097897,0.7317073170731707,336871.0243902439,19.90377707113581,79.95420224924831,82.2439024390244,0.0,21.75609756097561,80.09622292886418,-37.36610171300746,18404,0.008412704
3859963,0.003808442,0.21185292,49521.26713299751,0.05263157894736842,-65.65789473684211,0.003808442,0.9473684210526315,338135.5789473684,20.508686652033862,80.30216610545668,82.55263157894737,0.0,21.36842105263158,79.49131334796613,-37.06398456493626,18442,0.010831291
3869876,0.007696926,0.20649925,49626.97807574272,0.10526315789473684,-65.71052631578948,0.007696926,0.8947368421052632,334470.7368421053,19.569663561896494,79.46876095158363,81.65789473684211,0.0,22.263157894736842,80.43033643810352,-37.19756653106018,18480,0.010822875
3879751,0.0045181294,0.1774677,49738.371265888214,0.2564102564102564,-63.794871794871796,0.0045181294,0.7435897435897436,332616.2051282051,21.480402981145065,78.98850040571656,81.2051282051282,0.0,22.794871794871796,78.51959701885492,-36.539604205646505,18519,0.007018638
3889851,0.0035149138,0.16738667,49841.889518499374,0.20512820512820512,-65.07692307692308,0.0035149138,0.7948717948717948,337972.5128205128,21.14788152455503,80.2058017009133,82.51282051282051,0.0,21.487179487179485,78.852118475445,-36.59416847588956,18558,0.009430723
3899845,0.0033273255,0.15460952,49944.8996527195,0.10256410256410256,-65.97435897435898,0.0033273255,0.8974358974358975,339127.7948717949,20.308935677024625,80.52674702713067,82.7948717948718,0.0,21.128205128205128,79.6910643229754,-37.86456763772392,18597,0.009351914
3909813,0.004584732,0.13828807,50050.412789821625,0.07894736842105263,-65.94736842105263,0.004584732,0.9210526315789473,334686.3157894737,19.29947650302047,79.45770822691597,81.71052631578948,0.0,22.289473684210527,80.70052349697954,-37.939682047398826,18635,0.008249622
3919758,0.0043174895,0.1490499,50156.429080963135,0.02702702702702703,-66.75675675675676,0.0043174895,0.972972972972973,340189.4054054054,19.626517727945075,80.7486501070195,83.05405405405405,0.0,20.89189189189189,80.37348227205493,-37.36720569542565,18672,0.009084649
3929896,0.002672433,0.14639519,50259.40317392349,0.02631578947368421,-67.0,0.002672433,0.9736842105263158,339105.6842105263,19.104997849230074,80.52348922605425,82.78947368421052,0.0,21.13157894736842,80.89500215076994,-37.95241830827767,18710,0.008802414
3939966,0.0029973923,0.17995837,50358.181471824646,0.10526315789473684,-66.15789473684211,0.0029973923,0.8947368421052632,337920.0,19.82367690211236,80.21282341821399,82.5,0.0,21.473684210526315,80.17632309788765,-37.38889034835217,18748,0.0107871825
3949872,0.0032548828,0.16432849,50465.1267387867,0.2,-66.375,0.0032548828,0.8,337920.0,19.575766756800654,80.21174787329232,82.5,0.0,21.475,80.42423324319937,-37.85466061866801,18788,0.009341035
3959846,0.0036983078,0.15758403,50573.37485790253,0.175,-65.55,0.0036983078,0.825,335052.8,19.86106946610015,79.54139016459237,81.8,0.0,22.2,80.13893053389984,-37.41777563569785,18828,0.008877297
3969801,0.0040149787,0.19349438,50674.52974009514,0.05263157894736842,-65.0,0.0040149787,0.9473684210526315,338566.7368421053,21.376454749590405,80.40046602261864,82.65789473684211,0.0,21.263157894736842,78.62354525040962,-36.80397517686818,18866,0.01017733
3979876,0.003325888,0.1706262,50790.30814623833,0.24390243902439024,-64.85365853658537,0.003325888,0.7560975609756098,333574.243902439,20.378197086861604,79.20473920981362,81.4390243902439,0.0,22.5609756097561,79.62180291313838,-36.890418375045854,18907,0.008943431
3989760,0.00422285,0.15731367,50897.36832356453,0.075,-65.275,0.00422285,0.925,338227.2,21.009285475312733,80.28237560935187,82.575,0.0,21.4,78.99071452468728,-38.40873203966514,18947,0.00893623
3999857,0.0038450265,0.18682195,50999.32627272606,0.02631578947368421,-65.0,0.0038450265,0.9736842105263158,335979.7894736842,20.773556903556326,79.75124860932445,82.02631578947368,0.0,21.973684210526315,79.22644309644367,-36.74473588714366,18985,0.008881664
4009917,0.005596958,0.16936676,51101.90541887283,0.07894736842105263,-64.1842105263158,0.005596958,0.9210526315789473,335764.2105263158,21.754949334900296,79.72369696366825,81.97368421052632,0.0,22.0,78.24505066509971,-35.7304765827899,19023,0.008773001
4019766,0.0030193175,0.18280856,51206.74286675453,0.05263157894736842,-64.21052631578948,0.0030193175,0.9473684210526315,335872.0,21.773935041050787,79.74701625211155,82.0,0.0,21.973684210526315,78.22606495894922,-36.89408314095967,19061,0.0089205215
