TtR,AttNC,Fce,EpisodesSoFar,TimeElapsed,AttC,entropy,meankl,optimgain,TimestepsSoFar,surrgain,MtR,entloss
91.76086956521739,1.4782608695652173,0.15456836798991805,766,886.8454287052155,1.5217391304347827,1.4326637,0.0011651942,0.000809815,149791,0.000809815,17.460305422141065,0.0
85.02,1.28,0.12756525252525253,816,947.577517747879,1.72,1.4290794,0.0016243848,0.0010857391,159877,0.0010857391,16.365271921240183,0.0
93.58695652173913,1.5217391304347827,0.13393082450371455,862,1007.1961874961853,1.4782608695652173,1.4288703,0.00092759007,0.0007909922,169923,0.0007909922,17.992847266979798,0.0
89.8125,1.4375,0.14740709728867624,910,1067.6736459732056,1.5625,1.4213955,0.0017154966,0.0009609151,179973,0.0009609151,17.00773553514697,0.0
87.24489795918367,1.2857142857142858,0.149256038647343,959,1126.7418899536133,1.7142857142857142,1.4037614,0.006074577,0.0012506236,189779,0.0012506236,16.68169425655325,0.0
91.36363636363636,1.5909090909090908,0.12181818181818184,1003,1182.6358292102814,1.4090909090909092,1.3988416,0.0024969643,0.0011967951,199795,0.0011967951,17.43091650589108,0.0
94.32558139534883,1.627906976744186,0.12915921288014312,1046,1247.8242800235748,1.372093023255814,1.3961568,0.0015001402,0.0011784434,209814,0.0011784434,17.69877985085892,0.0
86.42553191489361,1.4042553191489362,0.14418779885112806,1093,1307.5119850635529,1.5957446808510638,1.4095016,0.0019369668,0.0010251809,219897,0.0010251809,16.553523947661784,0.0
88.56521739130434,1.434782608695652,0.11808695652173916,1139,1366.6973712444305,1.565217391304348,1.4026742,0.0021823626,0.0013787195,229909,0.0013787195,16.996433719093737,0.0
95.34146341463415,1.975609756097561,0.12712195121951222,1180,1421.2992753982544,1.024390243902439,1.3960326,0.0028050537,0.001435794,239910,0.001435794,18.538179840626047,0.0
82.375,1.6666666666666667,0.13319444444444445,1228,1482.5833115577698,1.3333333333333333,1.3920448,0.0014605931,0.0011731957,249954,0.0011731957,15.884798279452916,0.0
84.97826086956522,1.565217391304348,0.12388058996199607,1274,1539.0139577388763,1.434782608695652,1.387537,0.0012375348,0.0009950364,259811,0.0009950364,16.21389003273507,0.0
83.16,1.44,0.13140017316017313,1324,1605.223177909851,1.56,1.4025427,0.0017751127,0.0011220144,269905,0.0011220144,15.745375705537041,0.0
