surrgain,EpisodesSoFar,AttNC,entloss,Ptt,Tbt,TimestepsSoFar,MpbtN,Tmc,Tmt,meankl,AttC,MpbtA,entropy,TtR,TimeElapsed,MtR,optimgain
0.0028477143,7222,2.106382978723404,0.0,73.96556625169772,310598.8085106383,1059918,52.0295583726506,28.19148936170213,75.82978723404256,0.006344027,0.8936170212765957,47.97044162734942,0.24692567,-118.27659574468085,17423.944550275803,-25.050026627374773,0.0028477143
0.0027399338,7268,1.8695652173913044,0.0,72.55581561618683,304439.652173913,1069860,52.56413612261306,29.695652173913043,74.32608695652173,0.008075899,1.1304347826086956,47.43586387738694,0.24955371,-117.06521739130434,17539.317583799362,-24.19745727104299,0.0027399338
0.003949657,7316,1.5833333333333333,0.0,73.27373231212559,307626.6666666667,1079943,51.47126168677982,28.9375,75.10416666666667,0.008349014,1.4166666666666667,48.52873831322018,0.24630335,-116.0,17651.400154829025,-24.139752283685144,0.003949657
0.0018980347,7363,1.9574468085106382,0.0,73.61329346610896,309117.27659574465,1089928,52.42951456829718,28.574468085106382,75.46808510638297,0.005905925,1.0425531914893618,47.570485431702835,0.21576436,-118.91489361702128,17765.128403425217,-24.915499748614806,0.0018980347
0.002149075,7410,2.425531914893617,0.0,73.7593421566749,309640.170212766,1099868,50.57612723036078,28.404255319148938,75.59574468085107,0.006932851,0.574468085106383,49.42387276963922,0.20882599,-114.82978723404256,17880.262619495392,-24.372313973077606,0.002149075
0.0042787413,7457,2.7872340425531914,0.0,72.94177506350839,306415.6595744681,1109978,50.575571854721446,29.319148936170212,74.80851063829788,0.007750081,0.2127659574468085,49.424428145278576,0.24528864,-113.48936170212765,17994.400467395782,-23.813851166341223,0.0042787413
0.002561145,7502,2.2,0.0,73.437047110082,308292.26666666666,1119788,53.771000638477695,28.755555555555556,75.26666666666667,0.0057224273,0.8,46.228999361522305,0.22831202,-121.66666666666667,18107.295739412308,-25.241195125864397,0.002561145
0.002988029,7549,2.702127659574468,0.0,73.48006569066963,308594.3829787234,1129949,50.975127787165825,28.72340425531915,75.34042553191489,0.007908155,0.2978723404255319,49.02487221283416,0.23193808,-115.2127659574468,18221.19645500183,-24.009199886084733,0.002988029
0.0033399577,7595,2.0869565217391304,0.0,74.502153914496,313076.8695652174,1139886,55.6042613891721,27.630434782608695,76.43478260869566,0.011039289,0.9130434782608695,44.39573861082789,0.18329468,-127.76086956521739,18333.410893678665,-26.01400248931134,0.0033399577
0.0024756866,7641,2.6956521739130435,0.0,72.84761632086084,305775.3043478261,1149995,52.30397576612978,29.391304347826086,74.65217391304348,0.0060627125,0.30434782608695654,47.69602423387022,0.21017559,-117.19565217391305,18447.49647784233,-24.428137282417982,0.0024756866
0.0031326525,7687,2.5217391304347827,0.0,73.35696969766113,308001.39130434784,1159895,50.93204247019255,28.847826086956523,75.19565217391305,0.0086384,0.4782608695652174,49.06795752980745,0.2162184,-114.91304347826087,18558.910480737686,-24.053922311236672,0.0031326525
0.0023339558,7733,2.652173913043478,0.0,73.70888883710876,309604.17391304346,1169835,52.17246261395929,28.47826086956522,75.58695652173913,0.00921895,0.34782608695652173,47.8275373860407,0.25141355,-118.5,18671.796541452408,-24.564816038299117,0.0023339558
0.0023321635,7780,2.106382978723404,0.0,73.61848444435068,309204.42553191487,1179947,52.37307827025697,28.574468085106382,75.48936170212765,0.007450759,0.8936170212765957,47.62692172974302,0.22704066,-118.53191489361703,18785.133529663086,-25.126223538923533,0.0023321635
0.0026178344,7828,1.8333333333333333,0.0,74.01980068454482,310784.0,1189965,52.84384726792256,28.125,75.875,0.0107865855,1.1666666666666667,47.15615273207744,0.2526106,-120.375,18900.505676031113,-25.305736448878775,0.0026178344
