optimgain,AttC,AttNC,TimeElapsed,TtR,entloss,MtR,entropy,Tmt,Tmc,Tbt,MpbtN,EpisodesSoFar,TimestepsSoFar,meankl,MpbtA,surrgain,Ptt
0.0029299026,1.6136363636363635,1.3863636363636365,7421.553672552109,-148.36363636363637,0.0,-30.01667380095432,0.33807573,78.0909090909091,25.90909090909091,319860.36363636365,63.299886100196154,3148,169889,0.003263608,36.70011389980384,0.0029299026,76.09051668793806
0.0041777953,1.5217391304347827,1.4782608695652173,7538.367117166519,-144.97826086956522,0.0,-29.408966414012585,0.31577885,77.45652173913044,26.565217391304348,317261.9130434783,62.30809940687725,3194,179870,0.004577017,37.69190059312275,0.0041777953,75.48155575102646
0.003122337,1.558139534883721,1.441860465116279,7654.4892563819885,-140.65116279069767,0.0,-28.540519045716145,0.33469683,77.46511627906976,26.53488372093023,317297.11627906974,60.49239819106878,3237,189767,0.0032085658,39.50760180893123,0.003122337,75.50730072543057
0.0045324606,1.6818181818181819,1.3181818181818181,7769.035904169083,-143.52272727272728,0.0,-28.858948181589994,0.34272897,77.36363636363636,26.65909090909091,316881.45454545453,61.77221257059184,3281,199954,0.0052859853,38.22778742940815,0.0045324606,75.3942113621497
0.0040883482,2.130434782608696,0.8695652173913043,7891.110635519028,-143.15217391304347,0.0,-29.147286498823732,0.3237813,78.08695652173913,25.91304347826087,319844.17391304346,61.109343610285016,3327,209819,0.0032477595,38.89065638971497,0.0040883482,76.08744452441044
0.004264044,1.8444444444444446,1.1555555555555554,8008.406378269196,-140.46666666666667,0.0,-29.20849290169342,0.34529492,77.33333333333333,26.666666666666668,316757.3333333333,60.460428304031865,3372,219916,0.0031860752,39.53957169596815,0.004264044,75.38211672893092
0.0036585215,1.9555555555555555,1.0444444444444445,8126.137647151947,-138.4,0.0,-28.25899246453176,0.32882702,76.77777777777777,27.22222222222222,314481.77777777775,60.09443009398719,3417,229975,0.0035503376,39.905569906012815,0.0036585215,74.86300455842216
0.0038261735,1.9534883720930232,1.0465116279069768,8244.661896705627,-144.13953488372093,0.0,-29.12065107338303,0.36662737,76.76744186046511,27.232558139534884,314439.4418604651,62.531457858707846,3460,239872,0.0036265082,37.46854214129215,0.0038261735,74.85287194197205
0.004440986,1.9318181818181819,1.0681818181818181,8361.479922056198,-140.45454545454547,0.0,-28.1985404209583,0.3524638,77.0909090909091,26.90909090909091,315764.36363636365,60.76858823026237,3504,249946,0.0044756657,39.231411769737626,0.004440986,75.15479624139006
0.003768894,2.239130434782609,0.7608695652173914,8480.350171804428,-144.58695652173913,0.0,-29.26631765591336,0.37631705,77.3913043478261,26.630434782608695,316994.7826086957,62.2249142428494,3550,259998,0.0036454692,37.775085757150606,0.003768894,75.4210559962511
0.0042375,1.9555555555555555,1.0444444444444445,8599.032151222229,-139.6,0.0,-28.014359602758336,0.3533563,76.82222222222222,27.22222222222222,314663.8222222222,60.450964540457264,3595,269970,0.0036088715,39.54903545954272,0.0042375,74.87537669366385
0.0040289345,2.066666666666667,0.9333333333333333,8719.509825229645,-140.86666666666667,0.0,-28.332696910343007,0.351785,77.13333333333334,26.866666666666667,315938.13333333336,60.87628883723015,3640,279943,0.003496965,39.12371116276985,0.0040289345,75.19635079078012
0.0042807837,1.7045454545454546,1.2954545454545454,8835.49972653389,-139.9090909090909,0.0,-28.131881463658967,0.3693806,77.06818181818181,26.931818181818183,315671.2727272727,60.486479180055944,3684,289980,0.0039912504,39.513520819944056,0.0042807837,75.13540449014494
0.0039401874,1.558139534883721,1.441860465116279,8952.285973072052,-139.32558139534885,0.0,-27.751750199116323,0.37551373,77.13953488372093,26.86046511627907,315963.5348837209,60.11295943411736,3727,299794,0.0040003234,39.887040565882664,0.0039401874,75.2023715311452
0.004355308,1.934782608695652,1.065217391304348,9068.573549509048,-131.7391304347826,0.0,-26.3819527868714,0.37850216,75.65217391304348,28.391304347826086,309871.3043478261,58.01842004392148,3773,309968,0.004825904,41.98157995607852,0.004355308,73.782454683457
0.004744655,2.217391304347826,0.782608695652174,9188.0139605999,-145.6304347826087,0.0,-29.185745965198734,0.35645524,77.41304347826087,26.58695652173913,317083.82608695654,62.61846227422985,3819,319847,0.0048527406,37.381537725770116,0.004744655,75.45684402605787
0.004191687,1.8043478260869565,1.1956521739130435,9304.356335401535,-135.91304347826087,0.0,-27.949469381271086,0.35348657,77.52173913043478,26.5,317529.04347826086,58.39104805682837,3865,329994,0.0045744507,41.60895194317164,0.004191687,75.54485297048181
0.004036131,1.8666666666666667,1.1333333333333333,9420.720366954803,-136.6,0.0,-28.018941326099128,0.3414864,76.97777777777777,27.022222222222222,315300.97777777776,59.20425264089311,3910,339906,0.004317441,40.795747359106905,0.004036131,75.05120153169986
0.005771929,2.130434782608696,0.8695652173913043,9538.634090423584,-132.84782608695653,0.0,-27.664590821318637,0.35466954,76.82608695652173,27.17391304347826,314679.652173913,57.61586976141839,3956,349841,0.005284874,42.38413023858161,0.005771929,74.91014225106953
0.0038112157,2.25,0.75,9661.582330703735,-142.0,0.0,-28.78656383451994,0.33865637,77.27083333333333,26.75,316501.3333333333,61.2297974889675,4004,359801,0.0034662995,38.770202511032494,0.0038112157,75.30883637135469
0.004723785,1.8936170212765957,1.1063829787234043,9780.349640607834,-137.68085106382978,0.0,-27.620469877085448,0.33518222,76.80851063829788,27.19148936170213,314607.6595744681,59.619930666262405,4051,369951,0.0046106484,40.38006933373759,0.004723785,74.89119878481256
0.0046075075,1.372093023255814,1.627906976744186,9895.836984872818,-132.62790697674419,0.0,-26.40882023282813,0.33940157,76.55813953488372,27.488372093023255,313582.1395348837,57.67660897609089,4094,379864,0.0048492365,42.323391023909096,0.0046075075,74.62623211764608
0.0036495687,1.558139534883721,1.441860465116279,10009.15083861351,-136.1860465116279,0.0,-27.47013519271247,0.32291082,77.23255813953489,26.767441860465116,316344.5581395349,58.67631719339951,4137,389849,0.0035080153,41.32368280660047,0.0036495687,75.28644557290288
0.004191642,1.3409090909090908,1.6590909090909092,10124.388701438904,-133.9090909090909,0.0,-27.437733976066905,0.32977378,76.56818181818181,27.477272727272727,313623.2727272727,58.21452815353125,4181,399924,0.0036086177,41.78547184646875,0.004191642,74.63888059881957
0.0042268825,1.3863636363636365,1.6136363636363635,10243.230543613434,-129.8181818181818,0.0,-26.71815433354907,0.33027253,75.4090909090909,28.681818181818183,308875.63636363635,57.40401061188367,4225,409902,0.0033330347,42.59598938811633,0.0042268825,73.52577823486244
0.004310571,1.5348837209302326,1.4651162790697674,10357.579814434052,-132.97674418604652,0.0,-26.84112864182166,0.3392252,75.5813953488372,28.46511627906977,309581.3953488372,58.590514475581955,4268,419853,0.0041014543,41.409485524418045,0.004310571,73.71219464825343
