entloss,AttNC,EpisodesSoFar,TimeElapsed,MtR,TtR,optimgain,Fce,AttC,TimestepsSoFar,meankl,surrgain,entropy
0.0,10.0,19272,120918.28982830048,142.69300702345518,2496.5,0.00019143353,0.9986000000000003,0.0,4679993,0.008933204,0.00019143353,0.5433131
0.0,10.0,19312,121116.48416256905,142.33819360386988,2490.5,0.00020758988,0.9962000000000002,0.0,4689993,0.008933102,0.00020758988,0.6409015
0.0,10.0,19352,121304.45834088326,142.14943494030223,2486.75,0.0004191557,0.9946999999999997,0.0,4699993,0.010174781,0.0004191557,0.5433131
0.0,10.0,19392,121499.14443564415,142.50061044911686,2493.75,0.00017575138,0.9974999999999999,0.0,4709993,0.01017476,0.00017575138,0.44572866
0.0,10.0,19432,121702.89097642899,142.63661702090604,2496.0,0.0002149788,0.9984,0.0,4719993,0.010174871,0.0002149788,0.3481337
0.0,10.0,19472,121890.38381624222,142.85546597548483,2499.75,0.00012562417,0.9999,0.0,4729993,0.008933196,0.00012562417,0.44572866
0.0,9.75609756097561,19513,122082.34718942642,139.33125033667775,2437.8048780487807,0.00024578135,0.9992195121951221,0.24390243902439024,4739996,0.010174871,0.00024578135,0.3481337
0.0,10.0,19553,122272.05452847481,142.86394764601567,2499.75,0.0004273318,0.9999,0.0,4749996,0.008933102,0.0004273318,0.44572866
0.0,10.0,19593,122472.18873000145,142.80747871698367,2499.0,0.00010487861,0.9995999999999998,0.0,4759996,0.010175198,0.00010487861,0.3481337
0.0,10.0,19633,122668.22057080269,142.82351737972726,2499.25,0.00062935334,0.9997,0.0,4769996,0.008933102,0.00062935334,0.44572866
0.0,10.0,19673,122856.60879325867,142.6997621734286,2496.5,0.00022767669,0.9985999999999999,0.0,4779996,0.008933196,0.00022767669,0.5433119
0.0,9.75609756097561,19714,123053.57596635818,139.17121358844406,2434.390243902439,0.000120402896,0.9817886178861788,0.24390243902439024,4789999,0.008933204,0.000120402896,0.6409015
0.0,9.069767441860465,19757,123256.0266983509,128.97572799909923,2254.6511627906975,0.00041431075,0.9295797924525694,0.9302325581395349,4799797,0.008933204,0.00041431075,0.73849833
0.0,9.090909090909092,19801,123450.07813215256,128.26956842207161,2242.2727272727275,0.00016697588,0.9146633366633368,0.9090909090909091,4809827,0.010174871,0.00016697588,0.6409015
0.0,9.75609756097561,19842,123649.97608494759,138.70270551546596,2426.3414634146343,0.00041689872,0.9753170731707317,0.24390243902439024,4819832,0.01017476,0.00041689872,0.5433119
0.0,9.75609756097561,19883,123850.80542206764,139.41062305907866,2436.0975609756097,0.00035218435,0.9847036215816704,0.24390243902439024,4829865,0.008933102,0.00035218435,0.64090127
0.0,9.75609756097561,19924,124050.55304861069,138.323759088616,2420.487804878049,0.00013641348,0.9681951219512196,0.24390243902439024,4839868,0.010174863,0.00013641348,0.5433119
0.0,10.0,19964,124246.73386359215,142.53457327579196,2493.75,7.7868935e-05,0.9974999999999999,0.0,4849868,0.01017476,7.7868935e-05,0.44572866
0.0,10.0,20004,124442.25251626968,142.7548273726026,2498.0,0.0002852607,0.9992000000000001,0.0,4859868,0.010174781,0.0002852607,0.3481336
0.0,10.0,20044,124643.77551794052,142.84604194859062,2499.25,0.00039709226,0.9997,0.0,4869868,0.008933102,0.00039709226,0.44572866
0.0,9.75609756097561,20085,124835.88659358025,139.6399320792751,2440.9756097560976,0.0002712211,0.9876711833785005,0.24390243902439024,4879895,0.010174871,0.0002712211,0.34813356
0.0,10.0,20125,125029.4998075962,142.75893663832122,2498.0,0.00056838105,0.9992000000000001,0.0,4889895,0.008933102,0.00056838105,0.4457286
0.0,10.0,20165,125231.12096428871,142.78776429205973,2498.75,0.00033490956,0.9994999999999999,0.0,4899895,0.01017476,0.00033490956,0.34813356
0.0,10.0,20205,125434.97308969498,142.85729718548095,2499.5,0.0003186329,0.9998000000000001,0.0,4909895,0.010174863,0.0003186329,0.25054556
0.0,10.0,20245,125635.80104827881,142.8784238871937,2500.0,0.0004808117,1.0,0.0,4919895,0.008933204,0.0004808117,0.3481331
0.0,10.0,20285,125830.00908303261,142.85412255869306,2499.5,0.00049909414,0.9998000000000001,0.0,4929895,0.008933204,0.00049909414,0.4457286
0.0,10.0,20325,126027.03267598152,142.6496684971427,2496.0,0.00028237622,0.9983999999999998,0.0,4939895,0.010175116,0.00028237622,0.3481331
0.0,9.75609756097561,20366,126217.99560499191,139.40188937349035,2439.0243902439024,1.9811572e-05,0.985170731707317,0.24390243902439024,4949900,0.008933102,1.9811572e-05,0.4457285
0.0,10.0,20406,126398.48920559883,142.8046165749961,2498.25,0.00038226234,0.9993000000000001,0.0,4959900,0.010174781,0.00038226234,0.34813306
0.0,10.0,20446,126584.09157729149,142.8784238871937,2500.0,0.00037049636,1.0,0.0,4969900,0.008933204,0.00037049636,0.44572043
0.0,10.0,20486,126779.21000242233,142.67786028745905,2496.5,0.00025423084,0.9985999999999999,0.0,4979900,0.010174863,0.00025423084,0.34813306
0.0,10.0,20526,126965.48879814148,142.84139882840586,2499.5,0.0007003095,0.9998000000000001,0.0,4989900,0.008933204,0.0007003095,0.44572043
0.0,10.0,20566,127153.99626016617,142.62551717466445,2496.0,3.7086487e-05,0.9984,0.0,4999900,0.008933204,3.7086487e-05,0.5433118
