TimeElapsed,entropy,MtR,EpisodesSoFar,TimestepsSoFar,AttNC,optimgain,Fce,TtR,entloss,meankl,AttC,surrgain
3305.1080100536346,-0.015675448,19.749589706312964,4666,899991,0.975609756097561,0.0024141478,0.14202847878189764,35.26829268292683,0.0,0.008343375,0.024390243902439025,0.0024141478
3339.6663484573364,-0.024909034,19.45151945159086,4707,909789,0.9512195121951219,0.0025945404,0.13726829268292684,34.31707317073171,0.0,0.009053445,0.04878048780487805,0.0025945404
3375.0077936649323,0.054510668,19.156588856074112,4748,919846,0.975609756097561,0.004015532,0.13795977749251176,33.829268292682926,0.0,0.008275357,0.024390243902439025,0.004015532
3415.9396390914917,0.09828873,18.796156878605846,4791,929803,0.8837209302325582,0.0041699675,0.1386599028085362,33.116279069767444,0.0,0.0077624917,0.11627906976744186,0.0041699675
3452.2481610774994,0.09381097,20.47136149142448,4831,939803,1.0,0.002279262,0.14300000000000002,35.75,0.0,0.007081189,0.0,0.002279262
3487.9282562732697,0.13277493,17.364385535519244,4879,949782,0.7291666666666666,0.0032367173,0.13326184650940198,29.8125,0.0,0.01004486,0.2708333333333333,0.0032367173
3529.218322992325,0.11615674,19.433768465519098,4922,959945,0.9302325581395349,0.0033952766,0.1410571606824,34.06976744186046,0.0,0.009319136,0.06976744186046512,0.0033952766
3561.6361215114594,0.09632136,17.099728943991856,4969,969897,0.8297872340425532,0.003161548,0.1267500107391863,30.04255319148936,0.0,0.0071028555,0.1702127659574468,0.003161548
3602.4727585315704,0.052238464,19.877053924574405,5011,979899,0.9523809523809523,0.0035181672,0.14028571428571432,35.07142857142857,0.0,0.0066108163,0.047619047619047616,0.0035181672
3640.0081975460052,0.04459572,19.354407669493256,5054,989902,0.9302325581395349,0.0024887542,0.135906976744186,33.97674418604651,0.0,0.0074273986,0.06976744186046512,0.0024887542
3671.8274102211,0.10963027,19.192737417605098,5094,999902,1.0,0.003632157,0.13540000000000002,33.85,0.0,0.008111209,0.0,0.003632157
3711.9907052516937,0.12034303,19.176647484818734,5138,1009982,0.9090909090909091,0.001967108,0.13681582054309327,33.79545454545455,0.0,0.008448009,0.09090909090909091,0.001967108
3748.81116771698,0.0706013,19.40699426355342,5180,1019984,0.9523809523809523,0.0021421555,0.13628571428571426,34.07142857142857,0.0,0.008901476,0.047619047619047616,0.0021421555
3784.9941387176514,0.095049985,17.71626103898114,5223,1029891,0.8837209302325582,0.002980841,0.13213898839276952,30.488372093023255,0.0,0.0076675797,0.11627906976744186,0.002980841
3826.9679043293,0.15417719,19.445255729764067,5266,1039873,0.813953488372093,0.0029488944,0.14210483157438994,33.72093023255814,0.0,0.0063818973,0.18604651162790697,0.0029488944
3861.9842586517334,0.13544393,18.01318049124897,5313,1049999,0.7021276595744681,0.00548627,0.1424851423741137,31.23404255319149,0.0,0.008971323,0.2978723404255319,0.00548627
3897.6715302467346,0.15977721,19.629665471513803,5355,1059776,0.9285714285714286,0.0024655177,0.14380952380952386,35.30952380952381,0.0,0.007847263,0.07142857142857142,0.0024655177
3937.711928844452,0.09320149,18.50943071560597,5399,1069940,0.9090909090909091,0.003552373,0.13498582562581335,32.52272727272727,0.0,0.009018568,0.09090909090909091,0.003552373
3971.074785709381,0.08591547,18.573488090431706,5443,1079955,0.8409090909090909,0.003427411,0.14028568842333874,32.52272727272727,0.0,0.007548485,0.1590909090909091,0.003427411
4010.751986503601,0.11962051,19.267893600761763,5485,1089957,0.9523809523809523,0.0027967498,0.13571428571428573,33.92857142857143,0.0,0.007232936,0.047619047619047616,0.0027967498
4049.4720644950867,0.1685415,19.49387711741222,5527,1099958,0.9285714285714286,0.004424538,0.14019757356803364,34.333333333333336,0.0,0.008466024,0.07142857142857142,0.004424538
4082.5419766902924,0.17220123,19.02061955289171,5569,1109752,0.9047619047619048,0.002161145,0.14090109671223963,33.357142857142854,0.0,0.0053799897,0.09523809523809523,0.002161145
4122.776646852493,0.20801358,20.54438012764815,5610,1119753,0.975609756097561,0.0021350929,0.1446829268292683,36.170731707317074,0.0,0.007447877,0.024390243902439025,0.0021350929
4160.47860789299,0.18681532,19.1602349268173,5658,1129879,0.75,0.0028036858,0.1446160355513735,32.916666666666664,0.0,0.00918409,0.25,0.0028036858
4195.623756170273,0.19876257,18.765865466740276,5702,1139759,0.8636363636363636,0.0027231185,0.1336456517152732,32.95454545454545,0.0,0.0075357277,0.13636363636363635,0.0027231185
4235.869588851929,0.17195891,18.32986182429747,5748,1149967,0.8695652173913043,0.002481481,0.133040651752677,32.0,0.0,0.006451487,0.13043478260869565,0.002481481
4270.177438497543,0.17155285,19.530057037522724,5790,1159969,0.9523809523809523,0.0025775048,0.13657142857142857,34.142857142857146,0.0,0.0041500693,0.047619047619047616,0.0025775048
