TtR,entloss,MpbtA,AttNC,Tmc,entropy,EpisodesSoFar,AttC,surrgain,TimestepsSoFar,MpbtN,TimeElapsed,Ptt,Tmt,optimgain,MtR,Tbt,meankl
-71.61538461538461,0.0,13.31861434188917,0.6153846153846154,21.358974358974358,0.22151288,4995,0.38461538461538464,0.0072405245,399791,86.68138565811084,13424.192987203598,80.31848441944231,82.61538461538461,0.0072405245,-40.58987613075992,338392.6153846154,0.0028130154
-71.87179487179488,0.0,13.132554658123123,0.6666666666666666,21.256410256410255,0.2399661,5034,0.3333333333333333,0.007745691,409929,86.86744534187687,13543.175073862076,80.40885476882144,82.6923076923077,0.007745691,-40.91863225390672,338707.6923076923,0.0030054492
-70.94871794871794,0.0,14.114135980219938,0.38461538461538464,21.358974358974358,0.2309753,5073,0.6153846153846154,0.0076343077,419892,85.88586401978007,13672.0433177948,80.31366572775312,82.58974358974359,0.0076343077,-40.055321061817104,338287.58974358975,0.0026825047
-71.44736842105263,0.0,13.743887505276172,0.5789473684210527,21.18421052631579,0.26203126,5111,0.42105263157894735,0.009308112,429953,86.25611249472382,13789.60832643509,80.48476046564335,82.8157894736842,0.009308112,-39.53272395160904,339213.4736842105,0.0043573654
-70.36585365853658,0.0,14.342409557061265,0.4878048780487805,21.829268292682926,0.23565015,5152,0.5121951219512195,0.008525923,439965,85.65759044293874,13913.16956949234,79.88138899651034,82.14634146341463,0.008525923,-39.83702113962826,336471.4146341463,0.0026863045
-71.55263157894737,0.0,13.912205001572842,0.7105263157894737,20.86842105263158,0.23268637,5190,0.2894736842105263,0.008245086,449782,86.08779499842713,14035.711960554123,80.76989612053826,83.07894736842105,0.008245086,-40.62569340142664,340291.36842105264,0.002873589
-72.17948717948718,0.0,13.75736924767462,0.5641025641025641,20.256410256410255,0.25778165,5229,0.4358974358974359,0.009315032,459726,86.24263075232534,14157.973510026932,81.33520517693074,83.66666666666667,0.009315032,-40.83254929510968,342698.6666666667,0.0038764882
-70.33333333333333,0.0,15.205522235799657,0.5,20.928571428571427,0.23037061,5271,0.5,0.008517795,469871,84.79447776420032,14285.635506391525,80.70444824306871,82.95238095238095,0.008517795,-40.73700363434644,339772.95238095237,0.0037403004
-70.6923076923077,0.0,13.875859608461013,0.5897435897435898,21.923076923076923,0.24597095,5310,0.41025641025641024,0.00617999,479794,86.12414039153899,14408.85465145111,79.78940905284615,82.02564102564102,0.00617999,-39.3108987108394,335977.0256410256,0.0027203972
-70.45,0.0,14.31433155043816,0.55,21.75,0.24771087,5350,0.45,0.007287581,489869,85.68566844956185,14528.14283823967,79.95369345089071,82.225,0.007287581,-38.987952243681335,336793.6,0.002790558
