EpisodesSoFar,meankl,TimestepsSoFar,MtR,optimgain,AttNC,surrgain,TimeElapsed,entloss,AttC,entropy,TtR,Fce
8208,0.006180448,1769992,21.11135435808098,0.0036473512,1.0,0.0036473512,5381.124269723892,0.0,0.0,0.012944252,36.85,0.14740000000000003
8251,0.0073265876,1779764,18.04851718093297,0.0049176305,0.9069767441860465,0.0049176305,5410.804165124893,0.0,0.09302325581395349,0.00038778782,31.953488372093023,0.1312068543451652
8292,0.004927405,1789765,20.210980525865043,0.00369422,0.975609756097561,0.00369422,5439.1154961586,0.0,0.024390243902439025,-0.0046052933,35.46341463414634,0.14185365853658538
8332,0.008189031,1799765,19.75103611910193,0.006286922,1.0,0.006286922,5468.267568588257,0.0,0.0,0.023646113,35.25,0.14099999999999996
8372,0.006257348,1809765,20.258342847692706,0.004188267,1.0,0.004188267,5496.730602264404,0.0,0.0,0.04986046,35.575,0.14230000000000004
8413,0.0066648102,1819766,20.179900133849987,0.0037079533,0.975609756097561,0.0037079533,5525.496864080429,0.0,0.024390243902439025,0.031117087,35.36585365853659,0.14146341463414633
8455,0.006638098,1829772,19.53618687741772,0.0046357573,0.9523809523809523,0.0046357573,5554.124086380005,0.0,0.047619047619047616,0.01585486,34.642857142857146,0.13857142857142857
8495,0.008574485,1839772,20.869693686883004,0.0055265934,1.0,0.0055265934,5582.748914480209,0.0,0.0,-0.025930343,36.125,0.14450000000000002
8537,0.0073697213,1849788,19.589646233260442,0.0046963417,0.9523809523809523,0.0046963417,5611.444893836975,0.0,0.047619047619047616,-0.034116745,34.333333333333336,0.1418095238095238
8580,0.007296255,1859791,19.263127167825004,0.0050879405,0.9302325581395349,0.0050879405,5639.981652259827,0.0,0.06976744186046512,-0.013215094,33.627906976744185,0.13451162790697677
8620,0.006679458,1869791,21.644985196217625,0.0043749167,1.0,0.0043749167,5668.529814720154,0.0,0.0,0.007304244,38.475,0.15389999999999998
8661,0.006184368,1879792,20.840934389092467,0.006434539,0.975609756097561,0.006434539,5697.254675626755,0.0,0.024390243902439025,-0.010606911,36.46341463414634,0.14585365853658538
8701,0.006123017,1889792,20.32286369463509,0.0048844223,1.0,0.0048844223,5726.319258451462,0.0,0.0,0.018989863,36.025,0.1441
8743,0.007755194,1899794,20.10322598596751,0.004404048,0.9523809523809523,0.004404048,5754.745956420898,0.0,0.047619047619047616,-0.024904482,35.23809523809524,0.14095238095238094
8783,0.0061629005,1909794,21.40380839535698,0.0009389595,1.0,0.0009389595,5783.447550058365,0.0,0.0,-0.017797384,36.95,0.1478
8823,0.007708449,1919794,20.830319659659377,0.0036694799,1.0,0.0036694799,5812.314076185226,0.0,0.0,-0.004958553,36.875,0.1475
8865,0.0043621305,1929796,19.08632602117503,0.005199845,0.9523809523809523,0.005199845,5840.928253889084,0.0,0.047619047619047616,-0.015237808,33.42857142857143,0.1337142857142857
8905,0.006938646,1939796,20.30595789132448,0.004966939,1.0,0.004966939,5870.162144899368,0.0,0.0,0.006781352,36.225,0.14489999999999997
8947,0.006716217,1949798,20.029335681250547,0.0048079626,0.9523809523809523,0.0048079626,5898.301632165909,0.0,0.047619047619047616,-0.004859526,35.0,0.13999999999999999
8989,0.0051504592,1959800,19.922121488953742,0.0031738556,0.9523809523809523,0.0031738556,5928.2169399261475,0.0,0.047619047619047616,0.009802341,34.595238095238095,0.13838095238095238
9030,0.0070029646,1969801,20.304050751187972,0.005236865,0.975609756097561,0.005236865,5956.730207681656,0.0,0.024390243902439025,0.0072241356,35.609756097560975,0.1424390243902439
9073,0.0071599516,1979806,19.433792905128577,0.003907401,0.9302325581395349,0.003907401,5985.583009958267,0.0,0.06976744186046512,-0.020320611,34.0,0.136
9113,0.0065263533,1989806,21.37096321028314,0.004042095,1.0,0.004042095,6014.019130706787,0.0,0.0,-0.026203375,37.025,0.14810000000000004
9153,0.006325516,1999806,21.10897832755916,0.005056238,1.0,0.005056238,6041.907233953476,0.0,0.0,-0.016048456,37.325,0.14930000000000002
9195,0.0060264305,2009808,19.876912789823297,0.003969276,0.9523809523809523,0.003969276,6070.619403600693,0.0,0.047619047619047616,-0.033895493,34.904761904761905,0.1396190476190476
9236,0.0045191986,2019809,19.617163115978258,0.0032090668,0.975609756097561,0.0032090668,6099.511966228485,0.0,0.024390243902439025,-0.0075278794,34.5609756097561,0.1382439024390244
9277,0.006063669,2029810,20.301349214696888,0.004555051,0.975609756097561,0.004555051,6127.994586467743,0.0,0.024390243902439025,-0.0066742897,35.19512195121951,0.14078048780487806
9317,0.0052781664,2039810,21.232069485427807,0.0037802712,1.0,0.0037802712,6156.66596698761,0.0,0.0,-0.026411114,37.55,0.1502
9357,0.0071592224,2049810,20.246836461638974,0.003618039,1.0,0.003618039,6185.20099067688,0.0,0.0,-0.07340249,35.825,0.14330000000000004
9397,0.0078067686,2059810,19.612857568555093,0.0054456023,1.0,0.0054456023,6213.709301948547,0.0,0.0,-0.1076745,34.325,0.13730000000000003
