TimestepsSoFar,Tbt,surrgain,TimeElapsed,Tmc,TtR,optimgain,MtR,Ptt,AttNC,meankl,entloss,entropy,MpbtN,EpisodesSoFar,AttC,Tmt,MpbtA
209999,260307.8620689655,0.001552837,9317.955540418625,41.36206896551724,-215.86206896551724,0.001552837,-13.618878681705933,61.89189382047624,1.8275862068965518,0.0055378843,0.0,0.3227137,33.61457028374711,2889,8.172413793103448,63.55172413793103,66.38542971625289
219936,249582.93333333332,0.001815049,9635.878992795944,44.06666666666667,-172.5,0.001815049,-12.39042438293577,59.37600499555668,5.316666666666666,0.0056165224,0.0,0.34815165,28.21440345575852,2949,4.683333333333334,60.93333333333333,71.78559654424144
229939,255537.5483870968,0.001218543,9946.071807384491,42.645161290322584,-199.3548387096774,0.001218543,-13.046360712326445,60.726629149382276,1.2258064516129032,0.0058777966,0.0,0.29879567,31.6649808265506,3011,8.774193548387096,62.38709677419355,68.33501917344942
239854,249787.73333333334,0.0017426779,10245.176658391953,44.03333333333333,-170.16666666666666,0.0017426779,-11.831373827760325,59.41641863505583,3.3,0.005239565,0.0,0.37295124,27.87658336513692,3071,6.7,60.983333333333334,72.12341663486306
249842,256973.6393442623,0.0017378513,10531.017978906631,42.24590163934426,-207.86885245901638,0.0017378513,-13.440791713763176,61.08326256520013,1.3442622950819672,0.007103233,0.0,0.2908263,32.926794853459946,3132,8.655737704918034,62.73770491803279,67.07320514654005
259948,250880.0,0.0012032753,10804.955243587494,43.766666666666666,-173.66666666666666,0.0012032753,-12.03586096687775,59.66669649792199,3.783333333333333,0.003847074,0.0,0.35864797,28.321605084810685,3192,6.216666666666667,61.25,71.6783949151893
269971,250997.50819672132,0.0010674634,11093.039143562317,43.73770491803279,-173.44262295081967,0.0010674634,-11.798773175393254,59.694142420323075,2.2950819672131146,0.004425058,0.0,0.3159567,28.312359721043485,3253,7.704918032786885,61.278688524590166,71.68764027895651
279988,243879.868852459,0.0009678137,11387.609451770782,45.47540983606557,-165.5737704918033,0.0009678137,-11.836138819901494,58.05502703957536,4.065573770491803,0.0035413587,0.0,0.32058313,27.826479134014384,3314,5.934426229508197,59.540983606557376,72.17352086598561
289959,242278.4,0.0019978513,11714.820972442627,45.88333333333333,-165.0,0.0019978513,-11.989537098565215,57.67683724576701,2.7,0.005501103,0.0,0.35704458,27.807050853158618,3374,7.3,59.15,72.19294914684139
299987,254498.13333333333,0.0011197174,12026.893642663956,42.86666666666667,-177.0,0.0011197174,-11.769755402285025,60.50698130314239,2.6666666666666665,0.0043942025,0.0,0.29673895,28.45148138366521,3434,7.333333333333333,62.13333333333333,71.5485186163348
309855,244788.06779661018,0.0025350999,12354.884482860565,45.271186440677965,-152.88135593220338,0.0025350999,-10.853968665125612,58.25500654233228,3.847457627118644,0.006424207,0.0,0.34068972,25.607421744026208,3493,6.1525423728813555,59.76271186440678,74.39257825597382
319860,242456.7741935484,0.0014183789,12685.737143039703,45.854838709677416,-154.83870967741936,0.0014183789,-10.988494265096675,57.71094394598734,2.870967741935484,0.0038511616,0.0,0.36023322,26.168521701237555,3555,7.129032258064516,59.193548387096776,73.83147829876246
329914,244264.6349206349,0.0010483972,13028.782041311264,45.44444444444444,-157.46031746031747,0.0010483972,-10.880740477763243,58.11129737830608,1.6507936507936507,0.0022662021,0.0,0.32421148,26.312390400560247,3618,8.34920634920635,59.63492063492063,73.68760959943975
339883,240753.77777777778,0.0020564673,13370.424013614655,46.301587301587304,-152.22222222222223,0.0020564673,-10.806384905438595,57.30455886408305,2.6825396825396823,0.004574999,0.0,0.36662695,25.85559481345098,3681,7.317460317460317,58.77777777777778,74.14440518654902
349885,251305.35384615386,0.0013221584,13715.209438085556,43.69230769230769,-187.84615384615384,0.0013221584,-12.27812356771044,59.748695638655434,1.3384615384615384,0.0050341357,0.0,0.29980817,30.22886366267297,3746,8.661538461538461,61.353846153846156,69.77113633732704
359963,238162.5806451613,0.0013554074,14048.645660877228,46.91935483870968,-152.25806451612902,0.0013554074,-10.865872997843281,56.71190127036495,2.903225806451613,0.0029671723,0.0,0.3391214,26.12222058475456,3808,7.096774193548387,58.145161290322584,73.87777941524546
369960,237437.96825396825,0.0016440476,14388.188205242157,47.111111111111114,-159.20634920634922,0.0016440476,-11.282333066651887,56.537817863687785,1.9523809523809523,0.0033760609,0.0,0.34627765,27.459208534622142,3871,8.047619047619047,57.96825396825397,72.54079146537784
379941,239583.49206349207,0.0017629315,14704.977053403854,46.57142857142857,-149.04761904761904,0.0017629315,-10.624781658157438,57.041801592773766,2.7142857142857144,0.0053748665,0.0,0.38766336,25.4473287061618,3934,7.285714285714286,58.492063492063494,74.55267129383822
389881,251111.2258064516,0.001993732,15039.607469081879,43.70967741935484,-185.80645161290323,0.001993732,-12.143746760095812,59.71577298980315,1.2580645161290323,0.005194078,0.0,0.34618592,30.0516095792742,3996,8.741935483870968,61.306451612903224,69.94839042072579
