entloss,EpisodesSoFar,entropy,surrgain,AttC,AttNC,meankl,TimeElapsed,Fce,TtR,MtR,TimestepsSoFar,optimgain
0.0,6731,1.536257,0.00054766337,1.574468085106383,1.425531914893617,0.006861708,20227.451491355896,0.1422007960020349,85.40425531914893,16.42160569828428,1449848,0.00054766337
0.0,6779,1.526256,0.00033568623,1.4166666666666667,1.5833333333333333,0.0017669325,20353.69543337822,0.10422619047619053,76.0,14.494677166802823,1459874,0.00033568623
0.0,6824,1.5348227,0.0007246568,1.3777777777777778,1.6222222222222222,0.011938491,20497.563932180405,0.11132929292929293,80.6,15.407936996277833,1469897,0.0007246568
0.0,6870,1.5459067,0.0005804057,1.3478260869565217,1.6521739130434783,0.0023245874,20636.984170913696,0.12593804669777206,85.69565217391305,16.67660150036814,1479963,0.0005804057
0.0,6919,1.5214759,0.00057691854,1.6326530612244898,1.3673469387755102,0.004442354,20764.00117111206,0.13291486808664113,78.48979591836735,14.99214655332092,1489847,0.00057691854
0.0,6964,1.5287671,0.0008546397,1.2444444444444445,1.7555555555555555,0.0048718643,20900.821370124817,0.13809382716049384,83.4,16.201760129814552,1499868,0.0008546397
0.0,7007,1.5472063,0.00076206255,1.186046511627907,1.813953488372093,0.013143963,21049.83975338936,0.1304097452934662,79.67441860465117,15.159221148864264,1509893,0.00076206255
0.0,7054,1.557365,0.0008523621,1.3191489361702127,1.6808510638297873,0.0034150837,21192.083364725113,0.1359785618842048,77.93617021276596,14.96774034660781,1519942,0.0008523621
0.0,7099,1.558148,0.00039477894,1.3555555555555556,1.6444444444444444,0.003175652,21308.314634799957,0.12905796575040274,85.53333333333333,16.461268080319652,1529862,0.00039477894
0.0,7145,1.5367343,0.0006094742,1.391304347826087,1.608695652173913,0.0029180837,21459.47713947296,0.11490909090909093,83.34782608695652,15.818121979654173,1539886,0.0006094742
0.0,7193,1.5082903,0.00039441325,1.5625,1.4375,0.0038915921,21602.39691400528,0.13236877394636012,81.875,15.332023322823481,1549831,0.00039441325
0.0,7233,1.5206716,0.00021458282,0.95,2.05,0.004870332,21741.7866127491,0.1234,92.55,17.80521062265665,1559831,0.00021458282
0.0,7276,1.5247777,0.00056176505,1.441860465116279,1.558139534883721,0.0021350551,21876.834897518158,0.11897674418604652,89.23255813953489,17.239420768529648,1569858,0.00056176505
0.0,7320,1.4955195,0.00041326293,1.5227272727272727,1.4772727272727273,0.0040326295,22021.938793182373,0.11833333333333339,87.68181818181819,16.78388340398922,1579882,0.00041326293
0.0,7363,1.4761604,0.0006273626,1.302325581395349,1.697674418604651,0.011653421,22159.772830963135,0.11265116279069774,84.48837209302326,15.985630779301735,1589909,0.0006273626
0.0,7408,1.4919854,0.0007060323,1.3111111111111111,1.6888888888888889,0.0019130211,22307.155327558517,0.11197460317460319,81.8,15.54689079312113,1599940,0.0007060323
0.0,7453,1.493531,0.00080029044,1.4444444444444444,1.5555555555555556,0.0024885503,22443.744916439056,0.11564444444444448,83.46666666666667,15.944193082956733,1609953,0.00080029044
0.0,7498,1.4926653,0.0009491998,1.3777777777777778,1.6222222222222222,0.008654047,22577.896998643875,0.13100246913580244,79.86666666666666,15.350210968908884,1619970,0.0009491998
0.0,7544,1.4993919,0.0006439631,1.434782608695652,1.565217391304348,0.0032913513,22698.272469758987,0.12395579987783885,83.28260869565217,15.693659155215148,1629803,0.0006439631
0.0,7592,1.5089107,0.0006727005,1.6458333333333333,1.3541666666666667,0.0028156915,22845.31775021553,0.13284671274144957,90.625,16.995734974162435,1639925,0.0006727005
0.0,7642,1.4861612,0.0009055888,1.54,1.46,0.0037530365,22985.116540908813,0.16271981052583637,77.28,14.911662530952619,1649788,0.0009055888
0.0,7692,1.4527596,0.0006364251,1.26,1.74,0.00859888,23124.15414094925,0.1618509986565159,81.78,15.621392256965532,1659872,0.0006364251
